  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          51.530        0.000            213.0
          2          43.859        2.568           1040.6
          3          36.519        9.523           1270.3
          4          29.195       20.100           1500.1
          5          22.156       33.441           1728.9
          6          18.097       43.245           1960.6
          7          16.049       50.032           2192.7
          8          15.001       55.121           2426.0
          9          14.372       59.471           2658.1
         10          13.881       63.716           2891.1
         11          13.406       68.304           3127.0
         12          12.887       73.652           3363.2
         13          12.287       80.222           3596.9
         14          11.595       88.486           3830.8
         15          10.829       98.742           4065.0
         16          10.045      110.632           4298.0
         17           9.381      122.317           4529.7
         18           8.781      134.476           4762.6
         19           8.246      147.225           4996.4
         20           7.795      160.435           5234.3
         21           7.440      173.692           5463.0
         22           7.174      186.607           5693.5
         23           6.958      199.541           5926.4
         24           6.757      212.396           6158.3
         25           6.616      223.784           6388.0
         26           6.526      232.999           6621.3
         27           6.465      242.036           6853.2
         28           6.435      249.439           7087.7
         29           6.405      257.942           7316.7
