LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31003,274,478995.6,6196930.0,34.2,32.4,0.0,0.000000,2291.910,144.8200,1840.520,255.2600,1739.800,472.8600,1312.200,638.8799,756.6699,519.7200,586.2700,206.3000
1,31003,284,478994.7,6196964.5,34.5,32.2,0.0,0.000000,2327.530,142.5300,1869.850,262.8500,1773.250,476.0700,1349.080,655.7400,770.2800,535.8800,597.9100,206.3800
1,31003,294,478993.9,6196999.5,34.7,32.3,0.0,0.000000,2297.560,154.5900,1842.750,259.1200,1744.920,462.5800,1342.810,646.7900,760.3300,533.6100,592.9300,200.4800
1,31003,304,478993.4,6197034.5,35.7,31.2,0.0,0.000000,2291.650,170.3100,1840.910,263.2500,1732.180,467.4400,1324.070,638.3300,756.9800,526.6899,591.5699,202.6200
1,31003,314,478993.3,6197070.0,36.6,30.0,0.0,0.000000,2338.140,201.1400,1864.400,278.6900,1752.790,480.7400,1336.290,647.8300,762.5300,532.2100,589.3600,206.1800
1,31003,324,478993.6,6197105.0,37.0,29.3,0.0,0.000000,2518.990,249.0100,1972.620,319.8100,1833.380,517.2200,1393.100,688.1100,786.5600,560.0800,620.1100,218.1500
1,31003,334,478994.5,6197141.0,36.5,30.1,0.0,0.000000,2559.220,274.4100,1973.020,338.9000,1825.750,515.2200,1399.740,682.1000,789.8300,565.0499,618.9500,214.0700
1,31003,344,478995.5,6197176.5,35.7,31.4,0.0,0.000000,2422.770,262.2900,1866.810,327.3900,1726.060,478.9500,1342.080,630.2500,771.7400,539.1000,587.2200,199.9900
1,31003,354,478996.5,6197212.5,35.4,32.6,0.0,0.000000,2223.570,220.9800,1722.540,294.0100,1594.450,434.7400,1246.520,569.2899,734.6999,494.2800,550.7200,182.1500
1,31003,364,478997.0,6197247.5,35.5,33.3,0.0,0.000000,2087.720,191.9600,1613.880,268.7100,1494.870,402.0500,1172.850,528.6800,696.8500,459.8500,518.0699,170.8200
1,31003,374,478997.1,6197281.5,36.1,33.2,0.0,0.000000,1988.140,192.0600,1559.900,248.7400,1454.830,383.5500,1146.400,513.3099,681.6000,448.1599,506.9400,163.9200
1,31003,384,478996.6,6197315.5,36.8,32.5,0.0,0.000000,1951.400,175.2500,1544.630,233.3600,1456.880,372.1800,1157.100,512.9900,684.3400,451.6100,506.0500,160.5000
1,31003,394,478996.0,6197348.5,37.0,32.5,0.0,0.000000,1920.830,166.6300,1525.600,222.5500,1442.850,365.0500,1154.030,508.9400,681.2499,449.4699,496.7299,155.8400
1,31003,404,478995.3,6197381.5,36.6,33.5,0.0,0.000000,1883.320,179.3500,1480.760,224.5200,1394.460,356.5200,1111.420,491.8700,659.9800,430.8600,479.9000,152.8900
1,31003,414,478995.0,6197415.0,36.1,33.3,0.0,0.000000,1905.640,202.1200,1482.080,233.5400,1387.590,368.9600,1087.170,492.2700,650.0500,421.1300,475.0399,156.8300
1,31003,424,478995.5,6197449.0,35.3,33.0,0.0,0.000000,1971.540,198.1600,1522.890,248.8000,1411.020,398.5300,1082.840,506.0100,651.3499,419.9000,470.6500,165.0900
1,31003,434,478996.3,6197484.0,34.4,33.4,0.0,0.000000,1929.260,187.4000,1495.470,250.7600,1355.100,418.8900,1009.900,477.9000,628.9100,387.3900,451.0000,165.7900
1,31003,444,478997.0,6197519.5,33.5,33.8,0.0,0.000000,1874.700,174.4300,1456.100,255.1100,1283.410,433.3400,938.9299,440.3199,610.7300,355.9200,423.7000,164.5800
1,31003,454,478997.2,6197554.5,32.7,33.8,0.0,0.000000,1891.450,171.1500,1466.950,279.5300,1244.890,449.9000,913.5200,419.3100,610.5699,341.7300,407.1300,162.4300
1,31003,464,478997.4,6197589.5,31.7,33.8,0.0,0.000000,1935.180,205.8900,1484.570,304.9300,1232.140,453.6200,917.0499,409.2600,623.8300,340.6800,401.6600,161.9900
1,31003,474,478997.4,6197624.0,31.1,33.3,0.0,0.000000,1987.040,229.2700,1514.160,317.9100,1249.290,466.0300,935.5099,409.3900,644.8400,345.7800,415.4800,163.7900
1,31003,484,478997.2,6197658.5,30.3,33.0,0.0,0.000000,2016.810,241.1100,1549.220,326.7200,1271.810,475.8300,964.6499,412.2000,669.7899,355.5100,416.6100,162.6900
1,31003,494,478997.0,6197692.5,29.2,32.7,0.0,0.000000,2083.800,230.5900,1601.730,363.6400,1287.190,487.8100,994.6899,410.9100,698.6500,365.2000,427.9000,165.5200
1,31003,504,478996.7,6197727.0,28.0,32.9,0.0,0.000000,2122.320,220.9300,1598.080,382.4800,1284.350,467.6800,1025.280,399.8000,728.0099,373.8600,433.4000,157.1300
1,31003,514,478996.7,6197762.0,26.9,33.1,0.0,0.000000,2068.950,240.3000,1490.470,369.2700,1245.160,399.6600,1037.580,369.1600,745.2499,371.2900,430.3300,137.5900
1,31003,524,478997.0,6197797.5,26.0,32.5,0.0,0.000000,2102.120,269.9300,1484.050,356.9200,1294.260,371.9600,1102.540,373.5400,791.2499,396.1100,453.7700,133.8200
1,31003,534,478997.6,6197833.5,24.6,32.5,0.0,0.000000,2203.040,284.8100,1580.960,350.6000,1408.890,386.7600,1201.580,412.0700,850.7900,435.0999,490.5900,141.2700
1,31003,544,478998.1,6197870.5,23.8,33.7,0.0,0.000000,2126.620,240.8800,1568.860,306.3000,1419.790,383.6800,1195.160,414.9200,846.4300,434.4700,493.7800,144.4600
1,31003,554,478998.0,6197907.0,23.6,34.9,0.0,0.000000,1969.600,170.5900,1504.860,271.7900,1366.400,368.5100,1135.810,397.2900,807.8300,412.5200,482.7100,141.1400
1,31003,564,478997.2,6197942.5,24.0,34.5,0.0,0.000000,2034.130,158.1200,1568.790,278.6100,1414.760,385.1000,1172.890,415.1800,826.9099,429.8300,490.9200,146.3100
1,31003,574,478996.0,6197978.0,24.9,34.0,0.0,0.000000,2009.510,198.6000,1517.760,291.9300,1364.870,365.5100,1152.650,394.6400,818.4899,417.1500,472.9400,135.3100
1,31003,584,478994.8,6198013.0,27.1,32.4,0.0,0.000000,1993.420,256.5600,1440.050,322.6800,1277.320,346.2800,1095.020,360.7100,793.2800,393.3200,454.0300,129.0300
1,31003,594,478994.1,6198048.0,27.9,32.5,0.0,0.000000,2048.690,301.1000,1438.900,366.9800,1240.710,361.4500,1068.560,356.7500,769.8400,380.2300,442.7900,132.1300
1,31003,604,478994.2,6198084.0,28.9,32.0,0.0,0.000000,2170.430,314.3400,1557.290,404.3300,1288.080,425.7500,1070.300,391.4700,761.1300,387.9800,446.6300,149.0500
1,31003,614,478995.0,6198120.5,29.8,31.8,0.0,0.000000,2284.890,271.6200,1737.110,393.8600,1415.560,526.4100,1091.560,461.2600,752.5899,407.7200,471.9400,181.2900
1,31003,624,478996.4,6198157.0,30.2,31.1,0.0,0.000000,2536.480,211.6600,2010.830,380.6800,1639.770,664.2100,1169.260,568.0000,776.7200,453.0700,520.9100,228.5700
1,31003,634,478997.8,6198193.5,30.9,30.2,0.0,0.000000,2642.560,187.7800,2151.670,373.2900,1770.330,736.0800,1204.280,626.8000,785.9100,478.2800,553.0300,257.7700
1,31003,644,478998.9,6198229.0,31.6,29.6,0.0,0.000000,2701.830,211.9400,2191.020,380.0100,1817.770,755.8799,1211.520,648.9399,782.6900,487.4100,577.9199,275.1700
1,31003,654,478999.4,6198263.0,32.1,29.0,0.0,0.000000,2842.760,271.3400,2265.140,407.4500,1889.980,790.1600,1240.710,682.7499,791.6800,504.3400,601.1600,290.7700
1,31003,664,478999.4,6198295.0,32.1,29.2,0.0,0.000000,2868.710,312.2000,2252.340,416.9700,1880.480,786.5200,1236.300,683.6200,786.0300,501.8100,593.8699,287.9800
1,31003,674,478999.3,6198326.5,32.1,29.8,0.0,0.000000,2743.760,298.5600,2123.660,409.8200,1758.310,738.6100,1177.620,634.3999,759.1700,470.2800,552.4500,265.8300
1,31003,684,478999.0,6198357.5,31.8,30.5,0.0,0.000000,2631.410,306.4700,2013.490,408.5300,1643.260,700.1500,1123.150,584.6000,735.9999,440.4900,514.4000,243.2900
1,31003,694,478998.6,6198388.5,31.4,30.9,0.0,0.000000,2563.770,320.0200,1947.420,427.3500,1550.610,671.6599,1085.580,546.3400,721.8300,420.4000,490.0000,230.0100
1,31003,704,478998.3,6198421.5,31.3,31.2,0.0,0.000000,2514.910,316.5400,1890.450,439.8000,1475.650,652.8999,1047.450,515.2499,704.2499,401.9100,468.1100,218.5400
1,31003,714,478998.0,6198455.5,31.9,30.1,0.0,0.000000,2648.030,339.4700,1969.380,488.2800,1511.380,692.6899,1063.750,530.7600,718.6799,409.3400,478.3100,230.6500
1,31003,724,478997.6,6198490.5,32.2,29.1,0.0,0.000000,2745.320,366.1300,2054.650,501.2200,1588.490,720.9600,1108.920,561.8800,743.0099,432.0700,495.7600,236.2800
1,31003,734,478997.3,6198525.5,32.4,28.7,0.0,0.000000,2744.480,378.1000,2067.090,480.4100,1635.500,719.6400,1127.610,580.7900,748.8600,441.9100,517.3600,245.7800
1,31003,744,478997.0,6198560.0,31.9,29.7,0.0,0.000000,2595.440,336.4100,2002.520,427.6500,1638.470,683.0100,1121.370,580.1799,737.8099,439.5700,521.8500,244.6700
1,31003,754,478996.6,6198593.5,31.4,31.0,0.0,0.000000,2437.370,269.4700,1911.090,358.9400,1611.310,634.9200,1102.510,568.0900,721.6600,430.6500,516.7100,234.5400
1,31003,764,478995.7,6198626.0,31.4,31.8,0.0,0.000000,2294.670,230.9200,1802.820,325.4300,1552.730,587.7599,1068.700,545.1600,697.9500,414.2400,504.3200,225.1700
1,31003,774,478994.7,6198658.0,32.0,31.5,0.0,0.000000,2267.610,267.8900,1763.250,326.1500,1526.560,567.7300,1061.600,536.1300,693.6400,409.1700,489.7400,214.7000
