LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31063,1454,479896.5,6200758.5,33.7,31.5,0.0,0.000000,1920.492,379.3492,1608.635,400.1435,1185.676,466.1461,777.1992,352.8289,544.9118,278.3604,359.6291,156.5488
1,31063,1464,479897.2,6200789.5,34.3,30.8,0.0,0.000000,1967.676,414.0422,1633.202,412.9369,1207.788,473.1139,794.5380,361.5671,552.9270,287.5149,367.1561,158.9056
1,31063,1474,479897.5,6200821.0,34.3,30.8,0.0,0.000000,1991.825,427.9840,1638.098,430.4214,1199.294,476.2669,790.2516,363.5025,545.1960,288.5004,365.2268,158.8954
1,31063,1484,479897.6,6200852.5,33.7,31.6,0.0,0.000000,1987.058,418.5620,1626.861,438.5021,1183.240,474.3762,773.8143,366.9199,524.9080,285.9379,360.3741,159.1390
1,31063,1494,479897.5,6200885.0,33.0,32.6,0.0,0.000000,1916.016,387.0344,1580.141,415.4704,1155.060,458.3387,753.7528,355.7851,513.9368,276.3950,351.5728,154.9111
1,31063,1504,479897.3,6200918.0,32.8,32.9,0.0,0.000000,1876.333,373.1319,1553.113,402.3557,1140.054,448.0994,744.9999,349.3772,509.6094,271.8886,347.3136,152.0633
1,31063,1514,479897.2,6200950.5,32.7,32.8,0.0,0.000000,1909.189,380.3741,1579.705,409.1395,1160.930,455.6984,757.6873,356.0409,517.9650,276.9397,353.5189,154.9312
1,31063,1524,479897.2,6200982.5,32.5,32.5,0.0,0.000000,1954.558,390.4614,1616.253,418.3165,1190.302,466.0331,775.0842,366.4788,527.9353,284.6350,362.3292,159.0651
1,31063,1534,479897.3,6201014.5,32.4,32.4,0.0,0.000000,2004.880,377.3706,1681.727,417.0649,1238.513,494.4323,790.1064,381.5675,541.2137,296.7309,372.7238,169.1926
1,31063,1544,479897.6,6201047.0,32.6,32.4,0.0,0.000000,1975.128,370.2656,1664.304,403.1723,1235.765,486.4013,788.5625,380.0581,540.4431,293.3093,372.3083,167.7051
1,31063,1554,479898.0,6201078.5,32.7,32.2,0.0,0.000000,1937.506,354.8344,1649.085,383.0634,1238.924,475.3058,794.9370,378.2744,545.4066,295.1397,374.4203,165.4913
1,31063,1564,479898.2,6201110.0,32.4,31.9,0.0,0.000000,1948.506,343.6049,1669.677,376.9952,1265.259,471.7340,818.6782,385.6037,559.3049,305.3620,384.5483,166.0390
1,31063,1574,479898.4,6201141.0,31.7,31.7,0.0,0.000000,1982.349,336.2583,1704.065,379.6935,1295.089,472.4223,846.4653,394.6350,575.2870,319.5347,396.0508,167.2706
1,31063,1584,479898.6,6201172.5,31.2,31.3,0.0,0.000000,2061.281,350.9724,1763.683,404.0547,1328.027,487.5233,875.3171,403.9978,594.9460,333.6648,407.2316,170.7648
1,31063,1594,479899.0,6201204.5,30.7,31.6,0.0,0.000000,2130.313,353.6562,1805.533,443.1767,1320.091,499.3368,884.7768,399.9128,605.6631,332.8322,406.9274,169.3107
1,31063,1604,479899.5,6201236.5,30.6,32.4,0.0,0.000000,2071.923,328.5312,1775.732,420.8151,1300.603,496.3320,860.5033,397.8964,585.8021,315.6959,398.9061,169.1178
1,31063,1614,479900.0,6201269.0,31.0,32.5,0.0,0.000000,2052.843,331.9410,1753.626,424.0669,1275.182,496.2891,838.4126,391.0641,572.2595,303.8595,389.6862,168.0466
1,31063,1624,479900.8,6201300.5,31.8,32.2,0.0,0.000000,2006.364,362.1602,1681.603,427.1548,1227.137,469.9756,819.1501,370.2033,565.5863,290.0137,377.4959,158.6698
1,31063,1634,479901.5,6201331.5,32.5,31.2,0.0,0.000000,1974.462,430.4542,1598.054,444.2787,1171.787,435.4840,812.8248,338.2074,575.7258,292.1664,365.5176,144.5148
1,31063,1644,479902.3,6201361.5,32.8,30.4,0.0,0.000000,1968.246,479.6947,1552.777,455.9146,1151.986,403.6583,830.1240,322.6848,593.1746,286.6096,366.2893,133.5156
1,31063,1654,479903.0,6201392.0,32.4,30.6,0.0,0.000000,1961.200,471.4782,1553.437,448.9903,1158.439,400.1818,835.9248,323.9928,596.5990,290.6801,368.8548,133.3141
1,31063,1664,479902.9,6201423.0,31.2,32.3,0.0,0.000000,2014.510,429.1021,1625.432,448.5795,1201.873,415.6729,866.4332,342.7084,607.6205,309.7901,383.3167,138.7880
1,31063,1674,479902.6,6201456.0,30.3,33.1,0.0,0.000000,1994.747,366.9478,1654.780,424.5192,1218.464,429.9559,867.0438,349.6708,605.5479,310.4046,385.5276,143.1665
1,31063,1684,479902.3,6201489.5,29.9,33.9,0.0,0.000000,1988.763,334.7115,1679.474,407.2542,1238.851,443.4696,869.4186,357.1223,606.1841,312.6276,388.8091,147.9456
1,31063,1694,479902.2,6201523.0,30.8,34.0,0.0,0.000000,1856.187,309.0967,1575.499,371.0008,1180.202,408.4369,826.1889,342.8567,571.8158,295.7499,371.8381,139.8662
1,31063,1704,479902.1,6201556.0,33.4,31.6,0.0,0.000000,1799.229,320.7385,1511.706,377.5123,1122.832,396.6519,788.3694,316.9655,561.3267,270.1421,352.5625,133.2774
1,31063,1714,479902.0,6201587.5,34.8,29.4,0.0,0.000000,1933.970,393.3749,1595.125,416.2770,1166.000,432.5703,822.2828,324.4145,592.9502,288.8705,364.0792,140.0034
