Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
31003,50.0,25.6,478996.81,6196058.00,18.40,1.26,54.35,1.74
31003,50.0,22.6,478996.81,6196058.00,8.73,0.94,114.51,2.06
31003,50.0,19.6,478996.81,6196058.00,5.51,0.74,181.54,2.26
31003,50.0,16.6,478996.81,6196058.00,4.10,0.61,243.98,2.39
31003,50.0,13.6,478996.81,6196058.00,3.00,0.48,333.30,2.52
31003,50.0,10.6,478996.81,6196058.00,2.34,0.37,427.65,2.63
31003,50.0,7.6,478996.81,6196058.00,2.53,0.40,395.14,2.60
31003,50.0,4.6,478996.81,6196058.00,3.56,0.55,281.15,2.45
31003,50.0,1.6,478996.81,6196058.00,5.41,0.73,184.71,2.27
31003,50.0,-1.4,478996.81,6196058.00,8.00,0.90,125.04,2.10
31003,50.0,-4.4,478996.81,6196058.00,11.01,1.04,90.85,1.96
31003,50.0,-7.4,478996.81,6196058.00,14.07,1.15,71.08,1.85
31003,50.0,-10.4,478996.81,6196058.00,16.90,1.23,59.15,1.77
31003,50.0,-13.4,478996.81,6196058.00,19.39,1.29,51.57,1.71
31003,50.0,-16.4,478996.81,6196058.00,21.54,1.33,46.44,1.67
31003,50.0,-19.4,478996.81,6196058.00,23.40,1.37,42.74,1.63
31003,50.0,-22.4,478996.81,6196058.00,25.06,1.40,39.91,1.60
31003,50.0,-25.4,478996.81,6196058.00,26.58,1.42,37.63,1.58
31003,50.0,-28.4,478996.81,6196058.00,28.00,1.45,35.71,1.55
31003,50.0,-31.4,478996.81,6196058.00,29.36,1.47,34.07,1.53
31003,50.0,-34.6,478996.81,6196058.00,30.87,1.49,32.40,1.51
31003,50.0,-38.1,478996.81,6196058.00,32.31,1.51,30.95,1.49
31003,50.0,-41.6,478996.81,6196058.00,33.71,1.53,29.66,1.47
31003,50.0,-45.0,478996.81,6196058.00,35.04,1.54,28.54,1.46
31003,50.0,-48.5,478996.81,6196058.00,36.30,1.56,27.55,1.44
31003,50.0,-52.0,478996.81,6196058.00,37.45,1.57,26.70,1.43
31003,50.0,-55.5,478996.81,6196058.00,38.49,1.59,25.98,1.41
