 East  ,  Channel ,   Error 	 
  734923.8,       0.0,         0.4339
  734923.8,     -40.0,         0.5742
  734923.8,     -80.0,         0.6278
  734923.8,    -120.0,         0.0000
  734923.8,    -160.0,         0.2921
  734923.8,    -200.0,         0.1136
  734923.8,    -240.0,         0.0439
  734923.8,    -280.0,         0.0306
  734923.8,    -320.0,         0.0000
  734923.8,    -360.0,         0.0000
  734923.8,    -400.0,         0.5324
  734923.8,    -440.0,         0.5338
  734923.8,    -480.0,         0.4028
  734923.8,    -520.0,         0.0309
  734923.8,    -560.0,         0.0000
  734923.8,    -600.0,         0.0000
  734923.8,    -640.0,         0.0093
  734923.8,    -680.0,         0.0155
  734923.8,    -720.0,         0.0390
  734923.8,    -760.0,         0.0000
  734923.3,       0.0,         0.4134
  734923.3,     -40.0,         0.5837
  734923.3,     -80.0,         0.6310
  734923.3,    -120.0,         0.0000
  734923.3,    -160.0,         0.2675
  734923.3,    -200.0,         0.1056
  734923.3,    -240.0,         0.0416
  734923.3,    -280.0,         0.0323
  734923.3,    -320.0,         0.0000
  734923.3,    -360.0,         0.0000
  734923.3,    -400.0,         0.5784
  734923.3,    -440.0,         0.5782
  734923.3,    -480.0,         0.4368
  734923.3,    -520.0,         0.0261
  734923.3,    -560.0,        -0.0428
  734923.3,    -600.0,         0.0000
  734923.3,    -640.0,         0.0096
  734923.3,    -680.0,         0.0188
  734923.3,    -720.0,         0.0395
  734923.3,    -760.0,         0.0000
  734923.0,       0.0,         0.4040
  734923.0,     -40.0,         0.6187
  734923.0,     -80.0,         0.6461
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,         0.2430
  734923.0,    -200.0,         0.0972
  734923.0,    -240.0,         0.0398
  734923.0,    -280.0,         0.0340
  734923.0,    -320.0,         0.0188
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.6069
  734923.0,    -440.0,         0.5971
  734923.0,    -480.0,         0.4353
  734923.0,    -520.0,         0.0216
  734923.0,    -560.0,        -0.0478
  734923.0,    -600.0,         0.0000
  734923.0,    -640.0,         0.0098
  734923.0,    -680.0,         0.0210
  734923.0,    -720.0,         0.0377
  734923.0,    -760.0,         0.0000
  734922.8,       0.0,         0.4073
  734922.8,     -40.0,         0.6601
  734922.8,     -80.0,         0.6535
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.2183
  734922.8,    -200.0,         0.0882
  734922.8,    -240.0,         0.0384
  734922.8,    -280.0,         0.0354
  734922.8,    -320.0,         0.0282
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.6231
  734922.8,    -440.0,         0.5803
  734922.8,    -480.0,         0.3982
  734922.8,    -520.0,         0.0178
  734922.8,    -560.0,        -0.0517
  734922.8,    -600.0,        -0.0151
  734922.8,    -640.0,         0.0098
  734922.8,    -680.0,         0.0212
  734922.8,    -720.0,         0.0345
  734922.8,    -760.0,         0.0000
  734922.7,       0.0,         0.4207
  734922.7,     -40.0,         0.6755
  734922.7,     -80.0,         0.6334
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.1933
  734922.7,    -200.0,         0.0786
  734922.7,    -240.0,         0.0375
  734922.7,    -280.0,         0.0360
  734922.7,    -320.0,         0.0358
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.6369
  734922.7,    -440.0,         0.5299
  734922.7,    -480.0,         0.3384
  734922.7,    -520.0,         0.0160
  734922.7,    -560.0,        -0.0529
  734922.7,    -600.0,        -0.0166
  734922.7,    -640.0,         0.0094
  734922.7,    -680.0,         0.0192
  734922.7,    -720.0,         0.0312
  734922.7,    -760.0,         0.0000
  734922.7,       0.0,         0.4313
  734922.7,     -40.0,         0.6367
  734922.7,     -80.0,         0.5728
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.1681
  734922.7,    -200.0,         0.0688
  734922.7,    -240.0,         0.0369
  734922.7,    -280.0,         0.0360
  734922.7,    -320.0,         0.0410
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.6534
  734922.7,    -440.0,         0.4687
  734922.7,    -480.0,         0.2803
  734922.7,    -520.0,         0.0188
  734922.7,    -560.0,        -0.0495
  734922.7,    -600.0,        -0.0154
  734922.7,    -640.0,         0.0088
  734922.7,    -680.0,         0.0158
  734922.7,    -720.0,         0.0275
  734922.7,    -760.0,         0.0000
  734922.8,       0.0,         0.4228
  734922.8,     -40.0,         0.5395
  734922.8,     -80.0,         0.4735
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.1437
  734922.8,    -200.0,         0.0596
  734922.8,    -240.0,         0.0362
  734922.8,    -280.0,         0.0356
  734922.8,    -320.0,         0.0430
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.6708
  734922.8,    -440.0,         0.4260
  734922.8,    -480.0,         0.2511
  734922.8,    -520.0,         0.0304
  734922.8,    -560.0,        -0.0398
  734922.8,    -600.0,         0.0000
  734922.8,    -640.0,         0.0080
  734922.8,    -680.0,         0.0125
  734922.8,    -720.0,         0.0237
  734922.8,    -760.0,         0.0000
  734922.8,       0.0,         0.3956
  734922.8,     -40.0,         0.4079
  734922.8,     -80.0,         0.3578
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.1226
  734922.8,    -200.0,         0.0520
  734922.8,    -240.0,         0.0354
  734922.8,    -280.0,         0.0347
  734922.8,    -320.0,         0.0421
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.6870
  734922.8,    -440.0,         0.4173
  734922.8,    -480.0,         0.2586
  734922.8,    -520.0,         0.0546
  734922.8,    -560.0,         0.0000
  734922.8,    -600.0,         0.0000
  734922.8,    -640.0,         0.0067
  734922.8,    -680.0,         0.0096
  734922.8,    -720.0,         0.0197
  734922.8,    -760.0,         0.0000
  734922.9,       0.0,         0.3652
  734922.9,     -40.0,         0.2832
  734922.9,     -80.0,         0.2595
  734922.9,    -120.0,         0.0000
  734922.9,    -160.0,         0.1069
  734922.9,    -200.0,         0.0466
  734922.9,    -240.0,         0.0342
  734922.9,    -280.0,         0.0333
  734922.9,    -320.0,         0.0396
  734922.9,    -360.0,         0.0000
  734922.9,    -400.0,         0.6982
  734922.9,    -440.0,         0.4366
  734922.9,    -480.0,         0.2863
  734922.9,    -520.0,         0.0876
  734922.9,    -560.0,        -0.0112
  734922.9,    -600.0,         0.0000
  734922.9,    -640.0,         0.0049
  734922.9,    -680.0,         0.0068
  734922.9,    -720.0,         0.0157
  734922.9,    -760.0,         0.0000
  734923.0,       0.0,         0.3439
  734923.0,     -40.0,         0.2071
  734923.0,     -80.0,         0.2039
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,         0.0967
  734923.0,    -200.0,         0.0430
  734923.0,    -240.0,         0.0326
  734923.0,    -280.0,         0.0313
  734923.0,    -320.0,         0.0365
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.6977
  734923.0,    -440.0,         0.4652
  734923.0,    -480.0,         0.3128
  734923.0,    -520.0,         0.1191
  734923.0,    -560.0,        -0.0027
  734923.0,    -600.0,         0.0000
  734923.0,    -640.0,         0.0000
  734923.0,    -680.0,         0.0000
  734923.0,    -720.0,         0.0115
  734923.0,    -760.0,         0.0000
  734923.2,       0.0,         0.3376
  734923.2,     -40.0,         0.1971
  734923.2,     -80.0,         0.1948
  734923.2,    -120.0,         0.0000
  734923.2,    -160.0,         0.0903
  734923.2,    -200.0,         0.0405
  734923.2,    -240.0,         0.0305
  734923.2,    -280.0,         0.0289
  734923.2,    -320.0,         0.0326
  734923.2,    -360.0,         0.0000
  734923.2,    -400.0,         0.6804
  734923.2,    -440.0,         0.4836
  734923.2,    -480.0,         0.3264
  734923.2,    -520.0,         0.1384
  734923.2,    -560.0,        -0.0012
  734923.2,    -600.0,         0.0000
  734923.2,    -640.0,         0.0000
  734923.2,    -680.0,         0.0000
  734923.2,    -720.0,         0.0000
  734923.2,    -760.0,         0.0000
  734923.4,       0.0,         0.3462
  734923.4,     -40.0,         0.2305
  734923.4,     -80.0,         0.2158
  734923.4,    -120.0,         0.0000
  734923.4,    -160.0,         0.0863
  734923.4,    -200.0,         0.0384
  734923.4,    -240.0,         0.0282
  734923.4,    -280.0,         0.0263
  734923.4,    -320.0,         0.0285
  734923.4,    -360.0,         0.0000
  734923.4,    -400.0,         0.6447
  734923.4,    -440.0,         0.4813
  734923.4,    -480.0,         0.3218
  734923.4,    -520.0,         0.1385
  734923.4,    -560.0,        -0.0052
  734923.4,    -600.0,        -0.0115
  734923.4,    -640.0,         0.0000
  734923.4,    -680.0,         0.0000
  734923.4,    -720.0,         0.0000
  734923.4,    -760.0,         0.0000
  734923.6,       0.0,         0.3649
  734923.6,     -40.0,         0.2714
  734923.6,     -80.0,         0.2456
  734923.6,    -120.0,         0.0000
  734923.6,    -160.0,         0.0836
  734923.6,    -200.0,         0.0364
  734923.6,    -240.0,         0.0257
  734923.6,    -280.0,         0.0236
  734923.6,    -320.0,         0.0239
  734923.6,    -360.0,         0.0000
  734923.6,    -400.0,         0.5953
  734923.6,    -440.0,         0.4588
  734923.6,    -480.0,         0.2973
  734923.6,    -520.0,         0.1186
  734923.6,    -560.0,        -0.0118
  734923.6,    -600.0,        -0.0162
  734923.6,    -640.0,         0.0000
  734923.6,    -680.0,         0.0000
  734923.6,    -720.0,         0.0000
  734923.6,    -760.0,         0.0000
  734923.8,       0.0,         0.3881
  734923.8,     -40.0,         0.3030
  734923.8,     -80.0,         0.2702
  734923.8,    -120.0,         0.0000
  734923.8,    -160.0,         0.0811
  734923.8,    -200.0,         0.0344
  734923.8,    -240.0,         0.0231
  734923.8,    -280.0,         0.0210
  734923.8,    -320.0,         0.0188
  734923.8,    -360.0,         0.0000
  734923.8,    -400.0,         0.5494
  734923.8,    -440.0,         0.4265
  734923.8,    -480.0,         0.2601
  734923.8,    -520.0,         0.0880
  734923.8,    -560.0,         0.0000
  734923.8,    -600.0,        -0.0195
  734923.8,    -640.0,        -0.0073
  734923.8,    -680.0,        -0.0074
  734923.8,    -720.0,         0.0000
  734923.8,    -760.0,         0.0000
  734924.1,       0.0,         0.4124
  734924.1,     -40.0,         0.3300
  734924.1,     -80.0,         0.2851
  734924.1,    -120.0,         0.0000
  734924.1,    -160.0,         0.0780
  734924.1,    -200.0,         0.0324
  734924.1,    -240.0,         0.0204
  734924.1,    -280.0,         0.0186
  734924.1,    -320.0,         0.0000
  734924.1,    -360.0,         0.0000
  734924.1,    -400.0,         0.5301
  734924.1,    -440.0,         0.4033
  734924.1,    -480.0,         0.2295
  734924.1,    -520.0,         0.0613
  734924.1,    -560.0,         0.0000
  734924.1,    -600.0,        -0.0219
  734924.1,    -640.0,        -0.0100
  734924.1,    -680.0,        -0.0096
  734924.1,    -720.0,         0.0000
  734924.1,    -760.0,         0.0000
  734924.4,       0.0,         0.4366
  734924.4,     -40.0,         0.3602
  734924.4,     -80.0,         0.2928
  734924.4,    -120.0,         0.0000
  734924.4,    -160.0,         0.0744
  734924.4,    -200.0,         0.0303
  734924.4,    -240.0,         0.0178
  734924.4,    -280.0,         0.0166
  734924.4,    -320.0,         0.0000
  734924.4,    -360.0,         0.0000
  734924.4,    -400.0,         0.5481
  734924.4,    -440.0,         0.4140
  734924.4,    -480.0,         0.2318
  734924.4,    -520.0,         0.0489
  734924.4,    -560.0,         0.0000
  734924.4,    -600.0,        -0.0237
  734924.4,    -640.0,        -0.0126
  734924.4,    -680.0,        -0.0114
  734924.4,    -720.0,        -0.0088
  734924.4,    -760.0,         0.0000
  734924.6,       0.0,         0.4603
  734924.6,     -40.0,         0.3956
  734924.6,     -80.0,         0.2996
  734924.6,    -120.0,         0.0000
  734924.6,    -160.0,         0.0706
  734924.6,    -200.0,         0.0282
  734924.6,    -240.0,         0.0156
  734924.6,    -280.0,         0.0151
  734924.6,    -320.0,         0.0000
  734924.6,    -360.0,         0.0000
  734924.6,    -400.0,         0.5945
  734924.6,    -440.0,         0.4766
  734924.6,    -480.0,         0.2907
  734924.6,    -520.0,         0.0574
  734924.6,    -560.0,         0.0000
  734924.6,    -600.0,        -0.0253
  734924.6,    -640.0,        -0.0155
  734924.6,    -680.0,        -0.0128
  734924.6,    -720.0,        -0.0102
  734924.6,    -760.0,         0.0000
  734924.9,       0.0,         0.4828
  734924.9,     -40.0,         0.4354
  734924.9,     -80.0,         0.3164
  734924.9,    -120.0,         0.0000
  734924.9,    -160.0,         0.0679
  734924.9,    -200.0,         0.0265
  734924.9,    -240.0,         0.0143
  734924.9,    -280.0,         0.0142
  734924.9,    -320.0,         0.0000
  734924.9,    -360.0,         0.0000
  734924.9,    -400.0,         0.6512
  734924.9,    -440.0,         0.5802
  734924.9,    -480.0,         0.4082
  734924.9,    -520.0,         0.0928
  734924.9,    -560.0,         0.0000
  734924.9,    -600.0,        -0.0268
  734924.9,    -640.0,        -0.0184
  734924.9,    -680.0,        -0.0139
  734924.9,    -720.0,        -0.0119
  734924.9,    -760.0,         0.0000
  734925.1,       0.0,         0.5024
  734925.1,     -40.0,         0.4768
  734925.1,     -80.0,         0.3535
  734925.1,    -120.0,         0.0000
  734925.1,    -160.0,         0.0675
  734925.1,    -200.0,         0.0254
  734925.1,    -240.0,         0.0141
  734925.1,    -280.0,         0.0137
  734925.1,    -320.0,         0.0000
  734925.1,    -360.0,         0.0000
  734925.1,    -400.0,         0.7032
  734925.1,    -440.0,         0.6943
  734925.1,    -480.0,         0.5582
  734925.1,    -520.0,         0.1557
  734925.1,    -560.0,        -0.0132
  734925.1,    -600.0,        -0.0277
  734925.1,    -640.0,        -0.0211
  734925.1,    -680.0,        -0.0148
  734925.1,    -720.0,        -0.0142
  734925.1,    -760.0,         0.0000
  734925.3,       0.0,         0.5159
  734925.3,     -40.0,         0.5179
  734925.3,     -80.0,         0.4107
  734925.3,    -120.0,         0.0000
  734925.3,    -160.0,         0.0704
  734925.3,    -200.0,         0.0249
  734925.3,    -240.0,         0.0147
  734925.3,    -280.0,         0.0133
  734925.3,    -320.0,         0.0161
  734925.3,    -360.0,         0.0000
  734925.3,    -400.0,         0.7390
  734925.3,    -440.0,         0.7913
  734925.3,    -480.0,         0.7038
  734925.3,    -520.0,         0.2397
  734925.3,    -560.0,         0.0036
  734925.3,    -600.0,        -0.0269
  734925.3,    -640.0,        -0.0229
  734925.3,    -680.0,        -0.0152
  734925.3,    -720.0,        -0.0165
  734925.3,    -760.0,         0.0000
  734925.4,       0.0,         0.5228
  734925.4,     -40.0,         0.5598
  734925.4,     -80.0,         0.4780
  734925.4,    -120.0,         0.0000
  734925.4,    -160.0,         0.0767
  734925.4,    -200.0,         0.0249
  734925.4,    -240.0,         0.0154
  734925.4,    -280.0,         0.0132
  734925.4,    -320.0,         0.0204
  734925.4,    -360.0,         0.0000
  734925.4,    -400.0,         0.7624
  734925.4,    -440.0,         0.8635
  734925.4,    -480.0,         0.8286
  734925.4,    -520.0,         0.3367
  734925.4,    -560.0,         0.0299
  734925.4,    -600.0,        -0.0234
  734925.4,    -640.0,        -0.0231
  734925.4,    -680.0,        -0.0147
  734925.4,    -720.0,        -0.0172
  734925.4,    -760.0,         0.0000
  734925.6,       0.0,         0.5246
  734925.6,     -40.0,         0.6023
  734925.6,     -80.0,         0.5476
  734925.6,    -120.0,         0.0000
  734925.6,    -160.0,         0.0873
  734925.6,    -200.0,         0.0253
  734925.6,    -240.0,         0.0160
  734925.6,    -280.0,         0.0131
  734925.6,    -320.0,         0.0234
  734925.6,    -360.0,         0.0000
  734925.6,    -400.0,         0.7822
  734925.6,    -440.0,         0.9164
  734925.6,    -480.0,         0.9359
  734925.6,    -520.0,         0.4378
  734925.6,    -560.0,         0.0628
  734925.6,    -600.0,        -0.0169
  734925.6,    -640.0,        -0.0214
  734925.6,    -680.0,        -0.0128
  734925.6,    -720.0,        -0.0139
  734925.6,    -760.0,         0.0000
  734925.6,       0.0,         0.5226
  734925.6,     -40.0,         0.6419
  734925.6,     -80.0,         0.6174
  734925.6,    -120.0,         0.0000
  734925.6,    -160.0,         0.1044
  734925.6,    -200.0,         0.0263
  734925.6,    -240.0,         0.0164
  734925.6,    -280.0,         0.0125
  734925.6,    -320.0,         0.0240
  734925.6,    -360.0,         0.0000
  734925.6,    -400.0,         0.8043
  734925.6,    -440.0,         0.9595
  734925.6,    -480.0,         1.0297
  734925.6,    -520.0,         0.5311
  734925.6,    -560.0,         0.0974
  734925.6,    -600.0,         0.0000
  734925.6,    -640.0,        -0.0183
  734925.6,    -680.0,        -0.0088
  734925.6,    -720.0,         0.0000
  734925.6,    -760.0,         0.0000
  734925.6,       0.0,         0.5208
  734925.6,     -40.0,         0.6800
  734925.6,     -80.0,         0.6917
  734925.6,    -120.0,         0.0000
  734925.6,    -160.0,         0.1305
  734925.6,    -200.0,         0.0286
  734925.6,    -240.0,         0.0165
  734925.6,    -280.0,         0.0111
  734925.6,    -320.0,         0.0211
  734925.6,    -360.0,         0.0000
  734925.6,    -400.0,         0.8267
  734925.6,    -440.0,         0.9928
  734925.6,    -480.0,         1.1028
  734925.6,    -520.0,         0.6037
  734925.6,    -560.0,         0.1286
  734925.6,    -600.0,         0.0010
  734925.6,    -640.0,        -0.0137
  734925.6,    -680.0,         0.0000
  734925.6,    -720.0,         0.0075
  734925.6,    -760.0,         0.0000
  734925.6,       0.0,         0.5206
  734925.6,     -40.0,         0.7157
  734925.6,     -80.0,         0.7688
  734925.6,    -120.0,         0.0000
  734925.6,    -160.0,         0.1635
  734925.6,    -200.0,         0.0321
  734925.6,    -240.0,         0.0161
  734925.6,    -280.0,         0.0089
  734925.6,    -320.0,         0.0000
  734925.6,    -360.0,         0.0000
  734925.6,    -400.0,         0.8427
  734925.6,    -440.0,         1.0077
  734925.6,    -480.0,         1.1369
  734925.6,    -520.0,         0.6423
  734925.6,    -560.0,         0.1514
  734925.6,    -600.0,         0.0108
  734925.6,    -640.0,        -0.0075
  734925.6,    -680.0,         0.0000
  734925.6,    -720.0,         0.0176
  734925.6,    -760.0,         0.0000
  734925.5,       0.0,         0.5190
  734925.5,     -40.0,         0.7411
  734925.5,     -80.0,         0.8351
  734925.5,    -120.0,         0.0000
  734925.5,    -160.0,         0.1972
  734925.5,    -200.0,         0.0365
  734925.5,    -240.0,         0.0154
  734925.5,    -280.0,         0.0061
  734925.5,    -320.0,         0.0000
  734925.5,    -360.0,         0.0000
  734925.5,    -400.0,         0.8458
  734925.5,    -440.0,         0.9981
  734925.5,    -480.0,         1.1189
  734925.5,    -520.0,         0.6381
  734925.5,    -560.0,         0.1623
  734925.5,    -600.0,         0.0196
  734925.5,    -640.0,         0.0000
  734925.5,    -680.0,         0.0079
  734925.5,    -720.0,         0.0222
  734925.5,    -760.0,         0.0000
  734925.4,       0.0,         0.5140
  734925.4,     -40.0,         0.7495
  734925.4,     -80.0,         0.8753
  734925.4,    -120.0,         0.0000
  734925.4,    -160.0,         0.2260
  734925.4,    -200.0,         0.0413
  734925.4,    -240.0,         0.0148
  734925.4,    -280.0,         0.0000
  734925.4,    -320.0,         0.0000
  734925.4,    -360.0,         0.0000
  734925.4,    -400.0,         0.8359
  734925.4,    -440.0,         0.9683
  734925.4,    -480.0,         1.0561
  734925.4,    -520.0,         0.5943
  734925.4,    -560.0,         0.1620
  734925.4,    -600.0,         0.0258
  734925.4,    -640.0,         0.0045
  734925.4,    -680.0,         0.0103
  734925.4,    -720.0,         0.0227
  734925.4,    -760.0,         0.0000
  734925.2,       0.0,         0.5057
  734925.2,     -40.0,         0.7401
  734925.2,     -80.0,         0.8818
  734925.2,    -120.0,         0.0000
  734925.2,    -160.0,         0.2467
  734925.2,    -200.0,         0.0466
  734925.2,    -240.0,         0.0149
  734925.2,    -280.0,         0.0000
  734925.2,    -320.0,         0.0000
  734925.2,    -360.0,         0.0000
  734925.2,    -400.0,         0.8189
  734925.2,    -440.0,         0.9326
  734925.2,    -480.0,         0.9782
  734925.2,    -520.0,         0.5313
  734925.2,    -560.0,         0.1541
  734925.2,    -600.0,         0.0290
  734925.2,    -640.0,         0.0070
  734925.2,    -680.0,         0.0116
  734925.2,    -720.0,         0.0215
  734925.2,    -760.0,         0.0000
  734925.1,       0.0,         0.4875
  734925.1,     -40.0,         0.7103
  734925.1,     -80.0,         0.8553
  734925.1,    -120.0,         0.0000
  734925.1,    -160.0,         0.2587
  734925.1,    -200.0,         0.0526
  734925.1,    -240.0,         0.0163
  734925.1,    -280.0,         0.0000
  734925.1,    -320.0,        -0.0217
  734925.1,    -360.0,         0.0000
  734925.1,    -400.0,         0.8019
  734925.1,    -440.0,         0.9060
  734925.1,    -480.0,         0.9214
  734925.1,    -520.0,         0.4781
  734925.1,    -560.0,         0.1435
  734925.1,    -600.0,         0.0303
  734925.1,    -640.0,         0.0073
