Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11250,25.0,561.4,734932.88,7173378.50,11.63,1.07,85.95,1.93
11250,25.0,551.4,734932.88,7173378.50,12.46,1.10,80.24,1.90
11250,25.0,541.4,734932.88,7173378.50,15.14,1.18,66.05,1.82
11250,25.0,531.4,734932.88,7173378.50,20.45,1.31,48.90,1.69
11250,25.0,521.4,734932.88,7173378.50,29.18,1.47,34.27,1.53
11250,25.0,508.9,734932.88,7173378.50,51.59,1.71,19.38,1.29
11250,25.0,491.4,734932.88,7173378.50,101.10,2.00,9.89,1.00
11250,25.0,470.8,734932.88,7173378.50,176.63,2.25,5.66,0.75
11250,25.0,449.0,734932.88,7173378.50,276.17,2.44,3.62,0.56
11250,25.0,425.8,734932.88,7173378.50,391.13,2.59,2.56,0.41
11250,25.0,401.3,734932.88,7173378.50,510.28,2.71,1.96,0.29
11250,25.0,375.3,734932.88,7173378.50,623.32,2.79,1.60,0.21
11250,25.0,347.7,734932.88,7173378.50,723.21,2.86,1.38,0.14
11250,25.0,318.5,734932.88,7173378.50,806.41,2.91,1.24,0.09
11250,25.0,287.5,734932.88,7173378.50,872.53,2.94,1.15,0.06
11250,25.0,254.7,734932.88,7173378.50,923.01,2.97,1.08,0.03
11250,25.0,219.9,734932.88,7173378.50,960.18,2.98,1.04,0.02
11250,25.0,182.9,734932.88,7173378.50,986.54,2.99,1.01,0.01
11250,25.0,143.7,734932.88,7173378.50,1004.25,3.00,1.00,-0.00
11250,25.0,102.1,734932.88,7173378.50,1015.27,3.01,0.98,-0.01
11250,25.0,58.0,734932.88,7173378.50,1021.38,3.01,0.98,-0.01
11250,25.0,11.3,734932.88,7173378.50,1023.99,3.01,0.98,-0.01
11250,75.0,561.0,734932.75,7173328.50,55.27,1.74,18.09,1.26
11250,75.0,551.0,734932.75,7173328.50,54.70,1.74,18.28,1.26
11250,75.0,541.0,734932.75,7173328.50,56.59,1.75,17.67,1.25
11250,75.0,531.0,734932.75,7173328.50,62.44,1.80,16.01,1.20
11250,75.0,521.0,734932.75,7173328.50,72.95,1.86,13.71,1.14
11250,75.0,508.5,734932.75,7173328.50,98.68,1.99,10.13,1.01
11250,75.0,491.0,734932.75,7173328.50,151.22,2.18,6.61,0.82
11250,75.0,470.4,734932.75,7173328.50,226.92,2.36,4.41,0.64
11250,75.0,448.5,734932.75,7173328.50,323.68,2.51,3.09,0.49
11250,75.0,425.4,734932.75,7173328.50,433.79,2.64,2.31,0.36
11250,75.0,400.8,734932.75,7173328.50,547.06,2.74,1.83,0.26
11250,75.0,374.8,734932.75,7173328.50,654.10,2.82,1.53,0.18
11250,75.0,347.3,734932.75,7173328.50,748.29,2.87,1.34,0.13
11250,75.0,318.1,734932.75,7173328.50,826.51,2.92,1.21,0.08
11250,75.0,287.1,734932.75,7173328.50,888.43,2.95,1.13,0.05
11250,75.0,254.2,734932.75,7173328.50,935.52,2.97,1.07,0.03
11250,75.0,219.4,734932.75,7173328.50,970.03,2.99,1.03,0.01
11250,75.0,182.5,734932.75,7173328.50,994.24,3.00,1.01,0.00
11250,75.0,143.4,734932.75,7173328.50,1010.30,3.00,0.99,-0.00
11250,75.0,101.9,734932.75,7173328.50,1020.05,3.01,0.98,-0.01
11250,75.0,57.9,734932.75,7173328.50,1025.22,3.01,0.98,-0.01
11250,75.0,11.3,734932.75,7173328.50,1027.24,3.01,0.97,-0.01
11250,125.0,560.7,734932.75,7173278.50,74.81,1.87,13.37,1.13
