  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          51.447        0.000            201.2
          2          44.122        2.249            903.5
          3          36.399        9.336           1106.3
          4          29.608       19.386           1309.0
          5          23.349       32.138           1512.9
          6          19.512       42.046           1717.7
          7          17.343       49.331           1923.9
          8          15.997       55.674           2132.4
          9          14.988       62.044           2338.8
         10          14.057       69.056           2544.3
         11          13.115       77.101           2749.3
         12          12.172       86.189           2954.7
         13          11.266       95.973           3161.2
         14          10.437      106.089           3366.4
         15           9.722      116.410           3570.9
         16           9.126      126.856           3776.4
         17           8.623      137.637           3983.0
         18           8.177      149.108           4189.7
         19           7.756      161.578           4394.5
         20           7.369      174.808           4600.5
         21           7.022      188.532           4807.3
         22           6.720      202.950           5012.2
         23           6.479      217.284           5218.0
         24           6.310      231.910           5424.4
         25           6.218      246.235           5629.0
         26           6.167      257.772           5833.5
         27           6.147      267.301           6039.8
         28           6.126      277.481           6246.0
         29           6.095      288.857           6453.7
         30           6.068      297.543           6658.6
