LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11240,3912,729544.3,7169549.5,557.7,98.1,0.0,54793.45,168967.2,110205.6,80546.72,63161.26,49090.40,36352.97,24519.33,13905.19,5042.891,0.000000
1,11240,3916,729545.6,7169599.5,558.3,96.7,0.0,54789.40,165788.7,105568.2,77511.72,60853.11,47312.62,35005.19,23454.85,13221.34,4852.649,0.000000
1,11240,3920,729546.2,7169647.5,559.2,95.2,0.0,54785.38,172381.1,104136.7,68134.14,50628.76,39344.16,29298.75,19895.18,11473.06,4280.610,0.000000
1,11240,3924,729546.7,7169695.5,559.0,94.2,0.0,54781.92,174849.0,105925.1,60668.81,36371.96,25902.17,19504.62,13708.95,8186.254,3130.283,0.000000
1,11240,3928,729546.9,7169745.5,557.6,93.3,0.0,54779.28,179272.8,103840.5,54884.91,30198.62,19143.19,12741.11,7216.164,2977.138,717.6227,0.000000
1,11240,3932,729547.1,7169795.5,556.8,92.7,0.0,54776.05,185167.1,110520.1,66234.21,43732.09,29314.77,19279.44,12655.55,7205.172,2486.777,0.000000
1,11240,3936,729547.4,7169845.5,556.9,92.8,0.0,54773.45,191024.8,121116.8,85661.86,66226.18,51095.16,37558.84,25074.84,14129.10,5183.192,0.000000
1,11240,3940,729547.6,7169895.5,557.0,92.9,0.0,54775.57,191008.3,122527.9,88288.47,69215.09,54039.81,40325.73,27500.85,15522.58,5366.937,0.000000
1,11240,3944,729547.8,7169945.5,557.3,92.8,0.0,54786.38,186761.8,117929.7,83936.49,64463.80,49566.57,36439.13,24384.54,13460.37,4559.967,0.000000
1,11240,3948,729547.5,7169994.5,557.2,93.1,0.0,54795.38,191316.1,118741.2,78688.74,56856.49,42270.03,30619.00,20548.80,11370.61,3821.065,0.000000
1,11240,3952,729546.6,7170042.5,556.6,93.5,0.0,54807.55,199233.7,124881.4,79432.77,52716.91,35494.26,23620.66,15066.22,8246.008,2770.142,0.000000
