Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,0,52,734932.2,7172708.5,567.2,94.9,0.0,0.0,1671211.,519936.5,116383.3,18275.39,682.8629,-409.7676,-7.914179,52.40593,20.13895,0.000000,2196200.,968461.2,328421.7,95235.51,28967.15,9875.916,3213.591,803.9009,120.6472,0.000000
1,0,53,734932.2,7172758.5,564.7,94.9,0.0,0.0,1849645.,627842.2,152493.4,26689.02,1918.955,-354.0552,-28.67747,45.40636,19.87400,0.000000,2343504.,1060101.,356006.1,100467.3,29353.23,9775.759,3186.759,799.1098,120.9557,0.000000
1,0,54,734932.3,7172808.5,565.1,94.9,0.0,0.0,1848138.,677685.0,180721.0,35036.15,3230.540,-294.8791,-73.97146,28.28307,16.62510,0.000000,2434456.,1144588.,387825.8,107647.1,30000.82,9697.781,3161.233,797.0316,121.8311,0.000000
1,0,55,734932.4,7172858.5,565.0,94.9,0.0,0.0,1800716.,685339.2,198937.0,42266.63,4608.265,-169.7546,-89.28903,19.89659,15.92638,0.000000,2468626.,1213682.,423894.8,117489.3,31007.50,9602.637,3118.776,784.9331,119.5245,0.000000
1,0,56,734932.4,7172908.5,565.1,94.9,0.0,0.0,1776386.,676822.4,207239.6,46803.07,5699.086,-50.72071,-118.7265,6.760980,13.88222,0.000000,2448224.,1248010.,458191.3,129258.2,32542.80,9645.454,3110.925,785.5483,120.7922,0.000000
1,0,57,734932.5,7172958.5,565.1,94.9,0.0,0.0,1769884.,669181.6,207603.7,48015.77,6336.748,15.57137,-154.6497,-9.029770,11.50217,0.000000,2437072.,1271822.,490902.6,141621.8,34313.08,9724.312,3108.974,783.5295,120.8959,0.000000
1,0,58,734932.5,7173008.5,565.1,94.9,0.0,0.0,1768290.,660750.6,200843.2,46015.32,6545.912,23.11763,-227.8276,-35.79771,6.293527,0.000000,2438329.,1296644.,520263.9,152772.9,36113.09,9882.650,3118.786,786.3312,122.3779,0.000000
1,0,59,734932.6,7173058.5,565.1,94.9,0.0,0.0,1760334.,651839.4,190916.8,42508.74,6508.797,-87.66920,-335.2427,-77.27258,-2.180653,0.000000,2441344.,1315737.,541652.7,160474.5,37591.41,10006.53,3115.962,780.0299,121.0227,0.000000
1,0,60,734932.6,7173108.5,565.1,94.9,0.0,0.0,1762479.,656345.6,182542.7,40109.60,6680.075,-231.5957,-501.1889,-132.1429,-12.92983,0.000000,2430098.,1322331.,549730.2,162696.0,38410.59,10052.53,3075.942,761.9067,116.7885,0.000000
1,0,61,734932.7,7173158.5,565.1,94.9,0.0,0.0,1756586.,660938.1,179275.9,42223.59,7295.540,-600.8472,-760.3044,-220.8764,-30.36642,0.000000,2413378.,1312036.,532032.2,156942.9,38183.98,9865.813,2951.641,714.6519,105.6665,0.000000
