 East  ,  Channel ,   Error 	 
  740330.0,       0.0,         0.8827
  740330.0,     -40.0,         0.9683
  740330.0,     -80.0,         0.8811
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.7228
  740330.0,    -200.0,         0.3485
  740330.0,    -240.0,         0.1718
  740330.0,    -280.0,         0.1739
  740330.0,    -320.0,         0.1827
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.6675
  740330.0,    -440.0,         0.5600
  740330.0,    -480.0,         0.4439
  740330.0,    -520.0,         0.3363
  740330.0,    -560.0,         0.2374
  740330.0,    -600.0,         0.0600
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0248
  740330.0,    -720.0,         0.0991
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.8321
  740330.0,     -40.0,         0.8988
  740330.0,     -80.0,         0.8187
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.6920
  740330.0,    -200.0,         0.3491
  740330.0,    -240.0,         0.1906
  740330.0,    -280.0,         0.1958
  740330.0,    -320.0,         0.2074
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.6379
  740330.0,    -440.0,         0.4950
  740330.0,    -480.0,         0.3625
  740330.0,    -520.0,         0.2411
  740330.0,    -560.0,         0.1446
  740330.0,    -600.0,         0.0320
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1175
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.7292
  740330.0,     -40.0,         0.7875
  740330.0,     -80.0,         0.7123
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.6337
  740330.0,    -200.0,         0.3448
  740330.0,    -240.0,         0.2073
  740330.0,    -280.0,         0.2196
  740330.0,    -320.0,         0.2314
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.6355
  740330.0,    -440.0,         0.4759
  740330.0,    -480.0,         0.3312
  740330.0,    -520.0,         0.2021
  740330.0,    -560.0,         0.1066
  740330.0,    -600.0,         0.0255
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1223
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.5882
  740330.0,     -40.0,         0.6261
  740330.0,     -80.0,         0.5656
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.5590
  740330.0,    -200.0,         0.3360
  740330.0,    -240.0,         0.2201
  740330.0,    -280.0,         0.2384
  740330.0,    -320.0,         0.2479
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.6735
  740330.0,    -440.0,         0.5300
  740330.0,    -480.0,         0.3827
  740330.0,    -520.0,         0.2525
  740330.0,    -560.0,         0.1505
  740330.0,    -600.0,         0.0443
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1172
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.4600
  740330.0,     -40.0,         0.4662
  740330.0,     -80.0,         0.4263
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.4857
  740330.0,    -200.0,         0.3225
  740330.0,    -240.0,         0.2285
  740330.0,    -280.0,         0.2476
  740330.0,    -320.0,         0.2580
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.7795
  740330.0,    -440.0,         0.6897
  740330.0,    -480.0,         0.5428
  740330.0,    -520.0,         0.4050
  740330.0,    -560.0,         0.2819
  740330.0,    -600.0,         0.0981
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1099
  740330.0,    -760.0,         0.0000
  740330.1,       0.0,         0.4175
  740330.1,     -40.0,         0.4126
  740330.1,     -80.0,         0.3768
  740330.1,    -120.0,         0.0000
  740330.1,    -160.0,         0.4473
  740330.1,    -200.0,         0.3107
  740330.1,    -240.0,         0.2340
  740330.1,    -280.0,         0.2468
  740330.1,    -320.0,         0.2709
  740330.1,    -360.0,         0.0000
  740330.1,    -400.0,         0.9338
  740330.1,    -440.0,         0.9224
  740330.1,    -480.0,         0.7755
  740330.1,    -520.0,         0.6267
  740330.1,    -560.0,         0.4799
  740330.1,    -600.0,         0.1774
  740330.1,    -640.0,         0.0319
  740330.1,    -680.0,         0.0262
  740330.1,    -720.0,         0.1033
  740330.1,    -760.0,         0.0000
  740330.2,       0.0,         0.4889
  740330.2,     -40.0,         0.4881
  740330.2,     -80.0,         0.4343
  740330.2,    -120.0,         0.0000
  740330.2,    -160.0,         0.4723
  740330.2,    -200.0,         0.3162
  740330.2,    -240.0,         0.2395
  740330.2,    -280.0,         0.2368
  740330.2,    -320.0,         0.2837
  740330.2,    -360.0,         0.0000
  740330.2,    -400.0,         1.0640
  740330.2,    -440.0,         1.1004
  740330.2,    -480.0,         0.9556
  740330.2,    -520.0,         0.8120
  740330.2,    -560.0,         0.6554
  740330.2,    -600.0,         0.2462
  740330.2,    -640.0,         0.0598
  740330.2,    -680.0,         0.0409
  740330.2,    -720.0,         0.0966
  740330.2,    -760.0,         0.0000
  740330.4,       0.0,         0.6021
  740330.4,     -40.0,         0.6051
  740330.4,     -80.0,         0.5314
  740330.4,    -120.0,         0.0000
  740330.4,    -160.0,         0.5453
  740330.4,    -200.0,         0.3477
  740330.4,    -240.0,         0.2482
  740330.4,    -280.0,         0.2259
  740330.4,    -320.0,         0.2894
  740330.4,    -360.0,         0.0000
  740330.4,    -400.0,         1.1338
  740330.4,    -440.0,         1.1564
  740330.4,    -480.0,         1.0118
  740330.4,    -520.0,         0.8855
  740330.4,    -560.0,         0.7401
  740330.4,    -600.0,         0.2861
  740330.4,    -640.0,         0.0834
  740330.4,    -680.0,         0.0545
  740330.4,    -720.0,         0.0924
  740330.4,    -760.0,         0.0000
  740330.6,       0.0,         0.6966
  740330.6,     -40.0,         0.6983
  740330.6,     -80.0,         0.6195
  740330.6,    -120.0,         0.0000
  740330.6,    -160.0,         0.6273
  740330.6,    -200.0,         0.3919
  740330.6,    -240.0,         0.2621
  740330.6,    -280.0,         0.2267
  740330.6,    -320.0,         0.2903
  740330.6,    -360.0,         0.0000
  740330.6,    -400.0,         1.1654
  740330.6,    -440.0,         1.1568
  740330.6,    -480.0,         1.0067
  740330.6,    -520.0,         0.8904
  740330.6,    -560.0,         0.7640
  740330.6,    -600.0,         0.3092
  740330.6,    -640.0,         0.1044
  740330.6,    -680.0,         0.0679
  740330.6,    -720.0,         0.0938
  740330.6,    -760.0,         0.0000
  740330.8,       0.0,         0.7595
  740330.8,     -40.0,         0.7710
  740330.8,     -80.0,         0.6956
  740330.8,    -120.0,         0.0000
  740330.8,    -160.0,         0.6903
  740330.8,    -200.0,         0.4338
  740330.8,    -240.0,         0.2799
  740330.8,    -280.0,         0.2406
  740330.8,    -320.0,         0.2905
  740330.8,    -360.0,         0.0000
  740330.8,    -400.0,         1.1829
  740330.8,    -440.0,         1.1618
  740330.8,    -480.0,         1.0027
  740330.8,    -520.0,         0.8883
  740330.8,    -560.0,         0.7751
  740330.8,    -600.0,         0.3311
  740330.8,    -640.0,         0.1308
  740330.8,    -680.0,         0.0873
  740330.8,    -720.0,         0.1046
  740330.8,    -760.0,         0.0000
  740330.8,       0.0,         0.7965
  740330.8,     -40.0,         0.8356
  740330.8,     -80.0,         0.7614
  740330.8,    -120.0,         0.0000
  740330.8,    -160.0,         0.7293
  740330.8,    -200.0,         0.4696
  740330.8,    -240.0,         0.2963
  740330.8,    -280.0,         0.2587
  740330.8,    -320.0,         0.2903
  740330.8,    -360.0,         0.0000
  740330.8,    -400.0,         1.1904
  740330.8,    -440.0,         1.1687
  740330.8,    -480.0,         1.0038
  740330.8,    -520.0,         0.8922
  740330.8,    -560.0,         0.7906
  740330.8,    -600.0,         0.3604
  740330.8,    -640.0,         0.1708
  740330.8,    -680.0,         0.1150
  740330.8,    -720.0,         0.1292
  740330.8,    -760.0,         0.0000
  740330.8,       0.0,         0.8235
  740330.8,     -40.0,         0.8814
  740330.8,     -80.0,         0.8079
  740330.8,    -120.0,         0.0000
  740330.8,    -160.0,         0.7562
  740330.8,    -200.0,         0.4986
  740330.8,    -240.0,         0.3071
  740330.8,    -280.0,         0.2730
  740330.8,    -320.0,         0.2878
  740330.8,    -360.0,         0.0000
  740330.8,    -400.0,         1.1686
  740330.8,    -440.0,         1.1358
  740330.8,    -480.0,         0.9783
  740330.8,    -520.0,         0.8831
  740330.8,    -560.0,         0.8095
  740330.8,    -600.0,         0.4047
  740330.8,    -640.0,         0.2264
  740330.8,    -680.0,         0.1520
  740330.8,    -720.0,         0.1686
  740330.8,    -760.0,         0.0000
  740330.5,       0.0,         0.8388
  740330.5,     -40.0,         0.8905
  740330.5,     -80.0,         0.8241
  740330.5,    -120.0,         0.0000
  740330.5,    -160.0,         0.7774
  740330.5,    -200.0,         0.5198
  740330.5,    -240.0,         0.3126
  740330.5,    -280.0,         0.2761
  740330.5,    -320.0,         0.2778
  740330.5,    -360.0,         0.0000
  740330.5,    -400.0,         1.0979
  740330.5,    -440.0,         1.0287
  740330.5,    -480.0,         0.8860
  740330.5,    -520.0,         0.8258
  740330.5,    -560.0,         0.8211
  740330.5,    -600.0,         0.4602
  740330.5,    -640.0,         0.2904
  740330.5,    -680.0,         0.1992
  740330.5,    -720.0,         0.2133
  740330.5,    -760.0,         0.0000
  740330.1,       0.0,         0.8359
  740330.1,     -40.0,         0.8656
  740330.1,     -80.0,         0.8074
  740330.1,    -120.0,         0.0000
  740330.1,    -160.0,         0.7935
  740330.1,    -200.0,         0.5336
  740330.1,    -240.0,         0.3161
  740330.1,    -280.0,         0.2636
  740330.1,    -320.0,         0.2591
  740330.1,    -360.0,         0.0000
  740330.1,    -400.0,         0.9927
  740330.1,    -440.0,         0.8738
  740330.1,    -480.0,         0.7410
  740330.1,    -520.0,         0.7191
  740330.1,    -560.0,         0.8133
  740330.1,    -600.0,         0.5157
  740330.1,    -640.0,         0.3602
  740330.1,    -680.0,         0.2552
  740330.1,    -720.0,         0.2574
  740330.1,    -760.0,         0.0000
  740329.6,       0.0,         0.8259
  740329.6,     -40.0,         0.8202
  740329.6,     -80.0,         0.7594
  740329.6,    -120.0,         0.0000
  740329.6,    -160.0,         0.8062
  740329.6,    -200.0,         0.5470
  740329.6,    -240.0,         0.3228
  740329.6,    -280.0,         0.2466
  740329.6,    -320.0,         0.2418
  740329.6,    -360.0,         0.0000
  740329.6,    -400.0,         0.8789
  740329.6,    -440.0,         0.7172
  740329.6,    -480.0,         0.5957
  740329.6,    -520.0,         0.6046
  740329.6,    -560.0,         0.7879
  740329.6,    -600.0,         0.5677
  740329.6,    -640.0,         0.4385
  740329.6,    -680.0,         0.3212
  740329.6,    -720.0,         0.3030
  740329.6,    -760.0,         0.0000
  740329.1,       0.0,         0.8117
  740329.1,     -40.0,         0.7632
  740329.1,     -80.0,         0.6921
  740329.1,    -120.0,         0.0000
  740329.1,    -160.0,         0.8194
  740329.1,    -200.0,         0.5753
  740329.1,    -240.0,         0.3473
  740329.1,    -280.0,         0.2496
  740329.1,    -320.0,         0.2543
  740329.1,    -360.0,         0.0000
  740329.1,    -400.0,         0.7643
  740329.1,    -440.0,         0.5737
  740329.1,    -480.0,         0.4681
  740329.1,    -520.0,         0.5030
  740329.1,    -560.0,         0.7494
  740329.1,    -600.0,         0.6158
  740329.1,    -640.0,         0.5251
  740329.1,    -680.0,         0.3975
  740329.1,    -720.0,         0.3604
  740329.1,    -760.0,         0.0000
  740328.5,       0.0,         0.7811
  740328.5,     -40.0,         0.6990
  740328.5,     -80.0,         0.6221
  740328.5,    -120.0,         0.0000
  740328.5,    -160.0,         0.8310
  740328.5,    -200.0,         0.6306
  740328.5,    -240.0,         0.4020
  740328.5,    -280.0,         0.2777
  740328.5,    -320.0,         0.2704
  740328.5,    -360.0,         0.0000
  740328.5,    -400.0,         0.6501
  740328.5,    -440.0,         0.4495
  740328.5,    -480.0,         0.3606
  740328.5,    -520.0,         0.4134
  740328.5,    -560.0,         0.6850
  740328.5,    -600.0,         0.6268
  740328.5,    -640.0,         0.5669
  740328.5,    -680.0,         0.4111
  740328.5,    -720.0,         0.3201
  740328.5,    -760.0,         0.0000
  740328.0,       0.0,         0.7249
  740328.0,     -40.0,         0.6310
  740328.0,     -80.0,         0.5616
  740328.0,    -120.0,         0.0000
  740328.0,    -160.0,         0.8413
  740328.0,    -200.0,         0.7205
  740328.0,    -240.0,         0.5001
  740328.0,    -280.0,         0.3505
  740328.0,    -320.0,         0.3197
  740328.0,    -360.0,         0.0000
  740328.0,    -400.0,         0.5443
  740328.0,    -440.0,         0.3520
  740328.0,    -480.0,         0.2785
  740328.0,    -520.0,         0.3361
  740328.0,    -560.0,         0.5964
  740328.0,    -600.0,         0.5808
  740328.0,    -640.0,         0.5353
  740328.0,    -680.0,         0.3545
  740328.0,    -720.0,         0.1797
  740328.0,    -760.0,         0.0000
  740327.6,       0.0,         0.6471
  740327.6,     -40.0,         0.5614
  740327.6,     -80.0,         0.5104
  740327.6,    -120.0,         0.0000
  740327.6,    -160.0,         0.8491
  740327.6,    -200.0,         0.8045
  740327.6,    -240.0,         0.5989
  740327.6,    -280.0,         0.4420
  740327.6,    -320.0,         0.3990
  740327.6,    -360.0,         0.0000
  740327.6,    -400.0,         0.4619
  740327.6,    -440.0,         0.2825
  740327.6,    -480.0,         0.2201
  740327.6,    -520.0,         0.2722
  740327.6,    -560.0,         0.4982
  740327.6,    -600.0,         0.4921
  740327.6,    -640.0,         0.4521
  740327.6,    -680.0,         0.2877
  740327.6,    -720.0,         0.0429
  740327.6,    -760.0,         0.0000
  740327.2,       0.0,         0.5626
  740327.2,     -40.0,         0.4919
  740327.2,     -80.0,         0.4625
  740327.2,    -120.0,         0.0000
