 East  ,  RL  ,  Delpar	 
      25.0,     581.9,      0.33
      25.0,     571.9,      0.33
      25.0,     561.9,      0.32
      25.0,     551.9,      0.31
      25.0,     541.9,      0.30
      25.0,     529.4,      0.29
      25.0,     511.9,      0.26
      25.0,     491.3,      0.23
      25.0,     469.4,      0.20
      25.0,     446.3,      0.16
      25.0,     421.7,      0.13
      25.0,     395.7,      0.10
      25.0,     368.2,      0.08
      25.0,     338.9,      0.06
      25.0,     308.0,      0.04
      25.0,     275.1,      0.03
      25.0,     240.3,      0.02
      25.0,     203.2,      0.01
      25.0,     163.5,      0.01
      25.0,     121.5,      0.01
      25.0,      77.0,      0.01
      25.0,      29.8,      0.00
      75.0,     583.6,      0.36
      75.0,     573.6,      0.35
      75.0,     563.6,      0.35
      75.0,     553.6,      0.34
      75.0,     543.6,      0.33
      75.0,     531.1,      0.31
      75.0,     513.6,      0.28
      75.0,     493.0,      0.24
      75.0,     471.2,      0.21
      75.0,     448.0,      0.17
      75.0,     423.5,      0.14
      75.0,     397.5,      0.11
      75.0,     369.9,      0.08
      75.0,     340.7,      0.06
      75.0,     309.7,      0.04
      75.0,     276.9,      0.03
      75.0,     242.1,      0.02
      75.0,     204.7,      0.01
      75.0,     164.7,      0.01
      75.0,     122.3,      0.01
      75.0,      77.5,      0.01
      75.0,      30.0,      0.00
     125.0,     585.3,      0.39
     125.0,     575.3,      0.39
     125.0,     565.3,      0.38
     125.0,     555.3,      0.37
     125.0,     545.3,      0.36
     125.0,     532.8,      0.34
     125.0,     515.3,      0.30
     125.0,     494.7,      0.27
     125.0,     472.9,      0.23
     125.0,     449.7,      0.19
     125.0,     425.2,      0.15
     125.0,     399.2,      0.12
     125.0,     371.6,      0.09
     125.0,     342.4,      0.06
     125.0,     311.4,      0.05
     125.0,     278.6,      0.03
     125.0,     243.8,      0.02
     125.0,     206.3,      0.02
     125.0,     165.9,      0.01
     125.0,     123.2,      0.01
     125.0,      78.0,      0.01
     125.0,      30.2,      0.00
     175.0,     587.0,      0.43
     175.0,     577.0,      0.42
     175.0,     567.0,      0.42
     175.0,     557.0,      0.41
     175.0,     547.0,      0.39
     175.0,     534.5,      0.37
     175.0,     517.0,      0.33
     175.0,     496.4,      0.29
     175.0,     474.6,      0.25
     175.0,     451.4,      0.20
     175.0,     426.9,      0.16
     175.0,     400.9,      0.13
     175.0,     373.3,      0.09
     175.0,     344.1,      0.07
     175.0,     313.1,      0.05
     175.0,     280.3,      0.03
     175.0,     245.5,      0.02
     175.0,     207.8,      0.02
     175.0,     167.1,      0.01
     175.0,     124.0,      0.01
     175.0,      78.5,      0.01
     175.0,      30.3,      0.00
     225.0,     588.6,      0.48
     225.0,     578.6,      0.48
     225.0,     568.6,      0.47
     225.0,     558.6,      0.46
     225.0,     548.6,      0.44
     225.0,     536.1,      0.42
     225.0,     518.6,      0.38
     225.0,     498.0,      0.33
     225.0,     476.2,      0.28
     225.0,     453.0,      0.23
     225.0,     428.5,      0.18
     225.0,     402.5,      0.14
     225.0,     374.9,      0.10
     225.0,     345.7,      0.08
     225.0,     314.7,      0.05
     225.0,     281.9,      0.04
     225.0,     247.1,      0.03
     225.0,     209.2,      0.02
     225.0,     168.2,      0.01
     225.0,     124.8,      0.01
     225.0,      79.0,      0.01
     225.0,      30.5,      0.01
     275.0,     589.5,      0.57
     275.0,     579.5,      0.56
     275.0,     569.5,      0.55
     275.0,     559.5,      0.54
     275.0,     549.5,      0.52
     275.0,     537.0,      0.49
     275.0,     519.5,      0.43
     275.0,     498.9,      0.38
     275.0,     477.1,      0.31
     275.0,     453.9,      0.25
     275.0,     429.4,      0.20
     275.0,     403.4,      0.15
     275.0,     375.8,      0.11
     275.0,     346.6,      0.08
     275.0,     315.6,      0.06
     275.0,     282.8,      0.04
     275.0,     248.0,      0.03
     275.0,     210.1,      0.02
     275.0,     168.9,      0.01
     275.0,     125.3,      0.01
     275.0,      79.3,      0.01
     275.0,      30.6,      0.01
     325.0,     589.1,      0.68
     325.0,     579.1,      0.68
     325.0,     569.1,      0.66
     325.0,     559.1,      0.64
     325.0,     549.1,      0.62
     325.0,     536.6,      0.57
     325.0,     519.1,      0.51
     325.0,     498.5,      0.43
     325.0,     476.7,      0.36
     325.0,     453.5,      0.29
     325.0,     429.0,      0.22
     325.0,     403.0,      0.17
     325.0,     375.4,      0.12
     325.0,     346.2,      0.09
     325.0,     315.2,      0.06
     325.0,     282.4,      0.04
     325.0,     247.6,      0.03
     325.0,     209.7,      0.02
     325.0,     168.6,      0.01
     325.0,     125.1,      0.01
     325.0,      79.1,      0.01
     325.0,      30.5,      0.01
     375.0,     587.8,      0.79
     375.0,     577.8,      0.78
     375.0,     567.8,      0.76
     375.0,     557.8,      0.73
     375.0,     547.8,      0.70
     375.0,     535.3,      0.65
     375.0,     517.8,      0.57
     375.0,     497.2,      0.48
     375.0,     475.3,      0.40
     375.0,     452.2,      0.31
     375.0,     427.7,      0.24
     375.0,     401.6,      0.18
     375.0,     374.1,      0.13
     375.0,     344.9,      0.10
     375.0,     313.9,      0.07
     375.0,     281.1,      0.05
     375.0,     246.3,      0.03
     375.0,     208.5,      0.02
     375.0,     167.6,      0.02
     375.0,     124.4,      0.01
     375.0,      78.7,      0.01
     375.0,      30.4,      0.01
     425.0,     586.6,      0.83
     425.0,     576.6,      0.82
     425.0,     566.6,      0.80
     425.0,     556.6,      0.78
     425.0,     546.6,      0.74
     425.0,     534.1,      0.69
     425.0,     516.6,      0.60
     425.0,     496.0,      0.51
     425.0,     474.2,      0.42
     425.0,     451.0,      0.34
     425.0,     426.5,      0.26
     425.0,     400.5,      0.20
     425.0,     372.9,      0.14
     425.0,     343.7,      0.10
     425.0,     312.7,      0.07
     425.0,     279.9,      0.05
     425.0,     245.1,      0.04
     425.0,     207.5,      0.02
     425.0,     166.8,      0.02
     425.0,     123.8,      0.01
     425.0,      78.4,      0.01
     425.0,      30.3,      0.01
     475.0,     586.3,      0.81
     475.0,     576.3,      0.80
     475.0,     566.3,      0.79
     475.0,     556.3,      0.76
     475.0,     546.3,      0.73
     475.0,     533.8,      0.68
     475.0,     516.3,      0.61
     475.0,     495.7,      0.52
     475.0,     473.8,      0.43
     475.0,     450.7,      0.35
     475.0,     426.2,      0.27
     475.0,     400.2,      0.21
     475.0,     372.6,      0.15
     475.0,     343.4,      0.11
     475.0,     312.4,      0.08
     475.0,     279.6,      0.06
     475.0,     244.8,      0.04
     475.0,     207.1,      0.03
     475.0,     166.6,      0.02
     475.0,     123.7,      0.01
     475.0,      78.3,      0.01
     475.0,      30.3,      0.01
     525.0,     586.3,      0.75
     525.0,     576.3,      0.74
     525.0,     566.3,      0.73
     525.0,     556.3,      0.71
     525.0,     546.3,      0.69
     525.0,     533.8,      0.65
     525.0,     516.3,      0.58
     525.0,     495.7,      0.51
     525.0,     473.9,      0.43
     525.0,     450.7,      0.35
     525.0,     426.2,      0.28
     525.0,     400.2,      0.22
     525.0,     372.6,      0.16
     525.0,     343.4,      0.12
     525.0,     312.4,      0.09
     525.0,     279.6,      0.06
     525.0,     244.8,      0.04
     525.0,     207.2,      0.03
     525.0,     166.6,      0.02
     525.0,     123.7,      0.01
     525.0,      78.3,      0.01
     525.0,      30.3,      0.01
     575.0,     586.1,      0.68
     575.0,     576.1,      0.67
     575.0,     566.1,      0.66
     575.0,     556.1,      0.65
     575.0,     546.1,      0.63
     575.0,     533.6,      0.60
     575.0,     516.1,      0.55
     575.0,     495.5,      0.49
     575.0,     473.7,      0.42
     575.0,     450.5,      0.35
     575.0,     426.0,      0.28
     575.0,     400.0,      0.22
     575.0,     372.4,      0.17
     575.0,     343.2,      0.12
     575.0,     312.2,      0.09
     575.0,     279.4,      0.06
     575.0,     244.6,      0.04
     575.0,     207.0,      0.03
     575.0,     166.5,      0.02
     575.0,     123.6,      0.02
     575.0,      78.2,      0.01
     575.0,      30.2,      0.01
     625.0,     585.4,      0.61
     625.0,     575.4,      0.61
     625.0,     565.4,      0.60
     625.0,     555.4,      0.59
     625.0,     545.4,      0.58
     625.0,     532.9,      0.56
     625.0,     515.4,      0.52
     625.0,     494.8,      0.46
     625.0,     473.0,      0.40
     625.0,     449.8,      0.34
     625.0,     425.3,      0.28
     625.0,     399.3,      0.22
     625.0,     371.7,      0.17
     625.0,     342.5,      0.13
     625.0,     311.5,      0.09
     625.0,     278.7,      0.07
     625.0,     243.9,      0.05
     625.0,     206.4,      0.03
     625.0,     166.0,      0.02
