Line,Location,RL,East,North,Resistivity_ohmm,Log_Resistivity,Conductivity_mS_m,Log_Conductivity
11260,25.0,581.9,740329.81,7171996.00,19.36,1.29,51.64,1.71
11260,25.0,571.9,740329.81,7171996.00,21.75,1.34,45.98,1.66
11260,25.0,561.9,740329.81,7171996.00,26.52,1.42,37.71,1.58
11260,25.0,551.9,740329.81,7171996.00,33.89,1.53,29.51,1.47
11260,25.0,541.9,740329.81,7171996.00,44.13,1.64,22.66,1.36
11260,25.0,529.4,740329.81,7171996.00,66.64,1.82,15.01,1.18
11260,25.0,511.9,740329.81,7171996.00,109.75,2.04,9.11,0.96
11260,25.0,491.3,740329.81,7171996.00,170.60,2.23,5.86,0.77
11260,25.0,469.4,740329.81,7171996.00,249.35,2.40,4.01,0.60
11260,25.0,446.3,740329.81,7171996.00,342.32,2.53,2.92,0.47
11260,25.0,421.7,740329.81,7171996.00,443.34,2.65,2.26,0.35
11260,25.0,395.7,740329.81,7171996.00,545.14,2.74,1.83,0.26
11260,25.0,368.2,740329.81,7171996.00,640.91,2.81,1.56,0.19
11260,25.0,338.9,740329.81,7171996.00,725.44,2.86,1.38,0.14
11260,25.0,308.0,740329.81,7171996.00,795.93,2.90,1.26,0.10
11260,25.0,275.1,740329.81,7171996.00,851.77,2.93,1.17,0.07
11260,25.0,240.3,740329.81,7171996.00,894.02,2.95,1.12,0.05
11260,25.0,203.2,740329.81,7171996.00,925.33,2.97,1.08,0.03
11260,25.0,163.5,740329.81,7171996.00,947.13,2.98,1.06,0.02
11260,25.0,121.5,740329.81,7171996.00,961.80,2.98,1.04,0.02
11260,25.0,77.0,740329.81,7171996.00,971.14,2.99,1.03,0.01
11260,25.0,29.8,740329.81,7171996.00,976.11,2.99,1.02,0.01
11260,75.0,583.6,740329.81,7172046.00,19.33,1.29,51.73,1.71
11260,75.0,573.6,740329.81,7172046.00,22.03,1.34,45.40,1.66
11260,75.0,563.6,740329.81,7172046.00,27.25,1.44,36.70,1.56
11260,75.0,553.6,740329.81,7172046.00,35.08,1.55,28.51,1.45
11260,75.0,543.6,740329.81,7172046.00,45.63,1.66,21.92,1.34
11260,75.0,531.1,740329.81,7172046.00,68.02,1.83,14.70,1.17
11260,75.0,513.6,740329.81,7172046.00,109.56,2.04,9.13,0.96
11260,75.0,493.0,740329.81,7172046.00,167.45,2.22,5.97,0.78
11260,75.0,471.2,740329.81,7172046.00,242.51,2.38,4.12,0.62
11260,75.0,448.0,740329.81,7172046.00,332.23,2.52,3.01,0.48
11260,75.0,423.5,740329.81,7172046.00,431.40,2.63,2.32,0.37
11260,75.0,397.5,740329.81,7172046.00,533.05,2.73,1.88,0.27
11260,75.0,369.9,740329.81,7172046.00,629.98,2.80,1.59,0.20
11260,75.0,340.7,740329.81,7172046.00,716.40,2.86,1.40,0.14
11260,75.0,309.7,740329.81,7172046.00,788.90,2.90,1.27,0.10
11260,75.0,276.9,740329.81,7172046.00,846.50,2.93,1.18,0.07
11260,75.0,242.1,740329.81,7172046.00,890.14,2.95,1.12,0.05
11260,75.0,204.7,740329.81,7172046.00,922.64,2.97,1.08,0.03
11260,75.0,164.7,740329.81,7172046.00,945.25,2.98,1.06,0.02
11260,75.0,122.3,740329.81,7172046.00,960.44,2.98,1.04,0.02
11260,75.0,77.5,740329.81,7172046.00,970.12,2.99,1.03,0.01
11260,75.0,30.0,740329.81,7172046.00,975.26,2.99,1.03,0.01
11260,125.0,585.3,740329.81,7172096.00,46.13,1.66,21.68,1.34
11260,125.0,575.3,740329.81,7172096.00,48.53,1.69,20.61,1.31
11260,125.0,565.3,740329.81,7172096.00,53.17,1.73,18.81,1.27
11260,125.0,555.3,740329.81,7172096.00,60.07,1.78,16.65,1.22
11260,125.0,545.3,740329.81,7172096.00,69.30,1.84,14.43,1.16
11260,125.0,532.8,740329.81,7172096.00,88.31,1.95,11.32,1.05
11260,125.0,515.3,740329.81,7172096.00,122.87,2.09,8.14,0.91
11260,125.0,494.7,740329.81,7172096.00,171.73,2.23,5.82,0.77
11260,125.0,472.9,740329.81,7172096.00,237.30,2.38,4.21,0.62
11260,125.0,449.7,740329.81,7172096.00,319.15,2.50,3.13,0.50
11260,125.0,425.2,740329.81,7172096.00,413.57,2.62,2.42,0.38
11260,125.0,399.2,740329.81,7172096.00,513.93,2.71,1.95,0.29
11260,125.0,371.6,740329.81,7172096.00,612.24,2.79,1.63,0.21
11260,125.0,342.4,740329.81,7172096.00,701.47,2.85,1.43,0.15
11260,125.0,311.4,740329.81,7172096.00,777.17,2.89,1.29,0.11
11260,125.0,278.6,740329.81,7172096.00,837.63,2.92,1.19,0.08
11260,125.0,243.8,740329.81,7172096.00,883.52,2.95,1.13,0.05
11260,125.0,206.3,740329.81,7172096.00,918.00,2.96,1.09,0.04
11260,125.0,165.9,740329.81,7172096.00,941.96,2.97,1.06,0.03
11260,125.0,123.2,740329.81,7172096.00,958.03,2.98,1.04,0.02
11260,125.0,78.0,740329.81,7172096.00,968.27,2.99,1.03,0.01
11260,125.0,30.2,740329.81,7172096.00,973.74,2.99,1.03,0.01
11260,175.0,587.0,740329.81,7172146.00,130.35,2.12,7.67,0.88
11260,175.0,577.0,740329.81,7172146.00,128.12,2.11,7.80,0.89
11260,175.0,567.0,740329.81,7172146.00,125.72,2.10,7.95,0.90
11260,175.0,557.0,740329.81,7172146.00,124.53,2.10,8.03,0.90
11260,175.0,547.0,740329.81,7172146.00,125.50,2.10,7.97,0.90
11260,175.0,534.5,740329.81,7172146.00,131.46,2.12,7.61,0.88
11260,175.0,517.0,740329.81,7172146.00,148.96,2.17,6.71,0.83
11260,175.0,496.4,740329.81,7172146.00,181.54,2.26,5.51,0.74
11260,175.0,474.6,740329.81,7172146.00,232.75,2.37,4.30,0.63
11260,175.0,451.4,740329.81,7172146.00,303.69,2.48,3.29,0.52
11260,175.0,426.9,740329.81,7172146.00,391.73,2.59,2.55,0.41
11260,175.0,400.9,740329.81,7172146.00,490.19,2.69,2.04,0.31
11260,175.0,373.3,740329.81,7172146.00,590.01,2.77,1.69,0.23
11260,175.0,344.1,740329.81,7172146.00,682.61,2.83,1.46,0.17
11260,175.0,313.1,740329.81,7172146.00,762.15,2.88,1.31,0.12
11260,175.0,280.3,740329.81,7172146.00,826.11,2.92,1.21,0.08
11260,175.0,245.5,740329.81,7172146.00,874.83,2.94,1.14,0.06
11260,175.0,207.8,740329.81,7172146.00,911.79,2.96,1.10,0.04
11260,175.0,167.1,740329.81,7172146.00,937.44,2.97,1.07,0.03
11260,175.0,124.0,740329.81,7172146.00,954.66,2.98,1.05,0.02
11260,175.0,78.5,740329.81,7172146.00,965.69,2.98,1.04,0.02
11260,175.0,30.3,740329.81,7172146.00,971.59,2.99,1.03,0.01
11260,225.0,588.6,740329.81,7172196.00,238.61,2.38,4.19,0.62
11260,225.0,578.6,740329.81,7172196.00,227.87,2.36,4.39,0.64
11260,225.0,568.6,740329.81,7172196.00,212.07,2.33,4.72,0.67
11260,225.0,558.6,740329.81,7172196.00,195.83,2.29,5.11,0.71
11260,225.0,548.6,740329.81,7172196.00,182.22,2.26,5.49,0.74
11260,225.0,536.1,740329.81,7172196.00,168.00,2.23,5.95,0.77
11260,225.0,518.6,740329.81,7172196.00,164.00,2.21,6.10,0.79
11260,225.0,498.0,740329.81,7172196.00,179.88,2.25,5.56,0.75
11260,225.0,476.2,740329.81,7172196.00,218.44,2.34,4.58,0.66
11260,225.0,453.0,740329.81,7172196.00,280.69,2.45,3.56,0.55
11260,225.0,428.5,740329.81,7172196.00,364.19,2.56,2.75,0.44
11260,225.0,402.5,740329.81,7172196.00,462.05,2.66,2.16,0.34
11260,225.0,374.9,740329.81,7172196.00,564.22,2.75,1.77,0.25
11260,225.0,345.7,740329.81,7172196.00,660.77,2.82,1.51,0.18
11260,225.0,314.7,740329.81,7172196.00,744.58,2.87,1.34,0.13
11260,225.0,281.9,740329.81,7172196.00,812.46,2.91,1.23,0.09
11260,225.0,247.1,740329.81,7172196.00,864.37,2.94,1.16,0.06
11260,225.0,209.2,740329.81,7172196.00,904.13,2.96,1.11,0.04
11260,225.0,168.2,740329.81,7172196.00,931.76,2.97,1.07,0.03
11260,225.0,124.8,740329.81,7172196.00,950.41,2.98,1.05,0.02
11260,225.0,79.0,740329.81,7172196.00,962.40,2.98,1.04,0.02
11260,225.0,30.5,740329.81,7172196.00,968.86,2.99,1.03,0.01
11260,275.0,589.5,740329.81,7172246.00,242.36,2.38,4.13,0.62
11260,275.0,579.5,740329.81,7172246.00,228.13,2.36,4.38,0.64
11260,275.0,569.5,740329.81,7172246.00,206.97,2.32,4.83,0.68
11260,275.0,559.5,740329.81,7172246.00,185.11,2.27,5.40,0.73
11260,275.0,549.5,740329.81,7172246.00,166.61,2.22,6.00,0.78
11260,275.0,537.0,740329.81,7172246.00,146.68,2.17,6.82,0.83
11260,275.0,519.5,740329.81,7172246.00,137.73,2.14,7.26,0.86
11260,275.0,498.9,740329.81,7172246.00,150.08,2.18,6.66,0.82
11260,275.0,477.1,740329.81,7172246.00,185.85,2.27,5.38,0.73
11260,275.0,453.9,740329.81,7172246.00,246.35,2.39,4.06,0.61
11260,275.0,429.4,740329.81,7172246.00,329.83,2.52,3.03,0.48
11260,275.0,403.4,740329.81,7172246.00,429.66,2.63,2.33,0.37
11260,275.0,375.8,740329.81,7172246.00,535.44,2.73,1.87,0.27
11260,275.0,346.6,740329.81,7172246.00,636.45,2.80,1.57,0.20
11260,275.0,315.6,740329.81,7172246.00,724.84,2.86,1.38,0.14
11260,275.0,282.8,740329.81,7172246.00,796.85,2.90,1.25,0.10
11260,275.0,248.0,740329.81,7172246.00,852.21,2.93,1.17,0.07
11260,275.0,210.1,740329.81,7172246.00,895.02,2.95,1.12,0.05
11260,275.0,168.9,740329.81,7172246.00,924.90,2.97,1.08,0.03
11260,275.0,125.3,740329.81,7172246.00,945.21,2.98,1.06,0.02
11260,275.0,79.3,740329.81,7172246.00,958.35,2.98,1.04,0.02
11260,275.0,30.6,740329.81,7172246.00,965.51,2.98,1.04,0.02
11260,325.0,589.1,740329.81,7172296.00,114.03,2.06,8.77,0.94
11260,325.0,579.1,740329.81,7172296.00,107.56,2.03,9.30,0.97
11260,325.0,569.1,740329.81,7172296.00,97.97,1.99,10.21,1.01
11260,325.0,559.1,740329.81,7172296.00,88.71,1.95,11.27,1.05
11260,325.0,549.1,740329.81,7172296.00,81.96,1.91,12.20,1.09
11260,325.0,536.6,740329.81,7172296.00,76.88,1.89,13.01,1.11
11260,325.0,519.1,740329.81,7172296.00,81.44,1.91,12.28,1.09
11260,325.0,498.5,740329.81,7172296.00,101.81,2.01,9.82,0.99
11260,325.0,476.7,740329.81,7172296.00,141.97,2.15,7.04,0.85
11260,325.0,453.5,740329.81,7172296.00,205.29,2.31,4.87,0.69
11260,325.0,429.0,740329.81,7172296.00,291.49,2.46,3.43,0.54
11260,325.0,403.0,740329.81,7172296.00,394.67,2.60,2.53,0.40
11260,325.0,375.4,740329.81,7172296.00,504.51,2.70,1.98,0.30
11260,325.0,346.2,740329.81,7172296.00,610.00,2.79,1.64,0.21
11260,325.0,315.2,740329.81,7172296.00,702.93,2.85,1.42,0.15
11260,325.0,282.4,740329.81,7172296.00,779.18,2.89,1.28,0.11
11260,325.0,247.6,740329.81,7172296.00,838.27,2.92,1.19,0.08
11260,325.0,209.7,740329.81,7172296.00,884.32,2.95,1.13,0.05
11260,325.0,168.6,740329.81,7172296.00,916.77,2.96,1.09,0.04
11260,325.0,125.1,740329.81,7172296.00,939.02,2.97,1.06,0.03
11260,325.0,79.1,740329.81,7172296.00,953.55,2.98,1.05,0.02
11260,325.0,30.5,740329.81,7172296.00,961.53,2.98,1.04,0.02
11260,375.0,587.8,740329.81,7172346.00,45.93,1.66,21.77,1.34
11260,375.0,577.8,740329.81,7172346.00,41.96,1.62,23.83,1.38
11260,375.0,567.8,740329.81,7172346.00,36.95,1.57,27.07,1.43
11260,375.0,557.8,740329.81,7172346.00,33.26,1.52,30.06,1.48
11260,375.0,547.8,740329.81,7172346.00,31.79,1.50,31.46,1.50
