 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3808 729518.31 7168278.0 559.9956629999729 100.99174264665717 0.0 54871.21 230269.0 173846.0 119383.0 71611.0 32708.0 10086.0 1970.0 323.0 187.0 0.0 268923.0 231025.0 185569.0 128696.0 71092.0 28064.0 7006.0 1051.0 93.0 0.0
 1 11240 3809 729518.25 7168290.5 559.9685689336998 101.07066969693064 0.0 54873.65 230651.0 174458.0 119988.0 71992.0 32718.0 9995.0 1901.0 270.0 155.0 0.0 268854.0 231185.0 186270.0 129640.0 71740.0 28250.0 7004.0 1034.0 85.0 0.0
 1 11240 3810 729518.19 7168302.5 559.9547330378135 101.13242024092693 0.0 54875.99 231069.0 175158.0 120661.0 72381.0 32715.0 9898.0 1834.0 221.0 122.0 0.0 268646.0 231341.0 186905.0 130522.0 72321.0 28397.0 6999.0 1018.0 76.0 0.0
 1 11240 3811 729518.13 7168314.5 559.951980793255 101.15675250983031 0.0 54877.88 231512.0 175931.0 121379.0 72754.0 32684.0 9790.0 1768.0 180.0 90.0 0.0 268319.0 231491.0 187494.0 131351.0 72839.0 28501.0 6991.0 1004.0 68.0 0.0
 1 11240 3812 729518.06 7168326.5 559.9596573982229 101.12916263150011 0.0 54878.89 231969.0 176748.0 122111.0 73076.0 32604.0 9664.0 1704.0 151.0 62.0 0.0 267916.0 231634.0 188053.0 132137.0 73300.0 28566.0 6978.0 990.0 61.0 0.0
 1 11240 3813 729518.0 7168338.5 559.9769730840007 101.05124713070173 0.0 54878.51 232430.0 177568.0 122827.0 73302.0 32449.0 9511.0 1642.0 134.0 41.0 0.0 267488.0 231772.0 188596.0 132880.0 73709.0 28594.0 6957.0 979.0 54.0 0.0
 1 11240 3814 729517.94 7168350.5 560.0034591508435 100.94359782080214 0.0 54876.39 232884.0 178339.0 123498.0 73393.0 32192.0 9325.0 1583.0 130.0 26.0 0.0 267090.0 231908.0 189121.0 133569.0 74059.0 28592.0 6926.0 969.0 48.0 0.0
 1 11240 3815 729517.88 7168362.5 560.0386256796493 100.83793750057242 0.0 54872.82 233322.0 179007.0 124097.0 73329.0 31820.0 9100.0 1526.0 137.0 20.0 0.0 266764.0 232044.0 189613.0 134172.0 74333.0 28559.0 6883.0 962.0 44.0 0.0
 1 11240 3816 729517.81 7168374.5 560.0821744729172 100.76243883350999 0.0 54868.18 233733.0 179526.0 124606.0 73111.0 31332.0 8839.0 1470.0 152.0 19.0 0.0 266536.0 232185.0 190047.0 134644.0 74503.0 28491.0 6830.0 956.0 41.0 0.0
 1 11240 3817 729517.75 7168386.5 560.1548413460162 100.72846529357477 0.0 54862.65 234103.0 179880.0 125011.0 72768.0 30742.0 8547.0 1414.0 172.0 24.0 0.0 266413.0 232334.0 190391.0 134940.0 74537.0 28379.0 6767.0 953.0 38.0 0.0
