 East  ,  Channel ,   Error 	 
  740330.0,       0.0,         0.2061
  740330.0,     -40.0,         0.4742
  740330.0,     -80.0,         0.5865
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.5631
  740330.0,    -200.0,         0.2668
  740330.0,    -240.0,         0.1395
  740330.0,    -280.0,         0.1625
  740330.0,    -320.0,         0.1779
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.1402
  740330.0,    -440.0,         0.1476
  740330.0,    -480.0,         0.1440
  740330.0,    -520.0,         0.1141
  740330.0,    -560.0,         0.0866
  740330.0,    -600.0,         0.0306
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0222
  740330.0,    -720.0,         0.0978
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.0772
  740330.0,     -40.0,         0.3079
  740330.0,     -80.0,         0.4366
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.4957
  740330.0,    -200.0,         0.2572
  740330.0,    -240.0,         0.1560
  740330.0,    -280.0,         0.1838
  740330.0,    -320.0,         0.2024
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.1799
  740330.0,    -440.0,         0.1244
  740330.0,    -480.0,         0.0758
  740330.0,    -520.0,         0.0198
  740330.0,    -560.0,        -0.0001
  740330.0,    -600.0,         0.0117
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1169
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.0863
  740330.0,     -40.0,         0.1137
  740330.0,     -80.0,         0.2461
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.3974
  740330.0,    -200.0,         0.2423
  740330.0,    -240.0,         0.1703
  740330.0,    -280.0,         0.2069
  740330.0,    -320.0,         0.2262
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.1894
  740330.0,    -440.0,         0.1130
  740330.0,    -480.0,         0.0455
  740330.0,    -520.0,        -0.0241
  740330.0,    -560.0,        -0.0364
  740330.0,    -600.0,         0.0120
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1222
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.2218
  740330.0,     -40.0,        -0.0829
  740330.0,     -80.0,         0.0422
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.2883
  740330.0,    -200.0,         0.2257
  740330.0,    -240.0,         0.1818
  740330.0,    -280.0,         0.2254
  740330.0,    -320.0,         0.2426
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2154
  740330.0,    -440.0,         0.1494
  740330.0,    -480.0,         0.0819
  740330.0,    -520.0,         0.0133
  740330.0,    -560.0,         0.0034
  740330.0,    -600.0,         0.0350
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1174
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.3035
  740330.0,     -40.0,        -0.2507
  740330.0,     -80.0,        -0.1372
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.1860
  740330.0,    -200.0,         0.2084
  740330.0,    -240.0,         0.1906
  740330.0,    -280.0,         0.2347
  740330.0,    -320.0,         0.2527
