LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,338,478994.9,6197155.5,36.2,30.6,0.0,0.00,33.69,59.00,201.86,468.90,734.83,312.28
31003,345,478995.6,6197180.5,35.7,31.6,0.0,0.00,36.67,61.86,209.60,485.85,759.85,326.25
31003,352,478996.3,6197205.0,35.4,32.4,0.0,0.00,37.14,61.87,209.48,483.83,768.03,334.40
31003,359,478996.8,6197230.0,35.3,33.2,0.0,0.00,38.85,61.96,209.01,480.57,765.33,333.57
31003,366,478997.1,6197254.5,35.6,33.3,0.0,0.00,33.90,57.40,194.82,455.39,737.03,314.54
31003,373,478997.1,6197278.5,36.1,33.3,0.0,0.00,29.14,53.97,185.42,440.56,720.52,302.61
31003,380,478996.9,6197302.0,36.5,32.8,0.0,0.00,23.70,48.11,170.27,418.03,694.05,282.11
31003,387,478996.5,6197325.5,36.9,32.4,0.0,0.00,21.20,45.12,161.89,407.63,683.77,261.29
31003,394,478996.0,6197348.5,37.0,32.5,0.0,0.00,20.66,44.10,158.94,405.07,678.25,255.41
31003,401,478995.5,6197371.5,36.7,33.1,0.0,0.00,22.85,46.49,165.01,414.40,686.74,263.92
31003,408,478995.1,6197395.0,36.4,34.0,0.0,0.00,28.43,52.02,182.74,435.58,709.56,288.54
31003,415,478995.0,6197418.5,36.0,33.1,0.0,0.00,23.83,46.00,160.24,387.95,661.83,251.67
31003,422,478995.4,6197442.5,35.5,32.9,0.0,0.00,25.46,47.81,163.64,384.49,660.67,243.87
31003,429,478995.9,6197466.5,34.9,33.2,0.0,0.00,26.56,49.27,162.80,368.11,651.52,245.05
31003,436,478996.4,6197491.0,34.2,33.6,0.0,0.00,27.31,50.01,157.57,346.25,644.23,230.69
31003,443,478996.9,6197516.0,33.6,33.7,0.0,0.00,26.13,48.54,147.73,320.48,631.28,215.86
31003,450,478997.2,6197540.5,33.0,33.8,0.0,0.00,25.40,48.46,138.94,303.91,624.92,207.85
31003,457,478997.3,6197565.0,32.4,33.8,0.0,0.00,29.15,50.97,137.80,306.67,641.28,192.37
31003,464,478997.4,6197589.5,31.7,33.8,0.0,0.00,30.52,51.87,135.92,308.54,655.79,196.03
31003,471,478997.4,6197613.5,31.3,33.5,0.0,0.00,30.27,50.51,132.15,304.32,659.57,199.61
31003,478,478997.4,6197637.5,30.8,33.0,0.0,0.00,27.52,49.40,130.05,305.13,671.85,192.00
31003,485,478997.2,6197661.5,30.2,33.0,0.0,0.00,28.86,50.90,131.74,314.10,692.92,192.09
31003,492,478997.0,6197685.5,29.4,32.8,0.0,0.00,29.61,52.25,130.01,318.51,711.51,194.60
31003,499,478996.8,6197709.5,28.6,32.7,0.0,0.00,32.46,54.23,131.74,332.77,750.99,202.10
31003,506,478996.7,6197734.0,27.7,33.0,0.0,0.00,34.50,53.02,132.17,349.85,787.59,206.00
31003,513,478996.7,6197758.5,27.0,33.1,0.0,0.00,32.36,46.51,126.86,356.78,812.37,205.77
