Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11250,25.0,561.4,734932.88,7173378.50,36.21,1.56,27.62,1.44
11250,25.0,551.4,734932.88,7173378.50,38.64,1.59,25.88,1.41
11250,25.0,541.4,734932.88,7173378.50,43.75,1.64,22.86,1.36
11250,25.0,531.4,734932.88,7173378.50,51.80,1.71,19.31,1.29
11250,25.0,521.4,734932.88,7173378.50,63.06,1.80,15.86,1.20
11250,25.0,508.9,734932.88,7173378.50,87.43,1.94,11.44,1.06
11250,25.0,491.4,734932.88,7173378.50,133.33,2.12,7.50,0.88
11250,25.0,470.8,734932.88,7173378.50,197.48,2.30,5.06,0.70
11250,25.0,449.0,734932.88,7173378.50,279.78,2.45,3.57,0.55
11250,25.0,425.8,734932.88,7173378.50,375.78,2.57,2.66,0.43
11250,25.0,401.3,734932.88,7173378.50,478.28,2.68,2.09,0.32
11250,25.0,375.3,734932.88,7173378.50,579.30,2.76,1.73,0.24
11250,25.0,347.7,734932.88,7173378.50,672.14,2.83,1.49,0.17
11250,25.0,318.5,734932.88,7173378.50,752.48,2.88,1.33,0.12
11250,25.0,287.5,734932.88,7173378.50,818.71,2.91,1.22,0.09
11250,25.0,254.7,734932.88,7173378.50,871.18,2.94,1.15,0.06
11250,25.0,219.9,734932.88,7173378.50,911.43,2.96,1.10,0.04
11250,25.0,182.9,734932.88,7173378.50,941.44,2.97,1.06,0.03
11250,25.0,143.7,734932.88,7173378.50,963.08,2.98,1.04,0.02
11250,25.0,102.1,734932.88,7173378.50,977.93,2.99,1.02,0.01
11250,25.0,58.0,734932.88,7173378.50,987.44,2.99,1.01,0.01
11250,25.0,11.3,734932.88,7173378.50,992.37,3.00,1.01,0.00
11250,75.0,561.0,734932.75,7173328.50,39.28,1.59,25.46,1.41
11250,75.0,551.0,734932.75,7173328.50,41.48,1.62,24.11,1.38
11250,75.0,541.0,734932.75,7173328.50,46.38,1.67,21.56,1.33
11250,75.0,531.0,734932.75,7173328.50,54.37,1.74,18.39,1.26
11250,75.0,521.0,734932.75,7173328.50,65.74,1.82,15.21,1.18
11250,75.0,508.5,734932.75,7173328.50,90.39,1.96,11.06,1.04
11250,75.0,491.0,734932.75,7173328.50,136.65,2.14,7.32,0.86
11250,75.0,470.4,734932.75,7173328.50,200.85,2.30,4.98,0.70
11250,75.0,448.5,734932.75,7173328.50,282.60,2.45,3.54,0.55
11250,75.0,425.4,734932.75,7173328.50,377.47,2.58,2.65,0.42
11250,75.0,400.8,734932.75,7173328.50,478.50,2.68,2.09,0.32
11250,75.0,374.8,734932.75,7173328.50,578.14,2.76,1.73,0.24
11250,75.0,347.3,734932.75,7173328.50,669.95,2.83,1.49,0.17
11250,75.0,318.1,734932.75,7173328.50,749.82,2.87,1.33,0.13
11250,75.0,287.1,734932.75,7173328.50,816.05,2.91,1.23,0.09
11250,75.0,254.2,734932.75,7173328.50,868.88,2.94,1.15,0.06
11250,75.0,219.4,734932.75,7173328.50,909.69,2.96,1.10,0.04
11250,75.0,182.5,734932.75,7173328.50,940.22,2.97,1.06,0.03
11250,75.0,143.4,734932.75,7173328.50,962.31,2.98,1.04,0.02
11250,75.0,101.9,734932.75,7173328.50,977.55,2.99,1.02,0.01
11250,75.0,57.9,734932.75,7173328.50,987.30,2.99,1.01,0.01
11250,75.0,11.3,734932.75,7173328.50,992.37,3.00,1.01,0.00
11250,125.0,560.7,734932.75,7173278.50,44.24,1.65,22.60,1.35
11250,125.0,550.7,734932.75,7173278.50,47.52,1.68,21.04,1.32
11250,125.0,540.7,734932.75,7173278.50,53.93,1.73,18.54,1.27
11250,125.0,530.7,734932.75,7173278.50,63.52,1.80,15.74,1.20
11250,125.0,520.7,734932.75,7173278.50,76.38,1.88,13.09,1.12
11250,125.0,508.2,734932.75,7173278.50,103.02,2.01,9.71,0.99
11250,125.0,490.7,734932.75,7173278.50,150.73,2.18,6.63,0.82
11250,125.0,470.1,734932.75,7173278.50,214.77,2.33,4.66,0.67
11250,125.0,448.3,734932.75,7173278.50,294.65,2.47,3.39,0.53
11250,125.0,425.2,734932.75,7173278.50,386.29,2.59,2.59,0.41
11250,125.0,400.6,734932.75,7173278.50,483.53,2.68,2.07,0.32
11250,125.0,374.6,734932.75,7173278.50,579.58,2.76,1.73,0.24
11250,125.0,347.0,734932.75,7173278.50,668.67,2.83,1.50,0.17
11250,125.0,317.8,734932.75,7173278.50,746.94,2.87,1.34,0.13
11250,125.0,286.9,734932.75,7173278.50,812.62,2.91,1.23,0.09
11250,125.0,254.0,734932.75,7173278.50,865.67,2.94,1.16,0.06
11250,125.0,219.2,734932.75,7173278.50,907.10,2.96,1.10,0.04
11250,125.0,182.3,734932.75,7173278.50,938.41,2.97,1.07,0.03
11250,125.0,143.2,734932.75,7173278.50,961.19,2.98,1.04,0.02
11250,125.0,101.8,734932.75,7173278.50,976.99,2.99,1.02,0.01
11250,125.0,57.8,734932.75,7173278.50,987.13,2.99,1.01,0.01
11250,125.0,11.2,734932.75,7173278.50,992.42,3.00,1.01,0.00
11250,175.0,561.0,734932.62,7173228.50,35.57,1.55,28.11,1.45
11250,175.0,551.0,734932.62,7173228.50,41.99,1.62,23.82,1.38
11250,175.0,541.0,734932.62,7173228.50,53.30,1.73,18.76,1.27
11250,175.0,531.0,734932.62,7173228.50,68.41,1.84,14.62,1.16
11250,175.0,521.0,734932.62,7173228.50,86.39,1.94,11.57,1.06
11250,175.0,508.5,734932.62,7173228.50,119.78,2.08,8.35,0.92
11250,175.0,491.0,734932.62,7173228.50,172.92,2.24,5.78,0.76
11250,175.0,470.4,734932.62,7173228.50,238.34,2.38,4.20,0.62
11250,175.0,448.6,734932.62,7173228.50,316.06,2.50,3.16,0.50
11250,175.0,425.4,734932.62,7173228.50,403.03,2.61,2.48,0.39
11250,175.0,400.9,734932.62,7173228.50,494.48,2.69,2.02,0.31
11250,175.0,374.9,734932.62,7173228.50,584.90,2.77,1.71,0.23
11250,175.0,347.3,734932.62,7173228.50,669.53,2.83,1.49,0.17
11250,175.0,318.1,734932.62,7173228.50,744.94,2.87,1.34,0.13
11250,175.0,287.1,734932.62,7173228.50,809.30,2.91,1.24,0.09
11250,175.0,254.3,734932.62,7173228.50,862.23,2.94,1.16,0.06
11250,175.0,219.5,734932.62,7173228.50,904.20,2.96,1.11,0.04
11250,175.0,182.6,734932.62,7173228.50,936.37,2.97,1.07,0.03
11250,175.0,143.4,734932.62,7173228.50,959.95,2.98,1.04,0.02
11250,175.0,101.9,734932.62,7173228.50,976.40,2.99,1.02,0.01
11250,175.0,57.9,734932.62,7173228.50,986.98,2.99,1.01,0.01
11250,175.0,11.3,734932.62,7173228.50,992.51,3.00,1.01,0.00
11250,225.0,561.6,734932.62,7173178.50,38.51,1.59,25.97,1.41
11250,225.0,551.6,734932.62,7173178.50,45.71,1.66,21.88,1.34
11250,225.0,541.6,734932.62,7173178.50,58.91,1.77,16.97,1.23
11250,225.0,531.6,734932.62,7173178.50,77.01,1.89,12.99,1.11
11250,225.0,521.6,734932.62,7173178.50,98.58,1.99,10.14,1.01
11250,225.0,509.1,734932.62,7173178.50,137.85,2.14,7.25,0.86
11250,225.0,491.6,734932.62,7173178.50,197.13,2.29,5.07,0.71
11250,225.0,471.0,734932.62,7173178.50,265.24,2.42,3.77,0.58
11250,225.0,449.1,734932.62,7173178.50,341.77,2.53,2.93,0.47
11250,225.0,426.0,734932.62,7173178.50,424.36,2.63,2.36,0.37
11250,225.0,401.5,734932.62,7173178.50,509.52,2.71,1.96,0.29
