 East  ,  Channel ,   Error 	 
  734923.8,       0.0,        -0.0019
  734923.8,     -40.0,        -0.0204
  734923.8,     -80.0,         0.1197
  734923.8,    -120.0,         0.0000
  734923.8,    -160.0,         0.2479
  734923.8,    -200.0,         0.1044
  734923.8,    -240.0,         0.0396
  734923.8,    -280.0,         0.0265
  734923.8,    -320.0,         0.0000
  734923.8,    -360.0,         0.0000
  734923.8,    -400.0,         0.0648
  734923.8,    -440.0,        -0.0071
  734923.8,    -480.0,        -0.1221
  734923.8,    -520.0,        -0.1941
  734923.8,    -560.0,         0.0000
  734923.8,    -600.0,         0.0000
  734923.8,    -640.0,         0.0038
  734923.8,    -680.0,         0.0117
  734923.8,    -720.0,         0.0369
  734923.8,    -760.0,         0.0000
  734923.3,       0.0,        -0.0230
  734923.3,     -40.0,        -0.0214
  734923.3,     -80.0,         0.0933
  734923.3,    -120.0,         0.0000
  734923.3,    -160.0,         0.2183
  734923.3,    -200.0,         0.0956
  734923.3,    -240.0,         0.0368
  734923.3,    -280.0,         0.0278
  734923.3,    -320.0,         0.0000
  734923.3,    -360.0,         0.0000
  734923.3,    -400.0,         0.0720
  734923.3,    -440.0,         0.0573
  734923.3,    -480.0,        -0.0151
  734923.3,    -520.0,        -0.1676
  734923.3,    -560.0,        -0.0884
  734923.3,    -600.0,         0.0000
  734923.3,    -640.0,         0.0042
  734923.3,    -680.0,         0.0151
  734923.3,    -720.0,         0.0376
  734923.3,    -760.0,         0.0000
  734923.0,       0.0,        -0.0940
  734923.0,     -40.0,        -0.0243
  734923.0,     -80.0,         0.0848
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,         0.1892
  734923.0,    -200.0,         0.0864
  734923.0,    -240.0,         0.0347
  734923.0,    -280.0,         0.0292
  734923.0,    -320.0,         0.0141
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.0574
  734923.0,    -440.0,         0.0775
  734923.0,    -480.0,         0.0401
  734923.0,    -520.0,        -0.1441
  734923.0,    -560.0,        -0.0921
  734923.0,    -600.0,         0.0000
  734923.0,    -640.0,         0.0042
  734923.0,    -680.0,         0.0172
  734923.0,    -720.0,         0.0357
  734923.0,    -760.0,         0.0000
  734922.8,       0.0,        -0.1624
  734922.8,     -40.0,        -0.0242
  734922.8,     -80.0,         0.0819
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.1603
  734922.8,    -200.0,         0.0763
  734922.8,    -240.0,         0.0329
  734922.8,    -280.0,         0.0301
  734922.8,    -320.0,         0.0231
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.0333
  734922.8,    -440.0,         0.0612
  734922.8,    -480.0,         0.0550
  734922.8,    -520.0,        -0.1219
  734922.8,    -560.0,        -0.0950
  734922.8,    -600.0,        -0.0273
  734922.8,    -640.0,         0.0039
  734922.8,    -680.0,         0.0173
  734922.8,    -720.0,         0.0325
  734922.8,    -760.0,         0.0000
  734922.7,       0.0,        -0.1869
  734922.7,     -40.0,        -0.0301
  734922.7,     -80.0,         0.0733
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.1320
  734922.7,    -200.0,         0.0655
  734922.7,    -240.0,         0.0314
  734922.7,    -280.0,         0.0303
  734922.7,    -320.0,         0.0303
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.0149
  734922.7,    -440.0,         0.0250
  734922.7,    -480.0,         0.0498
  734922.7,    -520.0,        -0.0999
  734922.7,    -560.0,        -0.0951
  734922.7,    -600.0,        -0.0293
  734922.7,    -640.0,         0.0033
  734922.7,    -680.0,         0.0152
  734922.7,    -720.0,         0.0291
  734922.7,    -760.0,         0.0000
  734922.7,       0.0,        -0.1822
  734922.7,     -40.0,        -0.0512
  734922.7,     -80.0,         0.0560
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.1049
  734922.7,    -200.0,         0.0546
  734922.7,    -240.0,         0.0302
  734922.7,    -280.0,         0.0298
  734922.7,    -320.0,         0.0352
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,        -0.0073
  734922.7,    -440.0,        -0.0147
  734922.7,    -480.0,         0.0365
  734922.7,    -520.0,        -0.0818
  734922.7,    -560.0,        -0.0914
  734922.7,    -600.0,        -0.0288
  734922.7,    -640.0,         0.0026
  734922.7,    -680.0,         0.0118
  734922.7,    -720.0,         0.0254
  734922.7,    -760.0,         0.0000
  734922.8,       0.0,        -0.1723
  734922.8,     -40.0,        -0.0786
  734922.8,     -80.0,         0.0357
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.0801
  734922.8,    -200.0,         0.0446
  734922.8,    -240.0,         0.0292
  734922.8,    -280.0,         0.0290
  734922.8,    -320.0,         0.0369
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,        -0.0380
  734922.8,    -440.0,        -0.0387
  734922.8,    -480.0,         0.0254
  734922.8,    -520.0,        -0.0693
  734922.8,    -560.0,        -0.0834
  734922.8,    -600.0,         0.0000
  734922.8,    -640.0,         0.0014
  734922.8,    -680.0,         0.0084
  734922.8,    -720.0,         0.0216
  734922.8,    -760.0,         0.0000
  734922.8,       0.0,        -0.1176
  734922.8,     -40.0,        -0.0899
  734922.8,     -80.0,         0.0131
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.0583
  734922.8,    -200.0,         0.0360
  734922.8,    -240.0,         0.0279
  734922.8,    -280.0,         0.0278
  734922.8,    -320.0,         0.0357
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,        -0.0116
  734922.8,    -440.0,        -0.0252
  734922.8,    -480.0,         0.0224
  734922.8,    -520.0,        -0.0552
  734922.8,    -560.0,         0.0000
  734922.8,    -600.0,         0.0000
  734922.8,    -640.0,        -0.0002
  734922.8,    -680.0,         0.0053
  734922.8,    -720.0,         0.0176
  734922.8,    -760.0,         0.0000
  734922.9,       0.0,        -0.0060
  734922.9,     -40.0,        -0.0738
  734922.9,     -80.0,        -0.0054
  734922.9,    -120.0,         0.0000
  734922.9,    -160.0,         0.0404
  734922.9,    -200.0,         0.0290
  734922.9,    -240.0,         0.0259
  734922.9,    -280.0,         0.0257
  734922.9,    -320.0,         0.0327
  734922.9,    -360.0,         0.0000
  734922.9,    -400.0,         0.0766
  734922.9,    -440.0,         0.0143
  734922.9,    -480.0,         0.0175
  734922.9,    -520.0,        -0.0363
  734922.9,    -560.0,        -0.0589
  734922.9,    -600.0,         0.0000
  734922.9,    -640.0,        -0.0024
  734922.9,    -680.0,         0.0024
  734922.9,    -720.0,         0.0135
  734922.9,    -760.0,         0.0000
  734923.0,       0.0,         0.0690
  734923.0,     -40.0,        -0.0646
  734923.0,     -80.0,        -0.0211
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,         0.0275
  734923.0,    -200.0,         0.0242
  734923.0,    -240.0,         0.0238
  734923.0,    -280.0,         0.0232
  734923.0,    -320.0,         0.0292
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.0888
  734923.0,    -440.0,         0.0266
  734923.0,    -480.0,         0.0067
  734923.0,    -520.0,        -0.0141
  734923.0,    -560.0,        -0.0496
  734923.0,    -600.0,         0.0000
  734923.0,    -640.0,         0.0000
  734923.0,    -680.0,         0.0000
  734923.0,    -720.0,         0.0093
  734923.0,    -760.0,         0.0000
  734923.2,       0.0,         0.0420
  734923.2,     -40.0,        -0.0798
  734923.2,     -80.0,        -0.0375
  734923.2,    -120.0,         0.0000
  734923.2,    -160.0,         0.0179
  734923.2,    -200.0,         0.0209
  734923.2,    -240.0,         0.0214
  734923.2,    -280.0,         0.0205
  734923.2,    -320.0,         0.0250
  734923.2,    -360.0,         0.0000
  734923.2,    -400.0,         0.0272
  734923.2,    -440.0,         0.0120
  734923.2,    -480.0,        -0.0016
  734923.2,    -520.0,         0.0060
  734923.2,    -560.0,        -0.0446
  734923.2,    -600.0,         0.0000
  734923.2,    -640.0,         0.0000
  734923.2,    -680.0,         0.0000
  734923.2,    -720.0,         0.0000
  734923.2,    -760.0,         0.0000
  734923.4,       0.0,        -0.0952
  734923.4,     -40.0,        -0.1219
  734923.4,     -80.0,        -0.0558
  734923.4,    -120.0,         0.0000
  734923.4,    -160.0,         0.0091
  734923.4,    -200.0,         0.0174
  734923.4,    -240.0,         0.0185
  734923.4,    -280.0,         0.0174
  734923.4,    -320.0,         0.0205
  734923.4,    -360.0,         0.0000
  734923.4,    -400.0,         0.0514
  734923.4,    -440.0,         0.0357
  734923.4,    -480.0,         0.0076
  734923.4,    -520.0,         0.0174
  734923.4,    -560.0,        -0.0432
  734923.4,    -600.0,        -0.0255
  734923.4,    -640.0,         0.0000
  734923.4,    -680.0,         0.0000
  734923.4,    -720.0,         0.0000
  734923.4,    -760.0,         0.0000
