Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,225.0,536.1,740329.81,7172196.00,605.04,2.78,1.65,0.22
1,225.0,518.6,740329.81,7172196.00,626.31,2.80,1.60,0.20
1,225.0,498.0,740329.81,7172196.00,653.19,2.82,1.53,0.18
1,225.0,476.2,740329.81,7172196.00,685.32,2.84,1.46,0.16
1,225.0,453.0,740329.81,7172196.00,721.38,2.86,1.39,0.14
1,225.0,428.5,740329.81,7172196.00,759.64,2.88,1.32,0.12
1,225.0,402.5,740329.81,7172196.00,798.09,2.90,1.25,0.10
1,225.0,374.9,740329.81,7172196.00,834.77,2.92,1.20,0.08
1,225.0,345.7,740329.81,7172196.00,868.11,2.94,1.15,0.06
1,225.0,314.7,740329.81,7172196.00,897.05,2.95,1.11,0.05
1,225.0,280.9,740329.81,7172196.00,922.44,2.96,1.08,0.04
1,225.0,244.2,740329.81,7172196.00,942.50,2.97,1.06,0.03
1,225.0,205.4,740329.81,7172196.00,957.63,2.98,1.04,0.02
1,225.0,164.4,740329.81,7172196.00,968.20,2.99,1.03,0.01
1,225.0,121.0,740329.81,7172196.00,974.18,2.99,1.03,0.01
1,275.0,589.5,740329.81,7172246.00,538.80,2.73,1.86,0.27
1,275.0,579.5,740329.81,7172246.00,540.74,2.73,1.85,0.27
1,275.0,569.5,740329.81,7172246.00,544.62,2.74,1.84,0.26
1,275.0,559.5,740329.81,7172246.00,550.34,2.74,1.82,0.26
1,275.0,549.5,740329.81,7172246.00,557.76,2.75,1.79,0.25
1,275.0,537.0,740329.81,7172246.00,571.84,2.76,1.75,0.24
1,275.0,519.5,740329.81,7172246.00,594.71,2.77,1.68,0.23
1,275.0,498.9,740329.81,7172246.00,623.68,2.79,1.60,0.21
1,275.0,477.1,740329.81,7172246.00,658.35,2.82,1.52,0.18
1,275.0,453.9,740329.81,7172246.00,697.37,2.84,1.43,0.16
1,275.0,429.4,740329.81,7172246.00,738.84,2.87,1.35,0.13
1,275.0,403.4,740329.81,7172246.00,780.59,2.89,1.28,0.11
1,275.0,375.8,740329.81,7172246.00,820.45,2.91,1.22,0.09
1,275.0,346.6,740329.81,7172246.00,856.68,2.93,1.17,0.07
1,275.0,315.6,740329.81,7172246.00,888.12,2.95,1.13,0.05
1,275.0,281.8,740329.81,7172246.00,915.81,2.96,1.09,0.04
1,275.0,244.8,740329.81,7172246.00,937.66,2.97,1.07,0.03
1,275.0,205.9,740329.81,7172246.00,954.14,2.98,1.05,0.02
1,275.0,164.6,740329.81,7172246.00,965.67,2.98,1.04,0.02
1,275.0,121.1,740329.81,7172246.00,972.20,2.99,1.03,0.01
1,325.0,589.1,740329.81,7172296.00,510.15,2.71,1.96,0.29
1,325.0,579.1,740329.81,7172296.00,512.26,2.71,1.95,0.29
1,325.0,569.1,740329.81,7172296.00,516.44,2.71,1.94,0.29
1,325.0,559.1,740329.81,7172296.00,522.55,2.72,1.91,0.28
1,325.0,549.1,740329.81,7172296.00,530.42,2.72,1.89,0.28
1,325.0,536.6,740329.81,7172296.00,545.27,2.74,1.83,0.26
1,325.0,519.1,740329.81,7172296.00,569.31,2.76,1.76,0.24
1,325.0,498.5,740329.81,7172296.00,599.69,2.78,1.67,0.22
1,325.0,476.7,740329.81,7172296.00,636.07,2.80,1.57,0.20
1,325.0,453.5,740329.81,7172296.00,677.08,2.83,1.48,0.17
1,325.0,429.0,740329.81,7172296.00,720.80,2.86,1.39,0.14
1,325.0,403.0,740329.81,7172296.00,764.95,2.88,1.31,0.12
1,325.0,375.4,740329.81,7172296.00,807.26,2.91,1.24,0.09
1,325.0,346.2,740329.81,7172296.00,845.86,2.93,1.18,0.07
1,325.0,315.2,740329.81,7172296.00,879.48,2.94,1.14,0.06
1,325.0,281.4,740329.81,7172296.00,909.19,2.96,1.10,0.04
1,325.0,244.6,740329.81,7172296.00,932.71,2.97,1.07,0.03
1,325.0,205.7,740329.81,7172296.00,950.50,2.98,1.05,0.02
1,325.0,164.5,740329.81,7172296.00,962.97,2.98,1.04,0.02
1,325.0,121.1,740329.81,7172296.00,970.06,2.99,1.03,0.01
1,375.0,587.8,740329.81,7172346.00,494.59,2.69,2.02,0.31
1,375.0,577.8,740329.81,7172346.00,496.79,2.70,2.01,0.30
1,375.0,567.8,740329.81,7172346.00,501.09,2.70,2.00,0.30
1,375.0,557.8,740329.81,7172346.00,507.35,2.71,1.97,0.29
1,375.0,547.8,740329.81,7172346.00,515.36,2.71,1.94,0.29
1,375.0,535.3,740329.81,7172346.00,530.39,2.72,1.89,0.28
1,375.0,517.8,740329.81,7172346.00,554.63,2.74,1.80,0.26
1,375.0,497.2,740329.81,7172346.00,585.22,2.77,1.71,0.23
1,375.0,475.3,740329.81,7172346.00,621.87,2.79,1.61,0.21
1,375.0,452.2,740329.81,7172346.00,663.31,2.82,1.51,0.18
1,375.0,427.7,740329.81,7172346.00,707.69,2.85,1.41,0.15
1,375.0,401.6,740329.81,7172346.00,752.79,2.88,1.33,0.12
1,375.0,374.1,740329.81,7172346.00,796.34,2.90,1.26,0.10
1,375.0,344.9,740329.81,7172346.00,836.40,2.92,1.20,0.08
1,375.0,313.9,740329.81,7172346.00,871.62,2.94,1.15,0.06
1,375.0,280.2,740329.81,7172346.00,902.85,2.96,1.11,0.04
1,375.0,243.6,740329.81,7172346.00,927.80,2.97,1.08,0.03
1,375.0,205.0,740329.81,7172346.00,946.80,2.98,1.06,0.02
