 East  ,  Channel ,   Error 	 
  740330.0,       0.0,        -0.1288
  740330.0,     -40.0,         0.0509
  740330.0,     -80.0,         0.1942
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.3406
  740330.0,    -200.0,         0.1718
  740330.0,    -240.0,         0.1108
  740330.0,    -280.0,         0.1523
  740330.0,    -320.0,         0.1717
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.0627
  740330.0,    -440.0,         0.0396
  740330.0,    -480.0,        -0.0071
  740330.0,    -520.0,        -0.1186
  740330.0,    -560.0,        -0.2363
  740330.0,    -600.0,        -0.1254
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0122
  740330.0,    -720.0,         0.0915
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1535
  740330.0,     -40.0,         0.0162
  740330.0,     -80.0,         0.1392
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.2727
  740330.0,    -200.0,         0.1546
  740330.0,    -240.0,         0.1258
  740330.0,    -280.0,         0.1735
  740330.0,    -320.0,         0.1962
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2106
  740330.0,    -440.0,         0.1550
  740330.0,    -480.0,         0.0802
  740330.0,    -520.0,        -0.0575
  740330.0,    -560.0,        -0.1944
  740330.0,    -600.0,        -0.1026
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1118
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.2163
  740330.0,     -40.0,        -0.0550
  740330.0,     -80.0,         0.0553
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.1900
  740330.0,    -200.0,         0.1350
  740330.0,    -240.0,         0.1380
  740330.0,    -280.0,         0.1963
  740330.0,    -320.0,         0.2199
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2595
  740330.0,    -440.0,         0.2064
  740330.0,    -480.0,         0.1320
  740330.0,    -520.0,        -0.0101
  740330.0,    -560.0,        -0.1535
  740330.0,    -600.0,        -0.0783
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1178
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.2397
  740330.0,     -40.0,        -0.1238
  740330.0,     -80.0,        -0.0336
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.1030
  740330.0,    -200.0,         0.1134
  740330.0,    -240.0,         0.1471
