Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11260,25.0,581.9,740329.81,7171996.00,3.81,0.58,262.33,2.42
11260,25.0,571.9,740329.81,7171996.00,3.19,0.50,313.79,2.50
11260,25.0,561.9,740329.81,7171996.00,3.93,0.59,254.49,2.41
11260,25.0,551.9,740329.81,7171996.00,6.26,0.80,159.62,2.20
11260,25.0,541.9,740329.81,7171996.00,10.84,1.03,92.26,1.97
11260,25.0,529.4,740329.81,7171996.00,24.98,1.40,40.03,1.60
11260,25.0,511.9,740329.81,7171996.00,62.60,1.80,15.97,1.20
11260,25.0,491.3,740329.81,7171996.00,128.23,2.11,7.80,0.89
11260,25.0,469.4,740329.81,7171996.00,221.89,2.35,4.51,0.65
11260,25.0,446.3,740329.81,7171996.00,334.24,2.52,2.99,0.48
11260,25.0,421.7,740329.81,7171996.00,451.64,2.65,2.21,0.35
11260,25.0,395.7,740329.81,7171996.00,562.27,2.75,1.78,0.25
11260,25.0,368.2,740329.81,7171996.00,658.15,2.82,1.52,0.18
11260,25.0,338.9,740329.81,7171996.00,736.13,2.87,1.36,0.13
11260,25.0,308.0,740329.81,7171996.00,796.50,2.90,1.26,0.10
11260,25.0,275.1,740329.81,7171996.00,841.44,2.93,1.19,0.07
11260,25.0,240.3,740329.81,7171996.00,873.90,2.94,1.14,0.06
11260,25.0,203.2,740329.81,7171996.00,897.41,2.95,1.11,0.05
11260,25.0,163.5,740329.81,7171996.00,913.66,2.96,1.09,0.04
11260,25.0,121.5,740329.81,7171996.00,924.95,2.97,1.08,0.03
11260,25.0,77.0,740329.81,7171996.00,932.61,2.97,1.07,0.03
11260,25.0,29.8,740329.81,7171996.00,937.17,2.97,1.07,0.03
11260,75.0,583.6,740329.81,7172046.00,31.54,1.50,31.71,1.50
11260,75.0,573.6,740329.81,7172046.00,25.91,1.41,38.59,1.59
11260,75.0,563.6,740329.81,7172046.00,22.63,1.35,44.20,1.65
11260,75.0,553.6,740329.81,7172046.00,23.51,1.37,42.54,1.63
11260,75.0,543.6,740329.81,7172046.00,28.54,1.46,35.04,1.54
11260,75.0,531.1,740329.81,7172046.00,44.66,1.65,22.39,1.35
11260,75.0,513.6,740329.81,7172046.00,84.37,1.93,11.85,1.07
11260,75.0,493.0,740329.81,7172046.00,149.24,2.17,6.70,0.83
11260,75.0,471.2,740329.81,7172046.00,238.83,2.38,4.19,0.62
11260,75.0,448.0,740329.81,7172046.00,345.28,2.54,2.90,0.46
11260,75.0,423.5,740329.81,7172046.00,457.07,2.66,2.19,0.34
11260,75.0,397.5,740329.81,7172046.00,563.33,2.75,1.78,0.25
11260,75.0,369.9,740329.81,7172046.00,656.63,2.82,1.52,0.18
11260,75.0,340.7,740329.81,7172046.00,733.32,2.87,1.36,0.13
11260,75.0,309.7,740329.81,7172046.00,793.13,2.90,1.26,0.10
11260,75.0,276.9,740329.81,7172046.00,838.00,2.92,1.19,0.08
11260,75.0,242.1,740329.81,7172046.00,870.64,2.94,1.15,0.06
