Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
31003,50.0,25.6,478996.81,6196058.00,23.97,1.38,41.71,1.62
31003,50.0,22.6,478996.81,6196058.00,23.50,1.37,42.56,1.63
31003,50.0,19.6,478996.81,6196058.00,22.97,1.36,43.54,1.64
31003,50.0,16.6,478996.81,6196058.00,22.73,1.36,44.00,1.64
31003,50.0,13.6,478996.81,6196058.00,22.88,1.36,43.71,1.64
31003,50.0,10.6,478996.81,6196058.00,23.37,1.37,42.79,1.63
31003,50.0,7.6,478996.81,6196058.00,24.10,1.38,41.50,1.62
31003,50.0,4.6,478996.81,6196058.00,24.93,1.40,40.11,1.60
31003,50.0,1.6,478996.81,6196058.00,25.78,1.41,38.79,1.59
31003,50.0,-1.4,478996.81,6196058.00,26.57,1.42,37.64,1.58
31003,50.0,-4.4,478996.81,6196058.00,27.26,1.44,36.68,1.56
31003,50.0,-7.4,478996.81,6196058.00,27.84,1.44,35.92,1.56
31003,50.0,-10.4,478996.81,6196058.00,28.31,1.45,35.32,1.55
31003,50.0,-13.4,478996.81,6196058.00,28.68,1.46,34.87,1.54
31003,50.0,-16.4,478996.81,6196058.00,28.97,1.46,34.52,1.54
31003,50.0,-19.4,478996.81,6196058.00,29.19,1.47,34.26,1.53
31003,50.0,-22.4,478996.81,6196058.00,29.35,1.47,34.07,1.53
31003,50.0,-25.4,478996.81,6196058.00,29.48,1.47,33.92,1.53
31003,50.0,-28.4,478996.81,6196058.00,29.58,1.47,33.81,1.53
31003,50.0,-31.4,478996.81,6196058.00,29.66,1.47,33.72,1.53
31003,50.0,-34.6,478996.81,6196058.00,29.72,1.47,33.64,1.53
31003,50.0,-38.1,478996.81,6196058.00,29.78,1.47,33.58,1.53
31003,50.0,-41.6,478996.81,6196058.00,29.82,1.47,33.54,1.53
31003,50.0,-45.0,478996.81,6196058.00,29.85,1.47,33.50,1.53
31003,50.0,-48.5,478996.81,6196058.00,29.87,1.48,33.47,1.52
31003,50.0,-52.0,478996.81,6196058.00,29.89,1.48,33.45,1.52
31003,50.0,-55.5,478996.81,6196058.00,29.91,1.48,33.44,1.52
31003,50.0,-58.9,478996.81,6196058.00,29.92,1.48,33.42,1.52
31003,50.0,-62.4,478996.81,6196058.00,29.93,1.48,33.41,1.52
31003,50.0,-65.9,478996.81,6196058.00,29.93,1.48,33.41,1.52
31003,150.0,24.6,478996.81,6196158.00,23.14,1.36,43.22,1.64
31003,150.0,21.6,478996.81,6196158.00,22.17,1.35,45.11,1.65
31003,150.0,18.6,478996.81,6196158.00,21.23,1.33,47.10,1.67
31003,150.0,15.6,478996.81,6196158.00,20.85,1.32,47.96,1.68
31003,150.0,12.6,478996.81,6196158.00,21.07,1.32,47.46,1.68
31003,150.0,9.6,478996.81,6196158.00,21.76,1.34,45.96,1.66
31003,150.0,6.6,478996.81,6196158.00,22.73,1.36,43.99,1.64
31003,150.0,3.6,478996.81,6196158.00,23.82,1.38,41.98,1.62
31003,150.0,0.6,478996.81,6196158.00,24.90,1.40,40.16,1.60
31003,150.0,-2.4,478996.81,6196158.00,25.89,1.41,38.63,1.59
31003,150.0,-5.4,478996.81,6196158.00,26.74,1.43,37.40,1.57
31003,150.0,-8.4,478996.81,6196158.00,27.44,1.44,36.44,1.56
31003,150.0,-11.4,478996.81,6196158.00,28.01,1.45,35.71,1.55
31003,150.0,-14.4,478996.81,6196158.00,28.44,1.45,35.16,1.55
31003,150.0,-17.4,478996.81,6196158.00,28.78,1.46,34.74,1.54
31003,150.0,-20.4,478996.81,6196158.00,29.04,1.46,34.44,1.54
31003,150.0,-23.4,478996.81,6196158.00,29.23,1.47,34.21,1.53
31003,150.0,-26.4,478996.81,6196158.00,29.38,1.47,34.03,1.53
31003,150.0,-29.4,478996.81,6196158.00,29.50,1.47,33.90,1.53
31003,150.0,-32.4,478996.81,6196158.00,29.59,1.47,33.80,1.53
31003,150.0,-35.6,478996.81,6196158.00,29.67,1.47,33.71,1.53
31003,150.0,-39.0,478996.81,6196158.00,29.73,1.47,33.64,1.53
31003,150.0,-42.3,478996.81,6196158.00,29.78,1.47,33.58,1.53
31003,150.0,-45.7,478996.81,6196158.00,29.82,1.47,33.54,1.53
31003,150.0,-49.1,478996.81,6196158.00,29.85,1.47,33.51,1.53
31003,150.0,-52.4,478996.81,6196158.00,29.87,1.48,33.48,1.52
31003,150.0,-55.8,478996.81,6196158.00,29.89,1.48,33.46,1.52
31003,150.0,-59.2,478996.81,6196158.00,29.90,1.48,33.44,1.52
31003,150.0,-62.6,478996.81,6196158.00,29.91,1.48,33.43,1.52
31003,150.0,-65.9,478996.81,6196158.00,29.92,1.48,33.43,1.52
31003,250.0,23.8,478996.81,6196258.00,21.91,1.34,45.64,1.66
31003,250.0,20.8,478996.81,6196258.00,19.51,1.29,51.25,1.71
31003,250.0,17.8,478996.81,6196258.00,17.68,1.25,56.56,1.75
31003,250.0,14.8,478996.81,6196258.00,17.07,1.23,58.60,1.77
31003,250.0,11.8,478996.81,6196258.00,17.47,1.24,57.25,1.76
31003,250.0,8.8,478996.81,6196258.00,18.54,1.27,53.93,1.73
31003,250.0,5.8,478996.81,6196258.00,20.00,1.30,50.01,1.70
31003,250.0,2.8,478996.81,6196258.00,21.58,1.33,46.34,1.67
31003,250.0,-0.2,478996.81,6196258.00,23.11,1.36,43.26,1.64
31003,250.0,-3.2,478996.81,6196258.00,24.50,1.39,40.82,1.61
31003,250.0,-6.2,478996.81,6196258.00,25.67,1.41,38.96,1.59
31003,250.0,-9.2,478996.81,6196258.00,26.62,1.43,37.56,1.57
31003,250.0,-12.2,478996.81,6196258.00,27.37,1.44,36.53,1.56
31003,250.0,-15.2,478996.81,6196258.00,27.95,1.45,35.78,1.55
31003,250.0,-18.2,478996.81,6196258.00,28.39,1.45,35.22,1.55
31003,250.0,-21.2,478996.81,6196258.00,28.72,1.46,34.81,1.54
31003,250.0,-24.2,478996.81,6196258.00,28.98,1.46,34.51,1.54
31003,250.0,-27.2,478996.81,6196258.00,29.17,1.46,34.28,1.54
31003,250.0,-30.2,478996.81,6196258.00,29.32,1.47,34.11,1.53
31003,250.0,-33.2,478996.81,6196258.00,29.43,1.47,33.97,1.53
31003,250.0,-36.3,478996.81,6196258.00,29.54,1.47,33.85,1.53
31003,250.0,-39.6,478996.81,6196258.00,29.62,1.47,33.76,1.53
31003,250.0,-42.9,478996.81,6196258.00,29.69,1.47,33.68,1.53
31003,250.0,-46.2,478996.81,6196258.00,29.74,1.47,33.62,1.53
31003,250.0,-49.5,478996.81,6196258.00,29.78,1.47,33.58,1.53
31003,250.0,-52.8,478996.81,6196258.00,29.81,1.47,33.54,1.53
31003,250.0,-56.1,478996.81,6196258.00,29.84,1.47,33.51,1.53
31003,250.0,-59.4,478996.81,6196258.00,29.86,1.48,33.49,1.52
31003,250.0,-62.7,478996.81,6196258.00,29.87,1.48,33.47,1.52
31003,250.0,-66.0,478996.81,6196258.00,29.88,1.48,33.46,1.52
31003,350.0,24.7,478996.81,6196358.00,20.88,1.32,47.89,1.68
31003,350.0,21.7,478996.81,6196358.00,16.18,1.21,61.79,1.79
31003,350.0,18.7,478996.81,6196358.00,13.28,1.12,75.31,1.88
31003,350.0,15.7,478996.81,6196358.00,12.48,1.10,80.10,1.90
31003,350.0,12.7,478996.81,6196358.00,13.10,1.12,76.34,1.88
31003,350.0,9.7,478996.81,6196358.00,14.58,1.16,68.58,1.84
31003,350.0,6.7,478996.81,6196358.00,16.54,1.22,60.46,1.78
31003,350.0,3.7,478996.81,6196358.00,18.67,1.27,53.56,1.73
31003,350.0,0.7,478996.81,6196358.00,20.75,1.32,48.20,1.68
31003,350.0,-2.3,478996.81,6196358.00,22.62,1.35,44.22,1.65
31003,350.0,-5.3,478996.81,6196358.00,24.20,1.38,41.32,1.62
31003,350.0,-8.3,478996.81,6196358.00,25.49,1.41,39.24,1.59
31003,350.0,-11.3,478996.81,6196358.00,26.49,1.42,37.75,1.58
31003,350.0,-14.3,478996.81,6196358.00,27.26,1.44,36.68,1.56
31003,350.0,-17.3,478996.81,6196358.00,27.84,1.44,35.92,1.56
31003,350.0,-20.3,478996.81,6196358.00,28.28,1.45,35.36,1.55
31003,350.0,-23.3,478996.81,6196358.00,28.61,1.46,34.95,1.54
31003,350.0,-26.3,478996.81,6196358.00,28.86,1.46,34.65,1.54
31003,350.0,-29.3,478996.81,6196358.00,29.06,1.46,34.41,1.54
31003,350.0,-32.3,478996.81,6196358.00,29.22,1.47,34.23,1.53
31003,350.0,-35.5,478996.81,6196358.00,29.36,1.47,34.06,1.53
31003,350.0,-38.9,478996.81,6196358.00,29.47,1.47,33.93,1.53
31003,350.0,-42.2,478996.81,6196358.00,29.56,1.47,33.83,1.53
31003,350.0,-45.6,478996.81,6196358.00,29.63,1.47,33.74,1.53
31003,350.0,-49.0,478996.81,6196358.00,29.69,1.47,33.68,1.53
31003,350.0,-52.4,478996.81,6196358.00,29.74,1.47,33.63,1.53
31003,350.0,-55.8,478996.81,6196358.00,29.77,1.47,33.59,1.53
31003,350.0,-59.2,478996.81,6196358.00,29.80,1.47,33.56,1.53
31003,350.0,-62.6,478996.81,6196358.00,29.82,1.47,33.53,1.53
31003,350.0,-65.9,478996.81,6196358.00,29.84,1.47,33.51,1.53
31003,450.0,26.1,478996.81,6196458.00,19.23,1.28,52.00,1.72
31003,450.0,23.1,478996.81,6196458.00,12.61,1.10,79.31,1.90
31003,450.0,20.1,478996.81,6196458.00,9.24,0.97,108.17,2.03
31003,450.0,17.1,478996.81,6196458.00,8.53,0.93,117.29,2.07
31003,450.0,14.1,478996.81,6196458.00,9.32,0.97,107.33,2.03
31003,450.0,11.1,478996.81,6196458.00,11.04,1.04,90.60,1.96
31003,450.0,8.1,478996.81,6196458.00,13.32,1.12,75.10,1.88
31003,450.0,5.1,478996.81,6196458.00,15.84,1.20,63.12,1.80
31003,450.0,2.1,478996.81,6196458.00,18.35,1.26,54.48,1.74
31003,450.0,-0.9,478996.81,6196458.00,20.66,1.32,48.41,1.68
31003,450.0,-3.9,478996.81,6196458.00,22.63,1.35,44.18,1.65
31003,450.0,-6.9,478996.81,6196458.00,24.25,1.38,41.24,1.62
31003,450.0,-9.9,478996.81,6196458.00,25.52,1.41,39.18,1.59
31003,450.0,-12.9,478996.81,6196458.00,26.49,1.42,37.74,1.58
31003,450.0,-15.9,478996.81,6196458.00,27.23,1.44,36.72,1.56
31003,450.0,-18.9,478996.81,6196458.00,27.78,1.44,35.99,1.56
31003,450.0,-21.9,478996.81,6196458.00,28.20,1.45,35.46,1.55
31003,450.0,-24.9,478996.81,6196458.00,28.52,1.46,35.06,1.54
31003,450.0,-27.9,478996.81,6196458.00,28.77,1.46,34.75,1.54
