 East  ,  Channel ,   Error 	 
  729518.6,       0.0,         0.0064
  729518.6,     -40.0,         0.0267
  729518.6,     -80.0,         0.0486
  729518.6,    -120.0,         0.0000
  729518.6,    -160.0,         0.1057
  729518.6,    -200.0,         0.2246
  729518.6,    -240.0,         0.1891
  729518.6,    -280.0,         0.0745
  729518.6,    -320.0,         0.0135
  729518.6,    -360.0,         0.0000
  729518.6,    -400.0,         0.0175
  729518.6,    -440.0,         0.0594
  729518.6,    -480.0,         0.0631
  729518.6,    -520.0,         0.0295
  729518.6,    -560.0,        -0.1475
  729518.6,    -600.0,        -0.2181
  729518.6,    -640.0,        -0.0891
  729518.6,    -680.0,        -0.0071
  729518.6,    -720.0,         0.0474
  729518.6,    -760.0,         0.0000
  729518.2,       0.0,         0.0266
  729518.2,     -40.0,         0.0519
  729518.2,     -80.0,         0.0778
  729518.2,    -120.0,         0.0000
  729518.2,    -160.0,         0.0675
  729518.2,    -200.0,         0.1350
  729518.2,    -240.0,         0.1419
  729518.2,    -280.0,         0.0598
  729518.2,    -320.0,         0.0031
  729518.2,    -360.0,         0.0000
  729518.2,    -400.0,         0.0161
  729518.2,    -440.0,         0.0667
  729518.2,    -480.0,         0.0992
  729518.2,    -520.0,         0.1457
  729518.2,    -560.0,         0.0362
  729518.2,    -600.0,        -0.1095
  729518.2,    -640.0,        -0.0779
  729518.2,    -680.0,        -0.0306
  729518.2,    -720.0,         0.0158
  729518.2,    -760.0,         0.0000
  729518.1,       0.0,         0.0023
  729518.1,     -40.0,         0.0338
  729518.1,     -80.0,         0.0710
  729518.1,    -120.0,         0.0000
  729518.1,    -160.0,         0.0649
  729518.1,    -200.0,         0.0908
  729518.1,    -240.0,         0.1113
  729518.1,    -280.0,         0.0480
  729518.1,    -320.0,         0.0000
  729518.1,    -360.0,         0.0000
  729518.1,    -400.0,        -0.0047
  729518.1,    -440.0,         0.0358
  729518.1,    -480.0,         0.0599
  729518.1,    -520.0,         0.1231
  729518.1,    -560.0,         0.0818
  729518.1,    -600.0,        -0.0477
  729518.1,    -640.0,        -0.0715
  729518.1,    -680.0,        -0.0470
  729518.1,    -720.0,        -0.0130
  729518.1,    -760.0,         0.0000
  729517.9,       0.0,        -0.0259
  729517.9,     -40.0,        -0.0004
  729517.9,     -80.0,         0.0361
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,         0.0519
  729517.9,    -200.0,         0.0646
  729517.9,    -240.0,         0.0876
  729517.9,    -280.0,         0.0378
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,        -0.0006
  729517.9,    -440.0,         0.0331
  729517.9,    -480.0,         0.0438
  729517.9,    -520.0,         0.0766
  729517.9,    -560.0,         0.0590
  729517.9,    -600.0,        -0.0214
  729517.9,    -640.0,        -0.0666
  729517.9,    -680.0,        -0.0503
  729517.9,    -720.0,         0.0000
  729517.9,    -760.0,         0.0000
  729517.8,       0.0,        -0.0311
  729517.8,     -40.0,        -0.0184
  729517.8,     -80.0,         0.0030
  729517.8,    -120.0,         0.0000
  729517.8,    -160.0,         0.0216
  729517.8,    -200.0,         0.0471
  729517.8,    -240.0,         0.0694
  729517.8,    -280.0,         0.0290
  729517.8,    -320.0,         0.0000
  729517.8,    -360.0,         0.0000
  729517.8,    -400.0,         0.0164
  729517.8,    -440.0,         0.0507
  729517.8,    -480.0,         0.0630
  729517.8,    -520.0,         0.0563
  729517.8,    -560.0,         0.0196
  729517.8,    -600.0,        -0.0175
  729517.8,    -640.0,        -0.0643
  729517.8,    -680.0,        -0.0478
  729517.8,    -720.0,        -0.0209
  729517.8,    -760.0,         0.0000
  729517.9,       0.0,        -0.0153
  729517.9,     -40.0,        -0.0071
  729517.9,     -80.0,        -0.0022
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0079
  729517.9,    -200.0,         0.0333
  729517.9,    -240.0,         0.0583
  729517.9,    -280.0,         0.0215
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0149
  729517.9,    -440.0,         0.0545
  729517.9,    -480.0,         0.0818
  729517.9,    -520.0,         0.0638
  729517.9,    -560.0,         0.0015
  729517.9,    -600.0,        -0.0206
  729517.9,    -640.0,        -0.0684
  729517.9,    -680.0,        -0.0471
  729517.9,    -720.0,        -0.0138
  729517.9,    -760.0,         0.0000
  729517.9,       0.0,        -0.0125
  729517.9,     -40.0,         0.0016
  729517.9,     -80.0,         0.0000
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0224
  729517.9,    -200.0,         0.0276
  729517.9,    -240.0,         0.0521
  729517.9,    -280.0,         0.0137
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0101
  729517.9,    -440.0,         0.0516
  729517.9,    -480.0,         0.0882
  729517.9,    -520.0,         0.0754
  729517.9,    -560.0,         0.0050
  729517.9,    -600.0,        -0.0250
  729517.9,    -640.0,        -0.0815
  729517.9,    -680.0,        -0.0499
  729517.9,    -720.0,        -0.0066
  729517.9,    -760.0,         0.0000
  729517.9,       0.0,        -0.0153
  729517.9,     -40.0,         0.0068
  729517.9,     -80.0,         0.0067
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0160
  729517.9,    -200.0,         0.0309
  729517.9,    -240.0,         0.0441
  729517.9,    -280.0,         0.0056
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0180
  729517.9,    -440.0,         0.0570
  729517.9,    -480.0,         0.0879
  729517.9,    -520.0,         0.0799
  729517.9,    -560.0,         0.0187
  729517.9,    -600.0,        -0.0324
  729517.9,    -640.0,        -0.0953
  729517.9,    -680.0,        -0.0497
  729517.9,    -720.0,         0.0040
  729517.9,    -760.0,         0.0000
  729517.6,       0.0,        -0.0144
  729517.6,     -40.0,         0.0094
  729517.6,     -80.0,         0.0108
  729517.6,    -120.0,         0.0000
  729517.6,    -160.0,         0.0015
  729517.6,    -200.0,         0.0378
  729517.6,    -240.0,         0.0302
  729517.6,    -280.0,        -0.0031
  729517.6,    -320.0,        -0.0423
  729517.6,    -360.0,         0.0000
  729517.6,    -400.0,         0.0294
  729517.6,    -440.0,         0.0688
  729517.6,    -480.0,         0.0912
  729517.6,    -520.0,         0.0904
  729517.6,    -560.0,         0.0399
  729517.6,    -600.0,        -0.0371
  729517.6,    -640.0,        -0.0956
  729517.6,    -680.0,        -0.0402
  729517.6,    -720.0,         0.0222
