"LOOP" "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3820 729517.81 7168422.5 560.5318078045756 100.71719850802394 0.0 54847.13 266555.0 232872.0 190662.0 134496.0 73602.0 27656.0 6535.0 956.0 36.0 0.0
 1 11240 3821 729517.88 7168434.5 560.6671216843075 100.67376706136642 0.0 54843.06 266719.0 233096.0 190501.0 133925.0 72927.0 27262.0 6448.0 960.0 36.0 0.0
 1 11240 3822 729517.94 7168447.5 560.794715017684 100.60693518285007 0.0 54839.59 266919.0 233348.0 190253.0 133200.0 72097.0 26798.0 6357.0 966.0 37.0 0.0
 1 11240 3823 729517.94 7168460.0 560.8846342883485 100.53724011257648 0.0 54837.13 267145.0 233627.0 189950.0 132369.0 71145.0 26275.0 6263.0 974.0 38.0 0.0
 1 11240 3824 729517.94 7168472.5 560.9275000752986 100.48797459603523 0.0 54835.4 267387.0 233930.0 189617.0 131474.0 70107.0 25713.0 6166.0 983.0 41.0 0.0
 1 11240 3825 729517.94 7168485.0 560.9178397329918 100.47388715572315 0.0 54834.59 267638.0 234244.0 189269.0 130544.0 69017.0 25125.0 6064.0 993.0 45.0 0.0
 1 11240 3826 729517.94 7168497.5 560.8666529401451 100.49516967662593 0.0 54834.7 267891.0 234546.0 188907.0 129590.0 67899.0 24525.0 5958.0 1004.0 49.0 0.0
 1 11240 3827 729517.88 7168510.0 560.7818396146765 100.53833422424724 0.0 54835.59 268142.0 234805.0 188514.0 128609.0 66765.0 23918.0 5846.0 1016.0 55.0 0.0
 1 11240 3828 729517.81 7168522.5 560.6701656053989 100.5829620739861 0.0 54837.57 268389.0 234984.0 188059.0 127583.0 65611.0 23309.0 5727.0 1029.0 61.0 0.0
 1 11240 3829 729517.75 7168535.0 560.5388011081839 100.61101495189276 0.0 54840.73 268629.0 235050.0 187498.0 126481.0 64429.0 22698.0 5603.0 1044.0 67.0 0.0
 1 11240 3830 729517.63 7168547.5 560.3954792270825 100.61423030672229 0.0 54844.75 268861.0 234984.0 186789.0 125269.0 63201.0 22084.0 5474.0 1059.0 74.0 0.0
 1 11240 3831 729517.5 7168560.0 560.2472010297969 100.59664658870116 0.0 54849.54 269079.0 234779.0 185899.0 123912.0 61915.0 21467.0 5341.0 1074.0 81.0 0.0
 1 11240 3832 729517.38 7168572.5 560.1013413049234 100.57245937650397 0.0 54854.75 269275.0 234445.0 184811.0 122378.0 60561.0 20848.0 5204.0 1087.0 87.0 0.0
 1 11240 3833 729517.25 7168585.0 559.9486424173568 100.5611081629893 0.0 54860.13 269440.0 234001.0 183532.0 120644.0 59135.0 20227.0 5064.0 1094.0 93.0 0.0
 1 11240 3834 729517.13 7168597.0 559.781484793215 100.58157492357768 0.0 54865.23 269571.0 233468.0 182081.0 118704.0 57638.0 19606.0 4922.0 1095.0 99.0 0.0
 1 11240 3835 729516.94 7168609.0 559.6011763747756 100.6466268757542 0.0 54869.75 269669.0 232867.0 180490.0 116567.0 56075.0 18985.0 4780.0 1087.0 105.0 0.0
 1 11240 3836 729516.75 7168621.0 559.4145210051192 100.75747610172903 0.0 54873.71 269738.0 232210.0 178783.0 114256.0 54456.0 18364.0 4638.0 1069.0 110.0 0.0
 1 11240 3837 729516.56 7168633.0 559.2285010501982 100.90105506245477 0.0 54877.15 269783.0 231493.0 176972.0 111800.0 52792.0 17745.0 4498.0 1044.0 114.0 0.0
 1 11240 3838 729516.31 7168645.0 559.0500815851804 101.05209710307595 0.0 54880.25 269803.0 230688.0 175043.0 109219.0 51094.0 17128.0 4362.0 1014.0 119.0 0.0
 1 11240 3839 729516.06 7168657.0 558.8863073863462 101.1800729634495 0.0 54882.51 269784.0 229741.0 172950.0 106524.0 49370.0 16514.0 4232.0 982.0 123.0 0.0
 1 11240 3840 729515.81 7168669.0 558.7442792386397 101.2588307210814 0.0 54884.76 269701.0 228573.0 170622.0 103710.0 47627.0 15904.0 4110.0 950.0 127.0 0.0
 1 11240 3841 729515.56 7168681.0 558.6253342429806 101.2757920354323 0.0 54887.29 269513.0 227107.0 167982.0 100771.0 45870.0 15302.0 3996.0 920.0 130.0 0.0
 1 11240 3842 729515.31 7168693.0 558.5133366328919 101.23733831593144 0.0 54889.02 269162.0 225274.0 164974.0 97702.0 44102.0 14711.0 3889.0 895.0 134.0 0.0
 1 11240 3843 729515.06 7168705.0 558.4096098217459 101.16717532010789 0.0 54890.47 268570.0 223032.0 161581.0 94513.0 42332.0 14138.0 3788.0 874.0 137.0 0.0
 1 11240 3844 729514.75 7168717.0 558.3174228968039 101.09767707970107 0.0 54891.71 267646.0 220353.0 157824.0 91222.0 40569.0 13586.0 3691.0 857.0 141.0 0.0
 1 11240 3845 729514.44 7168729.5 558.2369951985085 101.0578070802676 0.0 54892.74 266292.0 217226.0 153758.0 87861.0 38824.0 13060.0 3596.0 843.0 145.0 0.0
 1 11240 3846 729514.19 7168742.0 558.1755378161027 101.06402831534713 0.0 54893.48 264442.0 213651.0 149449.0 84463.0 37110.0 12558.0 3503.0 832.0 149.0 0.0
 1 11240 3847 729513.94 7168754.5 558.136353470697 101.1191274622857 0.0 54893.93 262085.0 209666.0 144974.0 81069.0 35442.0 12081.0 3410.0 822.0 153.0 0.0
 1 11240 3848 729513.69 7168767.0 558.1225229792051 101.21880357335881 0.0 54894.01 259295.0 205358.0 140411.0 77721.0 33832.0 11624.0 3317.0 813.0 157.0 0.0
 1 11240 3849 729513.44 7168779.5 558.1403868885849 101.36017005484143 0.0 54893.81 256211.0 200868.0 135849.0 74464.0 32294.0 11184.0 3223.0 805.0 160.0 0.0
 1 11240 3850 729513.19 7168792.0 558.2079208874342 101.54548456982022 0.0 54893.36 253013.0 196368.0 131378.0 71344.0 30840.0 10762.0 3131.0 797.0 161.0 0.0
 1 11240 3851 729513.0 7168804.5 558.3141061399405 101.77793168559316 0.0 54892.67 249866.0 192017.0 127090.0 68401.0 29479.0 10359.0 3039.0 789.0 162.0 0.0
