 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11260 4112 740330.0 7172236.5 595.1588356607044 87.1507512100068 0.0 54966.36 162282.0 78558.0 34540.0 10820.0 2264.0 307.0 -42.0 54.0 171.0 0.0 227263.0 167307.0 104620.0 51373.0 18819.0 5236.0 1773.0 1044.0 432.0 0.0
 1 11260 4113 740330.0 7172249.0 595.5624628126341 85.60899461479107 0.0 54959.77 160807.0 76034.0 32524.0 9711.0 1909.0 254.0 -57.0 47.0 178.0 0.0 223639.0 163184.0 101706.0 50011.0 18462.0 5228.0 1829.0 1086.0 450.0 0.0
 1 11260 4114 740330.0 7172261.5 595.7945046502422 84.23120634856461 0.0 54953.71 160080.0 74226.0 30984.0 8847.0 1633.0 220.0 -67.0 41.0 183.0 0.0 218820.0 158383.0 98229.0 48331.0 18028.0 5215.0 1884.0 1130.0 468.0 0.0
 1 11260 4115 740330.0 7172274.0 595.8000940550861 83.29671877949873 0.0 54948.11 160020.0 73232.0 30012.0 8291.0 1457.0 203.0 -72.0 36.0 185.0 0.0 212647.0 152744.0 94149.0 46349.0 17527.0 5196.0 1935.0 1174.0 486.0 0.0
 1 11260 4116 740330.0 7172286.5 595.517669804011 82.99453317932026 0.0 54942.84 160663.0 73193.0 29721.0 8100.0 1395.0 204.0 -73.0 31.0 185.0 0.0 205103.0 146094.0 89439.0 44098.0 16967.0 5170.0 1982.0 1216.0 502.0 0.0
 1 11260 4117 740330.0 7172299.0 594.9800333038688 83.3290168243391 0.0 54937.77 162184.0 74294.0 30230.0 8316.0 1456.0 225.0 -71.0 28.0 184.0 0.0 196348.0 138339.0 84125.0 41635.0 16358.0 5138.0 2026.0 1256.0 516.0 0.0
 1 11260 4118 740330.0 7172311.5 594.2668893390689 84.11919622715223 0.0 54932.99 164874.0 76754.0 31658.0 8968.0 1643.0 267.0 -65.0 27.0 181.0 0.0 186704.0 129549.0 78308.0 39033.0 15711.0 5096.0 2064.0 1290.0 528.0 0.0
 1 11260 4119 740330.0 7172324.0 593.4579426940204 85.08834422858145 0.0 54928.53 169075.0 80811.0 34116.0 10074.0 1954.0 335.0 -52.0 28.0 177.0 0.0 176612.0 120027.0 72190.0 36383.0 15042.0 5045.0 2098.0 1319.0 537.0 0.0
 1 11260 4120 740330.0 7172336.5 592.6328981531323 85.98292045178441 0.0 54924.2 175087.0 86674.0 37689.0 11646.0 2391.0 433.0 -34.0 30.0 173.0 0.0 166616.0 110322.0 66081.0 33799.0 14370.0 4986.0 2128.0 1342.0 545.0 0.0
 1 11260 4121 740330.0 7172349.0 591.8714605008136 86.65152619978053 0.0 54920.17 183058.0 94450.0 42405.0 13680.0 2956.0 564.0 -8.0 34.0 170.0 0.0 157377.0 101188.0 60387.0 31413.0 13721.0 4920.0 2153.0 1358.0 551.0 0.0
