  Iteration    RMS_Error(%)   Model_Norm          Time(s)
          1          85.242        0.000            134.5
          2          84.077       14.680            269.2
          3          80.807       87.014            403.1
          4          76.174      201.360            536.7
          5          71.321      335.172            670.2
          6          64.016      514.703            803.4
          7          58.274      617.026            936.7
          8          53.197      696.423           1069.9
          9          48.235      760.828           1203.9
         10          44.128      805.852           1337.5
         11          40.956      835.786           1470.7
         12          37.805      863.949           1604.4
         13          34.214      895.886           1738.3
         14          31.277      921.886           1871.9
         15          28.433      955.865           2005.9
         16          25.379     1020.988           2139.3
         17          23.037     1084.776           2272.9
         18          21.365     1137.513           2407.2
         19          20.239     1202.646           2540.6
         20          18.906     1293.609           2674.3
         21          17.936     1399.760           2807.8
         22          17.237     1514.727           2942.0
         23          16.709     1622.380           3075.9
         24          16.258     1741.105           3209.2
         25          15.447     1903.785           3342.7
         26          14.941     1955.756           3476.1
         27          14.582     1999.088           3610.3
         28          14.089     2052.695           3744.1
         29          13.598     2158.168           3877.6
         30          13.582     2242.469           4011.3
         31          13.552     2235.984           4159.8
         32          13.444     2242.992           4302.1
         33          13.411     2254.042           4445.0
         34          13.401     2267.378           4587.9
         35          13.385     2282.665           4729.7
         36          13.366     2296.748           4871.5
         37          13.347     2319.519           5014.2
