Line,Location,RL,East,North,Resistivity_ohmm,Log_Resistivity,Conductivity_mS_m,Log_Conductivity
11240,25.0,556.1,729521.25,7168044.50,8.32,0.92,120.20,2.08
11240,25.0,546.1,729521.25,7168044.50,8.71,0.94,114.76,2.06
11240,25.0,536.1,729521.25,7168044.50,8.14,0.91,122.91,2.09
11240,25.0,526.1,729521.25,7168044.50,6.31,0.80,158.41,2.20
11240,25.0,516.1,729521.25,7168044.50,4.15,0.62,240.79,2.38
11240,25.0,503.6,729521.25,7168044.50,2.05,0.31,488.72,2.69
11240,25.0,486.1,729521.25,7168044.50,1.67,0.22,599.23,2.78
11240,25.0,465.5,729521.25,7168044.50,5.86,0.77,170.76,2.23
11240,25.0,443.6,729521.25,7168044.50,24.69,1.39,40.50,1.61
11240,25.0,420.5,729521.25,7168044.50,76.65,1.88,13.05,1.12
11240,25.0,395.9,729521.25,7168044.50,172.72,2.24,5.79,0.76
11240,25.0,369.9,729521.25,7168044.50,303.50,2.48,3.29,0.52
11240,25.0,342.4,729521.25,7168044.50,446.73,2.65,2.24,0.35
11240,25.0,313.1,729521.25,7168044.50,581.47,2.76,1.72,0.24
11240,25.0,282.2,729521.25,7168044.50,695.58,2.84,1.44,0.16
11240,25.0,249.3,729521.25,7168044.50,785.16,2.89,1.27,0.11
11240,25.0,214.5,729521.25,7168044.50,852.14,2.93,1.17,0.07
11240,25.0,176.8,729521.25,7168044.50,902.45,2.96,1.11,0.04
11240,25.0,136.0,729521.25,7168044.50,937.14,2.97,1.07,0.03
11240,25.0,92.9,729521.25,7168044.50,960.47,2.98,1.04,0.02
11240,25.0,47.3,729521.25,7168044.50,975.47,2.99,1.03,0.01
11240,25.0,-1.0,729521.25,7168044.50,983.60,2.99,1.02,0.01
11240,75.0,556.0,729521.50,7168094.50,15.27,1.18,65.49,1.82
11240,75.0,546.0,729521.50,7168094.50,15.72,1.20,63.61,1.80
11240,75.0,536.0,729521.50,7168094.50,16.99,1.23,58.84,1.77
11240,75.0,526.0,729521.50,7168094.50,18.40,1.26,54.34,1.74
11240,75.0,516.0,729521.50,7168094.50,18.88,1.28,52.95,1.72
11240,75.0,503.5,729521.50,7168094.50,17.93,1.25,55.77,1.75
11240,75.0,486.0,729521.50,7168094.50,17.42,1.24,57.40,1.76
11240,75.0,465.4,729521.50,7168094.50,25.80,1.41,38.77,1.59
11240,75.0,443.6,729521.50,7168094.50,51.89,1.72,19.27,1.28
11240,75.0,420.4,729521.50,7168094.50,108.03,2.03,9.26,0.97
11240,75.0,395.9,729521.50,7168094.50,201.44,2.30,4.96,0.70
11240,75.0,369.9,729521.50,7168094.50,325.02,2.51,3.08,0.49
11240,75.0,342.3,729521.50,7168094.50,460.94,2.66,2.17,0.34
11240,75.0,313.1,729521.50,7168094.50,590.31,2.77,1.69,0.23
11240,75.0,282.1,729521.50,7168094.50,701.26,2.85,1.43,0.15
11240,75.0,249.3,729521.50,7168094.50,789.42,2.90,1.27,0.10
11240,75.0,214.5,729521.50,7168094.50,855.87,2.93,1.17,0.07
11240,75.0,176.7,729521.50,7168094.50,905.94,2.96,1.10,0.04
11240,75.0,136.0,729521.50,7168094.50,940.47,2.97,1.06,0.03
11240,75.0,92.8,729521.50,7168094.50,963.63,2.98,1.04,0.02
11240,75.0,47.2,729521.50,7168094.50,978.46,2.99,1.02,0.01
11240,75.0,-1.0,729521.50,7168094.50,986.24,2.99,1.01,0.01
11240,125.0,555.7,729521.62,7168144.50,21.81,1.34,45.85,1.66
11240,125.0,545.7,729521.62,7168144.50,17.28,1.24,57.86,1.76
11240,125.0,535.7,729521.62,7168144.50,15.51,1.19,64.48,1.81
11240,125.0,525.7,729521.62,7168144.50,18.39,1.26,54.37,1.74
11240,125.0,515.7,729521.62,7168144.50,24.77,1.39,40.38,1.61
11240,125.0,503.2,729521.62,7168144.50,37.53,1.57,26.65,1.43
11240,125.0,485.7,729521.62,7168144.50,52.18,1.72,19.16,1.28
11240,125.0,465.1,729521.62,7168144.50,68.86,1.84,14.52,1.16
11240,125.0,443.3,729521.62,7168144.50,100.37,2.00,9.96,1.00
11240,125.0,420.1,729521.62,7168144.50,157.10,2.20,6.37,0.80
11240,125.0,395.6,729521.62,7168144.50,243.83,2.39,4.10,0.61
11240,125.0,369.6,729521.62,7168144.50,355.74,2.55,2.81,0.45
11240,125.0,342.0,729521.62,7168144.50,479.84,2.68,2.08,0.32
11240,125.0,312.8,729521.62,7168144.50,600.93,2.78,1.66,0.22
11240,125.0,281.8,729521.62,7168144.50,707.57,2.85,1.41,0.15
11240,125.0,249.0,729521.62,7168144.50,794.17,2.90,1.26,0.10
11240,125.0,214.2,729521.62,7168144.50,860.45,2.93,1.16,0.07
11240,125.0,176.5,729521.62,7168144.50,910.80,2.96,1.10,0.04
11240,125.0,135.8,729521.62,7168144.50,945.56,2.98,1.06,0.02
11240,125.0,92.7,729521.62,7168144.50,968.82,2.99,1.03,0.01
11240,125.0,47.2,729521.62,7168144.50,983.25,2.99,1.02,0.01
11240,125.0,-1.0,729521.62,7168144.50,990.85,3.00,1.01,0.00
11240,175.0,555.4,729521.88,7168194.50,27.84,1.44,35.92,1.56
11240,175.0,545.4,729521.88,7168194.50,14.64,1.17,68.32,1.83
11240,175.0,535.4,729521.88,7168194.50,7.98,0.90,125.31,2.10
11240,175.0,525.4,729521.88,7168194.50,8.43,0.93,118.62,2.07
11240,175.0,515.4,729521.88,7168194.50,14.09,1.15,70.97,1.85
11240,175.0,502.9,729521.88,7168194.50,33.10,1.52,30.22,1.48
11240,175.0,485.4,729521.88,7168194.50,69.53,1.84,14.38,1.16
11240,175.0,464.8,729521.88,7168194.50,104.85,2.02,9.54,0.98
11240,175.0,442.9,729521.88,7168194.50,144.32,2.16,6.93,0.84
11240,175.0,419.8,729521.88,7168194.50,200.38,2.30,4.99,0.70
11240,175.0,395.3,729521.88,7168194.50,279.41,2.45,3.58,0.55
11240,175.0,369.3,729521.88,7168194.50,379.88,2.58,2.63,0.42
11240,175.0,341.7,729521.88,7168194.50,492.97,2.69,2.03,0.31
11240,175.0,312.5,729521.88,7168194.50,606.65,2.78,1.65,0.22
11240,175.0,281.5,729521.88,7168194.50,709.92,2.85,1.41,0.15
11240,175.0,248.7,729521.88,7168194.50,796.38,2.90,1.26,0.10
11240,175.0,213.9,729521.88,7168194.50,863.75,2.94,1.16,0.06
11240,175.0,176.2,729521.88,7168194.50,915.51,2.96,1.09,0.04
11240,175.0,135.5,729521.88,7168194.50,951.31,2.98,1.05,0.02
11240,175.0,92.5,729521.88,7168194.50,974.96,2.99,1.03,0.01
11240,175.0,47.1,729521.88,7168194.50,989.37,3.00,1.01,0.00
11240,175.0,-1.1,729521.88,7168194.50,996.67,3.00,1.00,0.00
11240,225.0,555.1,729522.00,7168244.50,25.16,1.40,39.75,1.60
11240,225.0,545.1,729522.00,7168244.50,12.54,1.10,79.72,1.90
11240,225.0,535.1,729522.00,7168244.50,5.85,0.77,171.05,2.23
11240,225.0,525.1,729522.00,7168244.50,4.85,0.69,206.37,2.31
11240,225.0,515.1,729522.00,7168244.50,7.65,0.88,130.71,2.12
11240,225.0,502.6,729522.00,7168244.50,21.28,1.33,47.00,1.67
11240,225.0,485.1,729522.00,7168244.50,60.15,1.78,16.63,1.22
11240,225.0,464.5,729522.00,7168244.50,109.03,2.04,9.17,0.96
11240,225.0,442.7,729522.00,7168244.50,158.88,2.20,6.29,0.80
11240,225.0,419.5,729522.00,7168244.50,217.44,2.34,4.60,0.66
11240,225.0,395.0,729522.00,7168244.50,292.78,2.47,3.42,0.53
11240,225.0,369.0,729522.00,7168244.50,386.44,2.59,2.59,0.41
11240,225.0,341.4,729522.00,7168244.50,493.18,2.69,2.03,0.31
11240,225.0,312.2,729522.00,7168244.50,603.09,2.78,1.66,0.22
11240,225.0,281.2,729522.00,7168244.50,706.03,2.85,1.42,0.15
11240,225.0,248.4,729522.00,7168244.50,794.53,2.90,1.26,0.10
11240,225.0,213.6,729522.00,7168244.50,864.96,2.94,1.16,0.06
11240,225.0,176.0,729522.00,7168244.50,919.45,2.96,1.09,0.04
11240,225.0,135.4,729522.00,7168244.50,957.18,2.98,1.04,0.02
11240,225.0,92.4,729522.00,7168244.50,981.81,2.99,1.02,0.01
11240,225.0,47.0,729522.00,7168244.50,996.47,3.00,1.00,0.00
11240,225.0,-1.1,729522.00,7168244.50,1003.56,3.00,1.00,-0.00
11240,275.0,555.0,729522.25,7168294.50,26.26,1.42,38.08,1.58
11240,275.0,545.0,729522.25,7168294.50,16.84,1.23,59.38,1.77
11240,275.0,535.0,729522.25,7168294.50,10.03,1.00,99.73,2.00
11240,275.0,525.0,729522.25,7168294.50,7.93,0.90,126.09,2.10
11240,275.0,515.0,729522.25,7168294.50,9.68,0.99,103.34,2.01
11240,275.0,502.5,729522.25,7168294.50,19.80,1.30,50.49,1.70
11240,275.0,485.0,729522.25,7168294.50,51.72,1.71,19.33,1.29
11240,275.0,464.4,729522.25,7168294.50,98.83,1.99,10.12,1.01
11240,275.0,442.6,729522.25,7168294.50,150.68,2.18,6.64,0.82
11240,275.0,419.5,729522.25,7168294.50,210.15,2.32,4.76,0.68
11240,275.0,394.9,729522.25,7168294.50,284.09,2.45,3.52,0.55
11240,275.0,368.9,729522.25,7168294.50,375.22,2.57,2.67,0.43
11240,275.0,341.3,729522.25,7168294.50,480.14,2.68,2.08,0.32
11240,275.0,312.1,729522.25,7168294.50,590.42,2.77,1.69,0.23
11240,275.0,281.1,729522.25,7168294.50,696.22,2.84,1.44,0.16
11240,275.0,248.3,729522.25,7168294.50,789.10,2.90,1.27,0.10
11240,275.0,213.5,729522.25,7168294.50,864.29,2.94,1.16,0.06
11240,275.0,175.9,729522.25,7168294.50,922.92,2.97,1.08,0.03
11240,275.0,135.3,729522.25,7168294.50,963.39,2.98,1.04,0.02
11240,275.0,92.4,729522.25,7168294.50,989.36,3.00,1.01,0.00
11240,275.0,47.0,729522.25,7168294.50,1004.46,3.00,1.00,-0.00
11240,275.0,-1.1,729522.25,7168294.50,1011.11,3.00,0.99,-0.00
11240,325.0,555.1,729522.38,7168344.50,12.65,1.10,79.04,1.90
11240,325.0,545.1,729522.38,7168344.50,8.45,0.93,118.32,2.07
11240,325.0,535.1,729522.38,7168344.50,5.84,0.77,171.26,2.23
11240,325.0,525.1,729522.38,7168344.50,5.85,0.77,171.02,2.23
11240,325.0,515.1,729522.38,7168344.50,8.30,0.92,120.51,2.08
11240,325.0,502.6,729522.38,7168344.50,17.90,1.25,55.88,1.75
11240,325.0,485.1,729522.38,7168344.50,45.58,1.66,21.94,1.34
11240,325.0,464.5,729522.38,7168344.50,87.48,1.94,11.43,1.06
11240,325.0,442.7,729522.38,7168344.50,135.65,2.13,7.37,0.87
11240,325.0,419.5,729522.38,7168344.50,192.43,2.28,5.20,0.72
11240,325.0,395.0,729522.38,7168344.50,264.10,2.42,3.79,0.58
11240,325.0,369.0,729522.38,7168344.50,353.97,2.55,2.83,0.45
11240,325.0,341.4,729522.38,7168344.50,459.27,2.66,2.18,0.34
11240,325.0,312.2,729522.38,7168344.50,572.46,2.76,1.75,0.24
11240,325.0,281.2,729522.38,7168344.50,683.34,2.83,1.46,0.17
11240,325.0,248.4,729522.38,7168344.50,782.33,2.89,1.28,0.11
11240,325.0,213.6,729522.38,7168344.50,863.29,2.94,1.16,0.06
11240,325.0,176.0,729522.38,7168344.50,926.75,2.97,1.08,0.03
11240,325.0,135.4,729522.38,7168344.50,970.51,2.99,1.03,0.01
11240,325.0,92.4,729522.38,7168344.50,998.01,3.00,1.00,0.00
11240,325.0,47.0,729522.38,7168344.50,1013.00,3.01,0.99,-0.01
11240,325.0,-1.1,729522.38,7168344.50,1020.41,3.01,0.98,-0.01
11240,375.0,555.4,729522.62,7168394.50,42.95,1.63,23.28,1.37
11240,375.0,545.4,729522.62,7168394.50,22.28,1.35,44.88,1.65
