Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
11240,175.0,281.5,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,248.7,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,213.9,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,176.2,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,135.5,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,92.5,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,47.1,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,-1.1,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,225.0,555.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,545.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,535.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,525.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,515.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,502.6,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,485.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,464.5,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,442.7,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,419.5,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,395.0,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,369.0,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,341.4,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,312.2,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,281.2,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,248.4,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,213.6,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,176.0,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,135.4,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,92.4,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,47.0,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,225.0,-1.1,729522.00,7168244.50,1000.00,3.00,1.00,0.00
11240,275.0,555.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,545.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,535.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,525.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,515.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,502.5,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,485.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,464.4,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,442.6,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,419.5,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,394.9,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,368.9,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,341.3,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,312.1,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,281.1,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,248.3,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,213.5,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,175.9,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,135.3,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,92.4,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,47.0,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,275.0,-1.1,729522.25,7168294.50,1000.00,3.00,1.00,0.00
11240,325.0,555.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,545.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,535.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,525.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,515.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,502.6,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,485.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,464.5,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,442.7,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,419.5,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,395.0,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,369.0,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,341.4,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,312.2,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,281.2,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,248.4,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,213.6,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,176.0,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,135.4,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,92.4,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,47.0,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,325.0,-1.1,729522.38,7168344.50,1000.00,3.00,1.00,0.00
11240,375.0,555.4,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,545.4,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,535.4,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,525.4,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,515.4,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,502.9,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,485.4,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,464.8,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,442.9,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,419.8,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,395.3,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,369.2,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,341.7,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,312.5,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,281.5,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,248.6,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,213.8,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,176.2,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,135.5,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,92.5,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,47.0,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,375.0,-1.1,729522.62,7168394.50,1000.00,3.00,1.00,0.00
11240,425.0,555.6,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,545.6,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,535.6,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,525.6,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,515.6,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,503.1,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,485.6,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,465.0,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,443.2,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,420.0,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,395.5,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,369.5,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,341.9,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,312.7,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,281.7,729522.75,7168444.50,1000.00,3.00,1.00,0.00
11240,425.0,248.9,729522.75,7168444.50,1000.00,3.00,1.00,0.00
