Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
31003,50.0,25.6,478996.81,6196058.00,15.36,1.19,65.10,1.81
31003,50.0,22.6,478996.81,6196058.00,7.95,0.90,125.74,2.10
31003,50.0,19.6,478996.81,6196058.00,5.74,0.76,174.26,2.24
31003,50.0,16.6,478996.81,6196058.00,4.71,0.67,212.18,2.33
31003,50.0,13.6,478996.81,6196058.00,3.68,0.57,271.49,2.43
31003,50.0,10.6,478996.81,6196058.00,2.98,0.47,335.04,2.53
31003,50.0,7.6,478996.81,6196058.00,3.15,0.50,317.44,2.50
31003,50.0,4.6,478996.81,6196058.00,4.16,0.62,240.57,2.38
31003,50.0,1.6,478996.81,6196058.00,5.95,0.77,168.10,2.23
31003,50.0,-1.4,478996.81,6196058.00,8.39,0.92,119.22,2.08
31003,50.0,-4.4,478996.81,6196058.00,11.19,1.05,89.38,1.95
31003,50.0,-7.4,478996.81,6196058.00,14.02,1.15,71.33,1.85
31003,50.0,-10.4,478996.81,6196058.00,16.64,1.22,60.08,1.78
31003,50.0,-13.4,478996.81,6196058.00,18.96,1.28,52.75,1.72
31003,50.0,-16.4,478996.81,6196058.00,20.96,1.32,47.70,1.68
31003,50.0,-19.4,478996.81,6196058.00,22.71,1.36,44.03,1.64
31003,50.0,-22.4,478996.81,6196058.00,24.27,1.39,41.21,1.61
31003,50.0,-25.4,478996.81,6196058.00,25.68,1.41,38.94,1.59
31003,50.0,-28.4,478996.81,6196058.00,26.99,1.43,37.05,1.57
31003,50.0,-31.4,478996.81,6196058.00,28.22,1.45,35.43,1.55
31003,50.0,-34.6,478996.81,6196058.00,29.56,1.47,33.83,1.53
31003,50.0,-38.1,478996.81,6196058.00,30.82,1.49,32.45,1.51
31003,50.0,-41.6,478996.81,6196058.00,31.99,1.51,31.26,1.49
31003,50.0,-45.0,478996.81,6196058.00,33.09,1.52,30.22,1.48
31003,50.0,-48.5,478996.81,6196058.00,34.09,1.53,29.33,1.47
31003,50.0,-52.0,478996.81,6196058.00,35.00,1.54,28.57,1.46
31003,50.0,-55.5,478996.81,6196058.00,35.79,1.55,27.94,1.45
31003,50.0,-58.9,478996.81,6196058.00,36.46,1.56,27.43,1.44
31003,50.0,-62.4,478996.81,6196058.00,36.97,1.57,27.05,1.43
31003,50.0,-65.9,478996.81,6196058.00,37.27,1.57,26.83,1.43
31003,150.0,24.6,478996.81,6196158.00,25.38,1.40,39.40,1.60
31003,150.0,21.6,478996.81,6196158.00,4.18,0.62,239.26,2.38
31003,150.0,18.6,478996.81,6196158.00,3.42,0.53,292.62,2.47
31003,150.0,15.6,478996.81,6196158.00,3.20,0.50,312.70,2.50
31003,150.0,12.6,478996.81,6196158.00,2.16,0.33,463.14,2.67
31003,150.0,9.6,478996.81,6196158.00,1.32,0.12,757.45,2.88
31003,150.0,6.6,478996.81,6196158.00,1.46,0.17,682.92,2.83
31003,150.0,3.6,478996.81,6196158.00,2.37,0.38,421.31,2.62
31003,150.0,0.6,478996.81,6196158.00,4.07,0.61,245.63,2.39
31003,150.0,-2.4,478996.81,6196158.00,6.50,0.81,153.92,2.19
31003,150.0,-5.4,478996.81,6196158.00,9.36,0.97,106.82,2.03
31003,150.0,-8.4,478996.81,6196158.00,12.29,1.09,81.34,1.91
31003,150.0,-11.4,478996.81,6196158.00,15.03,1.18,66.53,1.82
31003,150.0,-14.4,478996.81,6196158.00,17.47,1.24,57.24,1.76
31003,150.0,-17.4,478996.81,6196158.00,19.62,1.29,50.97,1.71
31003,150.0,-20.4,478996.81,6196158.00,21.54,1.33,46.42,1.67
31003,150.0,-23.4,478996.81,6196158.00,23.30,1.37,42.93,1.63
31003,150.0,-26.4,478996.81,6196158.00,24.93,1.40,40.11,1.60
31003,150.0,-29.4,478996.81,6196158.00,26.49,1.42,37.76,1.58
31003,150.0,-32.4,478996.81,6196158.00,27.98,1.45,35.74,1.55
31003,150.0,-35.6,478996.81,6196158.00,29.61,1.47,33.77,1.53
31003,150.0,-39.0,478996.81,6196158.00,31.17,1.49,32.09,1.51
31003,150.0,-42.3,478996.81,6196158.00,32.65,1.51,30.63,1.49
31003,150.0,-45.7,478996.81,6196158.00,34.04,1.53,29.37,1.47
31003,150.0,-49.1,478996.81,6196158.00,35.34,1.55,28.30,1.45
31003,150.0,-52.4,478996.81,6196158.00,36.51,1.56,27.39,1.44
31003,150.0,-55.8,478996.81,6196158.00,37.55,1.57,26.63,1.43
31003,150.0,-59.2,478996.81,6196158.00,38.43,1.58,26.02,1.42
31003,150.0,-62.6,478996.81,6196158.00,39.14,1.59,25.55,1.41
31003,150.0,-65.9,478996.81,6196158.00,39.60,1.60,25.25,1.40
31003,250.0,23.8,478996.81,6196258.00,72.88,1.86,13.72,1.14
31003,250.0,20.8,478996.81,6196258.00,0.45,-0.34,2211.85,3.34
31003,250.0,17.8,478996.81,6196258.00,1.50,0.18,667.78,2.82
31003,250.0,14.8,478996.81,6196258.00,2.08,0.32,481.37,2.68
31003,250.0,11.8,478996.81,6196258.00,0.87,-0.06,1147.22,3.06
31003,250.0,8.8,478996.81,6196258.00,0.20,-0.70,4996.65,3.70
31003,250.0,5.8,478996.81,6196258.00,0.29,-0.54,3433.74,3.54
31003,250.0,2.8,478996.81,6196258.00,0.83,-0.08,1209.75,3.08
31003,250.0,-0.2,478996.81,6196258.00,2.08,0.32,481.61,2.68
31003,250.0,-3.2,478996.81,6196258.00,4.19,0.62,238.45,2.38
31003,250.0,-6.2,478996.81,6196258.00,6.95,0.84,143.95,2.16
31003,250.0,-9.2,478996.81,6196258.00,9.90,1.00,101.06,2.00
31003,250.0,-12.2,478996.81,6196258.00,12.72,1.10,78.63,1.90
31003,250.0,-15.2,478996.81,6196258.00,15.30,1.18,65.36,1.82
31003,250.0,-18.2,478996.81,6196258.00,17.66,1.25,56.62,1.75
31003,250.0,-21.2,478996.81,6196258.00,19.87,1.30,50.33,1.70
31003,250.0,-24.2,478996.81,6196258.00,21.97,1.34,45.51,1.66
31003,250.0,-27.2,478996.81,6196258.00,24.02,1.38,41.62,1.62
31003,250.0,-30.2,478996.81,6196258.00,26.05,1.42,38.39,1.58
31003,250.0,-33.2,478996.81,6196258.00,28.07,1.45,35.62,1.55
31003,250.0,-36.3,478996.81,6196258.00,30.34,1.48,32.96,1.52
31003,250.0,-39.6,478996.81,6196258.00,32.57,1.51,30.70,1.49
31003,250.0,-42.9,478996.81,6196258.00,34.76,1.54,28.77,1.46
31003,250.0,-46.2,478996.81,6196258.00,36.86,1.57,27.13,1.43
31003,250.0,-49.5,478996.81,6196258.00,38.85,1.59,25.74,1.41
31003,250.0,-52.8,478996.81,6196258.00,40.68,1.61,24.58,1.39
31003,250.0,-56.1,478996.81,6196258.00,42.33,1.63,23.63,1.37
31003,250.0,-59.4,478996.81,6196258.00,43.75,1.64,22.86,1.36
31003,250.0,-62.7,478996.81,6196258.00,44.92,1.65,22.26,1.35
31003,250.0,-66.0,478996.81,6196258.00,45.79,1.66,21.84,1.34
31003,350.0,24.7,478996.81,6196358.00,6.59,0.82,151.82,2.18
31003,350.0,21.7,478996.81,6196358.00,7.08,0.85,141.33,2.15
31003,350.0,18.7,478996.81,6196358.00,6.23,0.79,160.60,2.21
31003,350.0,15.7,478996.81,6196358.00,2.64,0.42,378.88,2.58
31003,350.0,12.7,478996.81,6196358.00,1.25,0.10,800.46,2.90
31003,350.0,9.7,478996.81,6196358.00,0.24,-0.61,4091.12,3.61
31003,350.0,6.7,478996.81,6196358.00,0.14,-0.86,7316.89,3.86
31003,350.0,3.7,478996.81,6196358.00,0.33,-0.48,3040.35,3.48
31003,350.0,0.7,478996.81,6196358.00,1.07,0.03,934.44,2.97
31003,350.0,-2.3,478996.81,6196358.00,2.76,0.44,361.81,2.56
31003,350.0,-5.3,478996.81,6196358.00,5.31,0.73,188.23,2.27
31003,350.0,-8.3,478996.81,6196358.00,8.19,0.91,122.15,2.09
31003,350.0,-11.3,478996.81,6196358.00,10.98,1.04,91.07,1.96
31003,350.0,-14.3,478996.81,6196358.00,13.58,1.13,73.64,1.87
31003,350.0,-17.3,478996.81,6196358.00,16.03,1.21,62.37,1.79
31003,350.0,-20.3,478996.81,6196358.00,18.43,1.27,54.27,1.73
31003,350.0,-23.3,478996.81,6196358.00,20.82,1.32,48.03,1.68
31003,350.0,-26.3,478996.81,6196358.00,23.26,1.37,42.99,1.63
31003,350.0,-29.3,478996.81,6196358.00,25.78,1.41,38.79,1.59
31003,350.0,-32.3,478996.81,6196358.00,28.39,1.45,35.23,1.55
31003,350.0,-35.5,478996.81,6196358.00,31.50,1.50,31.75,1.50
31003,350.0,-38.9,478996.81,6196358.00,34.68,1.54,28.84,1.46
31003,350.0,-42.2,478996.81,6196358.00,37.86,1.58,26.41,1.42
31003,350.0,-45.6,478996.81,6196358.00,41.01,1.61,24.38,1.39
31003,350.0,-49.0,478996.81,6196358.00,44.07,1.64,22.69,1.36
31003,350.0,-52.4,478996.81,6196358.00,46.97,1.67,21.29,1.33
31003,350.0,-55.8,478996.81,6196358.00,49.62,1.70,20.15,1.30
31003,350.0,-59.2,478996.81,6196358.00,51.91,1.72,19.27,1.28
31003,350.0,-62.6,478996.81,6196358.00,53.70,1.73,18.62,1.27
31003,350.0,-65.9,478996.81,6196358.00,54.84,1.74,18.23,1.26
31003,450.0,26.1,478996.81,6196458.00,1.42,0.15,706.49,2.85
31003,450.0,23.1,478996.81,6196458.00,4.98,0.70,200.83,2.30
31003,450.0,20.1,478996.81,6196458.00,0.76,-0.12,1320.45,3.12
31003,450.0,17.1,478996.81,6196458.00,0.75,-0.13,1334.39,3.13
31003,450.0,14.1,478996.81,6196458.00,1.68,0.23,594.17,2.77
31003,450.0,11.1,478996.81,6196458.00,1.55,0.19,643.90,2.81
31003,450.0,8.1,478996.81,6196458.00,0.35,-0.45,2842.02,3.45
31003,450.0,5.1,478996.81,6196458.00,0.14,-0.85,7028.71,3.85
31003,450.0,2.1,478996.81,6196458.00,0.52,-0.28,1922.57,3.28
31003,450.0,-0.9,478996.81,6196458.00,1.84,0.26,543.54,2.74
31003,450.0,-3.9,478996.81,6196458.00,4.17,0.62,239.75,2.38
31003,450.0,-6.9,478996.81,6196458.00,6.89,0.84,145.05,2.16
31003,450.0,-9.9,478996.81,6196458.00,9.55,0.98,104.74,2.02
31003,450.0,-12.9,478996.81,6196458.00,12.05,1.08,82.97,1.92
31003,450.0,-15.9,478996.81,6196458.00,14.51,1.16,68.93,1.84
31003,450.0,-18.9,478996.81,6196458.00,17.02,1.23,58.74,1.77
31003,450.0,-21.9,478996.81,6196458.00,19.68,1.29,50.83,1.71
31003,450.0,-24.9,478996.81,6196458.00,22.51,1.35,44.42,1.65
31003,450.0,-27.9,478996.81,6196458.00,25.56,1.41,39.13,1.59
31003,450.0,-30.9,478996.81,6196458.00,28.83,1.46,34.69,1.54
31003,450.0,-34.2,478996.81,6196458.00,33.05,1.52,30.26,1.48
31003,450.0,-37.7,478996.81,6196458.00,37.47,1.57,26.69,1.43
31003,450.0,-41.2,478996.81,6196458.00,42.01,1.62,23.81,1.38
31003,450.0,-44.7,478996.81,6196458.00,46.59,1.67,21.47,1.33
31003,450.0,-48.2,478996.81,6196458.00,51.12,1.71,19.56,1.29
31003,450.0,-51.8,478996.81,6196458.00,55.52,1.74,18.01,1.26
31003,450.0,-55.3,478996.81,6196458.00,59.61,1.78,16.78,1.22
31003,450.0,-58.8,478996.81,6196458.00,63.16,1.80,15.83,1.20
31003,450.0,-62.3,478996.81,6196458.00,65.81,1.82,15.20,1.18
31003,450.0,-65.9,478996.81,6196458.00,67.16,1.83,14.89,1.17
31003,550.0,27.8,478996.81,6196558.00,3.26,0.51,306.43,2.49
31003,550.0,24.8,478996.81,6196558.00,7.45,0.87,134.25,2.13
