Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,82,478994.2,6196274.0,24.8,40.3,0.0,0.0,1226.523,264.3462,934.6287,387.0653,500.7445,405.5932,168.2427,250.1594,41.58044,105.2214,105.9702,104.6135
1,1,93,478993.1,6196310.5,25.5,39.2,0.0,0.0,1293.953,277.3083,989.1995,405.4830,532.7928,429.5813,177.8918,266.1937,43.11497,111.4197,115.9469,116.3588
1,1,104,478993.2,6196347.5,26.5,36.5,0.0,0.0,1427.782,307.2906,1091.074,446.5862,587.7402,475.4969,193.4248,294.3456,45.65938,121.8727,131.1156,136.5871
1,1,115,478994.3,6196385.0,27.0,34.5,0.0,0.0,1599.425,346.0305,1221.244,499.4529,657.9644,534.1816,213.1578,330.4170,48.90304,135.1663,148.7621,160.1521
1,1,126,478995.7,6196423.0,27.0,33.5,0.0,0.0,1777.819,384.5565,1359.042,552.2231,735.1644,595.6804,235.2549,369.8377,52.50750,149.7605,165.9416,181.4745
1,1,137,478996.8,6196460.5,27.3,32.7,0.0,0.0,1930.494,414.4021,1481.485,593.5643,808.6530,649.1917,257.0982,406.9314,56.03241,163.6924,179.9362,196.0779
1,1,148,478997.1,6196497.5,28.0,31.5,0.0,0.0,2041.453,432.6544,1575.296,619.3415,870.4896,688.7275,276.5838,437.7048,59.18126,175.5747,190.3391,204.3271
1,1,159,478996.1,6196534.0,28.8,30.9,0.0,0.0,2098.171,437.3853,1629.537,626.7232,913.6974,709.4268,291.8203,458.6913,61.69501,184.1960,197.0478,207.1458
1,1,170,478994.3,6196571.0,29.8,30.5,0.0,0.0,2105.955,430.6766,1647.024,618.3146,938.5803,712.8205,302.7204,470.1674,63.57372,189.6159,200.8160,206.0809
1,1,181,478992.4,6196608.0,30.2,31.1,0.0,0.0,2085.739,418.7666,1641.757,602.2826,950.2230,705.9781,310.0464,474.9664,64.91814,192.6545,202.9282,203.3459
1,1,192,478991.2,6196646.0,31.1,32.1,0.0,0.0,2058.560,407.6002,1628.261,586.4000,954.6039,696.0349,314.9601,476.3283,65.89761,194.3265,204.8012,201.0797
1,1,203,478990.8,6196683.5,31.9,32.2,0.0,0.0,2038.005,400.7703,1616.252,575.4728,955.9406,687.8051,318.2070,476.4902,66.60487,195.3058,207.1628,200.4877
1,1,214,478991.1,6196721.0,32.7,31.7,0.0,0.0,2031.767,399.7270,1612.064,571.4706,958.0946,684.1574,320.7974,477.3763,67.18642,196.2682,210.5621,202.1056
1,1,225,478992.3,6196759.5,33.1,31.3,0.0,0.0,2040.993,404.4230,1617.060,574.3425,962.2800,685.6627,323.0714,479.5482,67.69060,197.4192,214.8719,205.6909
1,1,236,478993.9,6196798.0,33.7,31.4,0.0,0.0,2046.313,409.5335,1617.659,577.3473,962.0927,685.9192,323.4516,479.6021,67.87342,197.5950,217.5906,208.2513
1,1,247,478995.5,6196836.5,33.7,31.6,0.0,0.0,2025.705,409.0547,1598.369,572.7985,950.3220,677.5639,320.2393,473.7065,67.47862,195.5102,216.0711,206.5284
1,1,258,478996.2,6196874.5,33.8,32.0,0.0,0.0,1981.308,403.0943,1561.255,561.0030,928.5612,661.3831,313.9800,462.6587,66.57654,191.4739,210.5721,200.5097
1,1,269,478996.0,6196913.0,34.1,32.4,0.0,0.0,1934.593,396.9301,1522.174,548.8214,905.1416,644.6234,306.8930,450.8207,65.48083,187.0095,203.6549,192.7638
1,1,280,478995.1,6196950.5,34.4,32.2,0.0,0.0,1909.268,396.2704,1498.695,543.8015,889.3152,635.2872,301.4769,443.0257,64.55571,183.8224,198.3273,186.6109
1,1,291,478994.1,6196989.0,34.4,32.3,0.0,0.0,1923.257,407.0430,1502.521,552.6526,886.1543,639.0139,298.9333,442.0414,63.99649,182.8476,197.2463,186.2419
1,1,302,478993.5,6197027.5,35.6,31.4,0.0,0.0,1995.728,435.4040,1546.276,582.4778,901.2335,661.8188,300.6651,450.8856,64.04834,185.1409,203.5709,196.8438
1,1,313,478993.3,6197066.5,36.5,30.1,0.0,0.0,2107.734,475.8323,1616.678,626.7615,928.0991,697.4213,305.1191,466.1172,64.50455,189.5572,215.3645,216.1099
1,1,324,478993.6,6197105.0,37.0,29.4,0.0,0.0,2170.455,500.6901,1653.609,653.5698,939.1403,717.0952,305.7399,472.8522,64.40953,191.1224,221.5930,228.1340
1,1,335,478994.6,6197144.5,36.4,30.3,0.0,0.0,2103.247,485.1899,1602.163,634.1577,908.7874,694.7332,296.3252,457.3553,62.84470,185.1995,212.0852,218.3406
1,1,346,478995.7,6197184.0,35.6,31.7,0.0,0.0,1949.806,442.6033,1492.157,584.0732,850.9363,644.5087,280.2250,427.0930,60.29972,174.2964,192.2474,193.7604
1,1,357,478996.7,6197223.0,35.3,33.0,0.0,0.0,1829.339,409.6266,1404.561,545.9762,803.0275,605.0217,266.3907,402.2195,58.08080,165.1635,176.8426,174.5974
1,1,368,478997.1,6197261.0,35.7,33.3,0.0,0.0,1804.302,405.5317,1381.902,542.0869,784.9506,596.4917,259.6414,393.4189,56.89313,161.3985,173.5896,171.5455
1,1,379,478996.9,6197298.5,36.5,32.8,0.0,0.0,1820.717,413.8954,1387.679,552.8351,780.2919,601.4234,256.1768,391.8145,56.18209,160.0646,175.7803,175.8080
1,1,390,478996.3,6197335.5,37.0,32.4,0.0,0.0,1817.839,416.1411,1380.878,556.1625,770.6443,600.1382,251.7518,387.4442,55.33149,157.8720,175.8788,177.4211
1,1,401,478995.5,6197371.5,36.7,33.2,0.0,0.0,1783.098,408.2292,1353.195,547.3718,752.4468,588.5859,245.6224,378.3480,54.24847,154.2063,172.3305,174.3572
1,1,412,478995.1,6197408.5,36.2,33.5,0.0,0.0,1740.730,397.4036,1321.024,535.3017,732.9373,574.6389,239.4586,368.4388,53.18889,150.3710,168.2322,170.9082
1,1,423,478995.4,6197445.5,35.4,33.0,0.0,0.0,1716.438,391.2022,1302.040,529.0424,720.3676,566.6569,235.3081,362.1236,52.47683,147.8809,166.7456,171.2850
1,1,434,478996.3,6197484.0,34.4,33.5,0.0,0.0,1711.527,390.4814,1296.647,529.3974,714.4983,564.9675,232.9858,359.3352,52.07504,146.6677,167.6266,175.0535
1,1,445,478997.0,6197523.0,33.4,33.8,0.0,0.0,1717.005,393.2569,1298.126,533.4836,711.9026,566.5039,231.5507,358.2978,51.82769,146.0828,168.9737,179.2596
1,1,456,478997.3,6197561.5,32.5,33.7,0.0,0.0,1724.943,397.5860,1300.720,538.6569,709.7458,568.6071,230.2458,357.5282,51.60966,145.5927,169.4198,181.8055
1,1,467,478997.4,6197600.0,31.5,33.7,0.0,0.0,1734.636,403.0322,1304.165,544.5292,708.0636,571.0992,229.1271,357.0211,51.43243,145.2134,169.4060,183.4503
1,1,478,478997.4,6197637.5,30.8,33.0,0.0,0.0,1746.205,409.2189,1308.955,550.8710,707.4133,574.1132,228.4201,357.0278,51.33539,145.0619,169.5842,185.2087
1,1,489,478997.1,6197675.5,29.7,32.9,0.0,0.0,1763.879,417.0940,1318.169,559.1171,709.2509,579.0671,228.5185,358.3132,51.38793,145.4173,170.5539,188.1063
1,1,500,478996.8,6197713.0,28.5,32.8,0.0,0.0,1793.641,427.8880,1336.272,571.2216,715.7796,587.9968,230.0228,362.0260,51.69278,146.6967,172.8407,192.9502
1,1,511,478996.7,6197751.5,27.2,33.1,0.0,0.0,1837.120,441.7261,1364.619,587.6600,727.6893,601.4979,233.1399,368.5142,52.29145,149.0370,176.4161,199.7185
1,1,522,478996.9,6197790.5,26.2,32.6,0.0,0.0,1861.020,448.5824,1380.873,596.2155,735.0957,608.9661,235.4162,372.4229,52.78390,150.5912,177.4827,202.1725
1,1,533,478997.5,6197830.0,24.7,32.5,0.0,0.0,1820.026,435.0130,1354.471,580.3533,724.3826,595.9247,233.4498,366.3929,52.61382,148.8123,170.9129,191.9127
1,1,544,478998.1,6197870.5,23.8,33.8,0.0,0.0,1718.005,402.3329,1287.953,541.5134,696.6733,563.6334,227.4388,351.0426,51.79284,143.8773,157.1597,169.3958
1,1,555,478997.9,6197910.5,23.6,34.9,0.0,0.0,1644.537,377.7341,1241.381,512.5865,678.5475,540.7438,223.7487,340.7968,51.29884,140.6579,146.5557,150.8477
1,1,566,478997.0,6197949.5,24.1,34.5,0.0,0.0,1670.622,382.7307,1262.390,519.6142,691.1252,549.9553,227.4720,347.1104,51.92027,143.0366,147.3105,149.3057
1,1,577,478995.6,6197988.5,25.5,33.3,0.0,0.0,1759.092,405.7043,1326.503,548.5961,724.0899,579.4388,236.2851,364.3217,53.30460,149.1486,155.4375,158.9511
1,1,588,478994.4,6198027.0,27.4,32.4,0.0,0.0,1836.452,424.0656,1384.837,572.2227,756.3044,605.7252,245.2703,380.9055,54.69757,155.1462,162.9573,167.9095
1,1,599,478994.0,6198065.5,28.3,32.2,0.0,0.0,1873.954,428.7313,1418.557,579.5769,779.9551,619.6689,252.7101,392.5644,55.83626,159.6234,166.7659,171.2560
1,1,610,478994.6,6198105.5,29.5,32.0,0.0,0.0,1914.832,432.1868,1457.369,585.9489,808.9876,635.1967,262.1703,406.7812,57.26650,165.1693,171.7158,175.3607
1,1,621,478995.9,6198146.0,30.1,31.2,0.0,0.0,2005.276,448.4760,1532.135,608.3201,857.0427,666.9882,276.9823,430.9817,59.50119,174.3057,183.0028,187.2822
1,1,632,478997.5,6198186.5,30.8,30.3,0.0,0.0,2127.035,474.2350,1628.105,641.7563,915.3052,708.5841,294.6070,460.6747,62.17906,185.4018,198.6498,204.7728
1,1,643,478998.8,6198225.5,31.5,29.6,0.0,0.0,2224.877,496.0879,1704.328,668.8167,961.9221,741.4226,309.0457,484.4609,64.41866,194.4019,212.4557,220.1546
1,1,654,478999.4,6198263.0,32.1,29.0,0.0,0.0,2268.167,506.0020,1738.682,679.5044,985.3642,755.4219,317.1280,496.2810,65.74602,199.1486,220.6290,228.6154
1,1,665,478999.4,6198298.5,32.1,29.2,0.0,0.0,2255.534,502.4579,1731.143,672.9783,985.7725,750.5713,318.7670,496.1502,66.12370,199.6064,222.0427,228.6015
1,1,676,478999.2,6198332.5,32.0,30.0,0.0,0.0,2191.271,485.5874,1685.691,650.2361,965.4655,728.6528,314.5249,485.2268,65.61734,196.1636,216.4847,219.7157
1,1,687,478998.9,6198366.5,31.7,30.6,0.0,0.0,2103.507,463.1958,1622.231,620.8314,934.2510,698.9735,306.8743,468.7103,64.58223,190.5988,207.1797,206.4812
1,1,698,478998.5,6198402.0,31.3,31.2,0.0,0.0,2050.673,452.5308,1581.120,605.1975,911.4020,680.5632,300.5955,456.9082,63.71132,186.4140,201.3006,199.1824
1,1,709,478998.2,6198438.5,31.5,30.7,0.0,0.0,2101.390,473.6244,1609.936,627.2418,919.7125,695.8370,301.3398,462.0000,63.81842,187.7443,207.1865,209.7669
1,1,720,478997.8,6198476.5,32.1,29.5,0.0,0.0,2224.019,516.5911,1687.482,675.3522,949.8510,734.5690,306.9859,478.9253,64.58690,192.9203,221.0620,232.5715
1,1,731,478997.3,6198515.0,32.4,28.7,0.0,0.0,2288.735,541.8596,1725.611,702.8608,961.5587,754.6459,308.0194,485.9835,64.62704,194.6984,227.3253,244.5940
1,1,742,478997.1,6198553.0,32.1,29.5,0.0,0.0,2200.405,520.5652,1659.646,675.5936,925.3013,725.1628,297.4847,467.2561,62.92896,187.7750,214.5910,228.9148
1,1,753,478996.7,6198590.5,31.4,31.0,0.0,0.0,2044.512,479.4290,1547.172,624.4945,867.2169,673.6762,281.5694,436.8676,60.40279,176.8708,193.0854,200.1224
1,1,764,478995.7,6198626.0,31.4,31.8,0.0,0.0,1945.763,456.8235,1472.718,594.3704,826.0739,640.5079,269.5526,415.7060,58.42062,169.0019,177.8906,179.8321
1,1,775,478994.5,6198661.0,32.1,31.4,0.0,0.0,1950.213,467.6584,1466.768,602.2390,815.3231,640.3420,264.5520,411.0984,57.44388,166.5963,174.4767,176.2760
1,1,786,478993.4,6198695.5,33.1,30.3,0.0,0.0,2022.403,501.8083,1504.490,635.7719,823.2733,661.3506,263.8371,416.8032,57.09975,167.5881,178.7489,184.3019
1,1,797,478993.1,6198731.0,34.1,29.6,0.0,0.0,2125.595,549.3813,1559.597,682.5711,837.1033,691.1512,264.2926,426.0418,56.94961,169.6909,186.2754,198.4106
1,1,808,478993.8,6198767.5,35.4,28.6,0.0,0.0,2209.950,592.9106,1600.050,723.7131,843.1500,714.1322,262.8673,431.2674,56.55880,170.4498,192.2265,211.6556
1,1,819,478995.5,6198804.5,36.4,27.9,0.0,0.0,2207.684,604.6693,1585.828,731.4475,826.3492,710.2973,256.4383,423.7718,55.45989,167.1057,191.0532,214.7675
1,1,830,478997.7,6198841.0,35.9,29.4,0.0,0.0,2063.071,561.0200,1484.827,682.4839,775.1680,663.4635,242.7109,396.7727,53.30631,157.5398,178.2745,199.8873
1,1,841,478999.8,6198877.5,34.6,32.4,0.0,0.0,1826.752,479.9497,1329.426,596.1111,703.4308,589.3762,224.8344,357.9113,50.56089,144.2618,158.2589,173.0036
1,1,852,479001.3,6198912.5,33.4,34.2,0.0,0.0,1619.386,406.1630,1195.201,519.1216,642.6449,524.9780,209.9268,324.7622,48.28434,133.0258,141.2161,148.9954
1,1,863,479001.8,6198947.5,32.4,35.7,0.0,0.0,1515.756,367.8272,1128.482,480.8864,611.6407,493.0483,202.1213,307.9101,47.08522,127.2564,133.4159,137.2238
1,1,874,479001.0,6198982.5,32.4,35.9,0.0,0.0,1504.990,361.3535,1122.174,477.3586,607.3017,490.1933,200.6456,305.6558,46.83479,126.3690,133.4862,136.2756
1,1,885,478999.7,6199018.0,32.5,35.3,0.0,0.0,1545.564,371.8256,1149.987,492.6088,618.5107,503.6417,202.9091,311.8392,47.12923,128.3128,137.3257,140.9124
1,1,896,478998.4,6199055.0,32.8,34.6,0.0,0.0,1607.649,388.3946,1193.102,515.1733,637.3118,524.2418,207.0567,322.0488,47.67891,131.6189,142.0430,147.5808
1,1,907,478997.4,6199092.0,33.2,33.6,0.0,0.0,1692.766,411.9722,1252.015,545.8921,663.6099,552.2883,213.0605,336.2802,48.49661,136.2899,148.4794,157.7386
1,1,918,478996.9,6199129.5,33.7,32.3,0.0,0.0,1813.055,447.0643,1334.016,589.6915,700.1057,591.3780,221.5232,356.0826,49.69265,142.8392,158.6362,174.3922
1,1,929,478997.0,6199166.5,34.0,31.0,0.0,0.0,1945.820,486.6345,1423.924,638.2047,740.0890,634.2394,230.9073,377.7910,51.05739,150.0665,170.8424,194.5148
1,1,940,478997.3,6199202.5,34.0,30.1,0.0,0.0,2029.617,510.4365,1481.896,668.1189,766.6742,661.6321,237.3646,392.0727,52.02782,154.9072,179.0773,207.9449
1,1,951,478997.5,6199238.5,33.4,30.7,0.0,0.0,2013.431,501.5012,1475.004,660.0015,765.9914,657.6334,237.7468,391.2454,52.14295,154.8434,178.2989,206.1709
1,1,962,478997.2,6199275.0,32.3,32.1,0.0,0.0,1908.922,463.8390,1410.594,618.4117,740.9788,625.8381,232.6725,376.9665,51.48561,150.3992,169.4883,190.8640
1,1,973,478996.4,6199311.0,31.0,33.2,0.0,0.0,1781.649,419.5333,1330.608,568.5760,708.9686,586.6238,225.9656,358.9004,50.59731,144.6991,158.7193,172.3167
1,1,984,478995.1,6199348.0,29.8,34.1,0.0,0.0,1685.519,386.5374,1269.734,531.1227,684.4246,556.8052,220.8506,345.0854,49.93905,140.3546,151.0112,158.9927
1,1,995,478993.5,6199385.5,29.3,34.6,0.0,0.0,1644.590,372.2917,1244.011,514.9731,674.3321,544.0862,218.9199,339.3404,49.73676,138.6196,148.2684,153.9717
1,1,1006,478992.1,6199423.0,28.9,34.8,0.0,0.0,1666.354,378.3915,1259.139,522.5410,681.5443,551.1126,220.8736,343.1508,50.08957,140.0005,150.7361,157.4725
1,1,1017,478991.3,6199460.0,29.0,35.0,0.0,0.0,1743.069,401.9071,1310.535,550.6454,704.4045,575.6085,226.3721,355.5498,50.94440,144.1919,157.3744,167.6638
1,1,1028,478991.3,6199497.0,29.8,33.2,0.0,0.0,1841.292,432.5130,1376.064,586.7551,733.4834,606.9194,233.2775,371.3632,51.98478,149.4920,164.9885,179.2986
1,1,1039,478992.0,6199534.0,30.8,30.9,0.0,0.0,1924.800,459.0953,1431.679,617.3417,758.4860,633.4818,239.2459,384.9513,52.86337,154.0426,170.1700,186.8069
1,1,1050,478993.5,6199570.5,31.4,29.8,0.0,0.0,1976.744,476.1103,1466.404,636.0488,774.7242,649.9897,243.2236,393.7271,53.43269,157.0016,171.9452,188.6944
1,1,1061,478995.4,6199607.5,31.2,30.6,0.0,0.0,2002.566,484.5319,1484.292,644.7394,784.0312,658.3223,245.6712,398.6508,53.77726,158.7097,171.8841,187.6657
1,1,1072,478996.8,6199644.5,31.0,31.5,0.0,0.0,2007.224,485.1528,1489.078,645.1066,788.0814,660.2100,247.0057,400.5979,53.97444,159.4773,171.5376,186.3987
1,1,1083,478997.3,6199681.0,31.3,31.8,0.0,0.0,2003.652,481.5689,1489.725,641.7453,790.9910,659.8820,248.2213,401.7820,54.16983,160.0497,172.0128,186.5021
1,1,1094,478996.9,6199717.5,32.0,31.0,0.0,0.0,2007.676,478.3692,1497.159,640.2454,797.8776,662.4894,250.5637,404.9544,54.53869,161.3517,174.1638,188.9996
1,1,1105,478995.6,6199754.0,32.4,30.3,0.0,0.0,2032.957,479.7431,1520.559,645.5829,812.8688,672.4064,255.0065,412.3611,55.21693,164.1276,178.7135,194.8668
1,1,1116,478994.0,6199791.0,31.7,30.1,0.0,0.0,2087.118,488.8459,1564.186,661.0431,837.2969,691.8204,261.7584,424.8225,56.23012,168.6148,186.0275,205.0179
1,1,1127,478992.8,6199828.5,30.6,30.2,0.0,0.0,2176.319,508.7252,1630.960,689.5894,871.6507,722.3472,270.7834,442.7400,57.56762,174.8960,196.3227,220.2859
1,1,1138,478992.1,6199865.5,30.0,29.8,0.0,0.0,2276.090,533.7345,1702.773,723.2235,906.8309,755.6525,279.7356,461.3429,58.88307,181.3141,206.8047,236.5193
1,1,1149,478992.6,6199902.5,29.9,29.2,0.0,0.0,2324.273,547.0612,1736.111,740.1729,922.4837,771.2907,283.6201,469.7375,59.44726,184.1732,211.0930,243.4713
1,1,1160,478994.0,6199939.0,30.1,28.9,0.0,0.0,2263.303,533.1375,1690.688,720.2717,899.7665,750.3340,277.8134,457.8379,58.58588,180.0520,203.3450,231.7415
1,1,1171,478995.6,6199975.5,30.0,29.7,0.0,0.0,2128.424,502.1572,1590.683,676.1517,849.7024,704.2330,264.9868,431.5845,56.69655,170.9588,187.7495,208.0412
1,1,1182,478996.4,6200011.5,29.9,31.1,0.0,0.0,2018.701,481.8637,1504.776,642.9100,804.0245,665.3837,252.8847,408.0147,54.92242,162.6666,175.4316,190.1881
1,1,1193,478996.2,6200047.5,29.8,31.9,0.0,0.0,2007.633,492.4842,1484.236,646.4045,786.6085,657.9162,247.3630,399.9183,54.12648,159.5180,174.6007,191.3000
1,1,1204,478995.0,6200084.0,29.6,31.6,0.0,0.0,2053.182,518.6055,1503.259,669.8563,787.4962,669.0932,246.3009,401.6346,53.98529,159.6930,180.3196,203.0330
1,1,1215,478993.2,6200121.5,30.3,29.7,0.0,0.0,2067.154,530.2286,1505.568,679.2749,783.5430,671.5470,244.5005,400.2805,53.71655,158.9687,182.3857,208.4105
1,1,1226,478991.6,6200159.5,29.5,29.8,0.0,0.0,1997.957,509.5811,1458.414,654.6622,761.4257,649.3069,239.0034,388.4127,52.87809,154.9178,174.8278,197.4239
1,1,1237,478990.5,6200198.5,27.3,31.5,0.0,0.0,1915.326,480.3169,1406.211,622.9164,739.4131,623.9500,233.9412,376.1937,52.10401,150.8867,165.7507,183.4865
1,1,1248,478990.6,6200237.0,26.5,31.6,0.0,0.0,1912.532,474.3836,1408.150,620.1162,741.7537,624.2737,234.7729,377.1356,52.23004,151.3148,165.9625,184.4625
1,1,1259,478992.3,6200274.5,26.2,30.7,0.0,0.0,1975.428,489.4991,1453.046,641.9893,762.5450,645.2533,239.9096,388.2032,53.01178,155.1175,173.8395,197.8274
1,1,1270,478994.9,6200311.0,25.9,30.7,0.0,0.0,2010.168,497.6031,1477.836,654.1368,773.8645,656.8678,242.6519,394.2396,53.42165,157.1762,178.5319,205.8790
1,1,1281,478997.5,6200347.5,25.4,31.8,0.0,0.0,1949.041,478.4512,1437.014,631.7441,755.5538,637.4571,238.1604,384.3041,52.71629,153.7949,172.1680,195.7864
1,1,1292,478998.9,6200384.5,25.1,32.9,0.0,0.0,1834.622,445.3743,1358.757,590.6472,719.8553,600.5110,229.3315,365.0917,51.33456,147.2180,159.2258,174.9101
