Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,434,478996.3,6197484.0,34.4,33.5,0.0,0.0,1926.873,185.7545,1493.800,250.5909,1351.827,419.5818,1006.291,476.1909,627.9454,385.8546,449.1182,165.6818
1,1,445,478997.0,6197523.0,33.4,33.8,0.0,0.0,1868.045,174.3273,1452.664,258.8000,1273.373,436.0000,930.8727,435.0637,608.8818,352.0454,421.8273,164.4818
1,1,456,478997.3,6197561.5,32.5,33.7,0.0,0.0,1909.445,176.7091,1475.636,285.2545,1243.264,451.8727,915.4999,417.7818,614.8090,341.8818,402.7454,161.8000
1,1,467,478997.4,6197600.0,31.5,33.7,0.0,0.0,1950.555,216.0182,1488.982,311.3546,1231.400,456.1545,918.9908,406.7000,628.0636,340.6182,406.8818,162.9364
1,1,478,478997.4,6197637.5,30.8,33.0,0.0,0.0,2001.391,236.3182,1534.063,320.9909,1264.182,471.9182,951.2817,412.3636,658.3182,350.9909,416.8273,163.2273
1,1,489,478997.1,6197675.5,29.7,32.9,0.0,0.0,2047.418,239.8273,1573.109,343.8727,1277.400,481.8000,977.9818,410.6909,682.5636,359.7909,420.9000,163.8545
1,1,500,478996.8,6197713.0,28.5,32.8,0.0,0.0,2122.700,217.8454,1614.291,380.9091,1292.100,481.7272,1017.654,406.8000,720.6090,372.4000,434.1364,162.9273
1,1,511,478996.7,6197751.5,27.2,33.1,0.0,0.0,2080.054,236.7273,1518.082,373.6273,1253.473,416.9818,1034.209,376.3364,740.5273,371.8091,429.8364,141.3636
1,1,522,478996.9,6197790.5,26.2,32.6,0.0,0.0,2089.027,264.7000,1474.163,357.9000,1278.418,372.0818,1087.018,369.4636,781.1818,389.7273,448.3727,133.3909
1,1,533,478997.5,6197830.0,24.7,32.5,0.0,0.0,2199.645,284.3272,1576.809,351.1273,1404.100,385.9545,1197.682,410.3000,848.5728,433.5818,488.9636,140.8818
1,1,544,478998.1,6197870.5,23.8,33.8,0.0,0.0,2116.682,236.7727,1563.927,303.7182,1415.655,382.3636,1190.873,413.4818,843.6818,432.8182,492.7909,144.1000
1,1,555,478997.9,6197910.5,23.6,34.9,0.0,0.0,1969.627,163.4727,1510.800,271.1273,1370.500,370.3454,1137.436,398.9636,808.4545,413.8091,483.6091,141.9454
1,1,566,478997.0,6197949.5,24.1,34.5,0.0,0.0,2044.682,167.9545,1573.036,283.0454,1416.955,385.1182,1178.791,415.8091,830.3272,431.3454,489.9363,145.0000
1,1,577,478995.6,6197988.5,25.5,33.3,0.0,0.0,1988.454,217.1909,1479.127,297.7818,1327.291,354.3000,1128.118,379.2454,807.5636,406.5818,464.0363,131.7818
1,1,588,478994.4,6198027.0,27.4,32.4,0.0,0.0,2011.454,278.8909,1430.427,343.0818,1254.536,348.9091,1080.282,355.7545,782.3364,386.1455,447.4272,128.6636
1,1,599,478994.0,6198065.5,28.3,32.2,0.0,0.0,2120.418,316.0545,1495.182,392.7364,1258.918,392.4727,1068.427,371.9727,765.7090,383.3000,444.4818,140.7273
1,1,610,478994.6,6198105.5,29.5,32.0,0.0,0.0,2225.936,289.7090,1657.654,398.6727,1355.409,484.0636,1076.691,430.5727,751.3818,396.8272,458.6273,167.0818
1,1,621,478995.9,6198146.0,30.1,31.2,0.0,0.0,2480.982,223.9000,1951.409,385.1727,1587.546,633.6364,1151.400,543.5909,771.1910,442.8818,509.5091,217.6636
1,1,632,478997.5,6198186.5,30.8,30.3,0.0,0.0,2631.845,190.3091,2136.227,372.6454,1756.146,728.6091,1201.064,620.4818,785.2091,475.4818,548.6182,254.2000
1,1,643,478998.8,6198225.5,31.5,29.6,0.0,0.0,2699.155,209.5545,2190.518,379.7091,1816.464,755.5090,1211.473,648.2727,783.0727,487.1545,576.9636,274.5000
1,1,654,478999.4,6198263.0,32.1,29.0,0.0,0.0,2848.300,274.3273,2267.845,408.7909,1892.554,791.4363,1241.954,684.0546,792.1091,504.9909,601.4818,291.0909
1,1,665,478999.4,6198298.5,32.1,29.2,0.0,0.0,2851.845,312.7909,2234.027,415.2727,1863.054,779.3818,1228.691,677.5181,782.1363,497.6273,589.2091,285.4818
1,1,676,478999.2,6198332.5,32.0,30.0,0.0,0.0,2709.045,294.7909,2092.400,408.9727,1728.573,727.7091,1162.218,620.7000,752.3636,462.0818,540.8636,259.0909
1,1,687,478998.9,6198366.5,31.7,30.6,0.0,0.0,2609.018,315.1091,1990.191,414.9545,1610.464,691.0636,1109.964,571.0727,731.6273,433.3818,506.0363,238.8636
1,1,698,478998.5,6198402.0,31.3,31.2,0.0,0.0,2529.418,317.3000,1913.282,429.4454,1509.309,657.7819,1065.873,529.4818,712.6000,410.5273,477.4000,222.6545
1,1,709,478998.2,6198438.5,31.5,30.7,0.0,0.0,2572.063,325.9091,1917.300,465.1727,1481.218,669.6091,1048.309,517.7999,707.4181,401.8545,470.6545,223.8273
1,1,720,478997.8,6198476.5,32.1,29.5,0.0,0.0,2728.500,359.1727,2039.964,505.2818,1566.509,717.6545,1095.809,553.3909,736.9909,425.7090,490.5455,235.3091
1,1,731,478997.3,6198515.0,32.4,28.7,0.0,0.0,2752.036,378.0818,2063.109,484.4636,1624.009,719.8454,1124.236,575.8546,748.2272,439.9000,511.8545,243.2182
1,1,742,478997.1,6198553.0,32.1,29.5,0.0,0.0,2624.336,344.1818,2018.273,438.6454,1641.991,691.2090,1124.018,582.0182,740.4090,440.8454,522.0728,245.7182
1,1,753,478996.7,6198590.5,31.4,31.0,0.0,0.0,2444.491,273.5273,1915.636,362.1091,1612.718,637.2363,1103.445,568.7090,722.4636,431.0546,517.1364,235.0545
1,1,764,478995.7,6198626.0,31.4,31.8,0.0,0.0,2292.200,231.7182,1800.900,324.9545,1551.482,586.8545,1068.127,544.7091,697.7365,413.9000,503.8727,224.7727
