  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          56.578        0.000            136.1
          2          47.357        2.383            584.6
          3          39.393        8.893            715.3
          4          32.832       17.771            846.9
          5          26.887       28.316            977.8
          6          22.503       37.726           1110.2
          7          19.572       45.500           1242.6
          8          17.576       52.641           1375.4
          9          16.255       58.962           1515.5
         10          15.276       64.838           1659.3
         11          14.444       70.634           1798.9
         12          13.658       76.695           1931.8
         13          12.876       83.338           2064.4
         14          12.087       90.811           2197.0
         15          11.277       99.308           2329.4
         16          10.468      108.862           2461.9
         17           9.717      119.313           2593.9
         18           9.072      130.003           2725.5
         19           8.553      140.364           2857.8
         20           8.141      150.679           2989.7
         21           7.826      161.101           3122.1
         22           7.582      171.821           3254.3
         23           7.410      182.745           3387.1
         24           7.298      193.768           3519.3
         25           7.223      204.883           3652.4
         26           7.179      215.994           3784.2
         27           7.151      223.450           3916.3
         28           7.128      233.745           4048.1
         29           7.110      240.573           4180.1
         30           7.099      250.023           4312.8
