  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          54.589        0.000            192.9
          2          45.326        3.209            768.3
          3          37.087       11.624            962.2
          4          31.039       21.140           1156.6
          5          25.331       32.556           1352.2
          6          21.325       42.182           1546.8
          7          18.706       50.170           1742.3
          8          16.903       57.471           1939.3
          9          15.533       64.615           2135.7
         10          14.395       71.891           2330.8
         11          13.390       79.451           2527.8
         12          12.479       87.311           2722.9
         13          11.665       95.345           2919.0
         14          10.939      103.546           3115.6
         15          10.287      112.036           3310.7
         16           9.725      120.700           3506.5
         17           9.232      129.478           3703.1
         18           8.767      138.915           3901.0
         19           8.320      149.530           4096.2
         20           7.915      161.097           4291.9
         21           7.608      172.551           4488.9
         22           7.403      183.550           4684.9
         23           7.265      194.804           4881.2
         24           7.160      206.201           5077.3
         25           7.077      216.895           5272.8
         26           7.021      226.684           5468.4
         27           6.979      235.542           5665.2
         28           6.941      243.669           5860.9
         29           6.908      251.903           6056.9
         30           6.881      259.713           6251.4
