 East  ,  RL  ,  Delpar	 
     475.0,     535.6,      0.03
     475.0,     525.6,      0.01
     475.0,     515.6,      0.00
     475.0,     503.1,     -0.01
     475.0,     485.6,     -0.01
     475.0,     465.0,     -0.01
     475.0,     443.2,     -0.01
     475.0,     420.0,     -0.01
     475.0,     395.5,     -0.01
     475.0,     369.5,     -0.01
     475.0,     341.9,     -0.01
     475.0,     312.7,     -0.01
     475.0,     281.7,     -0.01
     475.0,     248.9,     -0.01
     475.0,     214.1,     -0.01
     475.0,     176.4,     -0.01
     475.0,     135.7,     -0.01
     475.0,      92.7,     -0.00
     475.0,      47.1,     -0.00
     475.0,      -1.0,     -0.00
     525.0,     555.3,      0.02
     525.0,     545.3,     -0.01
     525.0,     535.3,     -0.03
     525.0,     525.3,     -0.03
     525.0,     515.3,     -0.03
     525.0,     502.8,     -0.02
     525.0,     485.3,     -0.01
     525.0,     464.7,     -0.01
     525.0,     442.9,     -0.01
     525.0,     419.7,     -0.01
     525.0,     395.2,     -0.01
     525.0,     369.2,     -0.01
     525.0,     341.6,     -0.01
     525.0,     312.4,     -0.01
     525.0,     281.4,     -0.01
     525.0,     248.6,     -0.01
     525.0,     213.8,     -0.01
     525.0,     176.1,     -0.01
     525.0,     135.5,     -0.01
     525.0,      92.5,     -0.01
     525.0,      47.0,     -0.00
     525.0,      -1.1,     -0.00
     575.0,     554.8,      0.08
     575.0,     544.8,      0.04
     575.0,     534.8,      0.01
     575.0,     524.8,      0.00
     575.0,     514.8,      0.00
     575.0,     502.3,      0.01
     575.0,     484.8,      0.01
     575.0,     464.2,      0.01
     575.0,     442.3,      0.00
     575.0,     419.2,     -0.00
     575.0,     394.7,     -0.01
     575.0,     368.6,     -0.01
     575.0,     341.1,     -0.01
     575.0,     311.9,     -0.01
     575.0,     280.9,     -0.01
     575.0,     248.0,     -0.01
     575.0,     213.2,     -0.01
     575.0,     175.6,     -0.01
     575.0,     135.1,     -0.01
     575.0,      92.2,     -0.01
     575.0,      46.9,     -0.01
     575.0,      -1.1,     -0.01
     625.0,     554.1,     -0.13
     625.0,     544.1,     -0.12
     625.0,     534.1,     -0.09
     625.0,     524.1,     -0.05
     625.0,     514.1,     -0.01
     625.0,     501.6,      0.02
     625.0,     484.1,      0.02
     625.0,     463.5,      0.01
     625.0,     441.7,      0.01
     625.0,     418.5,     -0.00
     625.0,     394.0,     -0.01
     625.0,     368.0,     -0.01
     625.0,     340.4,     -0.01
     625.0,     311.2,     -0.01
     625.0,     280.2,     -0.01
     625.0,     247.4,     -0.01
     625.0,     212.6,     -0.01
     625.0,     175.1,     -0.01
     625.0,     134.7,     -0.01
     625.0,      91.9,     -0.01
     625.0,      46.7,     -0.01
     625.0,      -1.2,     -0.01
     675.0,     553.6,     -0.03
     675.0,     543.6,     -0.01
     675.0,     533.6,      0.00
     675.0,     523.6,      0.01
     675.0,     513.6,      0.01
     675.0,     501.1,      0.01
     675.0,     483.6,      0.01
     675.0,     463.0,      0.01
     675.0,     441.2,     -0.00
     675.0,     418.0,     -0.01
     675.0,     393.5,     -0.01
     675.0,     367.5,     -0.01
     675.0,     339.9,     -0.02
     675.0,     310.7,     -0.02
     675.0,     279.7,     -0.02
     675.0,     246.9,     -0.01
     675.0,     212.1,     -0.01
     675.0,     174.6,     -0.01
     675.0,     134.3,     -0.01
     675.0,      91.6,     -0.01
     675.0,      46.5,     -0.01
     675.0,      -1.2,     -0.01
     725.0,     553.3,      0.04
     725.0,     543.3,      0.04
     725.0,     533.3,      0.03
     725.0,     523.3,      0.02
     725.0,     513.3,      0.01
     725.0,     500.8,      0.00
     725.0,     483.3,     -0.00
     725.0,     462.7,     -0.01
     725.0,     440.9,     -0.01
     725.0,     417.8,     -0.01
     725.0,     393.2,     -0.02
     725.0,     367.2,     -0.02
     725.0,     339.7,     -0.02
     725.0,     310.4,     -0.02
     725.0,     279.5,     -0.02
     725.0,     246.6,     -0.02
     725.0,     211.8,     -0.02
     725.0,     174.4,     -0.01
     725.0,     134.1,     -0.01
     725.0,      91.5,     -0.01
     725.0,      46.4,     -0.01
     725.0,      -1.3,     -0.01
     775.0,     553.4,     -0.00
     775.0,     543.4,      0.01
     775.0,     533.4,      0.01
     775.0,     523.4,      0.01
     775.0,     513.4,      0.00
     775.0,     500.9,     -0.00
     775.0,     483.4,     -0.01
     775.0,     462.8,     -0.01
     775.0,     440.9,     -0.02
     775.0,     417.8,     -0.02
     775.0,     393.2,     -0.02
     775.0,     367.2,     -0.02
     775.0,     339.7,     -0.02
     775.0,     310.5,     -0.02
     775.0,     279.5,     -0.02
     775.0,     246.6,     -0.02
     775.0,     211.8,     -0.02
     775.0,     174.4,     -0.02
     775.0,     134.1,     -0.01
     775.0,      91.5,     -0.01
     775.0,      46.4,     -0.01
     775.0,      -1.3,     -0.01
     825.0,     553.5,      0.02
     825.0,     543.5,      0.04
     825.0,     533.5,      0.04
     825.0,     523.5,      0.02
     825.0,     513.5,      0.01
     825.0,     501.0,     -0.00
     825.0,     483.5,     -0.02
     825.0,     462.9,     -0.02
     825.0,     441.1,     -0.03
     825.0,     418.0,     -0.03
     825.0,     393.4,     -0.03
     825.0,     367.4,     -0.03
     825.0,     339.9,     -0.03
     825.0,     310.6,     -0.03
     825.0,     279.7,     -0.03
     825.0,     246.8,     -0.02
     825.0,     212.0,     -0.02
     825.0,     174.5,     -0.02
     825.0,     134.2,     -0.01
     825.0,      91.6,     -0.01
     825.0,      46.5,     -0.01
     825.0,      -1.3,     -0.01
     875.0,     553.7,     -0.03
     875.0,     543.7,     -0.02
     875.0,     533.7,     -0.02
     875.0,     523.7,     -0.02
     875.0,     513.7,     -0.02
     875.0,     501.2,     -0.02
     875.0,     483.7,     -0.03
     875.0,     463.1,     -0.03
     875.0,     441.2,     -0.03
     875.0,     418.1,     -0.04
     875.0,     393.5,     -0.04
     875.0,     367.5,     -0.04
     875.0,     340.0,     -0.03
     875.0,     310.7,     -0.03
     875.0,     279.8,     -0.03
     875.0,     246.9,     -0.03
     875.0,     212.1,     -0.02
     875.0,     174.6,     -0.02
     875.0,     134.3,     -0.02
     875.0,      91.7,     -0.01
     875.0,      46.5,     -0.01
     875.0,      -1.2,     -0.01
     925.0,     553.6,     -0.07
     925.0,     543.6,     -0.01
     925.0,     533.6,      0.05
     925.0,     523.6,      0.06
     925.0,     513.6,      0.04
     925.0,     501.1,      0.01
     925.0,     483.6,     -0.01
     925.0,     463.0,     -0.03
     925.0,     441.2,     -0.04
     925.0,     418.1,     -0.04
     925.0,     393.5,     -0.04
     925.0,     367.5,     -0.04
     925.0,     339.9,     -0.04
     925.0,     310.7,     -0.04
     925.0,     279.7,     -0.03
     925.0,     246.9,     -0.03
     925.0,     212.1,     -0.03
     925.0,     174.6,     -0.02
     925.0,     134.3,     -0.02
     925.0,      91.7,     -0.01
     925.0,      46.5,     -0.01
     925.0,      -1.2,     -0.01
     975.0,     553.6,     -0.01
     975.0,     543.6,      0.01
     975.0,     533.6,      0.04
     975.0,     523.6,      0.05
     975.0,     513.6,      0.04
     975.0,     501.1,      0.01
     975.0,     483.6,     -0.02
     975.0,     463.0,     -0.03
     975.0,     441.2,     -0.04
     975.0,     418.0,     -0.05
     975.0,     393.5,     -0.05
     975.0,     367.5,     -0.05
     975.0,     339.9,     -0.04
     975.0,     310.7,     -0.04
     975.0,     279.7,     -0.04
     975.0,     246.9,     -0.03
     975.0,     212.1,     -0.03
     975.0,     174.6,     -0.02
     975.0,     134.3,     -0.02
     975.0,      91.6,     -0.01
     975.0,      46.5,     -0.01
     975.0,      -1.2,     -0.01
    1025.0,     553.7,      0.03
    1025.0,     543.7,      0.03
    1025.0,     533.7,      0.03
    1025.0,     523.7,      0.01
    1025.0,     513.7,     -0.00
    1025.0,     501.2,     -0.02
    1025.0,     483.7,     -0.04
    1025.0,     463.1,     -0.05
    1025.0,     441.2,     -0.06
    1025.0,     418.1,     -0.06
    1025.0,     393.6,     -0.06
    1025.0,     367.5,     -0.05
    1025.0,     340.0,     -0.05
    1025.0,     310.8,     -0.05
    1025.0,     279.8,     -0.04
    1025.0,     247.0,     -0.04
    1025.0,     212.1,     -0.03
    1025.0,     174.7,     -0.02
    1025.0,     134.3,     -0.02
    1025.0,      91.7,     -0.01
    1025.0,      46.5,     -0.01
    1025.0,      -1.2,     -0.01
    1075.0,     553.9,      0.04
    1075.0,     543.9,     -0.01
    1075.0,     533.9,     -0.04
    1075.0,     523.9,     -0.07
    1075.0,     513.9,     -0.08
    1075.0,     501.4,     -0.08
    1075.0,     483.9,     -0.09
    1075.0,     463.3,     -0.08
    1075.0,     441.5,     -0.08
    1075.0,     418.3,     -0.07
    1075.0,     393.8,     -0.06
    1075.0,     367.8,     -0.06
    1075.0,     340.2,     -0.05
    1075.0,     311.0,     -0.05
    1075.0,     280.0,     -0.04
    1075.0,     247.2,     -0.04
    1075.0,     212.4,     -0.03
    1075.0,     174.9,     -0.02
    1075.0,     134.5,     -0.02
    1075.0,      91.8,     -0.01
    1075.0,      46.6,     -0.01
    1075.0,      -1.2,     -0.01
    1125.0,     554.1,     -0.12
    1125.0,     544.1,     -0.14
    1125.0,     534.1,     -0.15
    1125.0,     524.1,     -0.15
    1125.0,     514.1,     -0.15
    1125.0,     501.6,     -0.14
    1125.0,     484.1,     -0.12
    1125.0,     463.5,     -0.10
    1125.0,     441.7,     -0.08
    1125.0,     418.6,     -0.07
    1125.0,     394.0,     -0.06
    1125.0,     368.0,     -0.05
    1125.0,     340.4,     -0.05
    1125.0,     311.2,     -0.04
    1125.0,     280.3,     -0.04
    1125.0,     247.4,     -0.03
    1125.0,     212.6,     -0.03
    1125.0,     175.1,     -0.02
    1125.0,     134.7,     -0.02
    1125.0,      91.9,     -0.01
    1125.0,      46.7,     -0.01
    1125.0,      -1.2,     -0.01
    1175.0,     554.1,      0.23
    1175.0,     544.1,      0.14
    1175.0,     534.1,      0.05
    1175.0,     524.1,     -0.03
    1175.0,     514.1,     -0.07
    1175.0,     501.6,     -0.10
    1175.0,     484.1,     -0.09
    1175.0,     463.5,     -0.06
    1175.0,     441.7,     -0.05
    1175.0,     418.5,     -0.03
    1175.0,     394.0,     -0.03
    1175.0,     368.0,     -0.03
    1175.0,     340.4,     -0.04
    1175.0,     311.2,     -0.04
    1175.0,     280.2,     -0.03
    1175.0,     247.4,     -0.03
    1175.0,     212.6,     -0.03
    1175.0,     175.0,     -0.02
    1175.0,     134.6,     -0.02
    1175.0,      91.9,     -0.01
    1175.0,      46.7,     -0.01
    1175.0,      -1.2,     -0.01
    1225.0,     553.8,      0.21
    1225.0,     543.8,      0.16
    1225.0,     533.8,      0.09
    1225.0,     523.8,      0.01
    1225.0,     513.8,     -0.04
    1225.0,     501.3,     -0.09
    1225.0,     483.8,     -0.08
    1225.0,     463.2,      0.06
    1225.0,     441.3,     -0.01
    1225.0,     418.2,      0.04
    1225.0,     393.6,      0.03
    1225.0,     367.6,     -0.00
