LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppRes1_Ch01,AppRes1_Ch02,AppRes1_Ch03,AppRes1_Ch04,AppRes1_Ch05,AppRes1_Ch06,AppRes1_Ch07,AppRes1_Ch08,AppRes1_Ch09,AppRes1_Ch10
11240,4032,729519.6,7171016.5,554.9,99.6,0.0,54760.99,24.60,25.05,26.67,30.44,36.02,44.98,63.36,90.33,78.68,-1.00
11240,4036,729519.1,7171064.5,554.8,100.2,0.0,54756.12,21.12,21.28,23.45,27.97,34.48,44.07,62.90,90.47,83.22,-1.00
11240,4040,729518.6,7171114.5,554.3,100.7,0.0,54752.95,19.63,19.19,21.06,26.29,33.80,44.13,62.40,87.59,81.45,-1.00
11240,4044,729518.1,7171164.5,553.7,101.7,0.0,54751.92,22.87,21.02,22.19,26.99,34.98,45.64,61.66,81.72,78.78,-1.00
11240,4048,729517.9,7171214.5,554.0,102.2,0.0,54756.55,30.13,25.45,25.11,28.33,35.77,45.82,60.08,76.12,78.15,-1.00
11240,4052,729518.4,7171262.5,554.5,101.9,0.0,54769.44,31.49,24.34,22.70,25.00,31.28,39.68,55.08,71.74,81.05,-1.00
11240,4056,729520.0,7171310.5,553.5,102.2,0.0,54794.65,26.17,19.30,17.97,19.59,25.13,32.12,47.42,67.83,83.79,-1.00
11240,4060,729522.6,7171360.5,552.0,102.8,0.0,54832.02,22.24,17.33,16.47,17.85,22.13,29.41,42.09,64.04,87.78,-1.00
11240,4064,729525.9,7171410.5,552.3,103.4,0.0,54867.99,21.54,17.65,16.86,18.06,21.85,28.89,40.21,60.57,96.35,-1.00
11240,4068,729529.4,7171460.5,553.4,103.5,0.0,54895.73,23.22,19.02,17.82,18.68,22.08,28.73,40.28,59.41,117.26,-1.00
11250,4072,729532.8,7171509.5,553.6,101.3,0.0,54879.53,27.72,25.10,23.82,24.78,28.03,35.38,50.44,72.13,123.11,-1.00
11250,362,734931.8,7173375.5,566.7,98.2,0.0,54790.68,35.02,41.03,49.02,61.61,80.81,109.13,136.17,108.46,78.33,-1.00
11250,366,734929.2,7173321.5,565.9,98.9,0.0,54795.56,41.22,47.83,57.66,68.77,87.32,116.18,143.54,122.37,101.84,-1.00
11250,370,734926.8,7173267.5,565.3,99.0,0.0,54800.06,48.69,61.73,71.30,79.92,96.26,125.32,153.42,143.00,159.82,-1.00
11250,374,734924.8,7173213.5,566.1,97.8,0.0,54806.39,58.59,73.40,85.25,93.48,107.26,136.56,165.69,155.01,-1.00,-1.00
11250,378,734923.5,7173157.5,567.0,96.2,0.0,54813.76,65.91,74.44,87.84,102.21,119.45,148.56,177.88,149.24,-1.00,-1.00
11250,382,734922.9,7173101.5,567.4,94.0,0.0,54816.66,71.82,67.68,83.22,107.54,134.04,163.33,186.96,140.67,129.93,-1.00
11250,386,734922.7,7173045.5,567.4,91.1,0.0,54809.41,78.31,69.20,88.00,117.49,153.26,184.37,192.48,137.97,94.57,-1.00
11250,390,734922.8,7172989.5,567.3,88.0,0.0,54800.91,96.92,97.72,113.73,139.51,176.62,210.21,196.69,140.72,88.67,-1.00
11250,394,734922.9,7172933.5,567.8,87.8,0.0,54800.27,117.10,144.37,150.45,162.59,193.79,228.21,203.20,148.28,95.63,-1.00
11250,398,734923.3,7172877.5,568.6,88.9,0.0,54799.09,122.71,152.69,154.38,160.59,198.61,235.63,215.20,162.67,110.30,-1.00
11250,402,734923.7,7172821.5,568.7,89.1,0.0,54795.01,112.42,130.03,136.80,145.59,197.25,240.32,233.12,183.39,139.00,-1.00
11250,406,734924.2,7172765.5,568.7,89.5,0.0,54792.75,96.23,113.04,125.62,139.32,195.42,245.42,257.18,209.13,-1.00,-1.00
11250,410,734924.8,7172709.5,569.0,90.6,0.0,54790.88,76.98,94.99,116.40,137.69,193.54,250.77,281.17,229.91,-1.00,-1.00
11250,414,734925.2,7172655.0,569.6,92.0,0.0,54786.35,61.48,75.72,98.61,129.66,186.17,252.56,284.36,239.14,-1.00,-1.00
11250,418,734925.5,7172601.0,570.6,93.6,0.0,54777.23,46.56,58.59,75.42,110.54,169.65,249.33,275.77,242.56,135.87,-1.00
11250,422,734925.6,7172545.5,571.5,95.0,0.0,54770.11,35.98,43.82,57.60,87.01,144.32,239.96,272.01,255.79,132.94,-1.00
11250,426,734925.6,7172489.5,572.2,95.9,0.0,54766.88,29.35,34.40,44.99,67.39,117.69,221.89,277.73,315.23,-1.00,-1.00
11250,430,734925.2,7172433.5,572.1,95.4,0.0,54765.77,29.18,31.95,40.44,58.26,102.44,202.78,284.65,-1.00,-1.00,-1.00
11250,434,734925.0,7172377.5,571.8,94.6,0.0,54766.98,36.86,36.65,42.65,58.23,97.35,184.85,267.14,-1.00,-1.00,-1.00
11250,438,734924.8,7172321.5,573.4,94.0,0.0,54770.34,51.29,45.71,48.89,63.04,97.15,166.50,222.33,295.55,-1.00,-1.00
11250,442,734924.8,7172265.5,574.7,93.1,0.0,54775.67,56.14,47.99,51.14,65.66,96.92,146.37,176.12,187.11,-1.00,-1.00
11250,446,734925.1,7172210.5,573.6,93.6,0.0,54781.00,43.75,40.61,46.05,62.88,92.07,124.41,137.54,125.62,95.42,-1.00
11250,450,734925.3,7172156.5,574.0,94.9,0.0,54785.20,37.92,37.39,44.39,61.44,85.73,104.38,105.22,87.09,64.05,-1.00
11250,454,734925.6,7172101.0,577.4,96.0,0.0,54789.41,46.22,46.12,52.69,66.72,82.29,89.24,82.66,64.90,47.25,-1.00
11250,458,734926.3,7172045.0,579.5,95.3,0.0,54792.30,71.59,72.39,72.60,78.47,83.51,83.98,74.93,56.47,40.08,-1.00
11250,462,734927.1,7171989.0,580.1,93.8,0.0,54789.75,110.06,107.08,99.51,99.06,98.97,104.28,106.72,80.84,56.92,-1.00
11250,466,734927.8,7171933.0,579.6,94.1,0.0,54793.06,144.65,132.95,124.95,125.53,136.17,183.52,-1.00,-1.00,-1.00,-1.00
11250,470,734928.1,7171877.0,578.3,94.4,0.0,54798.76,168.74,150.15,127.00,108.78,90.89,73.14,57.55,42.79,27.75,-1.00
11250,474,734928.0,7171821.0,577.2,96.3,0.0,54804.12,179.74,143.92,87.15,57.87,36.98,23.46,15.03,9.67,5.53,-1.00
11250,478,734927.9,7171767.0,576.5,98.1,0.0,54809.48,190.71,137.03,66.13,38.87,22.75,13.61,8.29,5.04,2.64,-1.00
11250,482,734928.1,7171713.0,576.4,98.6,0.0,54816.06,200.65,146.65,71.60,39.69,22.29,12.84,7.49,4.33,2.05,-1.00
11250,486,734928.6,7171656.5,577.1,97.1,0.0,54824.32,199.63,162.96,94.22,51.34,28.19,15.77,8.73,4.74,2.07,-1.00
11250,490,734929.4,7171600.5,578.7,96.8,0.0,54833.83,175.66,154.45,104.24,60.98,33.45,18.43,10.11,5.29,2.22,-1.00
11250,494,734930.4,7171544.5,580.4,96.6,0.0,54843.20,156.96,126.83,88.60,55.04,31.69,18.14,10.34,5.68,2.52,-1.00
11250,498,734931.6,7171488.5,581.9,96.3,0.0,54851.82,160.89,116.76,77.80,48.83,29.05,17.21,10.24,5.99,3.04,-1.00
11250,502,734932.8,7171432.5,582.8,95.8,0.0,54863.00,177.99,128.23,86.89,54.83,33.42,19.92,11.99,7.18,4.06,-1.00
11250,506,734933.9,7171376.5,583.0,95.5,0.0,54875.59,188.65,147.98,106.83,73.06,46.68,28.37,17.32,10.51,5.96,-1.00
11250,510,734934.8,7171320.5,582.2,95.7,0.0,54888.16,189.22,166.98,123.01,92.43,62.15,39.34,24.66,15.01,8.40,-1.00
11250,514,734935.4,7171264.5,581.2,94.5,0.0,54901.63,198.63,186.86,142.76,105.88,73.59,47.54,30.17,17.92,10.17,-1.00
11250,518,734935.6,7171208.0,580.9,92.6,0.0,54915.95,223.25,197.79,166.03,124.43,88.62,58.19,36.48,21.19,11.78,-1.00
11250,522,734935.7,7171151.5,580.6,91.6,0.0,54928.81,235.54,191.31,180.41,151.78,112.08,75.11,46.99,27.48,14.89,-1.00
11250,526,734935.3,7171093.5,580.4,91.7,0.0,54934.69,198.57,171.08,175.14,178.13,145.07,101.56,64.88,40.36,23.55,-1.00
11250,530,734934.6,7171035.5,580.6,92.0,0.0,54935.71,159.48,145.80,160.10,189.74,179.96,135.40,88.88,58.32,38.84,-1.00
11250,534,734933.2,7170980.0,581.0,92.6,0.0,54941.82,128.26,123.89,142.61,179.76,203.54,175.11,114.62,70.48,45.64,-1.00
11250,538,734931.1,7170924.0,579.8,93.3,0.0,54953.42,109.41,108.46,126.88,160.83,210.43,213.31,141.66,80.74,48.04,-1.00
11250,542,734928.7,7170868.0,578.6,94.1,0.0,54966.42,103.59,103.44,117.20,145.24,202.31,226.48,162.25,91.18,50.65,-1.00
11250,546,734926.2,7170812.0,578.9,94.2,0.0,54974.92,109.69,109.50,115.22,136.32,193.39,231.77,179.33,105.09,54.81,-1.00
11250,550,734924.2,7170756.0,578.4,93.4,0.0,54977.64,115.80,114.35,111.80,130.96,189.43,245.30,201.24,134.22,66.75,-1.00
11250,554,734922.8,7170699.0,576.6,91.0,0.0,54977.29,110.75,102.53,102.43,127.08,190.25,270.70,233.00,235.48,119.33,-1.00
11250,558,734922.1,7170641.0,575.8,91.4,0.0,54977.77,92.70,83.57,91.37,121.75,190.23,299.20,267.00,-1.00,-1.00,-1.00
11250,562,734922.1,7170583.0,576.1,91.0,0.0,54981.12,87.91,80.75,89.62,120.93,191.35,309.76,295.84,366.74,-1.00,-1.00
11250,566,734922.5,7170527.0,576.1,90.2,0.0,54986.36,96.42,85.81,93.68,124.36,191.20,301.08,328.69,244.12,-1.00,-1.00
11250,570,734923.4,7170471.0,575.9,89.6,0.0,54990.62,111.36,98.65,103.41,129.76,185.47,295.41,423.68,242.46,167.13,-1.00
11250,574,734924.4,7170415.0,575.9,90.3,0.0,54999.55,124.82,111.49,113.78,132.47,173.60,287.54,-1.00,310.83,-1.00,-1.00
11250,578,734925.6,7170356.5,575.5,91.3,0.0,55018.89,131.16,119.91,117.39,127.58,158.10,254.72,-1.00,-1.00,-1.00,-1.00
11250,582,734926.9,7170298.5,574.2,91.9,0.0,55046.91,129.19,122.44,114.96,119.02,142.49,212.49,625.16,-1.00,-1.00,-1.00
11250,586,734928.0,7170242.0,573.7,92.0,0.0,55070.77,119.29,115.66,109.11,112.64,134.35,194.64,404.31,349.61,-1.00,-1.00
11250,590,734928.7,7170186.0,573.5,93.8,0.0,55081.28,98.45,98.97,97.94,106.22,130.54,191.95,340.74,292.67,137.32,-1.00
11250,594,734929.1,7170130.0,573.1,95.2,0.0,55083.84,77.16,80.45,86.27,99.76,127.13,189.17,341.96,329.00,137.82,-1.00
11250,598,734929.2,7170074.0,572.7,95.5,0.0,55083.54,63.45,65.14,72.76,86.31,114.40,177.28,368.53,-1.00,-1.00,-1.00
11250,602,734929.2,7170016.5,572.9,95.6,0.0,55053.61,49.89,50.09,55.20,65.80,89.44,157.34,400.30,-1.00,-1.00,-1.00
11260,4092,740329.8,7171984.0,586.4,99.0,0.0,55019.12,32.22,33.76,38.39,51.01,78.32,117.15,132.83,85.71,65.20,-1.00
11260,4096,740330.1,7172036.0,588.2,97.8,0.0,55047.78,43.72,41.20,42.58,53.49,78.63,115.26,137.29,92.34,66.48,-1.00
11260,4100,740330.1,7172086.5,590.1,96.3,0.0,55046.92,52.97,45.84,45.62,54.66,76.00,110.24,136.21,89.92,63.29,-1.00
11260,4104,740330.1,7172136.5,591.5,94.4,0.0,55024.79,57.38,45.91,45.87,53.67,71.46,103.65,127.21,83.19,58.62,-1.00
11260,4108,740330.0,7172186.5,592.9,91.4,0.0,54993.32,65.20,49.51,48.01,54.17,69.44,99.09,115.56,76.60,52.22,-1.00
11260,4112,740330.0,7172236.5,595.2,86.4,0.0,54963.34,86.20,64.39,57.59,60.87,73.76,99.91,106.05,69.62,46.72,-1.00
11260,4116,740330.0,7172286.5,595.5,83.4,0.0,54940.43,121.41,86.45,74.00,73.52,82.55,102.21,98.97,63.11,42.49,-1.00
11260,4120,740330.0,7172336.5,592.6,86.2,0.0,54922.32,164.89,121.02,100.77,92.27,93.52,104.21,93.46,58.71,39.95,-1.00
11260,4124,740330.1,7172386.5,590.7,87.1,0.0,54907.72,195.65,154.85,125.14,108.55,103.93,107.91,90.76,57.96,38.16,-1.00
11260,4128,740330.2,7172436.5,591.2,86.6,0.0,54895.78,163.74,127.22,108.08,97.52,99.01,106.10,88.84,60.29,36.59,-1.00
11260,4132,740330.5,7172486.5,591.6,86.5,0.0,54886.24,120.99,97.77,84.97,79.01,84.88,95.87,85.38,62.22,36.13,-1.00
11260,4136,740330.8,7172538.5,591.4,86.4,0.0,54877.35,101.76,80.93,71.28,68.24,75.35,86.09,80.44,59.72,36.10,-1.00
11260,4140,740330.8,7172589.0,590.8,88.0,0.0,54868.34,87.43,68.04,61.13,61.53,70.11,78.94,75.81,55.52,35.96,-1.00
11260,4144,740330.6,7172639.0,589.5,90.0,0.0,54860.20,77.50,60.59,54.71,57.60,66.73,74.13,73.23,53.05,36.36,-1.00
11260,4148,740330.1,7172689.0,588.0,91.1,0.0,54853.79,75.37,61.27,54.34,56.81,64.60,71.46,72.07,54.28,38.38,-1.00
11260,4152,740329.4,7172739.0,586.3,92.2,0.0,54849.42,76.32,66.48,59.11,58.66,62.98,69.19,70.17,57.39,40.62,-1.00
11260,4156,740328.7,7172789.0,585.4,93.4,0.0,54847.71,79.50,74.91,67.49,62.33,61.13,64.09,62.70,53.09,35.35,-1.00
11260,4160,740328.0,7172838.5,585.6,94.5,0.0,54845.13,91.49,87.33,76.84,66.12,58.88,54.57,48.55,39.21,23.87,-1.00
11260,4164,740327.5,7172888.5,585.7,95.7,0.0,54840.24,114.40,104.17,86.45,70.20,57.27,47.70,39.71,30.35,18.13,-1.00
11260,4168,740327.0,7172938.0,585.3,96.8,0.0,54833.60,148.67,125.17,98.24,75.52,58.41,46.64,37.58,28.17,16.77,-1.00
11260,4172,740326.7,7172986.0,585.3,96.9,0.0,54827.31,188.29,152.55,111.99,84.33,64.50,50.69,39.86,28.83,16.94,-1.00
11260,4176,740326.4,7173035.5,586.2,96.3,0.0,54821.76,225.51,174.98,127.11,96.60,74.04,57.73,43.62,29.44,16.48,-1.00
11260,4180,740326.4,7173085.5,586.6,95.5,0.0,54817.32,247.24,188.82,141.45,109.88,85.44,65.57,46.58,28.95,14.72,-1.00
11260,4184,740326.4,7173135.5,585.9,96.3,0.0,54814.19,237.34,188.56,148.52,118.74,93.75,70.44,47.07,27.04,12.56,-1.00
11260,4188,740326.2,7173185.5,585.1,95.9,0.0,54811.16,218.95,183.30,149.39,119.56,93.60,69.18,44.49,24.65,10.85,-1.00
11260,4192,740326.1,7173235.5,584.4,95.4,0.0,54807.49,209.32,179.50,146.30,114.17,87.15,63.49,40.26,22.13,9.42,-1.00
11260,4196,740326.1,7173285.5,584.0,95.3,0.0,54804.64,211.40,182.93,143.14,107.87,79.57,56.05,35.40,19.42,7.96,-1.00
11260,4200,740326.3,7173335.5,584.0,95.3,0.0,54802.32,218.09,189.08,138.76,101.08,71.79,48.41,30.13,16.39,6.53,-1.00
11260,4204,740326.7,7173386.0,584.2,94.7,0.0,54799.27,215.23,181.57,128.83,91.45,62.71,40.12,24.13,13.11,5.38,-1.00
11260,4208,740327.4,7173436.5,584.6,93.0,0.0,54795.77,194.53,158.86,115.28,80.98,53.15,32.81,19.33,10.62,4.65,-1.00
11260,4212,740328.3,7173488.0,585.0,91.8,0.0,54792.50,174.68,136.53,102.88,71.52,44.84,27.47,16.22,9.10,4.26,-1.00
11260,4216,740329.1,7173540.0,585.4,91.4,0.0,54789.29,160.50,121.03,91.56,62.88,38.38,23.58,14.13,8.19,4.07,-1.00
11260,4220,740329.6,7173589.5,585.7,90.9,0.0,54786.46,148.57,110.60,83.10,57.11,36.29,23.19,14.49,8.81,4.68,-1.00
11260,4224,740329.9,7173639.5,585.5,91.2,0.0,54784.25,133.02,101.01,76.21,56.44,41.30,29.56,20.61,13.89,8.49,-1.00
11260,4228,740330.1,7173689.5,585.8,92.9,0.0,54783.55,110.90,85.74,67.45,56.06,50.12,45.13,41.44,36.02,27.86,-1.00
11260,4232,740329.8,7173739.5,586.7,94.4,0.0,54783.70,91.73,70.45,56.72,51.44,51.91,55.73,69.25,104.87,115.45,-1.00
11260,4236,740329.8,7173789.5,587.3,95.1,0.0,54781.41,80.33,63.46,50.05,47.12,47.33,48.88,50.42,46.81,30.86,-1.00
11260,4240,740329.5,7173839.5,587.4,95.3,0.0,54778.00,73.91,63.08,51.60,49.51,48.03,46.18,41.66,32.15,18.93,-1.00
11260,4244,740329.4,7173889.5,587.5,94.5,0.0,54774.94,69.70,62.49,57.63,59.27,57.10,52.51,45.36,32.79,18.09,-1.00
11260,4248,740329.5,7173939.5,588.0,91.5,0.0,54770.65,70.32,60.40,60.86,68.85,70.92,65.82,56.87,41.89,24.48,-1.00
11260,4252,740329.8,7173989.0,588.3,90.4,0.0,54767.32,65.15,52.74,56.17,69.15,79.42,80.26,73.29,60.11,42.66,-1.00
11260,4256,740330.0,7174037.0,588.7,90.0,0.0,54768.53,58.32,46.99,51.11,64.41,81.04,91.88,90.65,81.25,66.10,-1.00
11260,4260,740330.4,7174087.0,588.9,90.4,0.0,54774.55,50.10,44.49,48.73,60.14,79.38,97.99,102.35,94.39,72.70,-1.00
11260,4264,740330.6,7174137.0,589.0,91.1,0.0,54786.52,43.96,43.76,47.93,58.41,78.07,101.47,109.24,101.31,73.38,-1.00
11260,4268,740330.5,7174187.0,589.0,91.3,0.0,54804.20,41.05,43.63,48.76,59.79,79.28,106.31,115.81,109.50,77.96,-1.00
11260,4272,740330.4,7174237.0,589.0,90.6,0.0,54825.07,40.58,43.71,52.45,64.43,84.82,113.36,123.77,120.24,91.47,-1.00
11260,4276,740330.2,7174287.0,589.7,90.4,0.0,54846.38,39.05,41.58,53.60,68.34,93.71,121.78,133.69,133.38,122.21,-1.00
11260,4280,740329.9,7174337.0,591.6,89.3,0.0,54865.62,39.66,39.68,49.64,68.19,101.01,130.68,144.24,148.38,-1.00,-1.00
