  Local_Location , East , North , Elevation , Conductivity(mS/m) , LogConductivity(mS/m)
      325.0 ,    734929.6 ,   7170312.5 ,       528.2 ,              10.0000 ,               1.0000
      375.0 ,    734929.7 ,   7170362.5 ,       528.1 ,              10.0000 ,               1.0000
      425.0 ,    734929.8 ,   7170412.5 ,       528.2 ,              10.0000 ,               1.0000
      475.0 ,    734929.8 ,   7170462.5 ,       528.2 ,              10.0000 ,               1.0000
      525.0 ,    734929.9 ,   7170512.5 ,       528.1 ,              10.0000 ,               1.0000
      575.0 ,    734929.9 ,   7170562.5 ,       528.2 ,               1.3636 ,               0.1347
      625.0 ,    734930.0 ,   7170612.5 ,       528.0 ,               1.3636 ,               0.1347
      675.0 ,    734930.0 ,   7170662.5 ,       529.1 ,               1.3636 ,               0.1347
      725.0 ,    734930.1 ,   7170712.5 ,       531.5 ,              10.0000 ,               1.0000
      775.0 ,    734930.1 ,   7170762.5 ,       532.3 ,              10.0000 ,               1.0000
      825.0 ,    734930.2 ,   7170812.5 ,       532.2 ,              10.0000 ,               1.0000
      875.0 ,    734930.2 ,   7170862.5 ,       532.2 ,              10.0000 ,               1.0000
      925.0 ,    734930.3 ,   7170912.5 ,       532.2 ,              10.0000 ,               1.0000
      975.0 ,    734930.4 ,   7170962.5 ,       532.2 ,              10.0000 ,               1.0000
     1025.0 ,    734930.4 ,   7171012.5 ,       532.2 ,              10.0000 ,               1.0000
     1075.0 ,    734930.4 ,   7171062.5 ,       532.2 ,              10.0000 ,               1.0000
     1125.0 ,    734930.5 ,   7171112.5 ,       532.2 ,               7.5000 ,               0.8751
     1175.0 ,    734930.6 ,   7171162.5 ,       532.2 ,               6.6667 ,               0.8239
     1225.0 ,    734930.6 ,   7171212.5 ,       532.1 ,               6.6667 ,               0.8239
     1275.0 ,    734930.6 ,   7171262.5 ,       533.9 ,               6.6667 ,               0.8239
     1325.0 ,    734930.7 ,   7171312.5 ,       536.1 ,               6.6667 ,               0.8239
     1375.0 ,    734930.8 ,   7171362.5 ,       536.3 ,               6.6667 ,               0.8239
     1425.0 ,    734930.8 ,   7171412.5 ,       536.2 ,               6.6667 ,               0.8239
     1475.0 ,    734930.9 ,   7171462.5 ,       536.4 ,               6.6667 ,               0.8239
     1525.0 ,    734930.9 ,   7171512.5 ,       535.5 ,               6.6667 ,               0.8239
     1575.0 ,    734931.0 ,   7171562.5 ,       533.1 ,               6.6667 ,               0.8239
     1625.0 ,    734931.0 ,   7171612.5 ,       532.2 ,               6.6667 ,               0.8239
     1675.0 ,    734931.1 ,   7171662.5 ,       530.8 ,               6.6667 ,               0.8239
     1725.0 ,    734931.1 ,   7171712.5 ,       528.5 ,               6.6667 ,               0.8239
     1775.0 ,    734931.2 ,   7171762.5 ,       528.1 ,               7.5000 ,               0.8751
     1825.0 ,    734931.2 ,   7171812.5 ,       530.3 ,               6.6667 ,               0.8239
     1875.0 ,    734931.3 ,   7171862.5 ,       532.3 ,               6.6667 ,               0.8239
     1925.0 ,    734931.4 ,   7171912.5 ,       532.2 ,               6.6667 ,               0.8239
     1975.0 ,    734931.4 ,   7171962.5 ,       532.2 ,               6.6667 ,               0.8239
     2025.0 ,    734931.4 ,   7172012.5 ,       532.3 ,               7.5000 ,               0.8751
     2075.0 ,    734931.5 ,   7172062.5 ,       531.0 ,              10.0000 ,               1.0000
     2125.0 ,    734931.6 ,   7172112.5 ,       528.7 ,              10.0000 ,               1.0000
