 East  ,  Channel ,   Error 	 
  734923.8,       0.0,         0.8687
  734923.8,     -40.0,         0.8409
  734923.8,     -80.0,         0.7544
  734923.8,    -120.0,         0.0000
  734923.8,    -160.0,         0.3204
  734923.8,    -200.0,         0.1265
  734923.8,    -240.0,         0.0490
  734923.8,    -280.0,         0.0323
  734923.8,    -320.0,         0.0000
  734923.8,    -360.0,         0.0000
  734923.8,    -400.0,         0.9120
  734923.8,    -440.0,         0.7987
  734923.8,    -480.0,         0.5975
  734923.8,    -520.0,         0.1193
  734923.8,    -560.0,         0.0000
  734923.8,    -600.0,         0.0000
  734923.8,    -640.0,         0.0110
  734923.8,    -680.0,         0.0161
  734923.8,    -720.0,         0.0392
  734923.8,    -760.0,         0.0000
  734923.3,       0.0,         0.8592
  734923.3,     -40.0,         0.8683
  734923.3,     -80.0,         0.7767
  734923.3,    -120.0,         0.0000
  734923.3,    -160.0,         0.2994
  734923.3,    -200.0,         0.1193
  734923.3,    -240.0,         0.0467
  734923.3,    -280.0,         0.0341
  734923.3,    -320.0,         0.0000
  734923.3,    -360.0,         0.0000
  734923.3,    -400.0,         0.9211
  734923.3,    -440.0,         0.8201
  734923.3,    -480.0,         0.6305
  734923.3,    -520.0,         0.1190
  734923.3,    -560.0,        -0.0151
  734923.3,    -600.0,         0.0000
  734923.3,    -640.0,         0.0110
  734923.3,    -680.0,         0.0192
  734923.3,    -720.0,         0.0397
  734923.3,    -760.0,         0.0000
  734923.0,       0.0,         0.8540
  734923.0,     -40.0,         0.9155
  734923.0,     -80.0,         0.8106
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,         0.2789
  734923.0,    -200.0,         0.1118
  734923.0,    -240.0,         0.0451
  734923.0,    -280.0,         0.0358
  734923.0,    -320.0,         0.0195
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.9156
  734923.0,    -440.0,         0.8158
  734923.0,    -480.0,         0.6234
  734923.0,    -520.0,         0.1170
  734923.0,    -560.0,        -0.0194
  734923.0,    -600.0,         0.0000
  734923.0,    -640.0,         0.0110
  734923.0,    -680.0,         0.0213
  734923.0,    -720.0,         0.0378
  734923.0,    -760.0,         0.0000
  734922.8,       0.0,         0.8546
  734922.8,     -40.0,         0.9640
  734922.8,     -80.0,         0.8352
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.2583
  734922.8,    -200.0,         0.1036
  734922.8,    -240.0,         0.0438
  734922.8,    -280.0,         0.0371
  734922.8,    -320.0,         0.0288
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.8987
  734922.8,    -440.0,         0.7753
  734922.8,    -480.0,         0.5762
  734922.8,    -520.0,         0.1132
  734922.8,    -560.0,        -0.0231
  734922.8,    -600.0,        -0.0092
  734922.8,    -640.0,         0.0108
  734922.8,    -680.0,         0.0214
  734922.8,    -720.0,         0.0346
  734922.8,    -760.0,         0.0000
  734922.7,       0.0,         0.8591
  734922.7,     -40.0,         0.9816
  734922.7,     -80.0,         0.8295
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.2376
  734922.7,    -200.0,         0.0949
  734922.7,    -240.0,         0.0430
  734922.7,    -280.0,         0.0378
  734922.7,    -320.0,         0.0364
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.8795
  734922.7,    -440.0,         0.7011
  734922.7,    -480.0,         0.5021
  734922.7,    -520.0,         0.1088
  734922.7,    -560.0,        -0.0246
  734922.7,    -600.0,        -0.0109
  734922.7,    -640.0,         0.0102
  734922.7,    -680.0,         0.0193
  734922.7,    -720.0,         0.0312
  734922.7,    -760.0,         0.0000
  734922.7,       0.0,         0.8566
  734922.7,     -40.0,         0.9413
  734922.7,     -80.0,         0.7803
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.2166
  734922.7,    -200.0,         0.0860
  734922.7,    -240.0,         0.0425
  734922.7,    -280.0,         0.0378
  734922.7,    -320.0,         0.0416
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.8655
  734922.7,    -440.0,         0.6176
  734922.7,    -480.0,         0.4276
  734922.7,    -520.0,         0.1066
  734922.7,    -560.0,        -0.0220
  734922.7,    -600.0,        -0.0101
  734922.7,    -640.0,         0.0095
