 East  ,  Channel ,   Error 	 
  478994.2,       0.0,        -0.0228
  478994.2,     -40.0,        -0.0669
  478994.2,     -80.0,         0.1550
  478994.2,    -120.0,         0.4993
  478994.2,    -160.0,         0.7637
  478994.2,    -200.0,         0.3964
  478994.2,    -240.0,        -0.2930
  478994.2,    -280.0,        -0.4119
  478994.2,    -320.0,        -0.4029
  478994.2,    -360.0,        -0.2588
  478994.2,    -400.0,         0.2541
  478994.2,    -440.0,        -0.2209
  478993.1,       0.0,         0.0136
  478993.1,     -40.0,        -0.0530
  478993.1,     -80.0,         0.1399
  478993.1,    -120.0,         0.4906
  478993.1,    -160.0,         0.7757
  478993.1,    -200.0,         0.3676
  478993.1,    -240.0,        -0.2962
  478993.1,    -280.0,        -0.3254
  478993.1,    -320.0,        -0.3486
  478993.1,    -360.0,        -0.2803
  478993.1,    -400.0,         0.2385
  478993.1,    -440.0,        -0.2351
  478993.2,       0.0,         0.1104
  478993.2,     -40.0,         0.0224
  478993.2,     -80.0,         0.1673
  478993.2,    -120.0,         0.5205
  478993.2,    -160.0,         0.8347
  478993.2,    -200.0,         0.3777
  478993.2,    -240.0,        -0.3444
  478993.2,    -280.0,        -0.1550
  478993.2,    -320.0,        -0.2310
  478993.2,    -360.0,        -0.2623
  478993.2,    -400.0,         0.2650
  478993.2,    -440.0,        -0.2098
  478994.3,       0.0,         0.2012
  478994.3,     -40.0,         0.1140
  478994.3,     -80.0,         0.2107
  478994.3,    -120.0,         0.5571
  478994.3,    -160.0,         0.9100
  478994.3,    -200.0,         0.3893
  478994.3,    -240.0,        -0.4041
  478994.3,    -280.0,        -0.0151
  478994.3,    -320.0,        -0.0918
  478994.3,    -360.0,        -0.2354
  478994.3,    -400.0,         0.3059
  478994.3,    -440.0,        -0.1968
  478995.7,       0.0,         0.2059
  478995.7,     -40.0,         0.1088
  478995.7,     -80.0,         0.1857
  478995.7,    -120.0,         0.5367
  478995.7,    -160.0,         0.9390
  478995.7,    -200.0,         0.3638
  478995.7,    -240.0,        -0.4129
  478995.7,    -280.0,         0.0155
  478995.7,    -320.0,        -0.0497
  478995.7,    -360.0,        -0.2936
  478995.7,    -400.0,         0.2762
  478995.7,    -440.0,        -0.1998
  478996.8,       0.0,         0.1716
  478996.8,     -40.0,         0.0452
  478996.8,     -80.0,         0.1080
  478996.8,    -120.0,         0.4619
  478996.8,    -160.0,         0.9252
  478996.8,    -200.0,         0.3149
  478996.8,    -240.0,        -0.3966
  478996.8,    -280.0,         0.0222
  478996.8,    -320.0,        -0.0568
  478996.8,    -360.0,        -0.3988
  478996.8,    -400.0,         0.1762
  478996.8,    -440.0,        -0.2032
  478997.1,       0.0,         0.1939
  478997.1,     -40.0,         0.0511
  478997.1,     -80.0,         0.0853
  478997.1,    -120.0,         0.4148
  478997.1,    -160.0,         0.9183
  478997.1,    -200.0,         0.2820
  478997.1,    -240.0,        -0.3298
  478997.1,    -280.0,         0.0955
  478997.1,    -320.0,         0.0338
  478997.1,    -360.0,        -0.4121
  478997.1,    -400.0,         0.1155
  478997.1,    -440.0,        -0.1123
  478996.1,       0.0,         0.2487
  478996.1,     -40.0,         0.1216
  478996.1,     -80.0,         0.1111
  478996.1,    -120.0,         0.3606
  478996.1,    -160.0,         0.8792
  478996.1,    -200.0,         0.2843
  478996.1,    -240.0,        -0.3672
  478996.1,    -280.0,         0.1599
  478996.1,    -320.0,         0.2297
  478996.1,    -360.0,        -0.3324
  478996.1,    -400.0,         0.0618
  478996.1,    -440.0,         0.0705
  478994.3,       0.0,         0.2922
  478994.3,     -40.0,         0.2097
  478994.3,     -80.0,         0.2044
