 East  ,  RL  ,  Delpar	 
     650.0,     -38.4,     -0.01
     650.0,     -42.3,     -0.01
     650.0,     -46.2,     -0.01
     650.0,     -50.1,     -0.01
     650.0,     -54.0,     -0.01
     650.0,     -57.9,     -0.01
     650.0,     -61.8,     -0.01
     650.0,     -65.7,     -0.01
     750.0,      31.5,      0.65
     750.0,      28.5,      0.41
     750.0,      25.5,      0.08
     750.0,      22.5,     -0.05
     750.0,      19.5,     -0.02
     750.0,      16.5,      0.04
     750.0,      13.5,      0.08
     750.0,      10.5,      0.10
     750.0,       7.5,      0.10
     750.0,       4.5,      0.09
     750.0,       1.5,      0.08
     750.0,      -1.5,      0.06
     750.0,      -4.5,      0.05
     750.0,      -7.5,      0.04
     750.0,     -10.5,      0.03
     750.0,     -13.5,      0.02
     750.0,     -16.5,      0.01
     750.0,     -19.5,      0.01
     750.0,     -22.5,      0.00
     750.0,     -25.5,     -0.00
     750.0,     -29.0,     -0.00
     750.0,     -33.1,     -0.01
     750.0,     -37.2,     -0.01
     750.0,     -41.2,     -0.01
     750.0,     -45.3,     -0.01
     750.0,     -49.4,     -0.01
     750.0,     -53.4,     -0.01
     750.0,     -57.5,     -0.01
     750.0,     -61.5,     -0.01
     750.0,     -65.6,     -0.01
     850.0,      32.3,      0.62
     850.0,      29.3,      0.50
     850.0,      26.3,      0.20
     850.0,      23.3,      0.01
     850.0,      20.3,     -0.02
     850.0,      17.3,      0.02
     850.0,      14.3,      0.06
     850.0,      11.3,      0.08
     850.0,       8.3,      0.08
     850.0,       5.3,      0.08
     850.0,       2.3,      0.07
     850.0,      -0.7,      0.06
     850.0,      -3.7,      0.05
     850.0,      -6.7,      0.04
     850.0,      -9.7,      0.03
     850.0,     -12.7,      0.02
     850.0,     -15.7,      0.01
     850.0,     -18.7,      0.01
     850.0,     -21.7,      0.00
     850.0,     -24.7,     -0.00
     850.0,     -28.3,     -0.00
     850.0,     -32.4,     -0.01
     850.0,     -36.5,     -0.01
     850.0,     -40.7,     -0.01
     850.0,     -44.8,     -0.01
     850.0,     -49.0,     -0.01
     850.0,     -53.1,     -0.01
     850.0,     -57.3,     -0.01
     850.0,     -61.4,     -0.01
     850.0,     -65.6,     -0.01
     950.0,      33.1,      0.58
     950.0,      30.1,      0.60
     950.0,      27.1,      0.33
     950.0,      24.1,      0.07
     950.0,      21.1,     -0.01
     950.0,      18.1,      0.01
     950.0,      15.1,      0.04
     950.0,      12.1,      0.07
     950.0,       9.1,      0.07
     950.0,       6.1,      0.07
     950.0,       3.1,      0.06
     950.0,       0.1,      0.06
     950.0,      -2.9,      0.05
     950.0,      -5.9,      0.04
     950.0,      -8.9,      0.03
     950.0,     -11.9,      0.02
     950.0,     -14.9,      0.01
     950.0,     -17.9,      0.01
     950.0,     -20.9,      0.00
     950.0,     -23.9,      0.00
     950.0,     -27.5,     -0.00
     950.0,     -31.7,     -0.01
     950.0,     -35.9,     -0.01
     950.0,     -40.2,     -0.01
     950.0,     -44.4,     -0.01
     950.0,     -48.6,     -0.01
     950.0,     -52.8,     -0.01
     950.0,     -57.1,     -0.01
     950.0,     -61.3,     -0.01
     950.0,     -65.5,     -0.01
    1050.0,      34.4,      0.48
    1050.0,      31.4,      0.61
    1050.0,      28.4,      0.43
    1050.0,      25.4,      0.13
    1050.0,      22.4,      0.01
