Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11250,25.0,561.4,734932.88,7173378.50,41.82,1.62,23.91,1.38
11250,25.0,551.4,734932.88,7173378.50,45.04,1.65,22.20,1.35
11250,25.0,541.4,734932.88,7173378.50,51.37,1.71,19.47,1.29
11250,25.0,531.4,734932.88,7173378.50,60.85,1.78,16.43,1.22
11250,25.0,521.4,734932.88,7173378.50,73.56,1.87,13.59,1.13
11250,25.0,508.9,734932.88,7173378.50,100.05,2.00,9.99,1.00
11250,25.0,491.4,734932.88,7173378.50,147.84,2.17,6.76,0.83
11250,25.0,470.8,734932.88,7173378.50,212.28,2.33,4.71,0.67
11250,25.0,449.0,734932.88,7173378.50,293.04,2.47,3.41,0.53
11250,25.0,425.8,734932.88,7173378.50,385.93,2.59,2.59,0.41
11250,25.0,401.3,734932.88,7173378.50,484.48,2.69,2.06,0.31
11250,25.0,375.3,734932.88,7173378.50,581.50,2.76,1.72,0.24
11250,25.0,347.7,734932.88,7173378.50,670.86,2.83,1.49,0.17
11250,25.0,318.5,734932.88,7173378.50,748.56,2.87,1.34,0.13
11250,25.0,287.5,734932.88,7173378.50,813.01,2.91,1.23,0.09
11250,25.0,254.7,734932.88,7173378.50,864.46,2.94,1.16,0.06
11250,25.0,219.9,734932.88,7173378.50,904.25,2.96,1.11,0.04
11250,25.0,182.9,734932.88,7173378.50,934.22,2.97,1.07,0.03
11250,25.0,143.7,734932.88,7173378.50,956.06,2.98,1.05,0.02
11250,25.0,102.1,734932.88,7173378.50,971.27,2.99,1.03,0.01
11250,25.0,58.0,734932.88,7173378.50,981.17,2.99,1.02,0.01
11250,25.0,11.3,734932.88,7173378.50,986.39,2.99,1.01,0.01
11250,75.0,561.0,734932.75,7173328.50,36.32,1.56,27.54,1.44
11250,75.0,551.0,734932.75,7173328.50,39.84,1.60,25.10,1.40
11250,75.0,541.0,734932.75,7173328.50,46.57,1.67,21.47,1.33
11250,75.0,531.0,734932.75,7173328.50,56.46,1.75,17.71,1.25
11250,75.0,521.0,734932.75,7173328.50,69.49,1.84,14.39,1.16
11250,75.0,508.5,734932.75,7173328.50,96.30,1.98,10.38,1.02
11250,75.0,491.0,734932.75,7173328.50,144.11,2.16,6.94,0.84
11250,75.0,470.4,734932.75,7173328.50,208.21,2.32,4.80,0.68
11250,75.0,448.5,734932.75,7173328.50,288.29,2.46,3.47,0.54
11250,75.0,425.4,734932.75,7173328.50,380.36,2.58,2.63,0.42
11250,75.0,400.8,734932.75,7173328.50,478.20,2.68,2.09,0.32
11250,75.0,374.8,734932.75,7173328.50,574.85,2.76,1.74,0.24
11250,75.0,347.3,734932.75,7173328.50,664.27,2.82,1.51,0.18
11250,75.0,318.1,734932.75,7173328.50,742.50,2.87,1.35,0.13
11250,75.0,287.1,734932.75,7173328.50,807.79,2.91,1.24,0.09
11250,75.0,254.2,734932.75,7173328.50,860.24,2.93,1.16,0.07
11250,75.0,219.4,734932.75,7173328.50,901.08,2.95,1.11,0.05
11250,75.0,182.5,734932.75,7173328.50,931.93,2.97,1.07,0.03
11250,75.0,143.4,734932.75,7173328.50,954.49,2.98,1.05,0.02
11250,75.0,101.9,734932.75,7173328.50,970.27,2.99,1.03,0.01
11250,75.0,57.9,734932.75,7173328.50,980.54,2.99,1.02,0.01
11250,75.0,11.3,734932.75,7173328.50,985.98,2.99,1.01,0.01
11250,125.0,560.7,734932.75,7173278.50,38.15,1.58,26.21,1.42
11250,125.0,550.7,734932.75,7173278.50,42.27,1.63,23.66,1.37
11250,125.0,540.7,734932.75,7173278.50,49.83,1.70,20.07,1.30
11250,125.0,530.7,734932.75,7173278.50,60.50,1.78,16.53,1.22
11250,125.0,520.7,734932.75,7173278.50,74.13,1.87,13.49,1.13
11250,125.0,508.2,734932.75,7173278.50,101.43,2.01,9.86,0.99
11250,125.0,490.7,734932.75,7173278.50,148.85,2.17,6.72,0.83
11250,125.0,470.1,734932.75,7173278.50,211.41,2.33,4.73,0.67
11250,125.0,448.3,734932.75,7173278.50,289.01,2.46,3.46,0.54
11250,125.0,425.2,734932.75,7173278.50,378.17,2.58,2.64,0.42
11250,125.0,400.6,734932.75,7173278.50,473.22,2.68,2.11,0.32
11250,125.0,374.6,734932.75,7173278.50,567.72,2.75,1.76,0.25
11250,125.0,347.0,734932.75,7173278.50,655.99,2.82,1.52,0.18
11250,125.0,317.8,734932.75,7173278.50,734.09,2.87,1.36,0.13
11250,125.0,286.9,734932.75,7173278.50,800.09,2.90,1.25,0.10
11250,125.0,254.0,734932.75,7173278.50,853.79,2.93,1.17,0.07
11250,125.0,219.2,734932.75,7173278.50,896.05,2.95,1.12,0.05
11250,125.0,182.3,734932.75,7173278.50,928.27,2.97,1.08,0.03
11250,125.0,143.2,734932.75,7173278.50,951.97,2.98,1.05,0.02
11250,125.0,101.8,734932.75,7173278.50,968.64,2.99,1.03,0.01
11250,125.0,57.8,734932.75,7173278.50,979.52,2.99,1.02,0.01
11250,125.0,11.2,734932.75,7173278.50,985.31,2.99,1.01,0.01
11250,175.0,561.0,734932.62,7173228.50,37.92,1.58,26.37,1.42
11250,175.0,551.0,734932.62,7173228.50,43.69,1.64,22.89,1.36
11250,175.0,541.0,734932.62,7173228.50,53.81,1.73,18.58,1.27
11250,175.0,531.0,734932.62,7173228.50,67.32,1.83,14.85,1.17
11250,175.0,521.0,734932.62,7173228.50,83.49,1.92,11.98,1.08
11250,175.0,508.5,734932.62,7173228.50,113.81,2.06,8.79,0.94
11250,175.0,491.0,734932.62,7173228.50,162.88,2.21,6.14,0.79
11250,175.0,470.4,734932.62,7173228.50,224.41,2.35,4.46,0.65
11250,175.0,448.6,734932.62,7173228.50,298.81,2.48,3.35,0.52
11250,175.0,425.4,734932.62,7173228.50,383.40,2.58,2.61,0.42
11250,175.0,400.9,734932.62,7173228.50,473.55,2.68,2.11,0.32
11250,175.0,374.9,734932.62,7173228.50,563.75,2.75,1.77,0.25
11250,175.0,347.3,734932.62,7173228.50,649.03,2.81,1.54,0.19
11250,175.0,318.1,734932.62,7173228.50,725.71,2.86,1.38,0.14
11250,175.0,287.1,734932.62,7173228.50,791.69,2.90,1.26,0.10
11250,175.0,254.3,734932.62,7173228.50,846.36,2.93,1.18,0.07
11250,175.0,219.5,734932.62,7173228.50,890.06,2.95,1.12,0.05
11250,175.0,182.6,734932.62,7173228.50,923.84,2.97,1.08,0.03
11250,175.0,143.4,734932.62,7173228.50,948.89,2.98,1.05,0.02
11250,175.0,101.9,734932.62,7173228.50,966.63,2.99,1.03,0.01
11250,175.0,57.9,734932.62,7173228.50,978.25,2.99,1.02,0.01
11250,175.0,11.3,734932.62,7173228.50,984.46,2.99,1.02,0.01
11250,225.0,561.6,734932.62,7173178.50,36.47,1.56,27.42,1.44
11250,225.0,551.6,734932.62,7173178.50,43.53,1.64,22.97,1.36
11250,225.0,541.6,734932.62,7173178.50,56.11,1.75,17.82,1.25
11250,225.0,531.6,734932.62,7173178.50,72.88,1.86,13.72,1.14
11250,225.0,521.6,734932.62,7173178.50,92.46,1.97,10.82,1.03
11250,225.0,509.1,734932.62,7173178.50,127.66,2.11,7.83,0.89
11250,225.0,491.6,734932.62,7173178.50,180.89,2.26,5.53,0.74
11250,225.0,471.0,734932.62,7173178.50,243.35,2.39,4.11,0.61
11250,225.0,449.1,734932.62,7173178.50,315.51,2.50,3.17,0.50
11250,225.0,426.0,734932.62,7173178.50,395.42,2.60,2.53,0.40
11250,225.0,401.5,734932.62,7173178.50,479.62,2.68,2.09,0.32
11250,225.0,375.4,734932.62,7173178.50,564.01,2.75,1.77,0.25
11250,225.0,347.9,734932.62,7173178.50,644.71,2.81,1.55,0.19
11250,225.0,318.7,734932.62,7173178.50,718.64,2.86,1.39,0.14
11250,225.0,287.7,734932.62,7173178.50,783.69,2.89,1.28,0.11
11250,225.0,254.8,734932.62,7173178.50,838.79,2.92,1.19,0.08
11250,225.0,220.0,734932.62,7173178.50,883.74,2.95,1.13,0.05
11250,225.0,183.1,734932.62,7173178.50,919.07,2.96,1.09,0.04
11250,225.0,143.8,734932.62,7173178.50,945.55,2.98,1.06,0.02
11250,225.0,102.2,734932.62,7173178.50,964.43,2.98,1.04,0.02
11250,225.0,58.1,734932.62,7173178.50,976.85,2.99,1.02,0.01
11250,225.0,11.3,734932.62,7173178.50,983.50,2.99,1.02,0.01
11250,275.0,562.1,734932.50,7173128.50,52.17,1.72,19.17,1.28
11250,275.0,552.1,734932.50,7173128.50,59.03,1.77,16.94,1.23
11250,275.0,542.1,734932.50,7173128.50,71.41,1.85,14.00,1.15
11250,275.0,532.1,734932.50,7173128.50,88.15,1.95,11.34,1.05
11250,275.0,522.1,734932.50,7173128.50,108.15,2.03,9.25,0.97
11250,275.0,509.6,734932.50,7173128.50,144.79,2.16,6.91,0.84
11250,275.0,492.1,734932.50,7173128.50,200.66,2.30,4.98,0.70
11250,275.0,471.5,734932.50,7173128.50,264.83,2.42,3.78,0.58
11250,275.0,449.6,734932.50,7173128.50,336.16,2.53,2.97,0.47
11250,275.0,426.5,734932.50,7173128.50,412.25,2.62,2.43,0.38
11250,275.0,402.0,734932.50,7173128.50,490.49,2.69,2.04,0.31
11250,275.0,376.0,734932.50,7173128.50,568.31,2.75,1.76,0.25
11250,275.0,348.4,734932.50,7173128.50,643.33,2.81,1.55,0.19
11250,275.0,319.2,734932.50,7173128.50,713.41,2.85,1.40,0.15
11250,275.0,288.2,734932.50,7173128.50,776.69,2.89,1.29,0.11
11250,275.0,255.4,734932.50,7173128.50,831.69,2.92,1.20,0.08
11250,275.0,220.5,734932.50,7173128.50,877.51,2.94,1.14,0.06
11250,275.0,183.5,734932.50,7173128.50,914.26,2.96,1.09,0.04
11250,275.0,144.1,734932.50,7173128.50,942.14,2.97,1.06,0.03
11250,275.0,102.4,734932.50,7173128.50,962.14,2.98,1.04,0.02
11250,275.0,58.2,734932.50,7173128.50,975.37,2.99,1.03,0.01
11250,275.0,11.4,734932.50,7173128.50,982.48,2.99,1.02,0.01
11250,325.0,562.3,734932.50,7173078.50,59.66,1.78,16.76,1.22
11250,325.0,552.3,734932.50,7173078.50,66.00,1.82,15.15,1.18
11250,325.0,542.3,734932.50,7173078.50,77.78,1.89,12.86,1.11
11250,325.0,532.3,734932.50,7173078.50,94.36,1.97,10.60,1.03
11250,325.0,522.3,734932.50,7173078.50,115.05,2.06,8.69,0.94
11250,325.0,509.8,734932.50,7173078.50,154.56,2.19,6.47,0.81
11250,325.0,492.3,734932.50,7173078.50,216.29,2.34,4.62,0.66
11250,325.0,471.7,734932.50,7173078.50,285.78,2.46,3.50,0.54
11250,325.0,449.9,734932.50,7173078.50,359.08,2.56,2.78,0.44
11250,325.0,426.8,734932.50,7173078.50,432.80,2.64,2.31,0.36
11250,325.0,402.2,734932.50,7173078.50,505.31,2.70,1.98,0.30
11250,325.0,376.2,734932.50,7173078.50,576.05,2.76,1.74,0.24
11250,325.0,348.6,734932.50,7173078.50,644.65,2.81,1.55,0.19
11250,325.0,319.4,734932.50,7173078.50,710.12,2.85,1.41,0.15
11250,325.0,288.4,734932.50,7173078.50,770.92,2.89,1.30,0.11
11250,325.0,255.6,734932.50,7173078.50,825.29,2.92,1.21,0.08
11250,325.0,220.8,734932.50,7173078.50,871.70,2.94,1.15,0.06
11250,325.0,183.8,734932.50,7173078.50,909.65,2.96,1.10,0.04
