 East  ,  Channel ,   Error 	 
  729518.6,       0.0,        -0.0119
  729518.6,     -40.0,         0.0193
  729518.6,     -80.0,         0.0541
  729518.6,    -120.0,         0.0000
  729518.6,    -160.0,         0.0351
  729518.6,    -200.0,         0.0471
  729518.6,    -240.0,         0.0670
  729518.6,    -280.0,         0.0437
  729518.6,    -320.0,         0.0093
  729518.6,    -360.0,         0.0000
  729518.6,    -400.0,        -0.0239
  729518.6,    -440.0,        -0.0171
  729518.6,    -480.0,        -0.0207
  729518.6,    -520.0,        -0.0005
  729518.6,    -560.0,        -0.1226
  729518.6,    -600.0,        -0.2582
  729518.6,    -640.0,        -0.1615
  729518.6,    -680.0,        -0.0377
  729518.6,    -720.0,         0.0406
  729518.6,    -760.0,         0.0000
  729518.2,       0.0,        -0.0176
  729518.2,     -40.0,         0.0140
  729518.2,     -80.0,         0.0581
  729518.2,    -120.0,         0.0000
  729518.2,    -160.0,         0.0384
  729518.2,    -200.0,         0.0003
  729518.2,    -240.0,         0.0230
  729518.2,    -280.0,         0.0248
  729518.2,    -320.0,         0.0000
  729518.2,    -360.0,         0.0000
  729518.2,    -400.0,         0.0083
  729518.2,    -440.0,         0.0060
  729518.2,    -480.0,        -0.0079
  729518.2,    -520.0,         0.0581
  729518.2,    -560.0,         0.0460
  729518.2,    -600.0,        -0.0962
  729518.2,    -640.0,        -0.1089
  729518.2,    -680.0,        -0.0490
  729518.2,    -720.0,         0.0118
  729518.2,    -760.0,         0.0000
  729518.1,       0.0,        -0.0292
  729518.1,     -40.0,        -0.0115
  729518.1,     -80.0,         0.0233
  729518.1,    -120.0,         0.0000
  729518.1,    -160.0,         0.0521
  729518.1,    -200.0,         0.0012
  729518.1,    -240.0,         0.0078
  729518.1,    -280.0,         0.0130
  729518.1,    -320.0,         0.0000
  729518.1,    -360.0,         0.0000
  729518.1,    -400.0,         0.0199
  729518.1,    -440.0,         0.0100
  729518.1,    -480.0,        -0.0321
  729518.1,    -520.0,         0.0111
  729518.1,    -560.0,         0.0621
  729518.1,    -600.0,        -0.0117
  729518.1,    -640.0,        -0.0709
  729518.1,    -680.0,        -0.0535
  729518.1,    -720.0,         0.0000
  729518.1,    -760.0,         0.0000
  729517.9,       0.0,        -0.0152
  729517.9,     -40.0,        -0.0167
  729517.9,     -80.0,        -0.0075
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,         0.0376
  729517.9,    -200.0,         0.0092
  729517.9,    -240.0,         0.0044
  729517.9,    -280.0,         0.0061
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0337
  729517.9,    -440.0,         0.0317
  729517.9,    -480.0,        -0.0155
  729517.9,    -520.0,        -0.0165
  729517.9,    -560.0,         0.0319
  729517.9,    -600.0,         0.0235
  729517.9,    -640.0,        -0.0423
  729517.9,    -680.0,        -0.0451
  729517.9,    -720.0,         0.0000
  729517.9,    -760.0,         0.0000
  729517.8,       0.0,         0.0017
  729517.8,     -40.0,        -0.0101
  729517.8,     -80.0,        -0.0246
  729517.8,    -120.0,         0.0000
  729517.8,    -160.0,         0.0026
  729517.8,    -200.0,         0.0146
  729517.8,    -240.0,         0.0080
  729517.8,    -280.0,         0.0037
  729517.8,    -320.0,         0.0000
  729517.8,    -360.0,         0.0000
  729517.8,    -400.0,         0.0222
  729517.8,    -440.0,         0.0321
  729517.8,    -480.0,         0.0066
  729517.8,    -520.0,        -0.0186
  729517.8,    -560.0,        -0.0017
  729517.8,    -600.0,         0.0286
  729517.8,    -640.0,        -0.0242
  729517.8,    -680.0,        -0.0326
  729517.8,    -720.0,         0.0000
  729517.8,    -760.0,         0.0000
  729517.9,       0.0,        -0.0139
  729517.9,     -40.0,        -0.0185
  729517.9,     -80.0,        -0.0381
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0256
  729517.9,    -200.0,         0.0174
  729517.9,    -240.0,         0.0182
  729517.9,    -280.0,         0.0047
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,        -0.0187
  729517.9,    -440.0,        -0.0064
  729517.9,    -480.0,        -0.0086
  729517.9,    -520.0,        -0.0246
  729517.9,    -560.0,        -0.0226
  729517.9,    -600.0,         0.0213
  729517.9,    -640.0,        -0.0193
  729517.9,    -680.0,        -0.0244
  729517.9,    -720.0,         0.0000
  729517.9,    -760.0,         0.0000
  729517.9,       0.0,        -0.0334
  729517.9,     -40.0,        -0.0293
  729517.9,     -80.0,        -0.0491
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0456
  729517.9,    -200.0,         0.0173
  729517.9,    -240.0,         0.0297
  729517.9,    -280.0,         0.0055
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0060
  729517.9,    -440.0,         0.0160
  729517.9,    -480.0,         0.0210
  729517.9,    -520.0,         0.0074
  729517.9,    -560.0,        -0.0135
  729517.9,    -600.0,         0.0139
  729517.9,    -640.0,        -0.0262
  729517.9,    -680.0,        -0.0206
  729517.9,    -720.0,         0.0043
  729517.9,    -760.0,         0.0000
  729517.9,       0.0,        -0.0113
  729517.9,     -40.0,        -0.0050
  729517.9,     -80.0,        -0.0271
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0359
  729517.9,    -200.0,         0.0254
  729517.9,    -240.0,         0.0383
  729517.9,    -280.0,         0.0071
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0055
  729517.9,    -440.0,         0.0108
  729517.9,    -480.0,         0.0101
  729517.9,    -520.0,         0.0047
  729517.9,    -560.0,        -0.0029
  729517.9,    -600.0,         0.0077
  729517.9,    -640.0,        -0.0343
  729517.9,    -680.0,        -0.0149
  729517.9,    -720.0,         0.0172
  729517.9,    -760.0,         0.0000
  729517.6,       0.0,         0.0158
  729517.6,     -40.0,         0.0171
  729517.6,     -80.0,        -0.0078
  729517.6,    -120.0,         0.0000
  729517.6,    -160.0,        -0.0113
  729517.6,    -200.0,         0.0405
  729517.6,    -240.0,         0.0422
  729517.6,    -280.0,         0.0096
  729517.6,    -320.0,         0.0000
  729517.6,    -360.0,         0.0000
  729517.6,    -400.0,        -0.0316
  729517.6,    -440.0,        -0.0252
  729517.6,    -480.0,        -0.0310
  729517.6,    -520.0,        -0.0238
  729517.6,    -560.0,        -0.0015
  729517.6,    -600.0,         0.0030
  729517.6,    -640.0,        -0.0319
  729517.6,    -680.0,        -0.0030
  729517.6,    -720.0,         0.0367
  729517.6,    -760.0,         0.0000
  729517.2,       0.0,         0.0039
  729517.2,     -40.0,        -0.0019
  729517.2,     -80.0,        -0.0310
  729517.2,    -120.0,         0.0000
  729517.2,    -160.0,        -0.0056
  729517.2,    -200.0,         0.0485
  729517.2,    -240.0,         0.0380
  729517.2,    -280.0,         0.0078
  729517.2,    -320.0,        -0.0330
  729517.2,    -360.0,         0.0000
  729517.2,    -400.0,        -0.0146
  729517.2,    -440.0,         0.0010
  729517.2,    -480.0,        -0.0089
  729517.2,    -520.0,        -0.0130
  729517.2,    -560.0,         0.0007
  729517.2,    -600.0,         0.0004
  729517.2,    -640.0,        -0.0214
  729517.2,    -680.0,         0.0125
  729517.2,    -720.0,         0.0604
  729517.2,    -760.0,         0.0000
  729516.8,       0.0,         0.0386
  729516.8,     -40.0,         0.0294
  729516.8,     -80.0,        -0.0113
  729516.8,    -120.0,         0.0000
  729516.8,    -160.0,        -0.0067
  729516.8,    -200.0,         0.0466
  729516.8,    -240.0,         0.0268
  729516.8,    -280.0,        -0.0024
  729516.8,    -320.0,        -0.0343
