  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          51.773        0.000            193.3
          2          42.700        4.446            659.6
          3          35.540       13.737            853.2
          4          28.992       25.568           1048.3
          5          22.016       42.015           1245.6
          6          17.465       55.724           1443.0
          7          14.912       66.363           1640.1
          8          13.286       75.592           1837.5
          9          11.996       84.754           2034.5
         10          11.003       93.455           2231.1
         11          10.179      102.078           2427.2
         12           9.475      110.958           2624.0
         13           8.899      120.058           2819.4
         14           8.412      129.314           3016.5
         15           7.939      139.087           3214.0
         16           7.456      149.719           3415.5
         17           7.026      160.609           3612.1
         18           6.708      171.031           3808.3
         19           6.500      180.590           4005.7
         20           6.356      189.778           4202.8
         21           6.255      197.562           4399.9
         22           6.169      207.819           4596.8
         23           6.116      215.829           4794.3
         24           6.107      218.197           5187.8
         25           6.077      222.752           5383.8
         26           6.064      222.895           5973.4
         27           6.055      224.278           6169.2
         28           6.050      225.761           6366.5
         29           6.040      228.732           6562.6
