Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,0,29,478997.8,6196741.0,32.3,34.4,0.0,0.0,1305.390,350.6070,1116.182,268.8864,874.3779,299.2094,590.3436,345.6830,232.5121,298.0441,282.4707,113.7481
1,0,30,478997.8,6196766.0,32.6,34.4,0.0,0.0,1301.959,348.9138,1115.021,267.8042,873.7520,301.0668,584.2994,348.8141,226.4713,295.0089,286.2664,116.8455
1,0,31,478997.8,6196791.0,32.9,34.4,0.0,0.0,1299.693,345.3041,1115.065,265.9333,876.4014,301.5346,580.7755,354.0649,220.9534,292.8297,286.9803,117.7987
1,0,32,478997.8,6196816.0,33.0,34.4,0.0,0.0,1302.434,343.3453,1118.249,265.1089,881.6790,302.5185,580.5308,359.2556,217.5515,292.3624,285.7693,118.4088
1,0,33,478997.8,6196841.0,33.0,34.4,0.0,0.0,1307.285,344.4783,1123.822,264.7249,888.3245,304.9355,581.1313,363.4710,216.1204,292.7248,289.3730,121.1202
1,0,34,478997.8,6196866.0,33.1,34.4,0.0,0.0,1313.192,346.9651,1129.889,264.1456,896.5858,306.8960,583.4686,367.5465,216.2873,293.9863,292.1649,122.7839
1,0,35,478997.8,6196891.0,33.2,34.4,0.0,0.0,1315.208,346.6873,1132.621,262.7726,901.7126,306.3227,587.4733,369.4221,217.7920,295.7328,291.9402,121.9965
1,0,36,478997.8,6196916.0,33.5,34.4,0.0,0.0,1309.485,342.5331,1130.501,259.9906,900.8736,303.6503,590.9956,367.6436,220.3412,296.9908,292.9264,120.9875
1,0,37,478997.8,6196941.0,33.8,34.4,0.0,0.0,1298.210,330.5998,1126.327,255.0845,897.8316,299.8194,594.0832,363.1859,224.7109,298.2132,293.1394,118.7475
1,0,38,478997.8,6196966.0,34.0,34.4,0.0,0.0,1288.689,314.4788,1123.952,250.2005,895.0295,295.7687,600.4430,356.5568,232.2324,301.1785,290.3282,115.8727
1,0,39,478997.8,6196991.0,34.4,34.4,0.0,0.0,1279.159,301.6868,1121.013,245.9523,891.0200,292.0782,606.2075,348.8604,240.9263,303.7063,288.1460,113.3239
1,0,40,478997.8,6197016.0,34.8,34.4,0.0,0.0,1270.490,296.8741,1115.790,243.9619,884.6395,289.1809,607.4536,340.3419,249.6790,304.1281,288.1694,110.0086
1,0,41,478997.8,6197041.0,35.3,34.4,0.0,0.0,1263.375,295.6086,1109.249,243.6857,875.9645,285.6117,610.6632,328.2083,261.2982,305.9312,287.2917,107.7407
1,0,42,478997.8,6197066.0,35.7,34.4,0.0,0.0,1258.081,296.2983,1102.663,245.0713,865.7734,281.8000,615.2192,314.4853,273.8827,308.3977,286.3237,106.5165
1,0,43,478997.8,6197091.0,35.9,34.4,0.0,0.0,1257.718,297.7203,1100.524,246.9949,860.4549,279.1950,620.0273,304.9377,285.3283,310.5033,285.5963,103.3336
1,0,44,478997.8,6197116.0,35.9,34.4,0.0,0.0,1263.854,299.6600,1105.116,248.8277,861.9353,278.1586,629.4377,297.6084,298.8303,314.8377,286.7109,101.7655
1,0,45,478997.8,6197141.0,35.6,34.4,0.0,0.0,1275.957,303.7324,1115.314,250.9676,869.0342,280.1065,638.3364,293.6934,311.8435,318.8765,291.0818,102.9028
1,0,46,478997.8,6197166.0,35.3,34.4,0.0,0.0,1292.243,314.4150,1126.190,254.8828,877.9250,283.3513,644.5240,294.2652,320.4083,320.8813,293.2056,103.1143
1,0,47,478997.8,6197191.0,35.1,34.4,0.0,0.0,1305.849,330.4718,1132.123,260.0811,882.6441,285.6434,647.7402,295.1442,324.6252,321.2790,292.4134,103.2670
