Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
31003,50.0,25.6,478996.81,6196058.00,8.51,0.93,117.54,2.07
31003,50.0,22.6,478996.81,6196058.00,6.96,0.84,143.69,2.16
31003,50.0,19.6,478996.81,6196058.00,5.33,0.73,187.75,2.27
31003,50.0,16.6,478996.81,6196058.00,4.13,0.62,242.28,2.38
31003,50.0,13.6,478996.81,6196058.00,3.50,0.54,285.94,2.46
31003,50.0,10.6,478996.81,6196058.00,3.60,0.56,277.60,2.44
31003,50.0,7.6,478996.81,6196058.00,4.53,0.66,220.54,2.34
31003,50.0,4.6,478996.81,6196058.00,6.31,0.80,158.46,2.20
31003,50.0,1.6,478996.81,6196058.00,8.85,0.95,112.95,2.05
31003,50.0,-1.4,478996.81,6196058.00,11.92,1.08,83.93,1.92
31003,50.0,-4.4,478996.81,6196058.00,15.14,1.18,66.04,1.82
31003,50.0,-7.4,478996.81,6196058.00,18.21,1.26,54.92,1.74
31003,50.0,-10.4,478996.81,6196058.00,20.90,1.32,47.84,1.68
31003,50.0,-13.4,478996.81,6196058.00,23.14,1.36,43.21,1.64
31003,50.0,-16.4,478996.81,6196058.00,24.94,1.40,40.09,1.60
31003,50.0,-19.4,478996.81,6196058.00,26.35,1.42,37.95,1.58
31003,50.0,-22.4,478996.81,6196058.00,27.45,1.44,36.43,1.56
31003,50.0,-25.4,478996.81,6196058.00,28.30,1.45,35.34,1.55
31003,50.0,-28.4,478996.81,6196058.00,28.96,1.46,34.53,1.54
31003,50.0,-31.4,478996.81,6196058.00,29.47,1.47,33.93,1.53
31003,50.0,-34.6,478996.81,6196058.00,29.93,1.48,33.41,1.52
31003,50.0,-38.1,478996.81,6196058.00,30.28,1.48,33.02,1.52
31003,50.0,-41.6,478996.81,6196058.00,30.56,1.49,32.72,1.51
31003,50.0,-45.0,478996.81,6196058.00,30.78,1.49,32.49,1.51
31003,50.0,-48.5,478996.81,6196058.00,30.95,1.49,32.31,1.51
31003,50.0,-52.0,478996.81,6196058.00,31.09,1.49,32.16,1.51
31003,50.0,-55.5,478996.81,6196058.00,31.21,1.49,32.04,1.51
31003,50.0,-58.9,478996.81,6196058.00,31.30,1.50,31.95,1.50
31003,50.0,-62.4,478996.81,6196058.00,31.38,1.50,31.87,1.50
31003,50.0,-65.9,478996.81,6196058.00,31.42,1.50,31.83,1.50
31003,150.0,24.6,478996.81,6196158.00,7.65,0.88,130.78,2.12
31003,150.0,21.6,478996.81,6196158.00,5.21,0.72,192.00,2.28
31003,150.0,18.6,478996.81,6196158.00,3.45,0.54,289.88,2.46
31003,150.0,15.6,478996.81,6196158.00,2.33,0.37,430.03,2.63
31003,150.0,12.6,478996.81,6196158.00,1.70,0.23,587.90,2.77
31003,150.0,9.6,478996.81,6196158.00,1.75,0.24,570.58,2.76
31003,150.0,6.6,478996.81,6196158.00,2.58,0.41,388.11,2.59
31003,150.0,3.6,478996.81,6196158.00,4.26,0.63,234.54,2.37
31003,150.0,0.6,478996.81,6196158.00,6.83,0.83,146.44,2.17
31003,150.0,-2.4,478996.81,6196158.00,10.05,1.00,99.55,2.00
31003,150.0,-5.4,478996.81,6196158.00,13.52,1.13,73.98,1.87
31003,150.0,-8.4,478996.81,6196158.00,16.86,1.23,59.31,1.77
31003,150.0,-11.4,478996.81,6196158.00,19.83,1.30,50.44,1.70
31003,150.0,-14.4,478996.81,6196158.00,22.31,1.35,44.83,1.65
31003,150.0,-17.4,478996.81,6196158.00,24.31,1.39,41.13,1.61
31003,150.0,-20.4,478996.81,6196158.00,25.90,1.41,38.61,1.59
31003,150.0,-23.4,478996.81,6196158.00,27.14,1.43,36.85,1.57
31003,150.0,-26.4,478996.81,6196158.00,28.11,1.45,35.57,1.55
31003,150.0,-29.4,478996.81,6196158.00,28.87,1.46,34.64,1.54
31003,150.0,-32.4,478996.81,6196158.00,29.47,1.47,33.94,1.53
31003,150.0,-35.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-39.0,478996.81,6196158.00,30.42,1.48,32.87,1.52
31003,150.0,-42.3,478996.81,6196158.00,30.75,1.49,32.52,1.51
31003,150.0,-45.7,478996.81,6196158.00,31.01,1.49,32.25,1.51
31003,150.0,-49.1,478996.81,6196158.00,31.22,1.49,32.03,1.51
31003,150.0,-52.4,478996.81,6196158.00,31.39,1.50,31.86,1.50
31003,150.0,-55.8,478996.81,6196158.00,31.53,1.50,31.72,1.50
31003,150.0,-59.2,478996.81,6196158.00,31.65,1.50,31.60,1.50
31003,150.0,-62.6,478996.81,6196158.00,31.74,1.50,31.50,1.50
31003,150.0,-65.9,478996.81,6196158.00,31.80,1.50,31.44,1.50
31003,250.0,23.8,478996.81,6196258.00,6.96,0.84,143.68,2.16
31003,250.0,20.8,478996.81,6196258.00,2.95,0.47,338.97,2.53
31003,250.0,17.8,478996.81,6196258.00,1.53,0.18,654.25,2.82
31003,250.0,14.8,478996.81,6196258.00,0.78,-0.11,1290.04,3.11
31003,250.0,11.8,478996.81,6196258.00,0.35,-0.45,2828.28,3.45
31003,250.0,8.8,478996.81,6196258.00,0.35,-0.45,2821.87,3.45
31003,250.0,5.8,478996.81,6196258.00,0.80,-0.09,1243.01,3.09
31003,250.0,2.8,478996.81,6196258.00,2.00,0.30,501.05,2.70
31003,250.0,-0.2,478996.81,6196258.00,4.20,0.62,237.83,2.38
31003,250.0,-3.2,478996.81,6196258.00,7.35,0.87,136.03,2.13
31003,250.0,-6.2,478996.81,6196258.00,11.02,1.04,90.75,1.96
31003,250.0,-9.2,478996.81,6196258.00,14.72,1.17,67.95,1.83
31003,250.0,-12.2,478996.81,6196258.00,18.09,1.26,55.27,1.74
31003,250.0,-15.2,478996.81,6196258.00,20.98,1.32,47.66,1.68
31003,250.0,-18.2,478996.81,6196258.00,23.36,1.37,42.82,1.63
31003,250.0,-21.2,478996.81,6196258.00,25.26,1.40,39.58,1.60
31003,250.0,-24.2,478996.81,6196258.00,26.78,1.43,37.34,1.57
31003,250.0,-27.2,478996.81,6196258.00,27.98,1.45,35.74,1.55
31003,250.0,-30.2,478996.81,6196258.00,28.93,1.46,34.57,1.54
31003,250.0,-33.2,478996.81,6196258.00,29.69,1.47,33.68,1.53
31003,250.0,-36.3,478996.81,6196258.00,30.38,1.48,32.92,1.52
31003,250.0,-39.6,478996.81,6196258.00,30.92,1.49,32.34,1.51
31003,250.0,-42.9,478996.81,6196258.00,31.35,1.50,31.90,1.50
31003,250.0,-46.2,478996.81,6196258.00,31.69,1.50,31.56,1.50
31003,250.0,-49.5,478996.81,6196258.00,31.96,1.50,31.29,1.50
31003,250.0,-52.8,478996.81,6196258.00,32.19,1.51,31.07,1.49
31003,250.0,-56.1,478996.81,6196258.00,32.38,1.51,30.89,1.49
31003,250.0,-59.4,478996.81,6196258.00,32.54,1.51,30.73,1.49
31003,250.0,-62.7,478996.81,6196258.00,32.68,1.51,30.60,1.49
31003,250.0,-66.0,478996.81,6196258.00,32.79,1.52,30.50,1.48
31003,350.0,24.7,478996.81,6196358.00,5.25,0.72,190.47,2.28
31003,350.0,21.7,478996.81,6196358.00,2.71,0.43,368.79,2.57
31003,350.0,18.7,478996.81,6196358.00,1.87,0.27,533.49,2.73
31003,350.0,15.7,478996.81,6196358.00,0.95,-0.02,1056.58,3.02
31003,350.0,12.7,478996.81,6196358.00,0.26,-0.59,3871.05,3.59
31003,350.0,9.7,478996.81,6196358.00,0.15,-0.83,6766.68,3.83
31003,350.0,6.7,478996.81,6196358.00,0.35,-0.45,2849.60,3.45
31003,350.0,3.7,478996.81,6196358.00,1.09,0.04,918.92,2.96
31003,350.0,0.7,478996.81,6196358.00,2.81,0.45,356.42,2.55
31003,350.0,-2.3,478996.81,6196358.00,5.68,0.75,176.14,2.25
31003,350.0,-5.3,478996.81,6196358.00,9.39,0.97,106.54,2.03
31003,350.0,-8.3,478996.81,6196358.00,13.37,1.13,74.77,1.87
31003,350.0,-11.3,478996.81,6196358.00,17.17,1.23,58.25,1.77
31003,350.0,-14.3,478996.81,6196358.00,20.50,1.31,48.78,1.69
31003,350.0,-17.3,478996.81,6196358.00,23.29,1.37,42.93,1.63
31003,350.0,-20.3,478996.81,6196358.00,25.57,1.41,39.11,1.59
31003,350.0,-23.3,478996.81,6196358.00,27.39,1.44,36.51,1.56
31003,350.0,-26.3,478996.81,6196358.00,28.84,1.46,34.67,1.54
31003,350.0,-29.3,478996.81,6196358.00,30.00,1.48,33.34,1.52
31003,350.0,-32.3,478996.81,6196358.00,30.93,1.49,32.33,1.51
31003,350.0,-35.5,478996.81,6196358.00,31.80,1.50,31.44,1.50
31003,350.0,-38.9,478996.81,6196358.00,32.47,1.51,30.79,1.49
31003,350.0,-42.2,478996.81,6196358.00,32.99,1.52,30.31,1.48
31003,350.0,-45.6,478996.81,6196358.00,33.39,1.52,29.94,1.48
31003,350.0,-49.0,478996.81,6196358.00,33.71,1.53,29.66,1.47
31003,350.0,-52.4,478996.81,6196358.00,33.97,1.53,29.43,1.47
31003,350.0,-55.8,478996.81,6196358.00,34.20,1.53,29.24,1.47
31003,350.0,-59.2,478996.81,6196358.00,34.39,1.54,29.08,1.46
31003,350.0,-62.6,478996.81,6196358.00,34.56,1.54,28.94,1.46
31003,350.0,-65.9,478996.81,6196358.00,34.68,1.54,28.84,1.46
31003,450.0,26.1,478996.81,6196458.00,1.78,0.25,562.65,2.75
31003,450.0,23.1,478996.81,6196458.00,3.60,0.56,277.81,2.44
31003,450.0,20.1,478996.81,6196458.00,4.64,0.67,215.43,2.33
31003,450.0,17.1,478996.81,6196458.00,3.05,0.48,327.66,2.52
31003,450.0,14.1,478996.81,6196458.00,0.94,-0.02,1058.87,3.02
31003,450.0,11.1,478996.81,6196458.00,0.25,-0.60,3982.39,3.60
31003,450.0,8.1,478996.81,6196458.00,0.24,-0.62,4128.52,3.62
31003,450.0,5.1,478996.81,6196458.00,0.68,-0.17,1480.02,3.17
31003,450.0,2.1,478996.81,6196458.00,1.95,0.29,511.96,2.71
31003,450.0,-0.9,478996.81,6196458.00,4.44,0.65,225.32,2.35
31003,450.0,-3.9,478996.81,6196458.00,7.99,0.90,125.22,2.10
31003,450.0,-6.9,478996.81,6196458.00,12.07,1.08,82.85,1.92
31003,450.0,-9.9,478996.81,6196458.00,16.15,1.21,61.91,1.79
31003,450.0,-12.9,478996.81,6196458.00,19.88,1.30,50.29,1.70
31003,450.0,-15.9,478996.81,6196458.00,23.11,1.36,43.26,1.64
31003,450.0,-18.9,478996.81,6196458.00,25.81,1.41,38.74,1.59
31003,450.0,-21.9,478996.81,6196458.00,28.02,1.45,35.69,1.55
31003,450.0,-24.9,478996.81,6196458.00,29.81,1.47,33.55,1.53
31003,450.0,-27.9,478996.81,6196458.00,31.25,1.49,32.00,1.51
31003,450.0,-30.9,478996.81,6196458.00,32.42,1.51,30.85,1.49
31003,450.0,-34.2,478996.81,6196458.00,33.57,1.53,29.79,1.47
31003,450.0,-37.7,478996.81,6196458.00,34.45,1.54,29.03,1.46
31003,450.0,-41.2,478996.81,6196458.00,35.12,1.55,28.47,1.45
31003,450.0,-44.7,478996.81,6196458.00,35.64,1.55,28.06,1.45
31003,450.0,-48.2,478996.81,6196458.00,36.05,1.56,27.74,1.44
31003,450.0,-51.8,478996.81,6196458.00,36.37,1.56,27.49,1.44
31003,450.0,-55.3,478996.81,6196458.00,36.64,1.56,27.29,1.44
31003,450.0,-58.8,478996.81,6196458.00,36.87,1.57,27.12,1.43
31003,450.0,-62.3,478996.81,6196458.00,37.05,1.57,26.99,1.43
31003,450.0,-65.9,478996.81,6196458.00,37.15,1.57,26.92,1.43
31003,550.0,27.8,478996.81,6196558.00,2.78,0.44,359.39,2.56
31003,550.0,24.8,478996.81,6196558.00,5.42,0.73,184.47,2.27
31003,550.0,21.8,478996.81,6196558.00,6.90,0.84,145.03,2.16
31003,550.0,18.8,478996.81,6196558.00,6.23,0.79,160.55,2.21
31003,550.0,15.8,478996.81,6196558.00,2.76,0.44,362.84,2.56
31003,550.0,12.8,478996.81,6196558.00,0.53,-0.28,1899.14,3.28
31003,550.0,9.8,478996.81,6196558.00,0.19,-0.73,5364.68,3.73
31003,550.0,6.8,478996.81,6196558.00,0.45,-0.35,2227.56,3.35
31003,550.0,3.8,478996.81,6196558.00,1.41,0.15,710.19,2.85
31003,550.0,0.8,478996.81,6196558.00,3.46,0.54,289.40,2.46
31003,550.0,-2.2,478996.81,6196558.00,6.59,0.82,151.82,2.18
31003,550.0,-5.2,478996.81,6196558.00,10.41,1.02,96.06,1.98
31003,550.0,-8.2,478996.81,6196558.00,14.45,1.16,69.19,1.84
31003,550.0,-11.2,478996.81,6196558.00,18.35,1.26,54.51,1.74
31003,550.0,-14.2,478996.81,6196558.00,21.88,1.34,45.70,1.66
31003,550.0,-17.2,478996.81,6196558.00,24.97,1.40,40.05,1.60
31003,550.0,-20.2,478996.81,6196558.00,27.60,1.44,36.23,1.56
31003,550.0,-23.2,478996.81,6196558.00,29.81,1.47,33.55,1.53
31003,550.0,-26.2,478996.81,6196558.00,31.63,1.50,31.61,1.50
31003,550.0,-29.2,478996.81,6196558.00,33.14,1.52,30.17,1.48
31003,550.0,-32.6,478996.81,6196558.00,34.71,1.54,28.81,1.46
31003,550.0,-36.3,478996.81,6196558.00,35.93,1.56,27.83,1.44
31003,550.0,-39.9,478996.81,6196558.00,36.89,1.57,27.11,1.43
31003,550.0,-43.6,478996.81,6196558.00,37.63,1.58,26.58,1.42
31003,550.0,-47.3,478996.81,6196558.00,38.20,1.58,26.18,1.42
31003,550.0,-51.0,478996.81,6196558.00,38.66,1.59,25.87,1.41
31003,550.0,-54.7,478996.81,6196558.00,39.01,1.59,25.63,1.41
31003,550.0,-58.4,478996.81,6196558.00,39.30,1.59,25.45,1.41
31003,550.0,-62.1,478996.81,6196558.00,39.50,1.60,25.32,1.40
31003,550.0,-65.8,478996.81,6196558.00,39.59,1.60,25.26,1.40
