  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          49.224        0.000            201.8
          2          42.133        2.296            901.8
          3          35.112        9.000           1105.0
          4          28.634       18.765           1310.5
          5          22.732       30.451           1513.8
          6          18.770       40.354           1720.0
          7          16.685       47.078           1925.4
          8          15.545       52.201           2132.5
          9          14.794       56.888           2338.8
         10          14.157       61.852           2543.7
         11          13.518       67.539           2749.7
         12          12.827       74.234           2956.1
         13          12.055       82.236           3162.6
         14          11.197       91.985           3368.6
         15          10.296      103.532           3576.3
         16           9.428      116.323           3782.9
         17           8.683      129.538           3989.7
         18           8.106      142.308           4195.3
         19           7.632      154.585           4402.0
         20           7.200      166.972           4607.6
         21           6.838      179.823           4813.5
         22           6.544      192.837           5019.4
         23           6.288      206.575           5225.6
         24           6.071      221.145           5431.7
         25           5.919      234.404           5637.7
         26           5.871      240.992           5843.9
         27           5.831      248.549           6048.8
         28           5.797      259.194           6255.7
         29           5.769      271.519           6461.6
         30           5.759      280.694           6665.4
