X,Y,Z,Lith
734929.79,7170437.50,   613.60, 0
734929.84,7170482.50,   613.60, 0
734929.88,7170527.50,   613.60, 0
734929.93,7170572.50,   613.60, 0
734929.98,7170617.50,   613.60, 0
734930.03,7170662.50,   613.60, 0
734930.08,7170707.50,   613.60, 0
734930.12,7170752.50,   613.60, 0
734930.17,7170797.50,   613.60, 0
734930.22,7170842.50,   613.60, 0
734930.27,7170887.50,   613.60, 0
734930.31,7170932.50,   613.60, 0
734930.36,7170977.50,   613.60, 0
734930.41,7171022.50,   613.60, 0
734930.46,7171067.50,   613.60, 0
734930.51,7171112.50,   613.60, 0
734930.55,7171157.50,   613.60, 0
734930.60,7171202.50,   613.60, 0
734930.65,7171247.50,   613.60, 0
734930.70,7171292.50,   613.60, 0
734930.74,7171337.50,   613.60, 0
734930.79,7171382.50,   613.60, 0
734930.84,7171427.50,   613.60, 0
734930.89,7171472.50,   613.60, 0
734930.94,7171517.50,   613.60, 0
734930.98,7171562.50,   613.60, 0
734931.03,7171607.50,   613.60, 0
734931.08,7171652.50,   613.60, 0
734931.13,7171697.50,   613.60, 0
734931.17,7171742.50,   613.60, 0
734931.22,7171787.50,   613.60, 0
734931.27,7171832.50,   613.60, 0
734931.32,7171877.50,   613.60, 0
734931.37,7171922.50,   613.60, 0
734931.41,7171967.50,   613.60, 0
734931.46,7172012.50,   613.60, 0
734931.51,7172057.50,   613.60, 0
734931.56,7172102.50,   613.60, 0
734931.61,7172147.50,   613.60, 0
734931.65,7172192.50,   613.60, 0
734931.70,7172237.50,   613.60, 0
734931.75,7172282.50,   613.60, 0
734931.80,7172327.50,   613.60, 0
734931.84,7172372.50,   613.60, 0
734931.89,7172417.50,   613.60, 0
734931.94,7172462.50,   613.60, 0
734931.99,7172507.50,   613.60, 0
734932.04,7172552.50,   613.60, 0
