  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          53.153        0.000            246.3
          2          45.116        2.600           1025.0
          3          37.380        9.758           1252.8
          4          30.073       20.813           1476.4
          5          24.380       32.929           1699.3
          6          20.861       42.992           1923.1
          7          18.925       50.374           2149.4
          8          17.718       56.456           2373.9
          9          16.777       62.276           2599.6
         10          15.861       68.665           2824.9
         11          14.849       76.282           3051.9
         12          13.744       85.408           3276.7
         13          12.601       95.839           3500.9
         14          11.424      107.443           3726.8
         15          10.312      119.823           3950.7
         16           9.307      132.632           4175.4
         17           8.419      145.128           4400.2
         18           7.588      158.690           4631.1
         19           6.918      171.414           4855.6
         20           6.449      182.371           5080.4
         21           6.173      191.717           5305.0
         22           5.983      201.072           5529.6
         23           5.822      211.135           5756.6
         24           5.692      222.322           5984.5
         25           5.605      233.856           6211.6
         26           5.548      245.132           6438.8
         27           5.516      252.378           6667.2
         28           5.471      259.765           6895.3
