Line,Location,RL,East,North,Resistivity_ohmm,Log_Resistivity,Conductivity_mS_m,Log_Conductivity
11250,25.0,561.4,734932.88,7173378.50,128.94,2.11,7.76,0.89
11250,25.0,551.4,734932.88,7173378.50,132.30,2.12,7.56,0.88
11250,25.0,541.4,734932.88,7173378.50,138.91,2.14,7.20,0.86
11250,25.0,531.4,734932.88,7173378.50,148.67,2.17,6.73,0.83
11250,25.0,521.4,734932.88,7173378.50,161.50,2.21,6.19,0.79
11250,25.0,508.9,734932.88,7173378.50,186.83,2.27,5.35,0.73
11250,25.0,491.4,734932.88,7173378.50,230.03,2.36,4.35,0.64
11250,25.0,470.8,734932.88,7173378.50,286.46,2.46,3.49,0.54
11250,25.0,449.0,734932.88,7173378.50,355.98,2.55,2.81,0.45
11250,25.0,425.8,734932.88,7173378.50,435.62,2.64,2.30,0.36
11250,25.0,401.3,734932.88,7173378.50,520.62,2.72,1.92,0.28
11250,25.0,375.3,734932.88,7173378.50,605.40,2.78,1.65,0.22
11250,25.0,347.7,734932.88,7173378.50,684.85,2.84,1.46,0.16
11250,25.0,318.5,734932.88,7173378.50,755.31,2.88,1.32,0.12
11250,25.0,287.5,734932.88,7173378.50,814.94,2.91,1.23,0.09
11250,25.0,254.7,734932.88,7173378.50,863.49,2.94,1.16,0.06
11250,25.0,219.9,734932.88,7173378.50,901.72,2.96,1.11,0.04
11250,25.0,182.9,734932.88,7173378.50,930.98,2.97,1.07,0.03
11250,25.0,143.7,734932.88,7173378.50,952.57,2.98,1.05,0.02
11250,25.0,102.1,734932.88,7173378.50,967.83,2.99,1.03,0.01
11250,25.0,58.0,734932.88,7173378.50,977.87,2.99,1.02,0.01
11250,25.0,11.3,734932.88,7173378.50,983.23,2.99,1.02,0.01
11250,75.0,561.0,734932.75,7173328.50,107.35,2.03,9.32,0.97
11250,75.0,551.0,734932.75,7173328.50,110.81,2.04,9.02,0.96
11250,75.0,541.0,734932.75,7173328.50,117.55,2.07,8.51,0.93
11250,75.0,531.0,734932.75,7173328.50,127.46,2.11,7.85,0.89
11250,75.0,521.0,734932.75,7173328.50,140.41,2.15,7.12,0.85
11250,75.0,508.5,734932.75,7173328.50,165.95,2.22,6.03,0.78
11250,75.0,491.0,734932.75,7173328.50,209.58,2.32,4.77,0.68
11250,75.0,470.4,734932.75,7173328.50,266.71,2.43,3.75,0.57
11250,75.0,448.5,734932.75,7173328.50,337.16,2.53,2.97,0.47
11250,75.0,425.4,734932.75,7173328.50,417.94,2.62,2.39,0.38
11250,75.0,400.8,734932.75,7173328.50,504.30,2.70,1.98,0.30
11250,75.0,374.8,734932.75,7173328.50,590.67,2.77,1.69,0.23
11250,75.0,347.3,734932.75,7173328.50,671.96,2.83,1.49,0.17
11250,75.0,318.1,734932.75,7173328.50,744.46,2.87,1.34,0.13
11250,75.0,287.1,734932.75,7173328.50,806.17,2.91,1.24,0.09
11250,75.0,254.2,734932.75,7173328.50,856.72,2.93,1.17,0.07
11250,75.0,219.4,734932.75,7173328.50,896.73,2.95,1.12,0.05
11250,75.0,182.5,734932.75,7173328.50,927.43,2.97,1.08,0.03
11250,75.0,143.4,734932.75,7173328.50,950.16,2.98,1.05,0.02
11250,75.0,101.9,734932.75,7173328.50,966.25,2.99,1.03,0.01
11250,75.0,57.9,734932.75,7173328.50,976.84,2.99,1.02,0.01
11250,75.0,11.3,734932.75,7173328.50,982.51,2.99,1.02,0.01
11250,125.0,560.7,734932.75,7173278.50,90.92,1.96,11.00,1.04
11250,125.0,550.7,734932.75,7173278.50,94.39,1.97,10.59,1.03
11250,125.0,540.7,734932.75,7173278.50,101.09,2.00,9.89,1.00
11250,125.0,530.7,734932.75,7173278.50,110.87,2.04,9.02,0.96
11250,125.0,520.7,734932.75,7173278.50,123.60,2.09,8.09,0.91
11250,125.0,508.2,734932.75,7173278.50,148.69,2.17,6.73,0.83
11250,125.0,490.7,734932.75,7173278.50,191.58,2.28,5.22,0.72
11250,125.0,470.1,734932.75,7173278.50,247.88,2.39,4.03,0.61
11250,125.0,448.3,734932.75,7173278.50,317.46,2.50,3.15,0.50
11250,125.0,425.2,734932.75,7173278.50,397.55,2.60,2.52,0.40
11250,125.0,400.6,734932.75,7173278.50,483.66,2.68,2.07,0.32
11250,125.0,374.6,734932.75,7173278.50,570.51,2.76,1.75,0.24
11250,125.0,347.0,734932.75,7173278.50,653.17,2.82,1.53,0.18
11250,125.0,317.8,734932.75,7173278.50,727.84,2.86,1.37,0.14
11250,125.0,286.9,734932.75,7173278.50,792.28,2.90,1.26,0.10
11250,125.0,254.0,734932.75,7173278.50,845.72,2.93,1.18,0.07
11250,125.0,219.2,734932.75,7173278.50,888.46,2.95,1.13,0.05
11250,125.0,182.3,734932.75,7173278.50,921.52,2.96,1.09,0.04
11250,125.0,143.2,734932.75,7173278.50,946.12,2.98,1.06,0.02
11250,125.0,101.8,734932.75,7173278.50,963.58,2.98,1.04,0.02
11250,125.0,57.8,734932.75,7173278.50,975.10,2.99,1.03,0.01
11250,125.0,11.2,734932.75,7173278.50,981.29,2.99,1.02,0.01
11250,175.0,561.0,734932.62,7173228.50,93.14,1.97,10.74,1.03
11250,175.0,551.0,734932.62,7173228.50,96.42,1.98,10.37,1.02
11250,175.0,541.0,734932.62,7173228.50,102.80,2.01,9.73,0.99
11250,175.0,531.0,734932.62,7173228.50,112.14,2.05,8.92,0.95
11250,175.0,521.0,734932.62,7173228.50,124.31,2.09,8.04,0.91
11250,175.0,508.5,734932.62,7173228.50,148.21,2.17,6.75,0.83
11250,175.0,491.0,734932.62,7173228.50,188.91,2.28,5.29,0.72
11250,175.0,470.4,734932.62,7173228.50,242.19,2.38,4.13,0.62
11250,175.0,448.6,734932.62,7173228.50,308.04,2.49,3.25,0.51
11250,175.0,425.4,734932.62,7173228.50,384.18,2.58,2.60,0.42
11250,175.0,400.9,734932.62,7173228.50,466.86,2.67,2.14,0.33
11250,175.0,374.9,734932.62,7173228.50,551.46,2.74,1.81,0.26
11250,175.0,347.3,734932.62,7173228.50,633.50,2.80,1.58,0.20
11250,175.0,318.1,734932.62,7173228.50,709.20,2.85,1.41,0.15
11250,175.0,287.1,734932.62,7173228.50,775.92,2.89,1.29,0.11
11250,175.0,254.3,734932.62,7173228.50,832.36,2.92,1.20,0.08
11250,175.0,219.5,734932.62,7173228.50,878.22,2.94,1.14,0.06
11250,175.0,182.6,734932.62,7173228.50,914.11,2.96,1.09,0.04
11250,175.0,143.4,734932.62,7173228.50,941.01,2.97,1.06,0.03
11250,175.0,101.9,734932.62,7173228.50,960.20,2.98,1.04,0.02
11250,175.0,57.9,734932.62,7173228.50,972.89,2.99,1.03,0.01
11250,175.0,11.3,734932.62,7173228.50,979.72,2.99,1.02,0.01
11250,225.0,561.6,734932.62,7173178.50,116.03,2.06,8.62,0.94
11250,225.0,551.6,734932.62,7173178.50,119.12,2.08,8.39,0.92
11250,225.0,541.6,734932.62,7173178.50,125.13,2.10,7.99,0.90
11250,225.0,531.6,734932.62,7173178.50,133.89,2.13,7.47,0.87
11250,225.0,521.6,734932.62,7173178.50,145.27,2.16,6.88,0.84
11250,225.0,509.1,734932.62,7173178.50,167.39,2.22,5.97,0.78
11250,225.0,491.6,734932.62,7173178.50,204.59,2.31,4.89,0.69
11250,225.0,471.0,734932.62,7173178.50,252.83,2.40,3.96,0.60
11250,225.0,449.1,734932.62,7173178.50,312.27,2.49,3.20,0.51
11250,225.0,426.0,734932.62,7173178.50,381.32,2.58,2.62,0.42
11250,225.0,401.5,734932.62,7173178.50,457.29,2.66,2.19,0.34
11250,225.0,375.4,734932.62,7173178.50,536.72,2.73,1.86,0.27
11250,225.0,347.9,734932.62,7173178.50,615.80,2.79,1.62,0.21
11250,225.0,318.7,734932.62,7173178.50,690.91,2.84,1.45,0.16
11250,225.0,287.7,734932.62,7173178.50,759.03,2.88,1.32,0.12
11250,225.0,254.8,734932.62,7173178.50,818.07,2.91,1.22,0.09
11250,225.0,220.0,734932.62,7173178.50,867.02,2.94,1.15,0.06
11250,225.0,183.1,734932.62,7173178.50,905.94,2.96,1.10,0.04
11250,225.0,143.8,734932.62,7173178.50,935.34,2.97,1.07,0.03
11250,225.0,102.2,734932.62,7173178.50,956.42,2.98,1.05,0.02
11250,225.0,58.1,734932.62,7173178.50,970.41,2.99,1.03,0.01
11250,225.0,11.3,734932.62,7173178.50,977.97,2.99,1.02,0.01
11250,275.0,562.1,734932.50,7173128.50,162.86,2.21,6.14,0.79
11250,275.0,552.1,734932.50,7173128.50,165.36,2.22,6.05,0.78
11250,275.0,542.1,734932.50,7173128.50,170.34,2.23,5.87,0.77
11250,275.0,532.1,734932.50,7173128.50,177.72,2.25,5.63,0.75
11250,275.0,522.1,734932.50,7173128.50,187.39,2.27,5.34,0.73
11250,275.0,509.6,734932.50,7173128.50,206.16,2.31,4.85,0.69
11250,275.0,492.1,734932.50,7173128.50,237.55,2.38,4.21,0.62
11250,275.0,471.5,734932.50,7173128.50,278.24,2.44,3.59,0.56
11250,275.0,449.6,734932.50,7173128.50,328.63,2.52,3.04,0.48
11250,275.0,426.5,734932.50,7173128.50,387.97,2.59,2.58,0.41
11250,275.0,402.0,734932.50,7173128.50,454.78,2.66,2.20,0.34
11250,275.0,376.0,734932.50,7173128.50,526.80,2.72,1.90,0.28
11250,275.0,348.4,734932.50,7173128.50,601.08,2.78,1.66,0.22
11250,275.0,319.2,734932.50,7173128.50,674.21,2.83,1.48,0.17
11250,275.0,288.2,734932.50,7173128.50,742.78,2.87,1.35,0.13
11250,275.0,255.4,734932.50,7173128.50,803.92,2.91,1.24,0.09
11250,275.0,220.5,734932.50,7173128.50,855.67,2.93,1.17,0.07
11250,275.0,183.5,734932.50,7173128.50,897.56,2.95,1.11,0.05
11250,275.0,144.1,734932.50,7173128.50,929.49,2.97,1.08,0.03
11250,275.0,102.4,734932.50,7173128.50,952.51,2.98,1.05,0.02
11250,275.0,58.2,734932.50,7173128.50,967.83,2.99,1.03,0.01
11250,275.0,11.4,734932.50,7173128.50,976.12,2.99,1.02,0.01
11250,325.0,562.3,734932.50,7173078.50,232.70,2.37,4.30,0.63
11250,325.0,552.3,734932.50,7173078.50,234.01,2.37,4.27,0.63
11250,325.0,542.3,734932.50,7173078.50,236.90,2.37,4.22,0.63
11250,325.0,532.3,734932.50,7173078.50,241.51,2.38,4.14,0.62
11250,325.0,522.3,734932.50,7173078.50,247.90,2.39,4.03,0.61
11250,325.0,509.8,734932.50,7173078.50,260.78,2.42,3.83,0.58
