Line,Location,RL,East,North,Resistivity_ohmm,Log_Resistivity,Conductivity_mS_m,Log_Conductivity
11250,25.0,561.4,734932.88,7173378.50,33.65,1.53,29.71,1.47
11250,25.0,551.4,734932.88,7173378.50,35.51,1.55,28.16,1.45
11250,25.0,541.4,734932.88,7173378.50,39.71,1.60,25.18,1.40
11250,25.0,531.4,734932.88,7173378.50,46.69,1.67,21.42,1.33
11250,25.0,521.4,734932.88,7173378.50,56.81,1.75,17.60,1.25
11250,25.0,508.9,734932.88,7173378.50,79.36,1.90,12.60,1.10
11250,25.0,491.4,734932.88,7173378.50,123.21,2.09,8.12,0.91
11250,25.0,470.8,734932.88,7173378.50,186.23,2.27,5.37,0.73
11250,25.0,449.0,734932.88,7173378.50,268.70,2.43,3.72,0.57
11250,25.0,425.8,734932.88,7173378.50,366.23,2.56,2.73,0.44
11250,25.0,401.3,734932.88,7173378.50,471.22,2.67,2.12,0.33
11250,25.0,375.3,734932.88,7173378.50,575.10,2.76,1.74,0.24
11250,25.0,347.7,734932.88,7173378.50,670.64,2.83,1.49,0.17
11250,25.0,318.5,734932.88,7173378.50,753.18,2.88,1.33,0.12
11250,25.0,287.5,734932.88,7173378.50,820.99,2.91,1.22,0.09
11250,25.0,254.7,734932.88,7173378.50,874.46,2.94,1.14,0.06
11250,25.0,219.9,734932.88,7173378.50,915.23,2.96,1.09,0.04
11250,25.0,182.9,734932.88,7173378.50,945.44,2.98,1.06,0.02
11250,25.0,143.7,734932.88,7173378.50,967.04,2.99,1.03,0.01
11250,25.0,102.1,734932.88,7173378.50,981.72,2.99,1.02,0.01
11250,25.0,58.0,734932.88,7173378.50,991.01,3.00,1.01,0.00
11250,25.0,11.3,734932.88,7173378.50,995.77,3.00,1.00,0.00
11250,75.0,561.0,734932.75,7173328.50,43.58,1.64,22.95,1.36
11250,75.0,551.0,734932.75,7173328.50,44.47,1.65,22.49,1.35
11250,75.0,541.0,734932.75,7173328.50,47.62,1.68,21.00,1.32
11250,75.0,531.0,734932.75,7173328.50,53.88,1.73,18.56,1.27
11250,75.0,521.0,734932.75,7173328.50,63.71,1.80,15.70,1.20
11250,75.0,508.5,734932.75,7173328.50,86.21,1.94,11.60,1.06
11250,75.0,491.0,734932.75,7173328.50,130.36,2.12,7.67,0.88
11250,75.0,470.4,734932.75,7173328.50,193.58,2.29,5.17,0.71
11250,75.0,448.5,734932.75,7173328.50,275.66,2.44,3.63,0.56
11250,75.0,425.4,734932.75,7173328.50,371.99,2.57,2.69,0.43
11250,75.0,400.8,734932.75,7173328.50,475.21,2.68,2.10,0.32
11250,75.0,374.8,734932.75,7173328.50,577.21,2.76,1.73,0.24
11250,75.0,347.3,734932.75,7173328.50,671.13,2.83,1.49,0.17
11250,75.0,318.1,734932.75,7173328.50,752.62,2.88,1.33,0.12
11250,75.0,287.1,734932.75,7173328.50,819.94,2.91,1.22,0.09
11250,75.0,254.2,734932.75,7173328.50,873.36,2.94,1.14,0.06
11250,75.0,219.4,734932.75,7173328.50,914.39,2.96,1.09,0.04
11250,75.0,182.5,734932.75,7173328.50,944.88,2.98,1.06,0.02
11250,75.0,143.4,734932.75,7173328.50,966.77,2.99,1.03,0.01
11250,75.0,101.9,734932.75,7173328.50,981.72,2.99,1.02,0.01
11250,75.0,57.9,734932.75,7173328.50,991.17,3.00,1.01,0.00
11250,75.0,11.3,734932.75,7173328.50,996.02,3.00,1.00,0.00
11250,125.0,560.7,734932.75,7173278.50,50.82,1.71,19.68,1.29
11250,125.0,550.7,734932.75,7173278.50,52.84,1.72,18.93,1.28
11250,125.0,540.7,734932.75,7173278.50,57.56,1.76,17.37,1.24
11250,125.0,530.7,734932.75,7173278.50,65.52,1.82,15.26,1.18
11250,125.0,520.7,734932.75,7173278.50,77.03,1.89,12.98,1.11
11250,125.0,508.2,734932.75,7173278.50,101.97,2.01,9.81,0.99
11250,125.0,490.7,734932.75,7173278.50,148.40,2.17,6.74,0.83
11250,125.0,470.1,734932.75,7173278.50,212.32,2.33,4.71,0.67
11250,125.0,448.3,734932.75,7173278.50,293.13,2.47,3.41,0.53
11250,125.0,425.2,734932.75,7173278.50,386.46,2.59,2.59,0.41
11250,125.0,400.6,734932.75,7173278.50,485.64,2.69,2.06,0.31
11250,125.0,374.6,734932.75,7173278.50,583.47,2.77,1.71,0.23
11250,125.0,347.0,734932.75,7173278.50,673.91,2.83,1.48,0.17
11250,125.0,317.8,734932.75,7173278.50,753.03,2.88,1.33,0.12
11250,125.0,286.9,734932.75,7173278.50,819.08,2.91,1.22,0.09
11250,125.0,254.0,734932.75,7173278.50,872.13,2.94,1.15,0.06
11250,125.0,219.2,734932.75,7173278.50,913.30,2.96,1.09,0.04
11250,125.0,182.3,734932.75,7173278.50,944.21,2.98,1.06,0.02
11250,125.0,143.2,734932.75,7173278.50,966.51,2.99,1.03,0.01
11250,125.0,101.8,734932.75,7173278.50,981.82,2.99,1.02,0.01
11250,125.0,57.8,734932.75,7173278.50,991.52,3.00,1.01,0.00
11250,125.0,11.2,734932.75,7173278.50,996.51,3.00,1.00,0.00
11250,175.0,561.0,734932.62,7173228.50,33.98,1.53,29.43,1.47
11250,175.0,551.0,734932.62,7173228.50,40.20,1.60,24.88,1.40
11250,175.0,541.0,734932.62,7173228.50,51.28,1.71,19.50,1.29
11250,175.0,531.0,734932.62,7173228.50,66.22,1.82,15.10,1.18
11250,175.0,521.0,734932.62,7173228.50,84.16,1.93,11.88,1.07
11250,175.0,508.5,734932.62,7173228.50,117.70,2.07,8.50,0.93
11250,175.0,491.0,734932.62,7173228.50,171.75,2.23,5.82,0.77
11250,175.0,470.4,734932.62,7173228.50,238.91,2.38,4.19,0.62
11250,175.0,448.6,734932.62,7173228.50,318.92,2.50,3.14,0.50
11250,175.0,425.4,734932.62,7173228.50,408.29,2.61,2.45,0.39
11250,175.0,400.9,734932.62,7173228.50,501.81,2.70,1.99,0.30
11250,175.0,374.9,734932.62,7173228.50,593.69,2.77,1.68,0.23
11250,175.0,347.3,734932.62,7173228.50,679.10,2.83,1.47,0.17
11250,175.0,318.1,734932.62,7173228.50,754.67,2.88,1.33,0.12
11250,175.0,287.1,734932.62,7173228.50,818.73,2.91,1.22,0.09
11250,175.0,254.3,734932.62,7173228.50,871.04,2.94,1.15,0.06
11250,175.0,219.5,734932.62,7173228.50,912.25,2.96,1.10,0.04
11250,175.0,182.6,734932.62,7173228.50,943.60,2.97,1.06,0.03
11250,175.0,143.4,734932.62,7173228.50,966.38,2.99,1.03,0.01
11250,175.0,101.9,734932.62,7173228.50,982.09,2.99,1.02,0.01
11250,175.0,57.9,734932.62,7173228.50,992.05,3.00,1.01,0.00
