Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,25.0,561.4,734932.88,7173378.50,486.46,2.69,2.06,0.31
1,25.0,551.4,734932.88,7173378.50,488.84,2.69,2.05,0.31
1,25.0,541.4,734932.88,7173378.50,493.58,2.69,2.03,0.31
1,25.0,531.4,734932.88,7173378.50,500.54,2.70,2.00,0.30
1,25.0,521.4,734932.88,7173378.50,509.51,2.71,1.96,0.29
1,25.0,508.9,734932.88,7173378.50,526.43,2.72,1.90,0.28
1,25.0,491.4,734932.88,7173378.50,553.59,2.74,1.81,0.26
1,25.0,470.8,734932.88,7173378.50,587.30,2.77,1.70,0.23
1,25.0,449.0,734932.88,7173378.50,626.99,2.80,1.59,0.20
1,25.0,425.8,734932.88,7173378.50,670.99,2.83,1.49,0.17
1,25.0,401.3,734932.88,7173378.50,717.12,2.86,1.39,0.14
1,25.0,375.3,734932.88,7173378.50,763.02,2.88,1.31,0.12
1,25.0,347.7,734932.88,7173378.50,806.49,2.91,1.24,0.09
1,25.0,318.5,734932.88,7173378.50,845.84,2.93,1.18,0.07
1,25.0,287.5,734932.88,7173378.50,880.08,2.94,1.14,0.06
1,25.0,254.7,734932.88,7173378.50,908.88,2.96,1.10,0.04
1,25.0,219.9,734932.88,7173378.50,932.40,2.97,1.07,0.03
1,25.0,182.9,734932.88,7173378.50,951.10,2.98,1.05,0.02
1,25.0,143.7,734932.88,7173378.50,965.42,2.98,1.04,0.02
1,25.0,102.1,734932.88,7173378.50,975.92,2.99,1.02,0.01
1,25.0,58.0,734932.88,7173378.50,983.06,2.99,1.02,0.01
1,25.0,11.3,734932.88,7173378.50,986.98,2.99,1.01,0.01
1,75.0,561.0,734932.75,7173328.50,470.71,2.67,2.12,0.33
1,75.0,551.0,734932.75,7173328.50,473.31,2.68,2.11,0.32
1,75.0,541.0,734932.75,7173328.50,478.37,2.68,2.09,0.32
1,75.0,531.0,734932.75,7173328.50,485.69,2.69,2.06,0.31
1,75.0,521.0,734932.75,7173328.50,495.02,2.69,2.02,0.31
1,75.0,508.5,734932.75,7173328.50,512.48,2.71,1.95,0.29
1,75.0,491.0,734932.75,7173328.50,540.33,2.73,1.85,0.27
1,75.0,470.4,734932.75,7173328.50,574.82,2.76,1.74,0.24
1,75.0,448.5,734932.75,7173328.50,615.33,2.79,1.63,0.21
1,75.0,425.4,734932.75,7173328.50,660.20,2.82,1.51,0.18
1,75.0,400.8,734932.75,7173328.50,707.29,2.85,1.41,0.15
1,75.0,374.8,734932.75,7173328.50,754.24,2.88,1.33,0.12
1,75.0,347.3,734932.75,7173328.50,798.83,2.90,1.25,0.10
1,75.0,318.1,734932.75,7173328.50,839.35,2.92,1.19,0.08
1,75.0,287.1,734932.75,7173328.50,874.76,2.94,1.14,0.06
1,75.0,254.2,734932.75,7173328.50,904.68,2.96,1.11,0.04
1,75.0,219.4,734932.75,7173328.50,929.22,2.97,1.08,0.03
1,75.0,182.5,734932.75,7173328.50,948.76,2.98,1.05,0.02
1,75.0,143.4,734932.75,7173328.50,963.78,2.98,1.04,0.02
1,75.0,101.9,734932.75,7173328.50,974.80,2.99,1.03,0.01
1,75.0,57.9,734932.75,7173328.50,982.30,2.99,1.02,0.01
1,75.0,11.3,734932.75,7173328.50,986.43,2.99,1.01,0.01
1,125.0,560.7,734932.75,7173278.50,461.29,2.66,2.17,0.34
1,125.0,550.7,734932.75,7173278.50,464.09,2.67,2.15,0.33
1,125.0,540.7,734932.75,7173278.50,469.41,2.67,2.13,0.33
1,125.0,530.7,734932.75,7173278.50,476.98,2.68,2.10,0.32
1,125.0,520.7,734932.75,7173278.50,486.50,2.69,2.06,0.31
1,125.0,508.2,734932.75,7173278.50,504.06,2.70,1.98,0.30
