Line,Location,RL,East,North,Resistivity_ohmm,Log_Resistivity,Conductivity_mS_m,Log_Conductivity
11250,25.0,561.4,734932.88,7173378.50,67.21,1.83,14.88,1.17
11250,25.0,551.4,734932.88,7173378.50,70.44,1.85,14.20,1.15
11250,25.0,541.4,734932.88,7173378.50,76.79,1.89,13.02,1.11
11250,25.0,531.4,734932.88,7173378.50,86.22,1.94,11.60,1.06
11250,25.0,521.4,734932.88,7173378.50,98.74,1.99,10.13,1.01
11250,25.0,508.9,734932.88,7173378.50,124.20,2.09,8.05,0.91
11250,25.0,491.4,734932.88,7173378.50,169.18,2.23,5.91,0.77
11250,25.0,470.8,734932.88,7173378.50,229.47,2.36,4.36,0.64
11250,25.0,449.0,734932.88,7173378.50,305.20,2.48,3.28,0.52
11250,25.0,425.8,734932.88,7173378.50,393.03,2.59,2.54,0.41
11250,25.0,401.3,734932.88,7173378.50,487.23,2.69,2.05,0.31
11250,25.0,375.3,734932.88,7173378.50,581.00,2.76,1.72,0.24
11250,25.0,347.7,734932.88,7173378.50,668.28,2.82,1.50,0.18
11250,25.0,318.5,734932.88,7173378.50,744.87,2.87,1.34,0.13
11250,25.0,287.5,734932.88,7173378.50,808.87,2.91,1.24,0.09
11250,25.0,254.7,734932.88,7173378.50,860.27,2.93,1.16,0.07
11250,25.0,219.9,734932.88,7173378.50,900.21,2.95,1.11,0.05
11250,25.0,182.9,734932.88,7173378.50,930.42,2.97,1.07,0.03
11250,25.0,143.7,734932.88,7173378.50,952.50,2.98,1.05,0.02
11250,25.0,102.1,734932.88,7173378.50,967.97,2.99,1.03,0.01
11250,25.0,58.0,734932.88,7173378.50,978.08,2.99,1.02,0.01
11250,25.0,11.3,734932.88,7173378.50,983.45,2.99,1.02,0.01
11250,75.0,561.0,734932.75,7173328.50,50.77,1.71,19.70,1.29
11250,75.0,551.0,734932.75,7173328.50,54.09,1.73,18.49,1.27
11250,75.0,541.0,734932.75,7173328.50,60.51,1.78,16.53,1.22
11250,75.0,531.0,734932.75,7173328.50,69.94,1.84,14.30,1.16
11250,75.0,521.0,734932.75,7173328.50,82.38,1.92,12.14,1.08
11250,75.0,508.5,734932.75,7173328.50,107.67,2.03,9.29,0.97
11250,75.0,491.0,734932.75,7173328.50,152.45,2.18,6.56,0.82
11250,75.0,470.4,734932.75,7173328.50,212.71,2.33,4.70,0.67
11250,75.0,448.5,734932.75,7173328.50,288.67,2.46,3.46,0.54
11250,75.0,425.4,734932.75,7173328.50,377.04,2.58,2.65,0.42
11250,75.0,400.8,734932.75,7173328.50,472.11,2.67,2.12,0.33
11250,75.0,374.8,734932.75,7173328.50,567.15,2.75,1.76,0.25
11250,75.0,347.3,734932.75,7173328.50,656.03,2.82,1.52,0.18
11250,75.0,318.1,734932.75,7173328.50,734.48,2.87,1.36,0.13
11250,75.0,287.1,734932.75,7173328.50,800.44,2.90,1.25,0.10
11250,75.0,254.2,734932.75,7173328.50,853.73,2.93,1.17,0.07
11250,75.0,219.4,734932.75,7173328.50,895.38,2.95,1.12,0.05
11250,75.0,182.5,734932.75,7173328.50,926.97,2.97,1.08,0.03
11250,75.0,143.4,734932.75,7173328.50,950.14,2.98,1.05,0.02
11250,75.0,101.9,734932.75,7173328.50,966.42,2.99,1.03,0.01
11250,75.0,57.9,734932.75,7173328.50,977.06,2.99,1.02,0.01
11250,75.0,11.3,734932.75,7173328.50,982.74,2.99,1.02,0.01
11250,125.0,560.7,734932.75,7173278.50,40.29,1.61,24.82,1.39
11250,125.0,550.7,734932.75,7173278.50,43.49,1.64,22.99,1.36
11250,125.0,540.7,734932.75,7173278.50,49.64,1.70,20.15,1.30
11250,125.0,530.7,734932.75,7173278.50,58.64,1.77,17.05,1.23
11250,125.0,520.7,734932.75,7173278.50,70.51,1.85,14.18,1.15
11250,125.0,508.2,734932.75,7173278.50,94.72,1.98,10.56,1.02
11250,125.0,490.7,734932.75,7173278.50,137.92,2.14,7.25,0.86
11250,125.0,470.1,734932.75,7173278.50,196.56,2.29,5.09,0.71
11250,125.0,448.3,734932.75,7173278.50,270.99,2.43,3.69,0.57
11250,125.0,425.2,734932.75,7173278.50,358.19,2.55,2.79,0.45
11250,125.0,400.6,734932.75,7173278.50,452.71,2.66,2.21,0.34
11250,125.0,374.6,734932.75,7173278.50,548.00,2.74,1.82,0.26
11250,125.0,347.0,734932.75,7173278.50,638.08,2.80,1.57,0.20
11250,125.0,317.8,734932.75,7173278.50,718.55,2.86,1.39,0.14
11250,125.0,286.9,734932.75,7173278.50,787.06,2.90,1.27,0.10
11250,125.0,254.0,734932.75,7173278.50,843.12,2.93,1.19,0.07
11250,125.0,219.2,734932.75,7173278.50,887.37,2.95,1.13,0.05
11250,125.0,182.3,734932.75,7173278.50,921.22,2.96,1.09,0.04
11250,125.0,143.2,734932.75,7173278.50,946.19,2.98,1.06,0.02
11250,125.0,101.8,734932.75,7173278.50,963.79,2.98,1.04,0.02
11250,125.0,57.8,734932.75,7173278.50,975.34,2.99,1.03,0.01
11250,125.0,11.2,734932.75,7173278.50,981.52,2.99,1.02,0.01
11250,175.0,561.0,734932.62,7173228.50,41.43,1.62,24.14,1.38
11250,175.0,551.0,734932.62,7173228.50,44.38,1.65,22.53,1.35
11250,175.0,541.0,734932.62,7173228.50,50.09,1.70,19.96,1.30
11250,175.0,531.0,734932.62,7173228.50,58.52,1.77,17.09,1.23
11250,175.0,521.0,734932.62,7173228.50,69.70,1.84,14.35,1.16
11250,175.0,508.5,734932.62,7173228.50,92.62,1.97,10.80,1.03
11250,175.0,491.0,734932.62,7173228.50,133.69,2.13,7.48,0.87
11250,175.0,470.4,734932.62,7173228.50,189.59,2.28,5.27,0.72
11250,175.0,448.6,734932.62,7173228.50,260.79,2.42,3.83,0.58
11250,175.0,425.4,734932.62,7173228.50,344.60,2.54,2.90,0.46
11250,175.0,400.9,734932.62,7173228.50,436.16,2.64,2.29,0.36
11250,175.0,374.9,734932.62,7173228.50,529.53,2.72,1.89,0.28
11250,175.0,347.3,734932.62,7173228.50,619.12,2.79,1.62,0.21
11250,175.0,318.1,734932.62,7173228.50,700.62,2.85,1.43,0.15
11250,175.0,287.1,734932.62,7173228.50,771.32,2.89,1.30,0.11
11250,175.0,254.3,734932.62,7173228.50,830.22,2.92,1.20,0.08
11250,175.0,219.5,734932.62,7173228.50,877.45,2.94,1.14,0.06
11250,175.0,182.6,734932.62,7173228.50,914.02,2.96,1.09,0.04
11250,175.0,143.4,734932.62,7173228.50,941.19,2.97,1.06,0.03
11250,175.0,101.9,734932.62,7173228.50,960.46,2.98,1.04,0.02
11250,175.0,57.9,734932.62,7173228.50,973.15,2.99,1.03,0.01
11250,175.0,11.3,734932.62,7173228.50,979.96,2.99,1.02,0.01
11250,225.0,561.6,734932.62,7173178.50,45.81,1.66,21.83,1.34
11250,225.0,551.6,734932.62,7173178.50,48.84,1.69,20.47,1.31
11250,225.0,541.6,734932.62,7173178.50,54.70,1.74,18.28,1.26
11250,225.0,531.6,734932.62,7173178.50,63.31,1.80,15.80,1.20
11250,225.0,521.6,734932.62,7173178.50,74.62,1.87,13.40,1.13
11250,225.0,509.1,734932.62,7173178.50,97.54,1.99,10.25,1.01
11250,225.0,491.6,734932.62,7173178.50,137.88,2.14,7.25,0.86
11250,225.0,471.0,734932.62,7173178.50,191.79,2.28,5.21,0.72
11250,225.0,449.1,734932.62,7173178.50,259.53,2.41,3.85,0.59
11250,225.0,426.0,734932.62,7173178.50,338.73,2.53,2.95,0.47
11250,225.0,401.5,734932.62,7173178.50,425.39,2.63,2.35,0.37
11250,225.0,375.4,734932.62,7173178.50,514.71,2.71,1.94,0.29
11250,225.0,347.9,734932.62,7173178.50,601.92,2.78,1.66,0.22
11250,225.0,318.7,734932.62,7173178.50,683.00,2.83,1.46,0.17
11250,225.0,287.7,734932.62,7173178.50,755.07,2.88,1.32,0.12
11250,225.0,254.8,734932.62,7173178.50,816.44,2.91,1.22,0.09
11250,225.0,220.0,734932.62,7173178.50,866.61,2.94,1.15,0.06
11250,225.0,183.1,734932.62,7173178.50,906.06,2.96,1.10,0.04
11250,225.0,143.8,734932.62,7173178.50,935.64,2.97,1.07,0.03
11250,225.0,102.2,734932.62,7173178.50,956.74,2.98,1.05,0.02
11250,225.0,58.1,734932.62,7173178.50,970.69,2.99,1.03,0.01
11250,225.0,11.3,734932.62,7173178.50,978.21,2.99,1.02,0.01
11250,275.0,562.1,734932.50,7173128.50,53.38,1.73,18.73,1.27
11250,275.0,552.1,734932.50,7173128.50,56.66,1.75,17.65,1.25
11250,275.0,542.1,734932.50,7173128.50,63.01,1.80,15.87,1.20
11250,275.0,532.1,734932.50,7173128.50,72.28,1.86,13.83,1.14
11250,275.0,522.1,734932.50,7173128.50,84.33,1.93,11.86,1.07
11250,275.0,509.6,734932.50,7173128.50,108.26,2.03,9.24,0.97
11250,275.0,492.1,734932.50,7173128.50,149.11,2.17,6.71,0.83
11250,275.0,471.5,734932.50,7173128.50,201.89,2.31,4.95,0.69
11250,275.0,449.6,734932.50,7173128.50,266.31,2.43,3.76,0.57
11250,275.0,426.5,734932.50,7173128.50,340.27,2.53,2.94,0.47
11250,275.0,402.0,734932.50,7173128.50,420.81,2.62,2.38,0.38
11250,275.0,376.0,734932.50,7173128.50,504.49,2.70,1.98,0.30
11250,275.0,348.4,734932.50,7173128.50,587.73,2.77,1.70,0.23
