  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          49.543        0.000            211.5
          2          42.467        2.129           1038.1
          3          35.739        7.995           1264.2
          4          29.264       17.075           1488.9
          5          23.616       27.550           1715.2
          6          19.463       37.216           1941.7
          7          17.083       44.411           2173.0
          8          15.761       49.938           2404.4
          9          14.971       54.558           2633.8
         10          14.403       58.856           2868.8
         11          13.897       63.273           3096.0
         12          13.368       68.207           3329.0
         13          12.768       74.058           3566.4
         14          12.067       81.194           3803.5
         15          11.272       89.866           4036.4
         16          10.448      100.071           4269.5
         17           9.653      111.640           4515.9
         18           8.944      124.076           4754.5
         19           8.358      136.759           4986.5
         20           7.878      149.328           5217.4
         21           7.474      161.878           5449.4
         22           7.147      174.327           5686.4
         23           6.894      186.291           5916.7
         24           6.699      198.126           6145.8
         25           6.571      209.294           6373.5
         26           6.487      217.793           6604.1
         27           6.428      224.965           6835.0
         28           6.380      231.823           7066.6
         29           6.346      236.360           7297.7
         30           6.316      241.671           7529.2
