Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,434,480196.4,6197454.5,24.4,33.6,0.0,0.0,1678.296,404.7704,1260.607,517.0784,706.9045,545.2191,237.2900,354.6849,53.88610,147.3628,159.9447,158.9043
1,1,445,480197.3,6197492.0,24.5,32.9,0.0,0.0,1750.114,420.8336,1316.010,537.5214,739.8314,569.1885,247.6337,371.4081,55.65647,153.8397,167.3357,167.7263
1,1,456,480198.1,6197528.5,24.8,32.2,0.0,0.0,1841.351,440.9173,1386.531,563.4933,781.6508,599.7806,260.5812,392.6973,57.79911,161.9871,176.2462,177.8424
1,1,467,480198.8,6197564.5,25.4,31.4,0.0,0.0,1942.732,462.5740,1465.443,591.9500,828.9318,633.8838,275.2254,416.7651,60.16914,171.1695,185.8902,187.9360
1,1,478,480199.3,6197600.0,25.9,30.6,0.0,0.0,2031.844,479.8278,1536.611,615.5119,873.4187,664.0179,289.4194,439.2919,62.44112,179.8774,194.3629,195.8801
1,1,489,480199.4,6197635.0,26.4,30.3,0.0,0.0,2087.576,487.0908,1584.801,627.2556,907.2822,683.1326,301.1197,456.1841,64.30630,186.6788,199.8737,199.7289
1,1,500,480199.2,6197670.0,27.0,30.3,0.0,0.0,2108.114,484.8247,1607.847,627.1902,928.6628,690.4805,309.6479,466.5440,65.66380,191.2010,202.3281,199.6567
1,1,511,480199.0,6197705.5,27.9,30.4,0.0,0.0,2108.582,479.0985,1614.768,621.6230,940.5218,690.8105,315.3343,472.0883,66.56430,193.9095,203.1172,197.7617
1,1,522,480198.9,6197741.5,28.9,30.4,0.0,0.0,2104.307,476.2098,1614.548,617.0721,945.6035,688.9256,318.3920,474.4368,67.04035,195.2174,203.6548,196.2305
1,1,533,480198.9,6197777.5,30.0,30.3,0.0,0.0,2101.107,478.0860,1610.967,615.8152,945.3073,686.7720,319.0217,474.3465,67.13567,195.3500,204.6190,196.1446
1,1,544,480199.3,6197814.0,31.3,30.2,0.0,0.0,2097.823,483.5390,1603.951,617.0026,940.0980,684.1599,317.4596,471.9705,66.90875,194.4120,206.1899,197.7722
1,1,555,480199.7,6197849.5,32.5,29.9,0.0,0.0,2090.763,490.0472,1592.139,618.6279,930.1066,680.1799,313.9312,467.2477,66.41211,192.4571,208.0425,200.6802
1,1,566,480199.9,6197885.0,33.4,29.7,0.0,0.0,2061.533,490.4922,1564.242,613.3375,911.0344,669.0840,307.6944,457.7593,65.53313,188.7598,207.7912,201.5153
1,1,577,480199.5,6197920.5,33.9,30.5,0.0,0.0,1986.821,475.9106,1505.871,591.8853,877.2758,643.5813,297.7335,440.3727,64.11128,182.3636,202.2680,195.8559
1,1,588,480198.6,6197956.0,33.8,31.7,0.0,0.0,1859.920,442.9499,1413.643,551.0528,828.3195,601.6672,284.2509,414.7036,62.16827,173.2338,190.2242,181.7294
1,1,599,480197.4,6197992.0,33.3,33.2,0.0,0.0,1725.716,405.7840,1318.290,506.3914,779.3963,557.7466,271.1996,388.8653,60.28775,164.1816,176.3871,164.7939
1,1,610,480196.2,6198027.5,33.1,34.2,0.0,0.0,1645.505,383.8048,1261.674,479.2472,751.0783,531.4954,263.8633,373.8311,59.24938,158.9923,167.3173,153.0210
1,1,621,480195.1,6198063.0,33.5,34.0,0.0,0.0,1648.336,386.8153,1263.286,479.9590,752.7369,532.1791,264.5738,374.6363,59.38945,159.3735,166.2107,150.4868
1,1,632,480194.7,6198098.0,34.6,32.8,0.0,0.0,1716.469,410.3910,1310.378,502.7810,777.7065,554.0165,271.4519,387.8040,60.40491,164.0564,171.3821,155.6980
1,1,643,480195.0,6198133.0,35.7,32.1,0.0,0.0,1828.559,449.0193,1387.743,540.6989,818.1473,590.0662,282.3267,409.2289,61.95005,171.5583,180.7258,166.6240
1,1,654,480196.0,6198168.0,37.4,31.0,0.0,0.0,1955.747,493.4897,1475.467,583.8226,864.0405,631.0031,294.5879,433.5930,63.64293,180.0339,191.6809,180.2326
1,1,665,480197.1,6198202.5,39.3,29.3,0.0,0.0,2058.436,529.6237,1546.775,618.2423,902.1161,664.0858,304.9272,453.7873,65.03529,187.0847,200.9517,192.0398
1,1,676,480198.1,6198236.5,41.1,28.1,0.0,0.0,2103.182,545.3152,1579.102,632.1750,921.2120,678.5565,310.5762,463.8245,65.75562,190.6978,205.7562,198.1977
1,1,687,480198.6,6198271.0,42.2,28.1,0.0,0.0,2097.490,542.2996,1577.762,628.1650,923.8500,676.8990,312.1607,465.0328,65.90342,191.3327,206.6834,199.2777
1,1,698,480198.6,6198305.5,42.6,28.6,0.0,0.0,2082.961,533.7863,1571.145,620.8102,923.6389,672.6204,312.9912,464.6791,65.95634,191.4413,207.0384,199.4068
1,1,709,480198.2,6198340.0,41.9,29.7,0.0,0.0,2099.684,532.6731,1586.543,624.2167,933.6442,678.7266,316.2326,469.7474,66.36781,193.3733,209.9943,202.5807
1,1,720,480198.1,6198374.5,41.3,30.3,0.0,0.0,2137.078,537.0463,1615.639,635.4993,948.8279,691.6877,320.2699,477.6712,66.88405,196.1327,214.2916,207.5564
1,1,731,480198.4,6198409.5,42.1,29.4,0.0,0.0,2149.395,534.6364,1625.391,639.9988,951.5305,696.5071,320.1350,479.2289,66.75349,196.3849,215.5896,209.4601
1,1,742,480199.3,6198445.0,42.8,29.0,0.0,0.0,2093.157,513.8712,1584.397,623.7717,925.0111,678.9263,311.1336,465.6758,65.26765,190.9734,209.7907,203.6856
1,1,753,480200.7,6198480.5,43.1,30.2,0.0,0.0,1981.909,478.7017,1502.825,590.7719,875.4151,643.3763,295.2146,440.1673,62.72751,181.1108,198.6125,192.0984
1,1,764,480202.1,6198516.5,43.2,31.7,0.0,0.0,1856.481,440.3274,1410.721,553.5771,819.6785,603.2629,277.4090,411.4792,59.89815,170.0567,186.5621,179.6967
1,1,775,480202.9,6198552.5,43.0,32.6,0.0,0.0,1754.073,409.0509,1335.492,523.5635,773.4246,570.7680,262.4055,387.6999,57.49369,160.8285,177.5443,170.7328
1,1,786,480203.1,6198588.0,42.5,33.5,0.0,0.0,1673.338,384.4513,1276.344,500.0177,736.6944,545.3961,250.3257,368.8335,55.52364,153.4508,170.4908,163.7097
1,1,797,480202.7,6198623.5,41.8,34.8,0.0,0.0,1600.082,362.4803,1223.072,478.2629,704.1959,522.4633,239.6868,352.1238,53.74739,146.9143,162.8115,155.4154
1,1,808,480201.8,6198660.5,41.1,36.0,0.0,0.0,1529.705,342.1017,1171.851,457.1870,673.4067,500.3560,229.6514,336.3182,52.02666,140.7151,153.4931,144.8188
1,1,819,480200.8,6198697.5,40.7,36.3,0.0,0.0,1492.297,332.8992,1142.423,447.9731,653.0552,488.4836,222.3647,326.1598,50.72038,136.4787,147.1214,138.3660
1,1,830,480200.2,6198734.5,40.7,36.1,0.0,0.0,1517.745,344.3823,1154.240,461.9376,651.3755,496.2189,219.7390,326.1556,50.14991,135.7184,148.5593,142.9636
1,1,841,480200.2,6198772.5,41.7,34.9,0.0,0.0,1588.109,370.7172,1195.474,492.4569,663.0688,517.9177,220.4916,333.4129,50.12330,137.4626,156.1777,156.2861
1,1,852,480200.7,6198810.0,42.6,33.8,0.0,0.0,1621.493,385.1833,1212.933,508.5244,665.5277,527.8962,219.4454,335.4910,49.83758,137.6002,159.8770,163.7203
1,1,863,480201.7,6198847.0,42.3,34.6,0.0,0.0,1553.433,366.7951,1164.635,485.8613,640.6927,505.9482,212.3879,322.4799,48.63332,132.8304,151.5644,153.6400
1,1,874,480202.9,6198883.5,40.9,36.4,0.0,0.0,1437.752,332.5466,1086.032,444.5667,603.9213,469.0963,202.9072,302.7732,47.07257,125.9537,137.5269,135.0327
1,1,885,480203.7,6198920.0,39.9,37.7,0.0,0.0,1375.348,314.5827,1043.367,422.4190,583.8406,449.1745,197.6834,292.0359,46.20089,122.1922,129.7817,125.1157
1,1,896,480203.9,6198956.0,40.1,36.9,0.0,0.0,1428.878,332.8580,1077.780,442.8817,598.2209,465.9565,200.8540,299.9940,46.66412,124.7839,135.7017,134.3873
1,1,907,480203.2,6198992.5,41.1,34.9,0.0,0.0,1539.540,368.8596,1150.458,484.1146,630.0428,500.8869,208.3372,317.3755,47.80807,130.5949,147.8364,152.0362
1,1,918,480201.7,6199029.0,42.0,33.8,0.0,0.0,1620.565,395.1492,1204.224,513.8187,654.3279,526.5900,214.1829,330.5568,48.68499,135.0355,155.3501,162.3465
