 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11250 382 734922.88 7173101.5 567.3660580312236 94.40093104808214 0.0 54817.31 179328.0 82173.0 26966.0 3390.0 -352.0 -100.0 166.0 209.0 186.0 0.0 215238.0 141387.0 68353.0 25996.0 8736.0 2687.0 809.0 390.0 94.0 0.0
 1 11250 383 734922.81 7173087.5 567.4189593479852 93.74014687717055 0.0 54816.81 177465.0 80191.0 25973.0 3335.0 -397.0 -129.0 164.0 209.0 178.0 0.0 215665.0 145043.0 69434.0 25746.0 8444.0 2599.0 799.0 397.0 113.0 0.0
 1 11250 384 734922.75 7173073.5 567.461171304222 93.03982808250119 0.0 54815.46 175434.0 77279.0 24635.0 3273.0 -432.0 -154.0 161.0 204.0 169.0 0.0 216362.0 147954.0 70026.0 25420.0 8150.0 2508.0 792.0 402.0 131.0 0.0
 1 11250 385 734922.69 7173059.5 567.4726970131451 92.31422691671983 0.0 54813.42 173463.0 73603.0 23057.0 3210.0 -453.0 -172.0 157.0 194.0 161.0 0.0 217195.0 149521.0 69948.0 24985.0 7855.0 2413.0 786.0 406.0 146.0 0.0
 1 11250 386 734922.69 7173045.5 567.4427701171496 91.55202736932442 0.0 54810.91 171725.0 69483.0 21382.0 3153.0 -455.0 -180.0 152.0 180.0 152.0 0.0 217907.0 149253.0 69067.0 24414.0 7556.0 2317.0 781.0 407.0 159.0 0.0
 1 11250 387 734922.69 7173031.5 567.3898325274251 90.72766926947594 0.0 54808.08 170297.0 65336.0 19783.0 3117.0 -431.0 -175.0 147.0 163.0 143.0 0.0 218136.0 146857.0 67310.0 23695.0 7255.0 2221.0 777.0 407.0 170.0 0.0
 1 11250 388 734922.69 7173017.5 567.3315495496719 89.83818029479255 0.0 54805.25 169177.0 61575.0 18432.0 3119.0 -374.0 -153.0 141.0 146.0 133.0 0.0 217480.0 142286.0 64686.0 22829.0 6956.0 2126.0 774.0 406.0 177.0 0.0
 1 11250 389 734922.75 7173003.5 567.2854996723345 88.93771601605079 0.0 54802.78 168319.0 58531.0 17459.0 3181.0 -282.0 -115.0 134.0 130.0 124.0 0.0 215618.0 135732.0 61304.0 21839.0 6664.0 2036.0 770.0 404.0 181.0 0.0
 1 11250 390 734922.75 7172989.5 567.2696805884772 88.13721769436702 0.0 54801.09 167662.0 56398.0 16916.0 3322.0 -158.0 -65.0 126.0 115.0 114.0 0.0 212441.0 127587.0 57371.0 20770.0 6387.0 1953.0 766.0 401.0 182.0 0.0
 1 11250 391 734922.75 7172975.5 567.3014954719476 87.56145414283799 0.0 54800.1 167143.0 55223.0 16769.0 3547.0 -12.0 -9.0 116.0 101.0 104.0 0.0 208119.0 118413.0 53183.0 19684.0 6136.0 1880.0 761.0 397.0 180.0 0.0
 1 11250 392 734922.81 7172961.5 567.4006132065772 87.28873432900306 0.0 54799.66 166681.0 54924.0 16920.0 3847.0 138.0 41.0 104.0 88.0 94.0 0.0 203069.0 108912.0 49088.0 18658.0 5920.0 1820.0 755.0 392.0 176.0 0.0
 1 11250 393 734922.88 7172947.5 567.5643808791308 87.31338816208296 0.0 54799.73 166177.0 55324.0 17244.0 4197.0 276.0 76.0 91.0 75.0 84.0 0.0 197831.0 99903.0 45431.0 17769.0 5742.0 1770.0 746.0 385.0 171.0 0.0
 1 11250 394 734922.94 7172933.5 567.7700868647585 87.5543796004499 0.0 54800.07 165520.0 56190.0 17627.0 4560.0 387.0 89.0 75.0 61.0 74.0 0.0 192926.0 92225.0 42498.0 17081.0 5605.0 1732.0 736.0 376.0 165.0 0.0
 1 11250 395 734923.0 7172919.5 567.994991309937 87.90020633524618 0.0 54800.55 164606.0 57269.0 17986.0 4901.0 463.0 79.0 58.0 47.0 63.0 0.0 188763.0 86581.0 40469.0 16635.0 5504.0 1702.0 725.0 366.0 159.0 0.0
 1 11250 396 734923.13 7172905.5 568.2172751517793 88.25738629809307 0.0 54800.72 163359.0 58325.0 18266.0 5185.0 501.0 49.0 40.0 32.0 53.0 0.0 185616.0 83364.0 39394.0 16448.0 5433.0 1679.0 711.0 355.0 152.0 0.0
