Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,434,734925.0,7172377.5,571.8,94.6,0.0,0.0,181657.9,80877.77,25213.98,5976.196,1485.215,448.3232,107.0610,16.71105,0.4653257,0.000000,240893.5,154546.0,72330.60,24770.96,6785.298,1863.586,557.8311,157.5363,32.37706,0.000000
1,1,437,734924.8,7172335.5,572.9,94.2,0.0,0.0,182781.1,80131.40,24387.62,5646.074,1437.088,438.1347,100.4568,14.11219,-0.1466320,0.000000,244298.9,156026.6,72322.05,24755.19,6941.680,1961.751,587.3001,164.4570,33.60168,0.000000
1,1,440,734924.8,7172293.5,574.3,93.4,0.0,0.0,183915.4,80146.05,24072.93,5508.359,1430.469,436.4810,96.81036,12.78592,-0.3517942,0.000000,246570.2,156196.9,71820.13,24619.34,7092.984,2063.419,617.9254,171.7857,34.99496,0.000000
1,1,443,734924.9,7172251.5,574.6,93.0,0.0,0.0,183262.0,80310.55,24191.30,5564.854,1458.480,436.3038,92.67216,11.13529,-0.6747198,0.000000,247823.9,155829.0,71092.82,24462.58,7270.491,2181.051,654.6722,181.3313,36.98501,0.000000
1,1,446,734925.1,7172210.5,573.6,93.8,0.0,0.0,177054.0,78318.30,24089.74,5687.845,1493.321,428.3848,84.67085,7.987763,-1.416954,0.000000,246578.0,154317.6,70138.08,24317.23,7460.462,2301.399,691.7532,190.9299,38.96051,0.000000
1,1,449,734925.2,7172170.0,573.5,94.8,0.0,0.0,166459.6,74196.31,23510.66,5784.271,1524.895,414.6926,74.93620,4.403498,-2.249663,0.000000,242564.9,151395.4,69103.68,24275.39,7678.861,2423.357,727.8759,200.0224,40.77036,0.000000
1,1,452,734925.4,7172129.5,575.6,95.6,0.0,0.0,154626.8,69333.81,22569.16,5819.112,1549.615,397.7556,65.12659,0.9921963,-3.030442,0.000000,235750.8,147158.9,67997.54,24364.81,7944.725,2553.951,766.2885,209.9104,42.78899,0.000000
1,1,455,734925.8,7172087.0,578.2,96.2,0.0,0.0,143350.0,64366.00,21432.02,5814.988,1565.347,373.8356,52.07552,-3.755123,-4.200398,0.000000,226455.0,142092.0,66769.16,24567.51,8272.523,2698.403,808.6495,220.9170,45.06873,0.000000
1,1,458,734926.3,7172045.0,579.5,95.1,0.0,0.0,140589.7,62212.74,20936.25,5962.050,1618.275,359.4553,41.27750,-8.162613,-5.352345,0.000000,222355.8,139987.9,66708.39,25209.50,8727.212,2867.166,855.6005,232.7128,47.43149,0.000000
1,1,461,734926.8,7172003.0,580.1,93.8,0.0,0.0,140802.4,61410.12,20962.96,6288.694,1724.030,362.4717,34.88344,-11.93645,-6.519184,0.000000,220136.3,138073.9,66658.66,26024.66,9261.532,3052.544,906.2291,245.2898,49.92474,0.000000
1,1,464,734927.4,7171961.0,580.0,94.0,0.0,0.0,139669.9,60969.94,21498.23,6826.471,1906.183,396.0764,37.06950,-14.43314,-7.697983,0.000000,217539.2,135321.8,66266.88,26905.18,9842.630,3248.850,959.4989,258.5150,52.57314,0.000000
1,1,467,734927.9,7171919.0,579.2,94.1,0.0,0.0,137848.9,60972.21,22651.53,7643.660,2215.552,483.6171,54.36820,-14.58993,-8.884787,0.000000,216588.0,133824.7,66603.02,28123.56,10524.64,3469.825,1017.686,272.3910,55.32109,0.000000
1,1,470,734928.1,7171877.0,578.3,94.6,0.0,0.0,134197.0,60267.49,23931.77,8689.711,2706.225,658.5549,97.73922,-10.27765,-9.995439,0.000000,216178.0,133426.7,67877.66,29717.07,11321.63,3723.944,1081.626,286.2162,57.86521,0.000000
1,1,473,734928.1,7171835.0,577.5,96.1,0.0,0.0,125682.6,57312.00,24587.46,9861.009,3443.615,968.9544,185.7881,2.693703,-10.58845,0.000000,211533.8,131110.7,68921.15,31357.26,12197.72,4019.300,1153.021,299.4016,59.79953,0.000000
1,1,476,734927.9,7171794.0,576.7,97.5,0.0,0.0,116941.6,53998.13,25035.03,11298.77,4509.744,1457.713,334.8795,28.14210,-10.18074,0.000000,205604.0,128129.7,69945.35,33212.80,13295.68,4417.869,1248.587,314.5604,61.21092,0.000000
1,1,479,734927.9,7171753.5,576.4,98.7,0.0,0.0,109145.3,51057.99,25525.95,13011.62,5906.441,2146.246,559.0062,69.65349,-8.463675,0.000000,199054.6,124785.8,70909.38,35435.16,14789.95,5008.322,1395.442,336.5092,62.47917,0.000000
1,1,482,734928.1,7171713.0,576.4,98.5,0.0,0.0,104730.2,49513.94,26479.61,15042.28,7634.017,3059.278,874.9166,131.5579,-5.058850,0.000000,195251.0,122984.3,72759.44,38610.99,17036.24,5950.204,1641.498,373.8059,64.17886,0.000000
1,1,485,734928.5,7171670.5,576.8,97.2,0.0,0.0,102422.8,48914.41,27606.23,16995.88,9453.725,4144.927,1288.590,218.1156,0.5084391,0.000000,192991.7,121897.6,75055.12,42636.05,20190.65,7406.440,2054.554,439.9608,67.00766,0.000000
1,1,488,734929.0,7171628.5,577.9,96.9,0.0,0.0,98630.93,47956.54,28103.68,18037.56,10707.74,5100.611,1718.908,316.8524,7.678757,0.000000,187795.8,118940.7,75978.15,46095.23,23572.31,9233.612,2639.285,541.4010,71.46584,0.000000
1,1,491,734929.6,7171586.5,579.2,96.8,0.0,0.0,95030.38,47225.13,28297.79,18293.18,11237.53,5750.146,2096.983,414.5840,15.67393,0.000000,181909.2,115788.5,76186.72,48680.45,26710.39,11261.43,3386.153,683.4840,78.33315,0.000000
1,1,494,734930.4,7171544.5,580.4,96.6,0.0,0.0,92368.78,46554.76,28163.91,18007.77,11147.07,6022.915,2363.657,496.3925,23.39358,0.000000,176984.1,113479.1,76315.83,50460.50,29266.92,13256.71,4242.392,862.4232,87.81893,0.000000
1,1,497,734931.3,7171502.5,581.6,96.3,0.0,0.0,90593.30,45772.83,27609.06,17342.27,10630.45,5943.902,2483.511,549.1395,29.75838,0.000000,173291.4,111724.4,76218.92,51426.32,31037.29,14986.22,5122.444,1064.770,99.35585,0.000000
1,1,500,734932.2,7171460.5,582.5,96.0,0.0,0.0,89699.87,45034.56,26801.27,16500.16,9917.315,5613.437,2454.380,565.1474,33.93935,0.000000,171000.5,110315.5,75729.22,51651.66,32034.50,16320.28,5942.753,1271.965,111.8946,0.000000
1,1,503,734933.1,7171418.5,583.0,95.6,0.0,0.0,89603.85,44464.01,25964.30,15667.01,9186.008,5142.855,2294.815,542.3219,35.51276,0.000000,170175.8,109241.0,74870.61,51307.25,32415.19,17237.40,6639.012,1464.025,124.0328,0.000000
1,1,506,734933.9,7171376.5,583.0,95.5,0.0,0.0,89733.43,43929.79,25150.08,14901.37,8502.735,4602.295,2028.443,482.8870,34.46865,0.000000,170057.9,108197.7,73628.22,50507.28,32314.75,17747.37,7154.129,1618.972,134.0453,0.000000
1,1,509,734934.6,7171334.5,582.5,95.7,0.0,0.0,90010.70,43479.31,24394.05,14209.45,7873.361,4030.033,1684.380,394.1151,31.22329,0.000000,170312.4,107316.4,72284.64,49499.76,31918.03,17912.98,7458.823,1720.064,140.6116,0.000000
1,1,512,734935.1,7171292.5,581.6,95.1,0.0,0.0,92234.01,43681.27,23900.25,13670.72,7322.553,3461.511,1300.922,288.7248,26.64214,0.000000,173272.3,108241.1,71937.36,48989.24,31652.58,17942.98,7599.696,1769.287,143.7814,0.000000
1,1,515,734935.4,7171250.5,581.1,93.8,0.0,0.0,95899.05,44048.95,23365.11,13102.09,6741.614,2862.924,892.9675,176.0998,21.48048,0.000000,178368.6,110460.1,72312.02,48849.88,31462.86,17816.86,7557.830,1759.448,142.9197,0.000000
1,1,518,734935.6,7171208.0,580.9,92.3,0.0,0.0,99853.50,44342.95,22611.82,12335.27,6013.767,2193.818,474.7557,66.16042,16.52405,0.000000,183521.8,112471.3,72531.47,48567.09,31047.41,17386.13,7280.943,1680.513,137.3364,0.000000
1,1,521,734935.7,7171165.5,580.7,91.6,0.0,0.0,102709.9,44503.95,21679.49,11335.17,5107.133,1471.534,87.37920,-25.95371,12.88531,0.000000,186508.6,113130.8,71872.25,47639.99,30085.16,16502.44,6740.173,1533.316,127.1949,0.000000
1,1,524,734935.6,7171122.5,580.5,91.7,0.0,0.0,104446.4,44709.68,20760.62,10179.71,4062.009,745.3684,-231.8351,-90.12853,11.29071,0.000000,187450.7,112783.0,70426.77,45993.87,28477.52,15140.82,5969.907,1334.634,113.8184,0.000000
1,1,527,734935.2,7171079.0,580.3,91.8,0.0,0.0,106290.5,45350.23,20100.37,9003.009,2982.084,98.94157,-450.2168,-121.5498,11.86567,0.000000,188273.5,112611.2,68854.32,43900.20,26343.17,13416.35,5067.059,1113.998,99.50174,0.000000
1,1,530,734934.6,7171035.5,580.6,92.0,0.0,0.0,108211.6,46310.60,19632.06,7832.342,1970.370,-385.3065,-550.3080,-121.5267,14.25919,0.000000,189193.8,112841.7,67292.91,41336.50,23697.03,11435.84,4122.288,897.1825,86.20348,0.000000
1,1,533,734933.6,7170994.0,581.0,92.5,0.0,0.0,110099.7,47305.89,19182.20,6748.717,1182.034,-640.8570,-540.0922,-98.62164,17.52969,0.000000,190116.2,113402.1,65759.65,38414.67,20784.46,9452.796,3262.584,711.8047,75.54671,0.000000
1,1,536,734932.2,7170952.0,580.6,93.0,0.0,0.0,112528.3,48417.45,18696.99,5805.375,669.6304,-682.4369,-448.2821,-61.93199,20.99328,0.000000,191669.2,114420.5,64138.42,35114.14,17701.90,7547.623,2505.325,557.8519,67.38628,0.000000
1,1,539,734930.5,7170910.0,579.5,93.7,0.0,0.0,115159.2,49519.16,18236.61,5143.642,483.2025,-545.9528,-310.0298,-21.52876,23.82861,0.000000,193693.2,115646.6,62390.98,31725.80,14794.42,5911.143,1904.254,442.3215,61.92182,0.000000
1,1,542,734928.7,7170868.0,578.6,94.2,0.0,0.0,118334.8,50723.31,17896.43,4790.174,553.8361,-312.4893,-163.2431,14.35875,25.42150,0.000000,196723.9,117348.8,60851.45,28694.05,12366.92,4647.293,1469.692,362.9337,58.72610,0.000000
1,1,545,734926.9,7170826.0,578.8,94.2,0.0,0.0,121835.8,51881.09,17591.06,4607.366,732.0204,-72.05962,-38.04148,40.72018,25.55363,0.000000,200178.7,119240.0,59653.07,26303.54,10563.27,3765.719,1182.037,312.3589,56.95388,0.000000
1,1,548,734925.1,7170784.0,578.9,94.1,0.0,0.0,126031.1,53054.65,17220.04,4405.700,873.9187,113.6510,51.01706,56.39931,24.48406,0.000000,203569.1,120951.2,58677.55,24533.30,9322.036,3193.476,1003.833,281.4730,55.77227,0.000000
1,1,551,734923.8,7170742.0,578.0,92.4,0.0,0.0,135985.9,56031.99,17190.72,4156.795,917.0678,225.2511,104.6523,63.37061,22.62520,0.000000,212215.4,125130.4,58781.28,23486.84,8560.213,2852.154,900.1989,263.4055,54.95142,0.000000
1,1,554,734922.8,7170699.0,576.6,90.8,0.0,0.0,145404.0,58733.73,17073.14,3791.308,839.5786,261.8340,126.3169,62.83442,20.16265,0.000000,220936.0,129059.6,58660.47,22514.12,7977.705,2621.097,834.0231,250.5671,53.71755,0.000000
1,1,557,734922.2,7170655.5,575.8,91.3,0.0,0.0,148163.1,58895.13,16494.59,3365.163,682.3126,240.8640,123.1180,56.85381,17.34980,0.000000,224436.6,130190.5,57504.88,21322.61,7419.552,2433.901,783.0994,238.8439,51.90984,0.000000
1,1,560,734922.1,7170612.0,576.0,91.3,0.0,0.0,148422.0,57710.82,15745.27,2996.135,509.6700,191.9066,107.1076,48.56217,14.57809,0.000000,226139.0,130170.0,56195.91,20213.27,6913.171,2273.792,739.8784,227.3888,49.71695,0.000000
1,1,563,734922.2,7170568.5,576.1,90.7,0.0,0.0,149605.3,56727.61,15106.33,2716.924,358.4664,137.8326,87.69518,40.36213,12.19364,0.000000,228041.5,129937.4,55174.55,19343.46,6478.913,2134.245,701.3245,216.1809,47.28894,0.000000
1,1,566,734922.5,7170527.0,576.1,90.1,0.0,0.0,150143.2,55925.19,14590.12,2504.390,239.0466,88.94436,68.93986,33.17485,10.29077,0.000000,228738.7,129111.7,54193.05,18641.84,6109.459,2014.522,667.7455,206.1712,45.06544,0.000000
1,1,569,734923.1,7170485.0,576.0,89.5,0.0,0.0,149954.2,55041.43,14174.25,2324.184,136.0118,40.76343,49.34301,25.88531,8.459829,0.000000,229751.5,128603.3,53404.64,18067.22,5780.630,1904.630,637.5648,197.0581,43.05608,0.000000
1,1,572,734923.9,7170443.0,575.9,89.9,0.0,0.0,145181.8,52940.05,13645.16,2156.911,56.86645,-0.1833415,30.71622,19.09780,6.776686,0.000000,226982.3,126287.4,52275.15,17458.31,5450.654,1792.054,604.1273,186.5501,40.67781,0.000000
1,1,575,734924.7,7170400.0,575.8,90.7,0.0,0.0,139656.3,51168.16,13245.82,2045.523,12.73330,-27.10835,18.00830,14.68806,5.745883,0.000000,222383.4,123229.8,51127.18,16890.12,5147.432,1687.273,573.6454,176.9991,38.55199,0.000000
1,1,578,734925.6,7170356.5,575.5,91.4,0.0,0.0,134688.7,49996.98,13020.64,1978.795,-15.07802,-50.80392,4.893302,10.06419,4.639076,0.000000,218885.3,121172.1,50299.45,16411.80,4882.653,1596.376,547.6195,169.2233,36.85120,0.000000
1,1,581,734926.6,7170313.0,574.5,91.9,0.0,0.0,129960.9,48915.47,12928.46,1968.259,-24.80478,-71.44902,-8.146207,5.201043,3.447172,0.000000,216526.3,120003.3,49753.40,16006.56,4643.792,1511.708,522.5685,161.6777,35.17767,0.000000
1,1,584,734927.5,7170269.5,573.8,91.9,0.0,0.0,125972.4,48092.34,13013.54,2033.906,-4.730743,-82.33351,-17.16695,1.762226,2.648142,0.000000,214223.8,118907.0,49358.10,15664.09,4429.693,1431.664,498.3363,154.0756,33.47503,0.000000
1,2,377,734923.8,7173172.0,566.9,96.4,0.0,0.0,118202.6,48917.96,16452.25,4264.387,1043.249,307.6939,116.0162,38.01387,7.508627,0.000000,188934.8,106782.9,45726.86,14471.56,3914.739,1048.227,286.1531,80.28223,18.51785,0.000000
1,2,380,734923.1,7173129.5,567.2,95.0,0.0,0.0,116824.4,48663.15,16132.23,4315.089,1007.574,245.9769,87.99304,28.95826,5.323851,0.000000,192507.2,108519.4,46921.23,15048.87,4083.022,1088.353,298.6919,84.73106,19.46754,0.000000
1,2,383,734922.8,7173087.5,567.4,93.0,0.0,0.0,120138.0,50722.23,16954.28,4674.775,1074.777,227.4625,74.57117,24.50348,4.183278,0.000000,198960.2,112638.5,48629.55,15788.64,4289.422,1119.510,304.9557,86.78355,19.81567,0.000000
1,2,386,734922.7,7173045.5,567.4,90.7,0.0,0.0,124746.2,52795.09,18154.24,5175.319,1181.178,225.4957,69.81405,22.46423,3.594063,0.000000,206586.9,117948.2,51034.03,16804.40,4566.844,1157.902,310.3755,88.51862,20.08221,0.000000
1,2,389,734922.8,7173003.5,567.3,88.2,0.0,0.0,129503.6,54344.21,19247.62,5638.715,1279.498,232.1257,67.70216,21.49808,3.257440,0.000000,214370.1,123156.9,54019.19,18133.09,4921.168,1206.493,317.9992,90.70646,20.43474,0.000000
1,2,392,734922.8,7172961.5,567.4,87.4,0.0,0.0,130465.1,54575.59,19701.79,5863.378,1323.981,234.8549,66.74063,20.87830,3.052514,0.000000,217163.9,125620.0,56576.81,19492.71,5292.305,1259.344,326.4438,93.15321,20.84808,0.000000
1,2,395,734923.0,7172919.5,568.0,88.3,0.0,0.0,128319.3,53977.58,19533.76,5820.805,1309.082,231.0660,66.01383,20.30018,2.888646,0.000000,214827.4,125757.0,58444.93,20711.66,5639.753,1311.241,335.1645,95.74200,21.34155,0.000000
1,2,398,734923.3,7172877.5,568.6,89.0,0.0,0.0,128865.3,54418.70,19397.86,5685.890,1270.810,228.2087,64.94849,19.78547,2.711046,0.000000,213432.7,126743.6,60380.84,21896.83,5979.780,1363.687,345.0614,98.58230,21.92817,0.000000
1,2,401,734923.6,7172835.5,568.7,89.1,0.0,0.0,134036.5,56893.64,19900.73,5650.158,1243.259,227.1939,66.13181,19.60008,2.589658,0.000000,215265.8,129332.9,62612.02,23088.09,6321.972,1420.313,355.2780,101.5852,22.51731,0.000000
1,2,404,734923.9,7172793.5,568.6,89.2,0.0,0.0,142532.8,61774.06,21470.71,5863.864,1257.814,237.4638,69.38090,20.02337,2.566590,0.000000,218757.6,132707.1,64910.67,24206.47,6648.972,1477.164,367.1538,104.9597,23.17858,0.000000
1,2,407,734924.4,7172751.5,568.8,89.8,0.0,0.0,151789.8,68548.27,24268.77,6443.266,1336.307,259.0477,75.97867,20.96804,2.609389,0.000000,222073.7,136651.8,67321.68,25225.38,6947.578,1535.068,380.8359,109.1716,24.04616,0.000000
