 East  ,  Channel ,   Error 	 
  740330.0,       0.0,         0.0157
  740330.0,     -40.0,         0.2493
  740330.0,     -80.0,         0.4157
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.4874
  740330.0,    -200.0,         0.2313
  740330.0,    -240.0,         0.1258
  740330.0,    -280.0,         0.1558
  740330.0,    -320.0,         0.1730
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.0375
  740330.0,    -440.0,         0.0281
  740330.0,    -480.0,         0.0116
  740330.0,    -520.0,        -0.0337
  740330.0,    -560.0,        -0.0753
  740330.0,    -600.0,        -0.0322
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0169
  740330.0,    -720.0,         0.0948
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.0730
  740330.0,     -40.0,         0.1246
  740330.0,     -80.0,         0.2731
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.3984
  740330.0,    -200.0,         0.2122
  740330.0,    -240.0,         0.1405
  740330.0,    -280.0,         0.1764
  740330.0,    -320.0,         0.1971
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.1593
  740330.0,    -440.0,         0.0944
  740330.0,    -480.0,         0.0225
  740330.0,    -520.0,        -0.0736
  740330.0,    -560.0,        -0.1339
  740330.0,    -600.0,        -0.0444
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1142
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1782
  740330.0,     -40.0,        -0.0091
  740330.0,     -80.0,         0.1158
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.2854
  740330.0,    -200.0,         0.1885
  740330.0,    -240.0,         0.1528
  740330.0,    -280.0,         0.1990
  740330.0,    -320.0,         0.2206
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2146
  740330.0,    -440.0,         0.1334
  740330.0,    -480.0,         0.0431
  740330.0,    -520.0,        -0.0776
  740330.0,    -560.0,        -0.1507
  740330.0,    -600.0,        -0.0400
  740330.0,    -640.0,         0.0000
