  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          52.183        0.000            192.1
          2          43.394        3.644            755.7
          3          35.697       12.630            947.7
          4          28.932       24.580           1140.6
          5          23.179       38.082           1333.3
          6          19.979       47.850           1529.0
          7          18.102       55.771           1724.0
          8          16.795       63.155           1918.0
          9          15.652       70.931           2113.4
         10          14.526       79.462           2307.4
         11          13.314       89.034           2501.7
         12          12.096       99.449           2695.6
         13          11.026      109.845           2891.0
         14          10.169      119.530           3085.0
         15           9.448      128.815           3280.4
         16           8.801      138.281           3476.3
         17           8.177      148.625           3671.4
         18           7.585      159.982           3866.8
         19           7.068      171.734           4063.3
         20           6.673      183.479           4259.3
         21           6.401      194.652           4455.5
         22           6.201      206.427           4650.6
         23           6.059      218.036           4845.7
         24           5.965      229.004           5040.1
         25           5.912      237.419           5234.9
         26           5.877      245.743           5429.9
         27           5.859      251.852           5624.9
         28           5.835      258.815           5821.2
         29           5.799      264.463           6015.9
         30           5.771      270.706           6211.4
