Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11250,25.0,561.4,734932.88,7173378.50,37.95,1.58,26.35,1.42
11250,25.0,551.4,734932.88,7173378.50,40.81,1.61,24.51,1.39
11250,25.0,541.4,734932.88,7173378.50,46.57,1.67,21.47,1.33
11250,25.0,531.4,734932.88,7173378.50,55.40,1.74,18.05,1.26
11250,25.0,521.4,734932.88,7173378.50,67.46,1.83,14.82,1.17
11250,25.0,508.9,734932.88,7173378.50,93.09,1.97,10.74,1.03
11250,25.0,491.4,734932.88,7173378.50,140.30,2.15,7.13,0.85
11250,25.0,470.8,734932.88,7173378.50,205.02,2.31,4.88,0.69
11250,25.0,449.0,734932.88,7173378.50,286.93,2.46,3.49,0.54
11250,25.0,425.8,734932.88,7173378.50,381.67,2.58,2.62,0.42
11250,25.0,401.3,734932.88,7173378.50,482.35,2.68,2.07,0.32
11250,25.0,375.3,734932.88,7173378.50,581.39,2.76,1.72,0.24
11250,25.0,347.7,734932.88,7173378.50,672.44,2.83,1.49,0.17
11250,25.0,318.5,734932.88,7173378.50,751.37,2.88,1.33,0.12
11250,25.0,287.5,734932.88,7173378.50,816.62,2.91,1.22,0.09
11250,25.0,254.7,734932.88,7173378.50,868.51,2.94,1.15,0.06
11250,25.0,219.9,734932.88,7173378.50,908.45,2.96,1.10,0.04
11250,25.0,182.9,734932.88,7173378.50,938.40,2.97,1.07,0.03
11250,25.0,143.7,734932.88,7173378.50,960.09,2.98,1.04,0.02
11250,25.0,102.1,734932.88,7173378.50,975.08,2.99,1.03,0.01
11250,25.0,58.0,734932.88,7173378.50,984.76,2.99,1.02,0.01
11250,25.0,11.3,734932.88,7173378.50,989.81,3.00,1.01,0.00
11250,75.0,561.0,734932.75,7173328.50,36.90,1.57,27.10,1.43
11250,75.0,551.0,734932.75,7173328.50,39.89,1.60,25.07,1.40
11250,75.0,541.0,734932.75,7173328.50,45.89,1.66,21.79,1.34
11250,75.0,531.0,734932.75,7173328.50,55.01,1.74,18.18,1.26
11250,75.0,521.0,734932.75,7173328.50,67.39,1.83,14.84,1.17
11250,75.0,508.5,734932.75,7173328.50,93.43,1.97,10.70,1.03
11250,75.0,491.0,734932.75,7173328.50,140.91,2.15,7.10,0.85
11250,75.0,470.4,734932.75,7173328.50,205.47,2.31,4.87,0.69
11250,75.0,448.5,734932.75,7173328.50,286.72,2.46,3.49,0.54
11250,75.0,425.4,734932.75,7173328.50,380.37,2.58,2.63,0.42
11250,75.0,400.8,734932.75,7173328.50,479.85,2.68,2.08,0.32
11250,75.0,374.8,734932.75,7173328.50,577.91,2.76,1.73,0.24
11250,75.0,347.3,734932.75,7173328.50,668.39,2.83,1.50,0.17
11250,75.0,318.1,734932.75,7173328.50,747.28,2.87,1.34,0.13
11250,75.0,287.1,734932.75,7173328.50,812.89,2.91,1.23,0.09
11250,75.0,254.2,734932.75,7173328.50,865.40,2.94,1.16,0.06
11250,75.0,219.4,734932.75,7173328.50,906.12,2.96,1.10,0.04
11250,75.0,182.5,734932.75,7173328.50,936.73,2.97,1.07,0.03
11250,75.0,143.4,734932.75,7173328.50,958.99,2.98,1.04,0.02
11250,75.0,101.9,734932.75,7173328.50,974.44,2.99,1.03,0.01
11250,75.0,57.9,734932.75,7173328.50,984.41,2.99,1.02,0.01
11250,75.0,11.3,734932.75,7173328.50,989.64,3.00,1.01,0.00
11250,125.0,560.7,734932.75,7173278.50,40.81,1.61,24.51,1.39
11250,125.0,550.7,734932.75,7173278.50,44.74,1.65,22.35,1.35
11250,125.0,540.7,734932.75,7173278.50,52.05,1.72,19.21,1.28
