 East  ,  Channel ,   Error 	 
  478994.2,       0.0,        -0.0793
  478994.2,     -40.0,        -0.2001
  478994.2,     -80.0,        -0.1030
  478994.2,    -120.0,        -0.0059
  478994.2,    -160.0,        -0.0222
  478994.2,    -200.0,         0.0985
  478994.2,    -240.0,        -0.0810
  478994.2,    -280.0,        -0.1423
  478994.2,    -320.0,        -0.1210
  478994.2,    -360.0,        -0.0086
  478994.2,    -400.0,        -0.1125
  478994.2,    -440.0,         0.0385
  478993.1,       0.0,        -0.0541
  478993.1,     -40.0,        -0.2000
  478993.1,     -80.0,        -0.1180
  478993.1,    -120.0,        -0.0175
  478993.1,    -160.0,        -0.0891
  478993.1,    -200.0,         0.0758
  478993.1,    -240.0,        -0.0749
  478993.1,    -280.0,        -0.0775
  478993.1,    -320.0,        -0.0847
  478993.1,    -360.0,         0.0301
  478993.1,    -400.0,        -0.0721
  478993.1,    -440.0,         0.0524
  478993.2,       0.0,         0.0204
  478993.2,     -40.0,        -0.1577
  478993.2,     -80.0,        -0.1108
  478993.2,    -120.0,        -0.0026
  478993.2,    -160.0,        -0.0864
  478993.2,    -200.0,         0.0785
  478993.2,    -240.0,        -0.0906
  478993.2,    -280.0,         0.0742
  478993.2,    -320.0,        -0.0054
  478993.2,    -360.0,         0.0695
  478993.2,    -400.0,        -0.0425
  478993.2,    -440.0,         0.0926
  478994.3,       0.0,         0.0835
  478994.3,     -40.0,        -0.1076
  478994.3,     -80.0,        -0.0848
  478994.3,    -120.0,         0.0323
  478994.3,    -160.0,        -0.0390
  478994.3,    -200.0,         0.0818
  478994.3,    -240.0,        -0.1094
  478994.3,    -280.0,         0.1812
  478994.3,    -320.0,         0.0650
  478994.3,    -360.0,         0.1067
  478994.3,    -400.0,        -0.0109
  478994.3,    -440.0,         0.0942
  478995.7,       0.0,         0.0616
  478995.7,     -40.0,        -0.1506
  478995.7,     -80.0,        -0.0994
  478995.7,    -120.0,         0.0513
  478995.7,    -160.0,        -0.0036
  478995.7,    -200.0,         0.0616
  478995.7,    -240.0,        -0.0847
  478995.7,    -280.0,         0.1458
  478995.7,    -320.0,        -0.0034
  478995.7,    -360.0,         0.0780
  478995.7,    -400.0,        -0.0183
  478995.7,    -440.0,         0.0393
  478996.8,       0.0,         0.0081
  478996.8,     -40.0,        -0.2391
  478996.8,     -80.0,        -0.1327
  478996.8,    -120.0,         0.0621
  478996.8,    -160.0,         0.0204
  478996.8,    -200.0,         0.0379
