Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
         1,     225.0,     536.6, 734932.62,7173178.50,    134.49,      2.13,      7.44,      0.87
         1,     225.0,     520.6, 734932.62,7173178.50,    141.27,      2.15,      7.08,      0.85
         1,     225.0,     500.0, 734932.62,7173178.50,    149.90,      2.18,      6.67,      0.82
         1,     225.0,     478.1, 734932.62,7173178.50,    159.44,      2.20,      6.27,      0.80
         1,     225.0,     455.0, 734932.62,7173178.50,    168.64,      2.23,      5.93,      0.77
         1,     225.0,     430.4, 734932.62,7173178.50,    176.69,      2.25,      5.66,      0.75
         1,     225.0,     404.4, 734932.62,7173178.50,    183.25,      2.26,      5.46,      0.74
         1,     225.0,     376.9, 734932.62,7173178.50,    188.32,      2.27,      5.31,      0.73
         1,     225.0,     347.7, 734932.62,7173178.50,    192.07,      2.28,      5.21,      0.72
         1,     225.0,     316.7, 734932.62,7173178.50,    194.72,      2.29,      5.14,      0.71
         1,     225.0,     283.8, 734932.62,7173178.50,    196.54,      2.29,      5.09,      0.71
         1,     225.0,     248.9, 734932.62,7173178.50,    197.74,      2.30,      5.06,      0.70
         1,     225.0,     211.8, 734932.62,7173178.50,    198.51,      2.30,      5.04,      0.70
         1,     225.0,     172.5, 734932.62,7173178.50,    198.98,      2.30,      5.03,      0.70
         1,     225.0,     130.9, 734932.62,7173178.50,    199.21,      2.30,      5.02,      0.70
         1,     275.0,     561.1, 734932.50,7173128.50,    141.78,      2.15,      7.05,      0.85
         1,     275.0,     549.1, 734932.50,7173128.50,    142.74,      2.15,      7.01,      0.85
         1,     275.0,     537.1, 734932.50,7173128.50,    144.63,      2.16,      6.91,      0.84
         1,     275.0,     521.1, 734932.50,7173128.50,    149.42,      2.17,      6.69,      0.83
         1,     275.0,     500.5, 734932.50,7173128.50,    155.85,      2.19,      6.42,      0.81
         1,     275.0,     478.6, 734932.50,7173128.50,    163.30,      2.21,      6.12,      0.79
         1,     275.0,     455.5, 734932.50,7173128.50,    170.84,      2.23,      5.85,      0.77
         1,     275.0,     431.0, 734932.50,7173128.50,    177.73,      2.25,      5.63,      0.75
         1,     275.0,     405.0, 734932.50,7173128.50,    183.59,      2.26,      5.45,      0.74
         1,     275.0,     377.4, 734932.50,7173128.50,    188.29,      2.27,      5.31,      0.73
         1,     275.0,     348.2, 734932.50,7173128.50,    191.87,      2.28,      5.21,      0.72
         1,     275.0,     317.2, 734932.50,7173128.50,    194.48,      2.29,      5.14,      0.71
         1,     275.0,     284.4, 734932.50,7173128.50,    196.31,      2.29,      5.09,      0.71
         1,     275.0,     249.4, 734932.50,7173128.50,    197.56,      2.30,      5.06,      0.70
         1,     275.0,     212.2, 734932.50,7173128.50,    198.38,      2.30,      5.04,      0.70
         1,     275.0,     172.7, 734932.50,7173128.50,    198.88,      2.30,      5.03,      0.70
         1,     275.0,     130.9, 734932.50,7173128.50,    199.13,      2.30,      5.02,      0.70
         1,     325.0,     561.3, 734932.50,7173078.50,    156.02,      2.19,      6.41,      0.81
         1,     325.0,     549.3, 734932.50,7173078.50,    156.36,      2.19,      6.40,      0.81
         1,     325.0,     537.3, 734932.50,7173078.50,    157.20,      2.20,      6.36,      0.80
         1,     325.0,     521.3, 734932.50,7173078.50,    159.67,      2.20,      6.26,      0.80
         1,     325.0,     500.7, 734932.50,7173078.50,    163.48,      2.21,      6.12,      0.79
         1,     325.0,     478.9, 734932.50,7173078.50,    168.44,      2.23,      5.94,      0.77
         1,     325.0,     455.8, 734932.50,7173078.50,    173.93,      2.24,      5.75,      0.76
         1,     325.0,     431.2, 734932.50,7173078.50,    179.38,      2.25,      5.57,      0.75
         1,     325.0,     405.2, 734932.50,7173078.50,    184.31,      2.27,      5.43,      0.73
         1,     325.0,     377.6, 734932.50,7173078.50,    188.48,      2.28,      5.31,      0.72
         1,     325.0,     348.4, 734932.50,7173078.50,    191.80,      2.28,      5.21,      0.72
         1,     325.0,     317.4, 734932.50,7173078.50,    194.31,      2.29,      5.15,      0.71
         1,     325.0,     284.6, 734932.50,7173078.50,    196.13,      2.29,      5.10,      0.71
         1,     325.0,     249.6, 734932.50,7173078.50,    197.40,      2.30,      5.07,      0.70
         1,     325.0,     212.3, 734932.50,7173078.50,    198.25,      2.30,      5.04,      0.70
         1,     325.0,     172.8, 734932.50,7173078.50,    198.78,      2.30,      5.03,      0.70
         1,     325.0,     131.0, 734932.50,7173078.50,    199.06,      2.30,      5.02,      0.70
         1,     375.0,     561.4, 734932.38,7173028.50,    168.54,      2.23,      5.93,      0.77
         1,     375.0,     549.4, 734932.38,7173028.50,    168.39,      2.23,      5.94,      0.77
         1,     375.0,     537.4, 734932.38,7173028.50,    168.36,      2.23,      5.94,      0.77
         1,     375.0,     521.4, 734932.38,7173028.50,    168.85,      2.23,      5.92,      0.77
         1,     375.0,     500.8, 734932.38,7173028.50,    170.39,      2.23,      5.87,      0.77
         1,     375.0,     479.0, 734932.38,7173028.50,    173.12,      2.24,      5.78,      0.76
         1,     375.0,     455.8, 734932.38,7173028.50,    176.80,      2.25,      5.66,      0.75
         1,     375.0,     431.3, 734932.38,7173028.50,    180.92,      2.26,      5.53,      0.74
         1,     375.0,     405.3, 734932.38,7173028.50,    185.01,      2.27,      5.41,      0.73
         1,     375.0,     377.7, 734932.38,7173028.50,    188.70,      2.28,      5.30,      0.72
         1,     375.0,     348.5, 734932.38,7173028.50,    191.77,      2.28,      5.21,      0.72
         1,     375.0,     317.5, 734932.38,7173028.50,    194.18,      2.29,      5.15,      0.71
         1,     375.0,     284.7, 734932.38,7173028.50,    195.98,      2.29,      5.10,      0.71
         1,     375.0,     249.7, 734932.38,7173028.50,    197.27,      2.30,      5.07,      0.70
         1,     375.0,     212.4, 734932.38,7173028.50,    198.14,      2.30,      5.05,      0.70
         1,     375.0,     172.8, 734932.38,7173028.50,    198.70,      2.30,      5.03,      0.70
         1,     375.0,     131.0, 734932.38,7173028.50,    198.99,      2.30,      5.03,      0.70
         1,     425.0,     561.6, 734932.38,7172978.50,    174.87,      2.24,      5.72,      0.76
         1,     425.0,     549.6, 734932.38,7172978.50,    174.53,      2.24,      5.73,      0.76
         1,     425.0,     537.6, 734932.38,7172978.50,    174.12,      2.24,      5.74,      0.76
         1,     425.0,     521.6, 734932.38,7172978.50,    173.64,      2.24,      5.76,      0.76
         1,     425.0,     501.0, 734932.38,7172978.50,    173.98,      2.24,      5.75,      0.76
         1,     425.0,     479.1, 734932.38,7172978.50,    175.50,      2.24,      5.70,      0.76
         1,     425.0,     456.0, 734932.38,7172978.50,    178.16,      2.25,      5.61,      0.75
         1,     425.0,     431.5, 734932.38,7172978.50,    181.56,      2.26,      5.51,      0.74
         1,     425.0,     405.4, 734932.38,7172978.50,    185.21,      2.27,      5.40,      0.73
         1,     425.0,     377.9, 734932.38,7172978.50,    188.65,      2.28,      5.30,      0.72
         1,     425.0,     348.7, 734932.38,7172978.50,    191.63,      2.28,      5.22,      0.72
         1,     425.0,     317.7, 734932.38,7172978.50,    194.02,      2.29,      5.15,      0.71
         1,     425.0,     284.8, 734932.38,7172978.50,    195.83,      2.29,      5.11,      0.71
         1,     425.0,     249.8, 734932.38,7172978.50,    197.14,      2.29,      5.07,      0.71
         1,     425.0,     212.5, 734932.38,7172978.50,    198.05,      2.30,      5.05,      0.70
         1,     425.0,     172.9, 734932.38,7172978.50,    198.62,      2.30,      5.03,      0.70
         1,     425.0,     131.0, 734932.38,7172978.50,    198.93,      2.30,      5.03,      0.70
         1,     475.0,     561.9, 734932.25,7172928.50,    171.60,      2.23,      5.83,      0.77
         1,     475.0,     549.9, 734932.25,7172928.50,    171.46,      2.23,      5.83,      0.77
         1,     475.0,     537.9, 734932.25,7172928.50,    171.34,      2.23,      5.84,      0.77
