 East  ,  Channel ,   Error 	 
  740330.0,       0.0,         0.3313
  740330.0,     -40.0,         0.5958
  740330.0,     -80.0,         0.6678
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.6184
  740330.0,    -200.0,         0.2987
  740330.0,    -240.0,         0.1531
  740330.0,    -280.0,         0.1673
  740330.0,    -320.0,         0.1796
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2482
  740330.0,    -440.0,         0.2513
  740330.0,    -480.0,         0.2392
  740330.0,    -520.0,         0.2046
  740330.0,    -560.0,         0.1652
  740330.0,    -600.0,         0.0475
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0213
  740330.0,    -720.0,         0.0977
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.2012
  740330.0,     -40.0,         0.4390
  740330.0,     -80.0,         0.5407
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.5700
  740330.0,    -200.0,         0.2951
  740330.0,    -240.0,         0.1709
  740330.0,    -280.0,         0.1889
  740330.0,    -320.0,         0.2042
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2513
  740330.0,    -440.0,         0.1994
  740330.0,    -480.0,         0.1567
  740330.0,    -520.0,         0.1081
  740330.0,    -560.0,         0.0786
  740330.0,    -600.0,         0.0256
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1166
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,         0.0258
  740330.0,     -40.0,         0.2433
  740330.0,     -80.0,         0.3662
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.4926
  740330.0,    -200.0,         0.2868
  740330.0,    -240.0,         0.1867
  740330.0,    -280.0,         0.2124
  740330.0,    -320.0,         0.2281
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2388
  740330.0,    -440.0,         0.1714
  740330.0,    -480.0,         0.1177
  740330.0,    -520.0,         0.0643
  740330.0,    -560.0,         0.0438
  740330.0,    -600.0,         0.0233
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1218
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1328
  740330.0,     -40.0,         0.0332
  740330.0,     -80.0,         0.1682
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.4030
  740330.0,    -200.0,         0.2759
  740330.0,    -240.0,         0.1992
  740330.0,    -280.0,         0.2311
  740330.0,    -320.0,         0.2445
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2520
  740330.0,    -440.0,         0.2026
  740330.0,    -480.0,         0.1549
  740330.0,    -520.0,         0.1075
  740330.0,    -560.0,         0.0877
  740330.0,    -600.0,         0.0441
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1168
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.2388
  740330.0,     -40.0,        -0.1506
  740330.0,     -80.0,        -0.0086
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.3199
  740330.0,    -200.0,         0.2628
  740330.0,    -240.0,         0.2082
  740330.0,    -280.0,         0.2404
  740330.0,    -320.0,         0.2547
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2984
  740330.0,    -440.0,         0.3060
  740330.0,    -480.0,         0.2796
  740330.0,    -520.0,         0.2414
  740330.0,    -560.0,         0.2111
  740330.0,    -600.0,         0.0964
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
