 East  ,  Channel ,   Error 	 
  729518.6,       0.0,         0.0075
  729518.6,     -40.0,         0.0246
  729518.6,     -80.0,         0.0375
  729518.6,    -120.0,         0.0000
  729518.6,    -160.0,         0.0510
  729518.6,    -200.0,         0.1554
  729518.6,    -240.0,         0.1557
  729518.6,    -280.0,         0.0676
  729518.6,    -320.0,         0.0121
  729518.6,    -360.0,         0.0000
  729518.6,    -400.0,         0.0064
  729518.6,    -440.0,         0.0402
  729518.6,    -480.0,         0.0417
  729518.6,    -520.0,         0.0207
  729518.6,    -560.0,        -0.1464
  729518.6,    -600.0,        -0.2339
  729518.6,    -640.0,        -0.1081
  729518.6,    -680.0,        -0.0148
  729518.6,    -720.0,         0.0454
  729518.6,    -760.0,         0.0000
  729518.2,       0.0,         0.0179
  729518.2,     -40.0,         0.0437
  729518.2,     -80.0,         0.0683
  729518.2,    -120.0,         0.0000
  729518.2,    -160.0,         0.0378
  729518.2,    -200.0,         0.0844
  729518.2,    -240.0,         0.1111
  729518.2,    -280.0,         0.0523
  729518.2,    -320.0,         0.0014
  729518.2,    -360.0,         0.0000
  729518.2,    -400.0,         0.0067
  729518.2,    -440.0,         0.0428
  729518.2,    -480.0,         0.0634
  729518.2,    -520.0,         0.1188
  729518.2,    -560.0,         0.0397
  729518.2,    -600.0,        -0.1058
  729518.2,    -640.0,        -0.0861
  729518.2,    -680.0,        -0.0357
  729518.2,    -720.0,         0.0144
  729518.2,    -760.0,         0.0000
  729518.1,       0.0,        -0.0113
  729518.1,     -40.0,         0.0175
  729518.1,     -80.0,         0.0520
  729518.1,    -120.0,         0.0000
  729518.1,    -160.0,         0.0457
  729518.1,    -200.0,         0.0561
  729518.1,    -240.0,         0.0848
  729518.1,    -280.0,         0.0403
  729518.1,    -320.0,         0.0000
  729518.1,    -360.0,         0.0000
  729518.1,    -400.0,        -0.0022
  729518.1,    -440.0,         0.0199
  729518.1,    -480.0,         0.0211
  729518.1,    -520.0,         0.0790
  729518.1,    -560.0,         0.0722
  729518.1,    -600.0,        -0.0381
  729518.1,    -640.0,        -0.0725
  729518.1,    -680.0,        -0.0498
  729518.1,    -720.0,        -0.0138
  729518.1,    -760.0,         0.0000
  729517.9,       0.0,        -0.0305
  729517.9,     -40.0,        -0.0134
  729517.9,     -80.0,         0.0124
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,         0.0333
  729517.9,    -200.0,         0.0413
  729517.9,    -240.0,         0.0662
  729517.9,    -280.0,         0.0304
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0069
  729517.9,    -440.0,         0.0240
  729517.9,    -480.0,         0.0106
  729517.9,    -520.0,         0.0312
  729517.9,    -560.0,         0.0423
  729517.9,    -600.0,        -0.0107
  729517.9,    -640.0,        -0.0623
  729517.9,    -680.0,        -0.0507
  729517.9,    -720.0,         0.0000
  729517.9,    -760.0,         0.0000
  729517.8,       0.0,        -0.0235
  729517.8,     -40.0,        -0.0223
  729517.8,     -80.0,        -0.0179
  729517.8,    -120.0,         0.0000
  729517.8,    -160.0,         0.0011
  729517.8,    -200.0,         0.0309
  729517.8,    -240.0,         0.0531
  729517.8,    -280.0,         0.0225
  729517.8,    -320.0,         0.0000
  729517.8,    -360.0,         0.0000
  729517.8,    -400.0,         0.0181
  729517.8,    -440.0,         0.0401
  729517.8,    -480.0,         0.0351
  729517.8,    -520.0,         0.0203
  729517.8,    -560.0,         0.0059
  729517.8,    -600.0,        -0.0065
  729517.8,    -640.0,        -0.0562
  729517.8,    -680.0,        -0.0458
  729517.8,    -720.0,        -0.0199
  729517.8,    -760.0,         0.0000
  729517.9,       0.0,        -0.0080
  729517.9,     -40.0,        -0.0090
  729517.9,     -80.0,        -0.0194
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0264
  729517.9,    -200.0,         0.0223
  729517.9,    -240.0,         0.0470
  729517.9,    -280.0,         0.0165
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0079
  729517.9,    -440.0,         0.0368
  729517.9,    -480.0,         0.0520
  729517.9,    -520.0,         0.0330
  729517.9,    -560.0,        -0.0077
  729517.9,    -600.0,        -0.0097
  729517.9,    -640.0,        -0.0580
  729517.9,    -680.0,        -0.0431
  729517.9,    -720.0,        -0.0121
  729517.9,    -760.0,         0.0000
  729517.9,       0.0,        -0.0124
  729517.9,     -40.0,        -0.0045
  729517.9,     -80.0,        -0.0172
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0379
  729517.9,    -200.0,         0.0202
  729517.9,    -240.0,         0.0452
  729517.9,    -280.0,         0.0107
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0023
  729517.9,    -440.0,         0.0319
  729517.9,    -480.0,         0.0557
  729517.9,    -520.0,         0.0436
  729517.9,    -560.0,        -0.0040
  729517.9,    -600.0,        -0.0148
  729517.9,    -640.0,        -0.0696
  729517.9,    -680.0,        -0.0442
  729517.9,    -720.0,        -0.0042
  729517.9,    -760.0,         0.0000
  729517.9,       0.0,        -0.0194
  729517.9,     -40.0,        -0.0026
  729517.9,     -80.0,        -0.0122
  729517.9,    -120.0,         0.0000
  729517.9,    -160.0,        -0.0305
  729517.9,    -200.0,         0.0253
  729517.9,    -240.0,         0.0410
  729517.9,    -280.0,         0.0045
  729517.9,    -320.0,         0.0000
  729517.9,    -360.0,         0.0000
  729517.9,    -400.0,         0.0149
  729517.9,    -440.0,         0.0401
  729517.9,    -480.0,         0.0548
  729517.9,    -520.0,         0.0441
  729517.9,    -560.0,         0.0057
  729517.9,    -600.0,        -0.0232
  729517.9,    -640.0,        -0.0824
  729517.9,    -680.0,        -0.0427
  729517.9,    -720.0,         0.0069
  729517.9,    -760.0,         0.0000
  729517.6,       0.0,        -0.0158
  729517.6,     -40.0,         0.0012
  729517.6,     -80.0,        -0.0089
  729517.6,    -120.0,         0.0000
  729517.6,    -160.0,        -0.0157
  729517.6,    -200.0,         0.0327
  729517.6,    -240.0,         0.0306
  729517.6,    -280.0,        -0.0020
  729517.6,    -320.0,        -0.0409
  729517.6,    -360.0,         0.0000
  729517.6,    -400.0,         0.0307
  729517.6,    -440.0,         0.0550
  729517.6,    -480.0,         0.0582
  729517.6,    -520.0,         0.0507
  729517.6,    -560.0,         0.0228
  729517.6,    -600.0,        -0.0282
  729517.6,    -640.0,        -0.0821
  729517.6,    -680.0,        -0.0324
  729517.6,    -720.0,         0.0256
  729517.6,    -760.0,         0.0000
  729517.2,       0.0,        -0.0135
  729517.2,     -40.0,        -0.0026
  729517.2,     -80.0,        -0.0178
  729517.2,    -120.0,         0.0000
  729517.2,    -160.0,        -0.0054
  729517.2,    -200.0,         0.0363
  729517.2,    -240.0,         0.0138
  729517.2,    -280.0,        -0.0114
  729517.2,    -320.0,        -0.0445
  729517.2,    -360.0,         0.0000
  729517.2,    -400.0,         0.0318
  729517.2,    -440.0,         0.0598
  729517.2,    -480.0,         0.0581
  729517.2,    -520.0,         0.0597
  729517.2,    -560.0,         0.0401
  729517.2,    -600.0,        -0.0267
  729517.2,    -640.0,        -0.0689
  729517.2,    -680.0,        -0.0152
  729517.2,    -720.0,         0.0500
  729517.2,    -760.0,         0.0000
  729516.8,       0.0,        -0.0232
  729516.8,     -40.0,        -0.0160
  729516.8,     -80.0,        -0.0328
  729516.8,    -120.0,         0.0000
  729516.8,    -160.0,         0.0023
  729516.8,    -200.0,         0.0344
  729516.8,    -240.0,        -0.0062
  729516.8,    -280.0,        -0.0269
  729516.8,    -320.0,        -0.0478
  729516.8,    -360.0,         0.0000
  729516.8,    -400.0,         0.0333
  729516.8,    -440.0,         0.0615
  729516.8,    -480.0,         0.0547
  729516.8,    -520.0,         0.0611
  729516.8,    -560.0,         0.0457
  729516.8,    -600.0,        -0.0265
  729516.8,    -640.0,        -0.0550
  729516.8,    -680.0,        -0.0006
  729516.8,    -720.0,         0.0696
  729516.8,    -760.0,         0.0000
  729516.1,       0.0,        -0.0361
  729516.1,     -40.0,        -0.0322
  729516.1,     -80.0,        -0.0457
  729516.1,    -120.0,         0.0000
  729516.1,    -160.0,         0.0118
  729516.1,    -200.0,         0.0276
  729516.1,    -240.0,        -0.0261
  729516.1,    -280.0,        -0.0460
  729516.1,    -320.0,        -0.0515
  729516.1,    -360.0,         0.0000
  729516.1,    -400.0,         0.0423
  729516.1,    -440.0,         0.0631
  729516.1,    -480.0,         0.0545
  729516.1,    -520.0,         0.0626
  729516.1,    -560.0,         0.0428
  729516.1,    -600.0,        -0.0350
  729516.1,    -640.0,        -0.0533
  729516.1,    -680.0,        -0.0012
  729516.1,    -720.0,         0.0683
  729516.1,    -760.0,         0.0000
  729515.3,       0.0,        -0.0371
  729515.3,     -40.0,        -0.0441
  729515.3,     -80.0,        -0.0568
  729515.3,    -120.0,         0.0000
  729515.3,    -160.0,         0.0203
  729515.3,    -200.0,         0.0152
  729515.3,    -240.0,        -0.0436
  729515.3,    -280.0,        -0.0620
  729515.3,    -320.0,        -0.0552
  729515.3,    -360.0,         0.0000
  729515.3,    -400.0,         0.0465
  729515.3,    -440.0,         0.0569
  729515.3,    -480.0,         0.0558
  729515.3,    -520.0,         0.0709
  729515.3,    -560.0,         0.0356
  729515.3,    -600.0,        -0.0501
  729515.3,    -640.0,        -0.0617
  729515.3,    -680.0,        -0.0156
  729515.3,    -720.0,         0.0479
  729515.3,    -760.0,         0.0000
  729514.4,       0.0,        -0.0255
  729514.4,     -40.0,        -0.0482
  729514.4,     -80.0,        -0.0594
  729514.4,    -120.0,         0.0000
  729514.4,    -160.0,         0.0294
  729514.4,    -200.0,         0.0025
  729514.4,    -240.0,        -0.0591
  729514.4,    -280.0,        -0.0730
  729514.4,    -320.0,        -0.0582
  729514.4,    -360.0,         0.0000
  729514.4,    -400.0,         0.0263
  729514.4,    -440.0,         0.0320
  729514.4,    -480.0,         0.0522
  729514.4,    -520.0,         0.0812
  729514.4,    -560.0,         0.0259
  729514.4,    -600.0,        -0.0631
  729514.4,    -640.0,        -0.0668
  729514.4,    -680.0,        -0.0277
  729514.4,    -720.0,         0.0235
  729514.4,    -760.0,         0.0000
  729513.7,       0.0,        -0.0342
  729513.7,     -40.0,        -0.0609
  729513.7,     -80.0,        -0.0498
  729513.7,    -120.0,         0.0000
  729513.7,    -160.0,         0.0384
  729513.7,    -200.0,        -0.0104
  729513.7,    -240.0,        -0.0747
  729513.7,    -280.0,        -0.0815
  729513.7,    -320.0,        -0.0615
  729513.7,    -360.0,         0.0000
  729513.7,    -400.0,         0.0063
  729513.7,    -440.0,         0.0176
  729513.7,    -480.0,         0.0602
  729513.7,    -520.0,         0.0870
