Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11260,25.0,581.9,740329.81,7171996.00,246.65,2.39,4.05,0.61
11260,25.0,571.9,740329.81,7171996.00,250.17,2.40,4.00,0.60
11260,25.0,561.9,740329.81,7171996.00,257.09,2.41,3.89,0.59
11260,25.0,551.9,740329.81,7171996.00,267.19,2.43,3.74,0.57
11260,25.0,541.9,740329.81,7171996.00,280.23,2.45,3.57,0.55
11260,25.0,529.4,740329.81,7171996.00,305.17,2.48,3.28,0.52
11260,25.0,511.9,740329.81,7171996.00,345.90,2.54,2.89,0.46
11260,25.0,491.3,740329.81,7171996.00,397.02,2.60,2.52,0.40
11260,25.0,469.4,740329.81,7171996.00,457.82,2.66,2.18,0.34
11260,25.0,446.3,740329.81,7171996.00,525.70,2.72,1.90,0.28
11260,25.0,421.7,740329.81,7171996.00,597.09,2.78,1.67,0.22
11260,25.0,395.7,740329.81,7171996.00,667.96,2.82,1.50,0.18
11260,25.0,368.2,740329.81,7171996.00,734.48,2.87,1.36,0.13
11260,25.0,338.9,740329.81,7171996.00,793.66,2.90,1.26,0.10
11260,25.0,308.0,740329.81,7171996.00,843.76,2.93,1.19,0.07
11260,25.0,275.1,740329.81,7171996.00,884.28,2.95,1.13,0.05
11260,25.0,240.3,740329.81,7171996.00,915.68,2.96,1.09,0.04
11260,25.0,203.2,740329.81,7171996.00,939.54,2.97,1.06,0.03
11260,25.0,163.5,740329.81,7171996.00,956.58,2.98,1.05,0.02
11260,25.0,121.5,740329.81,7171996.00,968.32,2.99,1.03,0.01
11260,25.0,77.0,740329.81,7171996.00,975.95,2.99,1.02,0.01
11260,25.0,29.8,740329.81,7171996.00,980.06,2.99,1.02,0.01
11260,75.0,583.6,740329.81,7172046.00,225.62,2.35,4.43,0.65
11260,75.0,573.6,740329.81,7172046.00,229.30,2.36,4.36,0.64
11260,75.0,563.6,740329.81,7172046.00,236.37,2.37,4.23,0.63
11260,75.0,553.6,740329.81,7172046.00,246.58,2.39,4.06,0.61
11260,75.0,543.6,740329.81,7172046.00,259.66,2.41,3.85,0.59
11260,75.0,531.1,740329.81,7172046.00,284.56,2.45,3.51,0.55
11260,75.0,513.6,740329.81,7172046.00,325.29,2.51,3.07,0.49
11260,75.0,493.0,740329.81,7172046.00,376.80,2.58,2.65,0.42
11260,75.0,471.2,740329.81,7172046.00,438.53,2.64,2.28,0.36
11260,75.0,448.0,740329.81,7172046.00,507.96,2.71,1.97,0.29
11260,75.0,423.5,740329.81,7172046.00,581.48,2.76,1.72,0.24
11260,75.0,397.5,740329.81,7172046.00,654.84,2.82,1.53,0.18
11260,75.0,369.9,740329.81,7172046.00,723.95,2.86,1.38,0.14
11260,75.0,340.7,740329.81,7172046.00,785.56,2.90,1.27,0.10
11260,75.0,309.7,740329.81,7172046.00,837.73,2.92,1.19,0.08
11260,75.0,276.9,740329.81,7172046.00,879.88,2.94,1.14,0.06
11260,75.0,242.1,740329.81,7172046.00,912.51,2.96,1.10,0.04
11260,75.0,204.7,740329.81,7172046.00,937.39,2.97,1.07,0.03
11260,75.0,164.7,740329.81,7172046.00,955.13,2.98,1.05,0.02
11260,75.0,122.3,740329.81,7172046.00,967.32,2.99,1.03,0.01
11260,75.0,77.5,740329.81,7172046.00,975.22,2.99,1.03,0.01
11260,75.0,30.0,740329.81,7172046.00,979.48,2.99,1.02,0.01
11260,125.0,585.3,740329.81,7172096.00,215.59,2.33,4.64,0.67
11260,125.0,575.3,740329.81,7172096.00,218.82,2.34,4.57,0.66
11260,125.0,565.3,740329.81,7172096.00,225.03,2.35,4.44,0.65
11260,125.0,555.3,740329.81,7172096.00,234.02,2.37,4.27,0.63
11260,125.0,545.3,740329.81,7172096.00,245.62,2.39,4.07,0.61
11260,125.0,532.8,740329.81,7172096.00,267.93,2.43,3.73,0.57
11260,125.0,515.3,740329.81,7172096.00,305.21,2.48,3.28,0.52
11260,125.0,494.7,740329.81,7172096.00,353.87,2.55,2.83,0.45
11260,125.0,472.9,740329.81,7172096.00,413.96,2.62,2.42,0.38
11260,125.0,449.7,740329.81,7172096.00,483.39,2.68,2.07,0.32
11260,125.0,425.2,740329.81,7172096.00,558.55,2.75,1.79,0.25
11260,125.0,399.2,740329.81,7172096.00,634.83,2.80,1.58,0.20
11260,125.0,371.6,740329.81,7172096.00,707.47,2.85,1.41,0.15
11260,125.0,342.4,740329.81,7172096.00,772.62,2.89,1.29,0.11
11260,125.0,311.4,740329.81,7172096.00,827.96,2.92,1.21,0.08
11260,125.0,278.6,740329.81,7172096.00,872.69,2.94,1.15,0.06
11260,125.0,243.8,740329.81,7172096.00,907.26,2.96,1.10,0.04
11260,125.0,206.3,740329.81,7172096.00,933.79,2.97,1.07,0.03
11260,125.0,165.9,740329.81,7172096.00,952.66,2.98,1.05,0.02
11260,125.0,123.2,740329.81,7172096.00,965.57,2.98,1.04,0.02
11260,125.0,78.0,740329.81,7172096.00,973.96,2.99,1.03,0.01
11260,125.0,30.2,740329.81,7172096.00,978.49,2.99,1.02,0.01
11260,175.0,587.0,740329.81,7172146.00,230.47,2.36,4.34,0.64
11260,175.0,577.0,740329.81,7172146.00,231.79,2.37,4.31,0.63
11260,175.0,567.0,740329.81,7172146.00,234.86,2.37,4.26,0.63
11260,175.0,557.0,740329.81,7172146.00,240.03,2.38,4.17,0.62
11260,175.0,547.0,740329.81,7172146.00,247.53,2.39,4.04,0.61
11260,175.0,534.5,740329.81,7172146.00,263.34,2.42,3.80,0.58
11260,175.0,517.0,740329.81,7172146.00,292.56,2.47,3.42,0.53
11260,175.0,496.4,740329.81,7172146.00,334.37,2.52,2.99,0.48
11260,175.0,474.6,740329.81,7172146.00,389.72,2.59,2.57,0.41
11260,175.0,451.4,740329.81,7172146.00,457.07,2.66,2.19,0.34
11260,175.0,426.9,740329.81,7172146.00,532.75,2.73,1.88,0.27
11260,175.0,400.9,740329.81,7172146.00,611.54,2.79,1.64,0.21
11260,175.0,373.3,740329.81,7172146.00,687.84,2.84,1.45,0.16
11260,175.0,344.1,740329.81,7172146.00,756.95,2.88,1.32,0.12
11260,175.0,313.1,740329.81,7172146.00,815.94,2.91,1.23,0.09
11260,175.0,280.3,740329.81,7172146.00,863.69,2.94,1.16,0.06
11260,175.0,245.5,740329.81,7172146.00,900.63,2.95,1.11,0.05
11260,175.0,207.8,740329.81,7172146.00,929.18,2.97,1.08,0.03
11260,175.0,167.1,740329.81,7172146.00,949.42,2.98,1.05,0.02
11260,175.0,124.0,740329.81,7172146.00,963.27,2.98,1.04,0.02
11260,175.0,78.5,740329.81,7172146.00,972.27,2.99,1.03,0.01
11260,175.0,30.3,740329.81,7172146.00,977.15,2.99,1.02,0.01
11260,225.0,588.6,740329.81,7172196.00,245.93,2.39,4.07,0.61
11260,225.0,578.6,740329.81,7172196.00,244.89,2.39,4.08,0.61
11260,225.0,568.6,740329.81,7172196.00,244.05,2.39,4.10,0.61
11260,225.0,558.6,740329.81,7172196.00,244.51,2.39,4.09,0.61
11260,225.0,548.6,740329.81,7172196.00,247.11,2.39,4.05,0.61
11260,225.0,536.1,740329.81,7172196.00,255.56,2.41,3.91,0.59
11260,225.0,518.6,740329.81,7172196.00,276.27,2.44,3.62,0.56
11260,225.0,498.0,740329.81,7172196.00,311.37,2.49,3.21,0.51
11260,225.0,476.2,740329.81,7172196.00,362.40,2.56,2.76,0.44
11260,225.0,453.0,740329.81,7172196.00,428.11,2.63,2.34,0.37
11260,225.0,428.5,740329.81,7172196.00,504.67,2.70,1.98,0.30
11260,225.0,402.5,740329.81,7172196.00,586.25,2.77,1.71,0.23
11260,225.0,374.9,740329.81,7172196.00,666.40,2.82,1.50,0.18
11260,225.0,345.7,740329.81,7172196.00,739.66,2.87,1.35,0.13
11260,225.0,314.7,740329.81,7172196.00,802.48,2.90,1.25,0.10
11260,225.0,281.9,740329.81,7172196.00,853.49,2.93,1.17,0.07
11260,225.0,247.1,740329.81,7172196.00,893.00,2.95,1.12,0.05
11260,225.0,209.2,740329.81,7172196.00,923.77,2.97,1.08,0.03
11260,225.0,168.2,740329.81,7172196.00,945.57,2.98,1.06,0.02
11260,225.0,124.8,740329.81,7172196.00,960.52,2.98,1.04,0.02
11260,225.0,79.0,740329.81,7172196.00,970.25,2.99,1.03,0.01
