 East  ,  Channel ,   Error 	 
  740330.0,       0.0,        -0.1391
  740330.0,     -40.0,         0.0339
  740330.0,     -80.0,         0.1690
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.3141
  740330.0,    -200.0,         0.1588
  740330.0,    -240.0,         0.1065
  740330.0,    -280.0,         0.1509
  740330.0,    -320.0,         0.1711
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.0655
  740330.0,    -440.0,         0.0486
  740330.0,    -480.0,         0.0023
  740330.0,    -520.0,        -0.1172
  740330.0,    -560.0,        -0.2498
  740330.0,    -600.0,        -0.1381
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0116
  740330.0,    -720.0,         0.0913
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1589
  740330.0,     -40.0,         0.0093
  740330.0,     -80.0,         0.1279
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.2537
  740330.0,    -200.0,         0.1434
  740330.0,    -240.0,         0.1217
  740330.0,    -280.0,         0.1723
  740330.0,    -320.0,         0.1957
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2074
  740330.0,    -440.0,         0.1594
  740330.0,    -480.0,         0.0901
  740330.0,    -520.0,        -0.0488
  740330.0,    -560.0,        -0.1955
  740330.0,    -600.0,        -0.1093
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1118
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.2242
  740330.0,     -40.0,        -0.0605
  740330.0,     -80.0,         0.0506
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.1768
  740330.0,    -200.0,         0.1252
  740330.0,    -240.0,         0.1340
  740330.0,    -280.0,         0.1951
  740330.0,    -320.0,         0.2194
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2538
  740330.0,    -440.0,         0.2092
  740330.0,    -480.0,         0.1420
  740330.0,    -520.0,         0.0018
  740330.0,    -560.0,        -0.1481
  740330.0,    -600.0,        -0.0816
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1178
  740330.0,    -760.0,         0.0000
