 East  ,  Channel ,   Error 	 
  734923.8,       0.0,         0.0023
  734923.8,     -40.0,         0.0359
  734923.8,     -80.0,         0.2148
  734923.8,    -120.0,         0.0000
  734923.8,    -160.0,         0.2556
  734923.8,    -200.0,         0.1029
  734923.8,    -240.0,         0.0375
  734923.8,    -280.0,         0.0247
  734923.8,    -320.0,         0.0000
  734923.8,    -360.0,         0.0000
  734923.8,    -400.0,         0.0103
  734923.8,    -440.0,        -0.0573
  734923.8,    -480.0,        -0.1398
  734923.8,    -520.0,        -0.2008
  734923.8,    -560.0,         0.0000
  734923.8,    -600.0,         0.0000
  734923.8,    -640.0,         0.0019
  734923.8,    -680.0,         0.0111
  734923.8,    -720.0,         0.0371
  734923.8,    -760.0,         0.0000
  734923.3,       0.0,        -0.0547
  734923.3,     -40.0,        -0.0014
  734923.3,     -80.0,         0.1657
  734923.3,    -120.0,         0.0000
  734923.3,    -160.0,         0.2221
  734923.3,    -200.0,         0.0929
  734923.3,    -240.0,         0.0343
  734923.3,    -280.0,         0.0258
  734923.3,    -320.0,         0.0000
  734923.3,    -360.0,         0.0000
  734923.3,    -400.0,         0.0696
  734923.3,    -440.0,         0.0398
  734923.3,    -480.0,        -0.0417
  734923.3,    -520.0,        -0.1948
  734923.3,    -560.0,        -0.1036
  734923.3,    -600.0,         0.0000
  734923.3,    -640.0,         0.0019
  734923.3,    -680.0,         0.0143
  734923.3,    -720.0,         0.0377
  734923.3,    -760.0,         0.0000
  734923.0,       0.0,        -0.0983
  734923.0,     -40.0,         0.0040
  734923.0,     -80.0,         0.1520
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,         0.1885
  734923.0,    -200.0,         0.0824
  734923.0,    -240.0,         0.0316
  734923.0,    -280.0,         0.0269
  734923.0,    -320.0,         0.0128
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.0912
  734923.0,    -440.0,         0.1020
  734923.0,    -480.0,         0.0234
  734923.0,    -520.0,        -0.1835
  734923.0,    -560.0,        -0.1106
  734923.0,    -600.0,         0.0000
  734923.0,    -640.0,         0.0018
  734923.0,    -680.0,         0.0165
  734923.0,    -720.0,         0.0359
  734923.0,    -760.0,         0.0000
  734922.8,       0.0,        -0.1229
  734922.8,     -40.0,         0.0354
  734922.8,     -80.0,         0.1530
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.1549
  734922.8,    -200.0,         0.0711
  734922.8,    -240.0,         0.0294
  734922.8,    -280.0,         0.0276
  734922.8,    -320.0,         0.0217
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.0922
  734922.8,    -440.0,         0.1229
  734922.8,    -480.0,         0.0479
  734922.8,    -520.0,        -0.1701
  734922.8,    -560.0,        -0.1157
  734922.8,    -600.0,        -0.0336
  734922.8,    -640.0,         0.0015
  734922.8,    -680.0,         0.0166
  734922.8,    -720.0,         0.0327
  734922.8,    -760.0,         0.0000
  734922.7,       0.0,        -0.1256
  734922.7,     -40.0,         0.0635
  734922.7,     -80.0,         0.1485
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.1215
  734922.7,    -200.0,         0.0592
  734922.7,    -240.0,         0.0276
  734922.7,    -280.0,         0.0277
  734922.7,    -320.0,         0.0290
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.0926
  734922.7,    -440.0,         0.1062
  734922.7,    -480.0,         0.0365
  734922.7,    -520.0,        -0.1563
  734922.7,    -560.0,        -0.1173
  734922.7,    -600.0,        -0.0359
  734922.7,    -640.0,         0.0008
  734922.7,    -680.0,         0.0145
  734922.7,    -720.0,         0.0293
  734922.7,    -760.0,         0.0000
  734922.7,       0.0,        -0.1104
  734922.7,     -40.0,         0.0589
  734922.7,     -80.0,         0.1182
  734922.7,    -120.0,         0.0000
  734922.7,    -160.0,         0.0885
  734922.7,    -200.0,         0.0470
  734922.7,    -240.0,         0.0260
  734922.7,    -280.0,         0.0270
  734922.7,    -320.0,         0.0338
  734922.7,    -360.0,         0.0000
  734922.7,    -400.0,         0.0957
  734922.7,    -440.0,         0.0691
  734922.7,    -480.0,         0.0080
  734922.7,    -520.0,        -0.1421
  734922.7,    -560.0,        -0.1136
  734922.7,    -600.0,        -0.0355
  734922.7,    -640.0,        -0.0001
  734922.7,    -680.0,         0.0111
  734922.7,    -720.0,         0.0257
  734922.7,    -760.0,         0.0000
  734922.8,       0.0,        -0.0902
  734922.8,     -40.0,         0.0116
  734922.8,     -80.0,         0.0542
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.0569
  734922.8,    -200.0,         0.0355
  734922.8,    -240.0,         0.0243
  734922.8,    -280.0,         0.0260
  734922.8,    -320.0,         0.0354
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.0965
  734922.8,    -440.0,         0.0350
  734922.8,    -480.0,        -0.0128
  734922.8,    -520.0,        -0.1238
  734922.8,    -560.0,        -0.1030
  734922.8,    -600.0,         0.0000
  734922.8,    -640.0,        -0.0012
  734922.8,    -680.0,         0.0077
  734922.8,    -720.0,         0.0219
  734922.8,    -760.0,         0.0000
  734922.8,       0.0,        -0.0857
  734922.8,     -40.0,        -0.0712
  734922.8,     -80.0,        -0.0307
  734922.8,    -120.0,         0.0000
  734922.8,    -160.0,         0.0295
  734922.8,    -200.0,         0.0258
  734922.8,    -240.0,         0.0226
  734922.8,    -280.0,         0.0245
  734922.8,    -320.0,         0.0341
  734922.8,    -360.0,         0.0000
  734922.8,    -400.0,         0.1015
  734922.8,    -440.0,         0.0248
  734922.8,    -480.0,        -0.0094
  734922.8,    -520.0,        -0.0947
  734922.8,    -560.0,         0.0000
  734922.8,    -600.0,         0.0000
  734922.8,    -640.0,        -0.0027
  734922.8,    -680.0,         0.0047
  734922.8,    -720.0,         0.0179
  734922.8,    -760.0,         0.0000
  734922.9,       0.0,        -0.1032
  734922.9,     -40.0,        -0.1642
  734922.9,     -80.0,        -0.1099
  734922.9,    -120.0,         0.0000
  734922.9,    -160.0,         0.0085
  734922.9,    -200.0,         0.0184
  734922.9,    -240.0,         0.0206
  734922.9,    -280.0,         0.0225
  734922.9,    -320.0,         0.0312
  734922.9,    -360.0,         0.0000
  734922.9,    -400.0,         0.1184
  734922.9,    -440.0,         0.0428
  734922.9,    -480.0,         0.0130
  734922.9,    -520.0,        -0.0551
  734922.9,    -560.0,        -0.0692
  734922.9,    -600.0,         0.0000
  734922.9,    -640.0,        -0.0046
  734922.9,    -680.0,         0.0020
  734922.9,    -720.0,         0.0139
  734922.9,    -760.0,         0.0000
  734923.0,       0.0,        -0.1426
  734923.0,     -40.0,        -0.2349
  734923.0,     -80.0,        -0.1613
  734923.0,    -120.0,         0.0000
  734923.0,    -160.0,        -0.0065
  734923.0,    -200.0,         0.0130
  734923.0,    -240.0,         0.0181
  734923.0,    -280.0,         0.0198
  734923.0,    -320.0,         0.0276
  734923.0,    -360.0,         0.0000
  734923.0,    -400.0,         0.1515
  734923.0,    -440.0,         0.0845
  734923.0,    -480.0,         0.0445
